cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.3183673469387755,0.2475,0.4915254237288136,0.39672131147540984,0.41935483870967744,0.35509554140127386,0.23897911832946636,0.3048780487804878,0.36283185840707965,0.38266384778012685,0.41044776119402987,0.27692307692307694,0.2874251497005988,0.2857142857142857,0.5,0.26373626373626374,0.23618090452261306,0.0,0.355638166047088,0.0,0.32142857142857145,0.5319148936170213,0.5585585585585585,0.3007518796992481,0.34558823529411764,0.31890660592255127,0.48951048951048953,0.28125,0.2550335570469799,0.6774193548387096,0.4007936507936508,0.2807991120976693,0.23703703703703705,0.4,0.3877551020408163,
-12,0.33035714285714285,0.24646464646464647,0.4090909090909091,0.3587962962962963,0.4279661016949153,0.3486127864897467,0.2571428571428571,0.2608695652173913,0.42953020134228187,0.3662420382165605,0.4444444444444444,0.34782608695652173,0.3287981859410431,0.3333333333333333,0.25,0.40404040404040403,0.24279835390946503,,0.3877005347593583,0.3333333333333333,0.3709677419354839,0.589041095890411,0.5048327137546469,0.3696682464454976,0.3626943005181347,0.3128491620111732,0.4672268907563025,0.26666666666666666,0.2629310344827586,0.6276595744680851,0.37822349570200575,0.2490118577075099,0.31196581196581197,0.3106060606060606,0.30666666666666664,
-11,0.31952662721893493,0.21325051759834368,0.4166666666666667,0.38934426229508196,0.37610619469026546,0.35049019607843135,0.2456445993031359,0.3248407643312102,0.30701754385964913,0.4026974951830443,0.4482758620689655,0.2235294117647059,0.3368146214099217,0.4,0.32,0.3877551020408163,0.2904761904761905,0.0,0.3910196445275959,0.0,0.31333333333333335,0.5540540540540541,0.5426966292134832,0.34196891191709844,0.3790849673202614,0.29444444444444445,0.47544204322200395,0.4146341463414634,0.2878787878787879,0.6283185840707964,0.35294117647058826,0.2767191383595692,0.29739776951672864,0.42105263157894735,0.3181818181818182,
-10,0.3761467889908257,0.19271948608137046,0.43243243243243246,0.39870689655172414,0.4107142857142857,0.3561320754716981,0.23454545454545456,0.3113207547169811,0.32575757575757575,0.40535372848948376,0.5076923076923077,0.25555555555555554,0.29528535980148884,0.25,0.3225806451612903,0.4019607843137255,0.2786885245901639,0.0,0.3780487804878049,0.3333333333333333,0.34108527131782945,0.5,0.5069817400644469,0.34054054054054056,0.31016042780748665,0.3107569721115538,0.45604395604395603,0.28125,0.2767857142857143,0.6923076923076923,0.4027777777777778,0.298841059602649,0.2863070539419087,0.4049586776859504,0.42857142857142855,
-9,0.329923273657289,0.24875621890547264,0.4264705882352941,0.41050583657587547,0.4700460829493088,0.3606936416184971,0.2542087542087542,0.3106060606060606,0.42276422764227645,0.4386694386694387,0.43661971830985913,0.38571428571428573,0.2593516209476309,0.3333333333333333,0.2972972972972973,0.3804347826086957,0.21830985915492956,0.0,0.37589285714285714,0.3333333333333333,0.3618421052631579,0.5454545454545454,0.5078299776286354,0.3465909090909091,0.35,0.3254437869822485,0.5379146919431279,0.39285714285714285,0.2875536480686695,0.6767676767676768,0.33746130030959753,0.2765432098765432,0.2559241706161137,0.4166666666666667,0.3902439024390244,
-8,0.3566666666666667,0.19901719901719903,0.37209302325581395,0.3713592233009709,0.4321608040201005,0.345578231292517,0.2381786339754816,0.36904761904761907,0.38064516129032255,0.4300202839756592,0.41605839416058393,0.2631578947368421,0.313953488372093,0.2,0.20689655172413793,0.4155844155844156,0.24096385542168675,,0.42099898063200814,0.25,0.336,0.5714285714285714,0.47815533980582525,0.33125,0.40606060606060607,0.34606741573033706,0.5405405405405406,0.29545454545454547,0.30851063829787234,0.6020408163265306,0.3515358361774744,0.2736220472440945,0.2988505747126437,0.37962962962962965,0.42028985507246375,
-7,0.3464052287581699,0.29,0.3977272727272727,0.3774703557312253,0.3315508021390374,0.3418043202033037,0.25170998632010944,0.36538461538461536,0.4262295081967213,0.3282773564463705,0.44,0.2414619532654284,0.2672566371681416,0.23529411764705882,0.3225806451612903,0.3052434456928839,0.27359781121751026,0.0,0.40053763440860213,0.0,0.11483253588516747,0.5421686746987951,0.5062068965517241,0.3081761006289308,0.3730886850152905,0.3397312859884837,0.5119453924914675,0.2765957446808511,0.24725274725274726,0.6235294117647059,0.40298507462686567,0.2510974539069359,0.2440944881889764,0.47560975609756095,0.5606060606060606,0.17402269861286254
-6,0.35537190082644626,0.2386117136659436,0.5185185185185185,0.37542087542087543,0.4092827004219409,0.3399366085578447,0.2343921139101862,0.2336448598130841,0.2791519434628975,0.39571589627959414,0.40458015267175573,0.3128621089223638,0.30885529157667385,0.14285714285714285,0.13333333333333333,0.3297180043383948,0.25806451612903225,0.3333333333333333,0.42597187758478083,0.25,0.24817518248175183,0.5520833333333334,0.48597081930415265,0.371900826446281,0.3748395378690629,0.31216931216931215,0.5522151898734177,0.3684210526315789,0.28451882845188287,0.6605504587155964,0.4113636363636364,0.23345588235294118,0.35269709543568467,0.40131578947368424,0.2878787878787879,0.28440366972477066
-5,0.33753148614609574,0.2297872340425532,0.3829787234042553,0.3883248730964467,0.3534136546184739,0.37462235649546827,0.25573394495412843,0.28448275862068967,0.3961038961038961,0.3669402110199297,0.39915966386554624,0.3237063778580024,0.29471544715447157,0.47058823529411764,0.43243243243243246,0.40047961630695444,0.23905723905723905,0.3333333333333333,0.43018213356461404,0.0,0.23293172690763053,0.5789473684210527,0.5209003215434084,0.3333333333333333,0.39290780141843973,0.3339011925042589,0.5546995377503852,0.25,0.2692307692307692,0.6698113207547169,0.3713592233009709,0.24540441176470587,0.3139784946236559,0.34108527131782945,0.38095238095238093,0.2591623036649215
-4,0.2611111111111111,0.2169811320754717,0.43661971830985913,0.2886297376093295,0.36492890995260663,0.3821138211382114,0.22208121827411167,0.30128205128205127,0.40869565217391307,0.37470997679814383,0.33636363636363636,0.30837988826815643,0.308411214953271,0.14285714285714285,0.1875,0.35372848948374763,0.26860254083484575,0.0,0.4342915811088296,0.3333333333333333,0.24180327868852458,0.5408163265306123,0.4844290657439446,0.36507936507936506,0.35511363636363635,0.26475849731663686,0.548993288590604,0.2553191489361702,0.26587301587301587,0.5614035087719298,0.362962962962963,0.24326672458731538,0.2981574539363484,0.4423963133640553,0.4024390243902439,0.2576112412177986
