cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.05714285714285714,0.0475,0.03389830508474576,0.06885245901639345,0.03763440860215054,0.050955414012738856,0.027842227378190254,0.036585365853658534,0.008849557522123894,0.023255813953488372,0.03731343283582089,0.046153846153846156,0.04491017964071856,0.0,0.08333333333333333,0.054945054945054944,0.06532663316582915,0.0,0.042131350681536554,0.0,0.047619047619047616,0.06382978723404255,0.05765765765765766,0.022556390977443608,0.051470588235294115,0.04783599088838269,0.018648018648018648,0.03125,0.040268456375838924,0.14516129032258066,0.027777777777777776,0.04772475027746948,0.05185185185185185,0.05333333333333334,0.0,
-12,0.03273809523809524,0.05858585858585859,0.07575757575757576,0.0625,0.0211864406779661,0.04342581423401689,0.0375,0.02608695652173913,0.053691275167785234,0.03980891719745223,0.04938271604938271,0.05434782608695652,0.05895691609977324,0.0,0.0,0.050505050505050504,0.024691358024691357,,0.040106951871657755,0.0,0.024193548387096774,0.0,0.05799256505576208,0.03317535545023697,0.05181347150259067,0.0335195530726257,0.013445378151260505,0.03333333333333333,0.03879310344827586,0.13829787234042554,0.02005730659025788,0.03557312252964427,0.038461538461538464,0.03787878787878788,0.06666666666666667,
-11,0.04437869822485207,0.020703933747412008,0.03571428571428571,0.06967213114754098,0.02654867256637168,0.05024509803921569,0.033101045296167246,0.012738853503184714,0.017543859649122806,0.038535645472061654,0.041379310344827586,0.047058823529411764,0.04960835509138381,0.0,0.0,0.05102040816326531,0.02857142857142857,0.0,0.03554724041159962,0.0,0.02,0.06756756756756757,0.05730337078651685,0.031088082901554404,0.0392156862745098,0.05,0.015717092337917484,0.07317073170731707,0.06565656565656566,0.13274336283185842,0.021671826625386997,0.04473902236951118,0.01858736059479554,0.0,0.07954545454545454,
-10,0.05198776758409786,0.04068522483940043,0.08108108108108109,0.0603448275862069,0.03571428571428571,0.05070754716981132,0.016363636363636365,0.04716981132075472,0.03787878787878788,0.05353728489483748,0.046153846153846156,0.03333333333333333,0.03225806451612903,0.0,0.0,0.0392156862745098,0.040983606557377046,0.0,0.0225140712945591,0.0,0.031007751937984496,0.030303030303030304,0.045112781954887216,0.010810810810810811,0.0374331550802139,0.053784860557768925,0.014652014652014652,0.0,0.008928571428571428,0.12087912087912088,0.027777777777777776,0.0347682119205298,0.04979253112033195,0.0,0.03571428571428571,
-9,0.04603580562659847,0.03482587064676617,0.10294117647058823,0.058365758754863814,0.041474654377880185,0.04508670520231214,0.03198653198653199,0.03787878787878788,0.04878048780487805,0.0395010395010395,0.028169014084507043,0.07142857142857142,0.02743142144638404,0.0,0.08108108108108109,0.010869565217391304,0.035211267605633804,0.0,0.030357142857142857,0.0,0.03289473684210526,0.06060606060606061,0.0592841163310962,0.03977272727272727,0.05,0.04142011834319527,0.011848341232227487,0.07142857142857142,0.03862660944206009,0.13131313131313133,0.030959752321981424,0.04197530864197531,0.02843601895734597,0.020833333333333332,0.0,
-8,0.06666666666666667,0.029484029484029485,0.046511627906976744,0.05825242718446602,0.01507537688442211,0.04625850340136054,0.017513134851138354,0.05952380952380952,0.012903225806451613,0.056795131845841784,0.051094890510948905,0.013157894736842105,0.029069767441860465,0.0,0.06896551724137931,0.05194805194805195,0.024096385542168676,,0.02854230377166157,0.25,0.048,0.02857142857142857,0.05703883495145631,0.0375,0.05454545454545454,0.035955056179775284,0.006006006006006006,0.045454545454545456,0.02127659574468085,0.15306122448979592,0.030716723549488054,0.03937007874015748,0.017241379310344827,0.009259259259259259,0.10144927536231885,
-7,0.049019607843137254,0.0375,0.09090909090909091,0.0691699604743083,0.0106951871657754,0.043202033036848796,0.019151846785225718,0.028846153846153848,0.03278688524590164,0.04550379198266522,0.02,0.04313960455362492,0.04247787610619469,0.0,0.03225806451612903,0.02247191011235955,0.038303693570451436,0.0,0.036738351254480286,0.0,0.014354066985645933,0.012048192771084338,0.05655172413793103,0.031446540880503145,0.05198776758409786,0.03838771593090211,0.013651877133105802,0.02127659574468085,0.04395604395604396,0.17647058823529413,0.03233830845771144,0.03160667251975417,0.03412073490813648,0.0,0.045454545454545456,0.0201765447667087
-6,0.06060606060606061,0.03470715835140998,0.06172839506172839,0.06902356902356903,0.008438818565400843,0.03486529318541997,0.028477546549835708,0.028037383177570093,0.03180212014134275,0.04171364148816235,0.04198473282442748,0.03707995365005794,0.0367170626349892,0.0,0.06666666666666667,0.03036876355748373,0.04032258064516129,0.0,0.022332506203473945,0.0,0.01824817518248175,0.020833333333333332,0.05387205387205387,0.028925619834710745,0.04621309370988447,0.03527336860670194,0.014240506329113924,0.0,0.0502092050209205,0.1743119266055046,0.029545454545454545,0.034926470588235295,0.035269709543568464,0.019736842105263157,0.030303030303030304,0.016055045871559634
-5,0.05289672544080604,0.02127659574468085,0.09574468085106383,0.09898477157360407,0.028112449799196786,0.03726082578046324,0.03096330275229358,0.017241379310344827,0.045454545454545456,0.038686987104337635,0.058823529411764705,0.02888086642599278,0.032520325203252036,0.0,0.08108108108108109,0.03357314148681055,0.04208754208754209,0.0,0.023417172593235037,0.0,0.008032128514056224,0.021052631578947368,0.04930332261521972,0.020833333333333332,0.0425531914893617,0.027257240204429302,0.007704160246533128,0.022727272727272728,0.029914529914529916,0.1509433962264151,0.03398058252427184,0.03860294117647059,0.05161290322580645,0.0,0.03571428571428571,0.01832460732984293
-4,0.05277777777777778,0.02830188679245283,0.09859154929577464,0.07871720116618076,0.014218009478672985,0.04878048780487805,0.024111675126903553,0.03205128205128205,0.030434782608695653,0.03944315545243619,0.03636363636363636,0.035754189944134075,0.030373831775700934,0.0,0.0,0.040152963671128104,0.038112522686025406,0.0,0.029774127310061602,0.3333333333333333,0.040983606557377046,0.04081632653061224,0.07497116493656286,0.031746031746031744,0.028409090909090908,0.03041144901610018,0.012080536912751677,0.0,0.031746031746031744,0.08771929824561403,0.0345679012345679,0.038227628149435276,0.04187604690117253,0.03225806451612903,0.04878048780487805,0.02107728337236534
