cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.1346938775510204,0.0675,0.288135593220339,0.2360655737704918,0.1774193548387097,0.17834394904458598,0.09744779582366589,0.18292682926829268,0.23893805309734514,0.23044397463002114,0.17164179104477612,0.06923076923076923,0.17365269461077845,0.2857142857142857,0.3333333333333333,0.21978021978021978,0.15577889447236182,0.0,0.1734820322180917,0.0,0.2857142857142857,0.14893617021276595,0.390990990990991,0.24060150375939848,0.25,0.18906605922551253,0.34032634032634035,0.09375,0.11409395973154363,0.3709677419354839,0.20634920634920634,0.16426193118756938,0.10740740740740741,0.28,0.10204081632653061,
-12,0.12797619047619047,0.07878787878787878,0.18181818181818182,0.24074074074074073,0.15677966101694915,0.1712907117008444,0.10535714285714286,0.19130434782608696,0.28187919463087246,0.1910828025477707,0.16049382716049382,0.09782608695652174,0.19501133786848074,0.0,0.25,0.3333333333333333,0.18518518518518517,,0.20499108734402852,0.0,0.3225806451612903,0.1917808219178082,0.2892193308550186,0.3127962085308057,0.23316062176165803,0.21415270018621974,0.2957983193277311,0.13333333333333333,0.1206896551724138,0.2978723404255319,0.20630372492836677,0.1549407114624506,0.19230769230769232,0.22727272727272727,0.14666666666666667,
-11,0.11834319526627218,0.060041407867494824,0.2261904761904762,0.28688524590163933,0.1415929203539823,0.19730392156862744,0.07491289198606271,0.2356687898089172,0.24561403508771928,0.26396917148362237,0.16551724137931034,0.058823529411764705,0.19843342036553524,0.2,0.32,0.24489795918367346,0.22857142857142856,0.0,0.20860617399438727,0.0,0.26666666666666666,0.12162162162162163,0.3561797752808989,0.2538860103626943,0.26143790849673204,0.2074074074074074,0.2829076620825147,0.12195121951219512,0.12626262626262627,0.26548672566371684,0.17337461300309598,0.18144159072079535,0.1895910780669145,0.2719298245614035,0.07954545454545454,
-10,0.19571865443425077,0.059957173447537475,0.17567567567567569,0.30387931034482757,0.16071428571428573,0.18985849056603774,0.09090909090909091,0.1320754716981132,0.22727272727272727,0.25621414913957935,0.2076923076923077,0.1,0.18362282878411912,0.0,0.2903225806451613,0.27450980392156865,0.21311475409836064,0.0,0.19793621013133209,0.0,0.2868217054263566,0.15151515151515152,0.3200859291084855,0.25405405405405407,0.20855614973262032,0.2151394422310757,0.2857142857142857,0.125,0.14285714285714285,0.32967032967032966,0.16319444444444445,0.16142384105960264,0.15352697095435686,0.32231404958677684,0.16666666666666666,
-9,0.1329923273657289,0.09950248756218906,0.17647058823529413,0.2840466926070039,0.14285714285714285,0.21502890173410405,0.10606060606060606,0.11363636363636363,0.3089430894308943,0.30145530145530147,0.1267605633802817,0.14285714285714285,0.15211970074812967,0.16666666666666666,0.1891891891891892,0.2717391304347826,0.13380281690140844,0.0,0.1669642857142857,0.3333333333333333,0.2894736842105263,0.18181818181818182,0.32662192393736017,0.23295454545454544,0.21875,0.21893491124260356,0.32701421800947866,0.10714285714285714,0.12875536480686695,0.26262626262626265,0.17647058823529413,0.17448559670781894,0.12322274881516587,0.3020833333333333,0.13414634146341464,
-8,0.11666666666666667,0.07616707616707617,0.12790697674418605,0.2766990291262136,0.17587939698492464,0.2217687074829932,0.0893169877408056,0.21428571428571427,0.24516129032258063,0.2920892494929006,0.145985401459854,0.11842105263157894,0.19186046511627908,0.0,0.13793103448275862,0.2727272727272727,0.13253012048192772,,0.21508664627930682,0.0,0.264,0.18571428571428572,0.30097087378640774,0.25625,0.28484848484848485,0.29213483146067415,0.3303303303303303,0.06818181818181818,0.14893617021276595,0.30612244897959184,0.16723549488054607,0.15354330708661418,0.1724137931034483,0.25925925925925924,0.13043478260869565,
-7,0.17973856209150327,0.1075,0.1590909090909091,0.27865612648221344,0.1497326203208556,0.18678526048284624,0.1121751025991792,0.25961538461538464,0.3770491803278688,0.18418201516793067,0.15333333333333332,0.09167165967645297,0.2088495575221239,0.0,0.25806451612903225,0.24906367041198502,0.17920656634746923,0.0,0.20967741935483872,0.0,0.11483253588516747,0.21686746987951808,0.32275862068965516,0.23270440251572327,0.22477064220183487,0.2476007677543186,0.2935153583617747,0.10638297872340426,0.09340659340659341,0.25882352941176473,0.208955223880597,0.15803336259877085,0.12467191601049869,0.35365853658536583,0.09090909090909091,0.0807061790668348
-6,0.18732782369146006,0.08459869848156182,0.20987654320987653,0.24915824915824916,0.18565400843881857,0.187797147385103,0.09090909090909091,0.12149532710280374,0.19081272084805653,0.2254791431792559,0.1183206106870229,0.13557358053302435,0.20518358531317496,0.07142857142857142,0.13333333333333333,0.2668112798264642,0.16612903225806452,0.0,0.22663358147229115,0.0,0.145985401459854,0.15625,0.3075196408529742,0.28512396694214875,0.2374839537869063,0.21869488536155202,0.3639240506329114,0.18421052631578946,0.1297071129707113,0.3211009174311927,0.2159090909090909,0.14430147058823528,0.18464730290456433,0.32894736842105265,0.09090909090909091,0.1444954128440367
-5,0.13602015113350127,0.09361702127659574,0.1595744680851064,0.2512690355329949,0.13654618473895583,0.2215508559919436,0.10435779816513761,0.13793103448275862,0.2305194805194805,0.2321219226260258,0.11764705882352941,0.13959085439229843,0.16869918699186992,0.35294117647058826,0.35135135135135137,0.302158273381295,0.15993265993265993,0.0,0.22810060711188204,0.0,0.17269076305220885,0.2,0.34512325830653806,0.23958333333333334,0.24397163120567375,0.2402044293015332,0.3682588597842835,0.09090909090909091,0.14102564102564102,0.29245283018867924,0.18689320388349515,0.14705882352941177,0.15913978494623657,0.2868217054263566,0.11904761904761904,0.13089005235602094
-4,0.13333333333333333,0.07735849056603773,0.22535211267605634,0.1836734693877551,0.15639810426540285,0.21544715447154472,0.07487309644670051,0.1346153846153846,0.26521739130434785,0.2308584686774942,0.14545454545454545,0.14078212290502792,0.21495327102803738,0.14285714285714285,0.1875,0.26195028680688337,0.1724137931034483,0.0,0.2679671457905544,0.0,0.14344262295081966,0.23469387755102042,0.279123414071511,0.26455026455026454,0.23579545454545456,0.1556350626118068,0.3731543624161074,0.14893617021276595,0.15476190476190477,0.20175438596491227,0.18271604938271604,0.14856646394439618,0.1708542713567839,0.2903225806451613,0.1951219512195122,0.12646370023419204
