cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.17959183673469387,0.1375,0.15254237288135594,0.12459016393442623,0.1989247311827957,0.12898089171974522,0.1531322505800464,0.14634146341463414,0.035398230088495575,0.06765327695560254,0.208955223880597,0.17692307692307693,0.11676646706586827,0.0,0.16666666666666666,0.08791208791208792,0.08040201005025126,0.0,0.12143742255266418,0.0,0.05952380952380952,0.2765957446808511,0.12972972972972974,0.03759398496240601,0.08823529411764706,0.06378132118451026,0.13752913752913754,0.28125,0.1342281879194631,0.1774193548387097,0.15873015873015872,0.042175360710321866,0.12222222222222222,0.10666666666666667,0.10204081632653061,
-12,0.19047619047619047,0.12323232323232323,0.15151515151515152,0.08564814814814815,0.2033898305084746,0.1471652593486128,0.15,0.08695652173913043,0.03355704697986577,0.06050955414012739,0.20987654320987653,0.22826086956521738,0.09750566893424037,0.3333333333333333,0.0,0.04040404040404041,0.07818930041152264,,0.11497326203208556,0.3333333333333333,0.056451612903225805,0.3424657534246575,0.1657992565055762,0.04265402843601896,0.08808290155440414,0.054003724394785846,0.10420168067226891,0.23333333333333334,0.10344827586206896,0.13829787234042554,0.1518624641833811,0.0458498023715415,0.10256410256410256,0.12121212121212122,0.18666666666666668,
-11,0.1893491124260355,0.13664596273291926,0.13095238095238096,0.06557377049180328,0.1902654867256637,0.13112745098039216,0.15331010452961671,0.11464968152866242,0.03508771929824561,0.057803468208092484,0.20689655172413793,0.1411764705882353,0.09921671018276762,0.2,0.08,0.1326530612244898,0.07142857142857142,0.0,0.11693171188026193,0.0,0.02,0.3108108108108108,0.12359550561797752,0.05181347150259067,0.0915032679738562,0.04814814814814815,0.11787819253438114,0.1951219512195122,0.07575757575757576,0.12389380530973451,0.1238390092879257,0.03976801988400994,0.10780669144981413,0.11403508771929824,0.18181818181818182,
-10,0.14067278287461774,0.11777301927194861,0.1891891891891892,0.08189655172413793,0.18303571428571427,0.1320754716981132,0.13454545454545455,0.16037735849056603,0.07575757575757576,0.06883365200764818,0.2692307692307692,0.06666666666666667,0.08933002481389578,0.0,0.03225806451612903,0.09803921568627451,0.0942622950819672,0.0,0.12570356472795496,0.3333333333333333,0.05426356589147287,0.2727272727272727,0.12459720730397422,0.05945945945945946,0.08021390374331551,0.07370517928286853,0.0989010989010989,0.1875,0.11160714285714286,0.16483516483516483,0.1597222222222222,0.057119205298013245,0.13692946058091288,0.05785123966942149,0.13095238095238096,
-9,0.1918158567774936,0.12935323383084577,0.1323529411764706,0.08365758754863813,0.2304147465437788,0.1283236994219653,0.16835016835016836,0.19696969696969696,0.04065040650406504,0.06444906444906445,0.24647887323943662,0.24285714285714285,0.09476309226932668,0.16666666666666666,0.08108108108108109,0.10869565217391304,0.06690140845070422,0.0,0.11785714285714285,0.0,0.07236842105263158,0.24242424242424243,0.1331096196868009,0.08522727272727272,0.08125,0.05128205128205128,0.13507109004739337,0.35714285714285715,0.15021459227467812,0.16161616161616163,0.1393188854489164,0.040329218106995884,0.10426540284360189,0.03125,0.2073170731707317,
-8,0.21666666666666667,0.09090909090909091,0.22093023255813954,0.055825242718446605,0.22110552763819097,0.12108843537414966,0.15586690017513136,0.10714285714285714,0.06451612903225806,0.05476673427991886,0.17518248175182483,0.13157894736842105,0.08139534883720931,0.1,0.06896551724137931,0.1038961038961039,0.08835341365461848,,0.127420998980632,0.0,0.016,0.3142857142857143,0.14563106796116504,0.03125,0.05454545454545454,0.04269662921348315,0.14714714714714713,0.18181818181818182,0.11170212765957446,0.14285714285714285,0.15699658703071673,0.05708661417322835,0.10919540229885058,0.06481481481481481,0.14492753623188406,
-7,0.16993464052287582,0.1325,0.19318181818181818,0.08498023715415019,0.17647058823529413,0.1397712833545108,0.16279069767441862,0.10576923076923077,0.04918032786885246,0.09750812567713976,0.26666666666666666,0.16297183942480528,0.09734513274336283,0.23529411764705882,0.1935483870967742,0.0599250936329588,0.06703146374829001,0.0,0.10125448028673835,0.0,0.014354066985645933,0.30120481927710846,0.14620689655172414,0.0440251572327044,0.11773700305810397,0.04798464491362764,0.1296928327645051,0.19148936170212766,0.09340659340659341,0.1411764705882353,0.19651741293532338,0.053555750658472345,0.12335958005249344,0.12195121951219512,0.25757575757575757,0.07061790668348046
-6,0.14325068870523416,0.11062906724511931,0.25925925925925924,0.07744107744107744,0.2109704641350211,0.12440570522979398,0.1511500547645126,0.12149532710280374,0.04946996466431095,0.10484780157835401,0.24045801526717558,0.1772885283893395,0.09719222462203024,0.14285714285714285,0.06666666666666667,0.052060737527114966,0.07580645161290323,0.3333333333333333,0.11497105045492143,0.25,0.043795620437956206,0.3333333333333333,0.14590347923681257,0.04132231404958678,0.10397946084724005,0.04585537918871252,0.16455696202531644,0.23684210526315788,0.12133891213389121,0.12844036697247707,0.13636363636363635,0.04411764705882353,0.14937759336099585,0.09210526315789473,0.13636363636363635,0.10550458715596331
-5,0.18639798488664988,0.1,0.13829787234042554,0.06852791878172589,0.21686746987951808,0.11681772406847936,0.13990825688073394,0.16379310344827586,0.07792207792207792,0.11254396248534584,0.18907563025210083,0.16365824308062576,0.1016260162601626,0.17647058823529413,0.08108108108108109,0.09352517985611511,0.07744107744107744,0.3333333333333333,0.10320901994796183,0.0,0.020080321285140562,0.2736842105263158,0.12968917470525188,0.06770833333333333,0.12198581560283688,0.054514480408858604,0.14946070878274267,0.09090909090909091,0.0641025641025641,0.19811320754716982,0.1553398058252427,0.05606617647058824,0.12903225806451613,0.06976744186046512,0.15476190476190477,0.08638743455497382
-4,0.10277777777777777,0.09245283018867924,0.11267605633802817,0.0728862973760933,0.18009478672985782,0.12804878048780488,0.15101522842639595,0.19230769230769232,0.07391304347826087,0.10672853828306264,0.15,0.15754189944134078,0.102803738317757,0.21428571428571427,0.0625,0.06118546845124283,0.08348457350272233,0.0,0.1293634496919918,0.0,0.01639344262295082,0.25510204081632654,0.11880046136101499,0.031746031746031744,0.09232954545454546,0.05366726296958855,0.12080536912751678,0.14893617021276595,0.08333333333333333,0.20175438596491227,0.12345679012345678,0.052128583840139006,0.11222780569514237,0.1152073732718894,0.08536585365853659,0.11475409836065574
-3,0.16184971098265896,0.10927835051546392,0.1590909090909091,0.09742120343839542,0.2186046511627907,0.0661625708884688,0.16897506925207756,0.1721311475409836,0.0995260663507109,0.10494571773220748,0.13157894736842105,0.1432129514321295,0.07655502392344497,0.16666666666666666,0.05263157894736842,0.046357615894039736,0.08163265306122448,,0.11425339366515837,0.3333333333333333,0.008368200836820083,0.23958333333333334,0.1191827468785471,0.041666666666666664,0.1145374449339207,0.050682261208576995,0.15828402366863906,0.08823529411764706,0.12931034482758622,0.1650485436893204,0.1075,0.05519176800748363,0.14285714285714285,0.11377245508982035,0.2608695652173913,0.09237875288683603
-2,0.12883435582822086,0.08837209302325581,0.17045454545454544,0.06725146198830409,0.21182266009852216,0.11981020166073547,0.14056224899598393,0.10784313725490197,0.07339449541284404,0.08045977011494253,0.1527777777777778,0.17464424320827943,0.09326424870466321,0.18181818181818182,0.07692307692307693,0.041379310344827586,0.07835051546391752,0.0,0.1216867469879518,0.0,0.016736401673640166,0.25,0.13079667063020214,0.07142857142857142,0.09402985074626866,0.04338842975206612,0.13012729844413012,0.18604651162790697,0.08530805687203792,0.16822429906542055,0.14929577464788732,0.048417132216014895,0.13142857142857142,0.07471264367816093,0.16666666666666666,0.11253196930946291
-1,0.1404494382022472,0.08185840707964602,0.18181818181818182,0.0597667638483965,0.18877551020408162,0.10451045104510451,0.12789115646258503,0.16363636363636364,0.11067193675889328,0.1080368906455863,0.08064516129032258,0.17891816920943135,0.09443099273607748,0.16666666666666666,0.0,0.05694760820045558,0.07922912205567452,0.0,0.1360381861575179,0.4,0.045,0.3424657534246575,0.12133333333333333,0.048484848484848485,0.09485530546623794,0.027139874739039668,0.12680115273775217,0.20588235294117646,0.08013937282229965,0.12871287128712872,0.12631578947368421,0.045584045584045586,0.11857707509881422,0.12735849056603774,0.14285714285714285,0.07828282828282829
0,0.125,0.09280742459396751,0.15476190476190477,0.0670611439842209,0.19672131147540983,0.10714285714285714,0.16775884665792923,0.11475409836065574,0.06837606837606838,0.08672086720867209,0.12,0.190224570673712,0.1016548463356974,0.07142857142857142,0.21052631578947367,0.06265060240963856,0.06477732793522267,1.0,0.10610079575596817,0.3333333333333333,0.029661016949152543,0.26732673267326734,0.10915492957746478,0.05714285714285714,0.10494752623688156,0.05921052631578947,0.12995245641838352,0.14285714285714285,0.09821428571428571,0.18867924528301888,0.10526315789473684,0.05058717253839205,0.11262135922330097,0.13068181818181818,0.109375,0.08355795148247978
1,0.15501519756838905,0.10300429184549356,0.20253164556962025,0.0708955223880597,0.21296296296296297,0.10596707818930041,0.15335868187579213,0.13138686131386862,0.07420494699646643,0.09529860228716645,0.09292035398230089,0.13833528722157093,0.07869481765834933,0.125,0.08571428571428572,0.0577319587628866,0.0737410071942446,0.6,0.1085899513776337,0.0,0.028688524590163935,0.2222222222222222,0.11750599520383694,0.04484304932735426,0.10846953937592868,0.05317324185248713,0.12777053455019557,0.2222222222222222,0.06224066390041494,0.18269230769230768,0.10904255319148937,0.04365733113673806,0.11904761904761904,0.1524390243902439,0.11538461538461539,0.11811023622047244
2,0.17495395948434622,0.05688073394495413,0.08791208791208792,0.06630824372759857,0.21455938697318008,0.09533267130089375,0.14981729598051158,0.06382978723404255,0.08992805755395683,0.10227272727272728,0.15384615384615385,0.1544811320754717,0.058,0.0,0.047619047619047616,0.06329113924050633,0.07106598984771574,0.0,0.12131423757371525,0.0,0.028925619834710745,0.24766355140186916,0.12083847102342787,0.05714285714285714,0.11544461778471139,0.031192660550458717,0.11930926216640503,0.13725490196078433,0.06722689075630252,0.192,0.12128712871287128,0.04448246364414029,0.11092985318107668,0.14906832298136646,0.1875,0.09210526315789473
3,0.15649867374005305,0.0853932584269663,0.1527777777777778,0.0800711743772242,0.19907407407407407,0.10784313725490197,0.14209827357237717,0.09090909090909091,0.10676156583629894,0.08959156785243742,0.12857142857142856,0.17176470588235293,0.07991360691144708,0.0,0.1111111111111111,0.05656565656565657,0.07168458781362007,0.3333333333333333,0.12388724035608309,0.4,0.02066115702479339,0.31666666666666665,0.10952902519167579,0.04854368932038835,0.11323328785811733,0.037243947858473,0.1349934469200524,0.24489795918367346,0.08835341365461848,0.06422018348623854,0.10148514851485149,0.052444444444444446,0.12871287128712872,0.1201923076923077,0.0875,0.0947075208913649
