cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.00816326530612245,0.025,0.1016949152542373,0.05245901639344262,0.04838709677419355,0.05573248407643312,0.016241299303944315,0.024390243902439025,0.05309734513274336,0.05919661733615222,0.03731343283582089,0.015384615384615385,0.03293413173652695,0.0,0.0,0.03296703296703297,0.01507537688442211,0.0,0.04337050805452292,0.0,0.023809523809523808,0.06382978723404255,0.05765765765765766,0.045112781954887216,0.007352941176470588,0.03189066059225513,0.06993006993006994,0.03125,0.03355704697986577,0.016129032258064516,0.01984126984126984,0.041065482796892344,0.02962962962962963,0.02666666666666667,0.061224489795918366,
-12,0.03273809523809524,0.020202020202020204,0.045454545454545456,0.046296296296296294,0.05084745762711865,0.04221954161640531,0.039285714285714285,0.02608695652173913,0.087248322147651,0.042993630573248405,0.08024691358024691,0.021739130434782608,0.045351473922902494,0.0,0.0625,0.050505050505050504,0.02880658436213992,,0.04188948306595366,0.0,0.03225806451612903,0.0958904109589041,0.05055762081784387,0.05687203791469194,0.025906735751295335,0.03910614525139665,0.06890756302521009,0.0,0.02586206896551724,0.06382978723404255,0.03724928366762178,0.03636363636363636,0.02564102564102564,0.015151515151515152,0.013333333333333334,
-11,0.014792899408284023,0.031055900621118012,0.05952380952380952,0.0430327868852459,0.05752212389380531,0.0392156862745098,0.033101045296167246,0.006369426751592357,0.05263157894736842,0.07129094412331406,0.06206896551724138,0.0,0.04960835509138381,0.0,0.04,0.02040816326530612,0.004761904761904762,0.0,0.03835360149672591,0.0,0.06,0.06756756756756757,0.056179775280898875,0.05699481865284974,0.0392156862745098,0.02962962962962963,0.068762278978389,0.024390243902439025,0.030303030303030304,0.07964601769911504,0.021671826625386997,0.03148301574150787,0.026022304832713755,0.07017543859649122,0.045454545454545456,
-10,0.027522935779816515,0.019271948608137045,0.02702702702702703,0.034482758620689655,0.04017857142857143,0.04245283018867924,0.045454545454545456,0.03773584905660377,0.045454545454545456,0.0745697896749522,0.046153846153846156,0.044444444444444446,0.04466501240694789,0.25,0.03225806451612903,0.0392156862745098,0.02459016393442623,0.0,0.03283302063789869,0.0,0.03875968992248062,0.07575757575757576,0.0644468313641246,0.05405405405405406,0.03208556149732621,0.027888446215139442,0.08424908424908426,0.03125,0.03125,0.04395604395604396,0.04861111111111111,0.03642384105960265,0.024896265560165973,0.0743801652892562,0.023809523809523808,
-9,0.010230179028132993,0.014925373134328358,0.058823529411764705,0.058365758754863814,0.06451612903225806,0.028901734104046242,0.02356902356902357,0.015151515151515152,0.04878048780487805,0.06860706860706861,0.056338028169014086,0.014285714285714285,0.04239401496259352,0.0,0.05405405405405406,0.05434782608695652,0.035211267605633804,0.0,0.03482142857142857,0.0,0.02631578947368421,0.07575757575757576,0.053691275167785234,0.05113636363636364,0.0375,0.03155818540433925,0.0971563981042654,0.03571428571428571,0.012875536480686695,0.15151515151515152,0.04024767801857585,0.03374485596707819,0.04265402843601896,0.07291666666666667,0.0,
-8,0.013333333333333334,0.03194103194103194,0.06976744186046512,0.06310679611650485,0.05527638190954774,0.031292517006802724,0.024518388791593695,0.023809523809523808,0.07096774193548387,0.06288032454361055,0.072992700729927,0.039473684210526314,0.05232558139534884,0.0,0.06896551724137931,0.03896103896103896,0.024096385542168676,,0.034658511722731905,0.0,0.04,0.05714285714285714,0.04004854368932039,0.0625,0.048484848484848485,0.035955056179775284,0.08708708708708708,0.045454545454545456,0.026595744680851064,0.10204081632653061,0.027303754266211604,0.028543307086614175,0.040229885057471264,0.06481481481481481,0.07246376811594203,
-7,0.016339869281045753,0.0275,0.045454545454545456,0.037549407114624504,0.0481283422459893,0.03303684879288437,0.015047879616963064,0.019230769230769232,0.04918032786885246,0.05200433369447454,0.04,0.012582384661473937,0.024778761061946902,0.058823529411764705,0.03225806451612903,0.026217228464419477,0.027359781121751026,0.0,0.0456989247311828,0.0,0.019138755980861243,0.060240963855421686,0.05103448275862069,0.0440251572327044,0.03058103975535168,0.0345489443378119,0.10921501706484642,0.0,0.038461538461538464,0.07058823529411765,0.017412935323383085,0.02370500438981563,0.027559055118110236,0.04878048780487805,0.07575757575757576,0.011349306431273645
-6,0.013774104683195593,0.03253796095444685,0.04938271604938271,0.058922558922558925,0.046413502109704644,0.04992076069730586,0.019715224534501644,0.028037383177570093,0.06713780918727916,0.0552423900789177,0.04961832061068702,0.009269988412514484,0.038876889848812095,0.0,0.022222222222222223,0.026030368763557483,0.025806451612903226,0.0,0.04797353184449959,0.0,0.029197080291970802,0.09375,0.04938271604938271,0.05785123966942149,0.029525032092426188,0.042328042328042326,0.04746835443037975,0.0,0.012552301255230125,0.10091743119266056,0.03409090909090909,0.024816176470588234,0.03941908713692946,0.03289473684210526,0.045454545454545456,0.011467889908256881
-5,0.017632241813602016,0.031914893617021274,0.0425531914893617,0.03299492385786802,0.028112449799196786,0.04632426988922457,0.03211009174311927,0.02586206896551724,0.06818181818181818,0.04689331770222743,0.046218487394957986,0.026474127557160047,0.044715447154471545,0.058823529411764705,0.02702702702702703,0.026378896882494004,0.006734006734006734,0.0,0.05203816131830009,0.0,0.05220883534136546,0.10526315789473684,0.04715969989281887,0.046875,0.03829787234042553,0.027257240204429302,0.053929121725731895,0.09090909090909091,0.01282051282051282,0.04716981132075472,0.043689320388349516,0.019301470588235295,0.04516129032258064,0.05426356589147287,0.023809523809523808,0.02356020942408377
-4,0.016666666666666666,0.020754716981132074,0.04225352112676056,0.04956268221574344,0.05687203791469194,0.04369918699186992,0.012690355329949238,0.01282051282051282,0.06956521739130435,0.052204176334106726,0.045454545454545456,0.013407821229050279,0.02336448598130841,0.0,0.0625,0.019120458891013385,0.019963702359346643,0.0,0.050308008213552365,0.0,0.05737704918032787,0.061224489795918366,0.04728950403690888,0.06349206349206349,0.03835227272727273,0.03935599284436494,0.06577181208053691,0.0,0.011904761904761904,0.07894736842105263,0.04197530864197531,0.03301476976542137,0.01675041876046901,0.07373271889400922,0.036585365853658534,0.02107728337236534
