cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.18111254851228978,0.12269938650306748,0.359375,0.2601880877742947,0.33249370277078083,0.15553339980059822,0.13835125448028673,0.18181818181818182,0.18269230769230768,0.150390625,0.24202127659574468,0.08143939393939394,0.11702127659574468,0.2608695652173913,0.2222222222222222,0.18584070796460178,0.09950248756218906,0.0,0.23501199040767387,0.0,0.21052631578947367,0.2808219178082192,0.23647294589178355,0.14893617021276595,0.18232044198895028,0.14285714285714285,0.3157099697885196,0.08074534161490683,0.19424460431654678,0.36633663366336633,0.15129151291512916,0.13975903614457832,0.13787878787878788,0.20207253886010362,0.25268817204301075,
-12,0.19945848375451264,0.1406539173349784,0.28125,0.2569593147751606,0.3232169954476479,0.14989590562109645,0.15595826468973092,0.17708333333333334,0.19047619047619047,0.16305916305916307,0.2633390705679862,0.145985401459854,0.12660550458715597,0.3448275862068966,0.17647058823529413,0.22142857142857142,0.18134715025906736,0.12,0.2620766240977235,0.2222222222222222,0.12048192771084337,0.35944700460829493,0.23640856672158156,0.171875,0.21033210332103322,0.13901345291479822,0.29571577847439917,0.16111111111111112,0.18324607329842932,0.4097222222222222,0.19021739130434784,0.15669755686604886,0.17787742899850523,0.16326530612244897,0.3015267175572519,
-11,0.1941908713692946,0.13383985973115137,0.26595744680851063,0.3059071729957806,0.28304821150855364,0.1552478134110787,0.13925380977404098,0.2054794520547945,0.19791666666666666,0.17905918057663125,0.24612736660929432,0.19714964370546317,0.11960132890365449,0.2,0.2222222222222222,0.25,0.15680473372781065,0.0,0.2683315621679065,0.1,0.17204301075268819,0.3374485596707819,0.2653061224489796,0.1597222222222222,0.21323529411764705,0.16942148760330578,0.29042224510813597,0.135678391959799,0.2004950495049505,0.5471698113207547,0.18857142857142858,0.16359060402684564,0.12850812407680945,0.24644549763033174,0.2972027972027972,
-10,0.20317725752508362,0.12871853546910755,0.25892857142857145,0.25697211155378485,0.2831541218637993,0.1401320616287601,0.14671814671814673,0.2463768115942029,0.1171875,0.2260596546310832,0.2700348432055749,0.16944444444444445,0.14615384615384616,0.18181818181818182,0.23076923076923078,0.21764705882352942,0.14912280701754385,0.038461538461538464,0.25068568294020843,0.15,0.13402061855670103,0.32019704433497537,0.281068524970964,0.17829457364341086,0.1918819188191882,0.16367265469061876,0.30022075055187636,0.1319796954314721,0.1856763925729443,0.42857142857142855,0.21524663677130046,0.15437987857762359,0.18223583460949463,0.3081395348837209,0.25757575757575757,
-9,0.2047177759056445,0.1529790660225443,0.2222222222222222,0.27631578947368424,0.31046312178387653,0.1663258350374915,0.153315649867374,0.20754716981132076,0.14728682170542637,0.19063545150501673,0.23953098827470687,0.15384615384615385,0.12412587412587413,0.20689655172413793,0.08108108108108109,0.17880794701986755,0.14249363867684478,0.0,0.24352331606217617,0.125,0.17857142857142858,0.34,0.24694104560622915,0.1870967741935484,0.24820143884892087,0.1414141414141414,0.35917901938426455,0.17647058823529413,0.17866004962779156,0.42702702702702705,0.22916666666666666,0.19106699751861042,0.16279069767441862,0.24186046511627907,0.28620689655172415,
-8,0.1826086956521739,0.14150304671631686,0.2717391304347826,0.21428571428571427,0.308300395256917,0.14274128142741282,0.14031971580817051,0.2857142857142857,0.16393442622950818,0.1996527777777778,0.25276752767527677,0.19444444444444445,0.15280898876404495,0.36363636363636365,0.08333333333333333,0.20270270270270271,0.17274939172749393,0.07692307692307693,0.2376237623762376,0.3333333333333333,0.21296296296296297,0.305,0.2787550744248985,0.1702127659574468,0.17670682730923695,0.15349887133182843,0.3518005540166205,0.140625,0.20761245674740483,0.3533834586466165,0.1672185430463576,0.16385767790262173,0.21875,0.23417721518987342,0.2727272727272727,
-7,0.18311403508771928,0.13204853675945752,0.22115384615384615,0.2420091324200913,0.2561576354679803,0.14826752618855762,0.14107485604606526,0.14084507042253522,0.16822429906542055,0.15095398428731763,0.2072936660268714,0.14177836511232772,0.0677361853832442,0.058823529411764705,0.0963855421686747,0.16551724137931034,0.10047281323877069,0.06666666666666667,0.24286759326993415,0.125,0.09230769230769231,0.2661290322580645,0.2551546391752577,0.1048951048951049,0.15342465753424658,0.15048543689320387,0.3617339312406577,0.10526315789473684,0.1331521739130435,0.38571428571428573,0.17341040462427745,0.14545454545454545,0.1484806629834254,0.26582278481012656,0.35,0.08375209380234507
-6,0.18744906275468623,0.13626834381551362,0.23148148148148148,0.2625418060200669,0.2959349593495935,0.11194029850746269,0.14105705285264264,0.1830065359477124,0.10837438423645321,0.19076305220883535,0.25,0.2009231604670106,0.11353711790393013,0.38235294117647056,0.15384615384615385,0.2267818574514039,0.13895216400911162,0.05263157894736842,0.24336973478939158,0.15384615384615385,0.09302325581395349,0.2560553633217993,0.27292340884573896,0.11688311688311688,0.1955193482688391,0.16382252559726962,0.35969141755062684,0.12608695652173912,0.1595744680851064,0.39779005524861877,0.16772151898734178,0.15246636771300448,0.19076133447390933,0.3626373626373626,0.2673611111111111,0.1323529411764706
-5,0.17751937984496124,0.15206878022568512,0.19801980198019803,0.24835164835164836,0.32310177705977383,0.13320707070707072,0.13464506172839505,0.2484472049689441,0.16585365853658537,0.18543046357615894,0.22040816326530613,0.19887429643527205,0.1111111111111111,0.20930232558139536,0.2318840579710145,0.20726495726495728,0.15051311288483465,0.05555555555555555,0.25810185185185186,0.06666666666666667,0.12121212121212122,0.27106227106227104,0.2623612512613522,0.16455696202531644,0.21922246220302377,0.13432835820895522,0.3524663677130045,0.18,0.1288981288981289,0.3950617283950617,0.208,0.1707731520815633,0.16695059625212946,0.33668341708542715,0.30337078651685395,0.125
-4,0.17420814479638008,0.10926620246384575,0.2289156626506024,0.2786458333333333,0.3162878787878788,0.14448441247002397,0.13724696356275304,0.25,0.22832369942196531,0.1771793054571226,0.22955523672883787,0.1993214588634436,0.12330623306233063,0.14705882352941177,0.14285714285714285,0.2348993288590604,0.14302325581395348,0.0625,0.26129032258064516,0.3333333333333333,0.0797872340425532,0.28512396694214875,0.2854006586169045,0.14925373134328357,0.20352035203520352,0.15922330097087378,0.34715960324616774,0.16666666666666666,0.16435185185185186,0.4157303370786517,0.17556346381969157,0.14740673339399454,0.16701173222912352,0.26591760299625467,0.2490842490842491,0.13804173354735153
