cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.043668122270742356,0.02012072434607646,0.0,0.017361111111111112,0.005291005291005291,0.023467846353042728,0.03396539027982327,0.02857142857142857,0.0,0.012626887843525624,0.00847457627118644,0.03803339517625232,0.06563706563706563,0.0,0.0625,0.0136986301369863,0.03296703296703297,0.0,0.028189577717879603,0.0,0.05480295566502463,0.0,0.003430531732418525,0.017543859649122806,0.01639344262295082,0.011970716264345073,0.018145161290322582,0.06818181818181818,0.03715728715728716,0.014285714285714285,0.04965156794425087,0.012373779175633174,0.03642619838633128,0.015873015873015872,0.0,
-12,0.026385224274406333,0.003988397389412618,0.00423728813559322,0.0,0.0,0.01916699827563337,0.021052631578947368,0.0,0.00966183574879227,0.005673821252638986,0.010861561119293078,0.0,0.024330900243309004,0.0,0.0,0.01818181818181818,0.02551020408163265,0.0,0.012295081967213115,0.0,0.006622516556291391,0.0,0.003454947484798231,0.01808035714285714,0.014423076923076924,0.004830917874396135,0.004081632653061225,0.0,0.007936507936507936,0.0,0.028328611898016998,0.013404825737265416,0.028364722094625632,0.010309278350515464,0.0,
-11,0.020588235294117647,0.0047997522708505365,0.0,0.00683371298405467,0.0076045627376425855,0.011428571428571429,0.01615788218459337,0.0,0.012845849802371542,0.007521111893033076,0.016216216216216217,0.07865168539325842,0.03414634146341464,0.0,0.0,0.019801980198019802,0.02619047619047619,0.0,0.011374876360039565,0.0,0.042682926829268296,0.0,0.004195459032576505,0.01818181818181818,0.004273504273504274,0.010031131096506399,0.008888888888888889,0.04,0.03333333333333333,0.0,0.03870710295291301,0.011976047904191617,0.026239067055393587,0.0,0.0,
-10,0.02735562310030395,0.011144130757800892,0.0,0.0043859649122807015,0.010033444816053512,0.014692378328741965,0.009059873949579833,0.0,0.003246753246753247,0.0035545023696682463,0.017241379310344827,0.02736549165120594,0.05034301856335755,0.0,0.0,0.000585480093676815,0.022727272727272728,0.0,0.005008919994510773,0.0,0.0,0.008928571428571428,0.0009033423667570009,0.0,0.0,0.011135857461024499,0.005545696539485359,0.015873015873015872,0.0070921985815602835,0.017485119047619048,0.04568527918781726,0.010175763182238668,0.010380622837370242,0.0,0.0,
-9,0.030456852791878174,0.019835164835164835,0.02361751152073733,0.009876543209876543,0.015902964959568732,0.01688431605329112,0.0070052539404553416,0.0,0.021459899749373432,0.006390977443609023,0.009498480243161094,0.034482758620689655,0.047619047619047616,0.0,0.0,0.02702702702702703,0.010912698412698412,0.0,0.017924528301886792,0.0,0.0,0.005402160864345739,0.004831548707234265,0.0,0.005128205128205128,0.011933797909407667,0.00487012987012987,0.02032967032967033,0.0,0.0,0.02997275204359673,0.009363295880149813,0.005584950029394474,0.0,0.008264462809917356,
-8,0.020853307766059443,0.006662087912087913,0.03508771929824561,0.003389830508474576,0.004482359745517641,0.013133907855485582,0.01755593803786575,0.0,0.008298755186721992,0.013802622498274672,0.016666666666666666,0.01818181818181818,0.028662420382165606,0.0,0.016741071428571428,0.0,0.02245949926362298,0.0,0.016464613368283094,0.0,0.03125,0.011764705882352941,0.003949967083607637,0.007692307692307693,0.0,0.0069241982507288625,0.005905511811023622,0.046511627906976744,0.021739130434782608,0.0,0.019670758928571428,0.015768056968463885,0.0045662100456621,0.0,0.0,
-7,0.0273972602739726,0.0140607424071991,0.0,0.006889452011403231,0.004545454545454545,0.020335536349771224,0.03552557086242687,0.0,0.003663003663003663,0.015276511068733937,0.0,0.031104007868207526,0.021762461244932026,0.0,0.01694915254237288,0.009498480243161094,0.018917410714285716,0.0,0.024648589372943872,0.0,0.0669846087145025,0.0,0.004667444574095682,0.013227513227513227,0.00842358604091456,0.013227513227513227,0.009347601856627127,0.038461538461538464,0.02667548500881834,0.0,0.020833333333333332,0.008158234534569785,0.011904761904761904,0.0,0.013888888888888888,0.07260338345864661
-6,0.027093596059113302,0.0027472527472527475,0.014285714285714285,0.005036630036630037,0.0,0.029410486044691764,0.014675052410901468,0.0,0.039030118817352855,0.006491228070175438,0.034569138276553106,0.019414893617021277,0.021931160523911055,0.0,0.015873015873015872,0.011933174224343675,0.006211180124223602,0.0,0.009899936129444327,0.0,0.013044579533941237,0.015748031496062992,0.004404534280251297,0.005405405405405406,0.0,0.006355932203389831,0.010353789403085177,0.014084507042253521,0.018072289156626505,0.006029684601113173,0.020875763747454174,0.011770884824518043,0.0048,0.0,0.008333333333333333,0.011118598382749326
-5,0.021897810218978103,0.00514069264069264,0.0,0.005444250871080139,0.0,0.010317460317460317,0.010308441558441558,0.0,0.021298504227184045,0.004280363830925628,0.009900990099009901,0.018245341614906832,0.015151515151515152,0.0,0.05980066445182724,0.004728132387706856,0.007,0.0,0.007656967840735069,0.0,0.009281259281259282,0.0,0.00088261253309797,0.006134969325153374,0.0007695093246424045,0.002304147465437788,0.004968235869034044,0.0,0.005952380952380953,0.014184397163120567,0.010305223410950283,0.01088665779605661,0.0035403726708074534,0.0,0.0,0.019157088122605363
-4,0.026631393298059965,0.005161290322580645,0.015625,0.012900597501357957,0.006802721088435374,0.010149220978714065,0.010826771653543307,0.0,0.009402654867256638,0.007453175218885072,0.016835016835016835,0.011312217194570135,0.016706443914081145,0.0,0.0,0.0030025284450063213,0.009950248756218905,0.0,0.007886904761904762,0.0,0.006289308176100629,0.0,0.003857280617164899,0.00641025641025641,0.0,0.0,0.006375958623149634,0.014084507042253521,0.006289308176100629,0.0,0.006802721088435374,0.009425878320479864,0.017046507318880858,0.0,0.0,0.03198836786623046
-3,0.004960317460317461,0.007452574525745257,0.0,0.024175824175824177,0.0,0.007785336356764929,0.016922213911742708,0.0,0.007217261904761905,0.0037737912929337127,0.009875976113918236,0.021987506164721355,0.005310037684138404,0.0,0.0,0.002583979328165375,0.007707129094412331,0.0,0.009528811524609843,0.0,0.004424778761061947,0.0,0.00099601593625498,0.005747126436781609,0.0,0.0022172949002217295,0.00767102615694165,0.014285714285714285,0.0,0.006493506493506494,0.02200996677740864,0.008324860193187596,0.009375,0.0,0.010309278350515464,0.012956810631229235
-2,0.0012480798771121351,0.002890173410404624,0.0,0.02,0.0,0.008764241893076249,0.008940460338596157,0.0,0.010651629072681705,0.0041459369817578775,0.0037313432835820895,0.009391992090954027,0.005126452494873548,0.0,0.0,0.009900990099009901,0.006666666666666667,0.0,0.009985504912224191,0.0,0.007310386841303686,0.0,0.0007173059498640894,0.006666666666666667,0.0,0.003097173828881146,0.002442002442002442,0.03773584905660377,0.0,0.0,0.0056179775280898875,0.005825242718446602,0.011809675947056139,0.0,0.0,0.017064528161133904
-1,0.0015912305516265913,0.006825610459527014,0.0,0.04240397065170479,0.0,0.008219443011861786,0.005698005698005698,0.0,0.0,0.004885301614273577,0.0072992700729927005,0.008885228848821081,0.0025906735751295338,0.0,0.0,0.0024691358024691358,0.0020478374836173,0.0,0.009941878250229429,0.0,0.005494505494505495,0.0,0.0,0.0,0.00078125,0.002680965147453083,0.0,0.0,0.01935483870967742,0.007874015748031496,0.014778325123152709,0.009848591055656808,0.00963302752293578,0.0,0.0,0.005141388174807198
0,0.011267605633802818,0.0015360983102918587,0.0,0.007569296375266524,0.0,0.004379471996052307,0.006841046277665995,0.0,0.004761904761904762,0.005962368168744008,0.0017421602787456446,0.010958784491791825,0.004180298073427844,0.041666666666666664,0.0,0.015544041450777202,0.005780346820809248,,0.00877092409997707,0.0,0.005916737952666096,0.0,0.0,0.006329113924050633,0.001422475106685633,0.0034121929026387624,8.585164835164834e-05,0.0,0.016606005459508643,0.0,0.013953488372093023,0.008267195767195767,0.003262362637362637,0.0,0.0,0.0018211250505868071
1,0.002652519893899204,0.004814305364511692,0.013888888888888888,0.013888888888888888,0.0,0.005221932114882507,0.0068202764976958525,0.0,0.003432661408121531,0.0011734264051029004,0.0033333333333333335,0.008928571428571428,0.004719949653870358,0.0,0.0,0.002145922746781116,0.0025714285714285713,0.0,0.003162668576202411,0.03968253968253968,0.0019880715705765406,0.0,0.0009940357852882703,0.0,0.0016313213703099511,0.004185963662272889,0.0016311813186813187,0.013571428571428573,0.0,0.0,0.006336405529953917,0.008663516297104084,0.0017921146953405018,0.0,0.0,0.010132423756019263
2,0.006404818459450289,0.0008928571428571428,0.0,0.003603221704111912,0.0,0.0005912961210974456,0.0006713211600429646,0.0,0.0009475218658892129,0.0018280039288442649,0.0,0.007583460430435519,0.0028735632183908046,0.0,0.0,0.007246376811594203,0.0025073385518591,0.0,0.0021321961620469083,0.0,0.0017715419501133788,0.004201680672268907,0.0,0.0,0.0,0.00048480930833872006,0.0,0.0,0.0,0.0,0.006845238095238095,0.004618473895582329,0.0019077196095829635,0.0,0.0,0.0018663047166610112
