cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.08984375,0.0823045267489712,0.1111111111111111,0.13966480446927373,0.16981132075471697,0.1093969144460028,0.04504504504504504,0.13043478260869565,0.16042780748663102,0.09292649098474341,0.17647058823529413,0.048,0.05723905723905724,0.0,0.1,0.11458333333333333,0.07006369426751592,0.0,0.12889518413597734,0.0,0.1259259259259259,0.14705882352941177,0.14641744548286603,0.1111111111111111,0.07633587786259542,0.07142857142857142,0.15544041450777202,0.043478260869565216,0.07547169811320754,0.3488372093023256,0.14705882352941177,0.0824295010845987,0.06976744186046512,0.04938271604938271,0.1111111111111111,
-12,0.09711286089238845,0.0845771144278607,0.21666666666666667,0.1337579617834395,0.10452961672473868,0.08723599632690542,0.07465277777777778,0.0967741935483871,0.09569377990430622,0.11137440758293839,0.15384615384615385,0.03296703296703297,0.09523809523809523,0.125,0.15384615384615385,0.17117117117117117,0.11063829787234042,0.16666666666666666,0.159877800407332,0.0,0.1038961038961039,0.1015625,0.15697036223929747,0.10365853658536585,0.11538461538461539,0.06880733944954129,0.15903307888040713,0.0,0.14285714285714285,0.2925170068027211,0.14804469273743018,0.0976027397260274,0.07142857142857142,0.06504065040650407,0.11428571428571428,
-11,0.08571428571428572,0.05374823196605375,0.12244897959183673,0.102880658436214,0.10408921933085502,0.08837209302325581,0.06818181818181818,0.06976744186046512,0.12840466926070038,0.12677725118483413,0.13157894736842105,0.08695652173913043,0.06557377049180328,0.0,0.09523809523809523,0.18446601941747573,0.06074766355140187,0.0,0.13907933398628794,0.0,0.08536585365853659,0.10989010989010989,0.11564625850340136,0.08928571428571429,0.1134453781512605,0.0867579908675799,0.18705035971223022,0.018867924528301886,0.056451612903225805,0.26356589147286824,0.12430939226519337,0.09308072487644152,0.07356948228882834,0.08547008547008547,0.09090909090909091,
-10,0.10059171597633136,0.0603448275862069,0.2413793103448276,0.1312127236580517,0.11074918566775244,0.07256637168141593,0.07027027027027027,0.08333333333333333,0.12017167381974249,0.13860252004581902,0.15730337078651685,0.0963855421686747,0.10326086956521739,0.058823529411764705,0.06451612903225806,0.08870967741935484,0.09361702127659574,0.0,0.13470533208606175,0.0,0.10062893081761007,0.13392857142857142,0.13111888111888112,0.11560693641618497,0.08936170212765958,0.07627118644067797,0.1607669616519174,0.1076923076923077,0.09655172413793103,0.3137254901960784,0.13447432762836187,0.10387323943661972,0.09480122324159021,0.2247191011235955,0.12264150943396226,
-9,0.09732360097323602,0.06921944035346098,0.03076923076923077,0.10638297872340426,0.0896551724137931,0.08710801393728224,0.056291390728476824,0.08,0.125,0.11674008810572688,0.15656565656565657,0.0898876404494382,0.09234828496042216,0.0,0.1111111111111111,0.12605042016806722,0.05813953488372093,0.0,0.1410373066424022,0.3333333333333333,0.1,0.21487603305785125,0.11723534558180228,0.14102564102564102,0.10576923076923077,0.0779816513761468,0.15160796324655437,0.06153846153846154,0.07547169811320754,0.2876712328767123,0.15584415584415584,0.11101398601398602,0.0708955223880597,0.19047619047619047,0.128,
-8,0.11931818181818182,0.07049180327868852,0.14285714285714285,0.12259615384615384,0.1522491349480969,0.07586206896551724,0.09016393442622951,0.15555555555555556,0.13671875,0.12751677852348994,0.1559633027522936,0.13333333333333333,0.08882521489971347,0.0,0.07894736842105263,0.12631578947368421,0.06363636363636363,0.3333333333333333,0.12574257425742574,0.0,0.12345679012345678,0.22340425531914893,0.11131554737810488,0.08391608391608392,0.11261261261261261,0.08262108262108261,0.1760797342192691,0.06382978723404255,0.0380952380952381,0.330188679245283,0.15088757396449703,0.08860759493670886,0.11284046692607004,0.16901408450704225,0.10752688172043011,
-7,0.07123287671232877,0.0828125,0.12727272727272726,0.08587786259541985,0.13636363636363635,0.10023584905660378,0.05416116248348745,0.14285714285714285,0.09230769230769231,0.10058139534883721,0.15544041450777202,0.07855504587155963,0.045075125208681135,0.02040816326530612,0.11864406779661017,0.08827785817655572,0.0875,0.0,0.12203626220362622,0.5,0.018209408194233688,0.1875,0.12835472578763127,0.1111111111111111,0.09386281588447654,0.07992202729044834,0.17173524150268335,0.057692307692307696,0.08641975308641975,0.33035714285714285,0.09027777777777778,0.061488673139158574,0.04861111111111111,0.11764705882352941,0.09722222222222222,0.05465587044534413
-6,0.11936339522546419,0.08333333333333333,0.1,0.0914179104477612,0.12462908011869436,0.08094948265368229,0.08071278825995808,0.15789473684210525,0.06576402321083172,0.11859649122807017,0.08617234468937876,0.10969116080937168,0.09381663113006397,0.03225806451612903,0.06349206349206349,0.17703349282296652,0.06611570247933884,0.0,0.133630289532294,0.0,0.0425531914893617,0.18110236220472442,0.13097514340344169,0.11351351351351352,0.12779973649538867,0.08050847457627118,0.1751740139211137,0.08450704225352113,0.09036144578313253,0.35714285714285715,0.10141987829614604,0.09519725557461406,0.1088,0.14814814814814814,0.03333333333333333,0.0782608695652174
-5,0.11678832116788321,0.0775,0.08823529411764706,0.09762532981530343,0.0926517571884984,0.09868421052631579,0.0715909090909091,0.07407407407407407,0.1062215477996965,0.10861423220973783,0.1188118811881188,0.09565217391304348,0.07142857142857142,0.07692307692307693,0.16279069767441862,0.10874704491725769,0.07554671968190854,0.0,0.13521772345301758,0.0,0.0395010395010395,0.23770491803278687,0.14563106796116504,0.11042944785276074,0.10899873257287707,0.08755760368663594,0.1646273637374861,0.05660377358490566,0.09615384615384616,0.2624113475177305,0.11674008810572688,0.06937394247038917,0.10434782608695652,0.16842105263157894,0.1282051282051282,0.09401709401709402
-4,0.07654320987654321,0.06314432989690721,0.140625,0.1634980988593156,0.12244897959183673,0.07296466973886329,0.06299212598425197,0.12087912087912088,0.13274336283185842,0.11016291698991466,0.1111111111111111,0.09523809523809523,0.1026252983293556,0.09090909090909091,0.058823529411764705,0.13938053097345132,0.07213930348258707,0.125,0.10729166666666666,0.16666666666666666,0.04612159329140461,0.12612612612612611,0.12439729990356799,0.07692307692307693,0.10554803788903924,0.0784313725490196,0.19156626506024096,0.07042253521126761,0.10062893081761007,0.29931972789115646,0.10180995475113122,0.0831191088260497,0.08041504539559015,0.15028901734104047,0.07079646017699115,0.06870229007633588
