cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.015625,0.012345679012345678,0.0,0.0111731843575419,0.014150943396226415,0.0070126227208976155,0.0022522522522522522,0.043478260869565216,0.0106951871657754,0.013869625520110958,0.014705882352941176,0.032,0.006734006734006734,0.0,0.05,0.0,0.01910828025477707,0.0,0.015580736543909348,0.0,0.007407407407407408,0.0,0.012461059190031152,0.0,0.0,0.02040816326530612,0.0,0.0,0.009433962264150943,0.046511627906976744,0.01838235294117647,0.006507592190889371,0.00872093023255814,0.0,0.0,
-12,0.005249343832020997,0.01658374792703151,0.0,0.021231422505307854,0.003484320557491289,0.01652892561983471,0.006944444444444444,0.0,0.014354066985645933,0.02014218009478673,0.005128205128205128,0.01098901098901099,0.0,0.0,0.0,0.009009009009009009,0.01276595744680851,0.0,0.01120162932790224,0.0,0.012987012987012988,0.0,0.010428100987925357,0.012195121951219513,0.014423076923076924,0.01834862385321101,0.001272264631043257,0.0,0.031746031746031744,0.04081632653061224,0.008379888268156424,0.010273972602739725,0.003105590062111801,0.0,0.009523809523809525,
-11,0.025714285714285714,0.011315417256011316,0.02040816326530612,0.018518518518518517,0.011152416356877323,0.0065116279069767444,0.00487012987012987,0.0,0.0,0.014218009478672985,0.010526315789473684,0.010869565217391304,0.00702576112412178,0.0,0.0,0.019417475728155338,0.009345794392523364,0.0,0.012732615083251714,0.0,0.006097560975609756,0.0,0.007774538386783284,0.0,0.012605042016806723,0.00684931506849315,0.0014388489208633094,0.0,0.008064516129032258,0.03875968992248062,0.0055248618784530384,0.009060955518945634,0.005449591280653951,0.0,0.020202020202020204,
-10,0.014792899408284023,0.004310344827586207,0.05172413793103448,0.017892644135188866,0.003257328990228013,0.012389380530973451,0.005405405405405406,0.020833333333333332,0.017167381974248927,0.006872852233676976,0.0056179775280898875,0.0,0.0,0.058823529411764705,0.0,0.008064516129032258,0.02127659574468085,0.0,0.01216089803554724,0.0,0.006289308176100629,0.0,0.011363636363636364,0.0,0.00425531914893617,0.01059322033898305,0.004424778761061947,0.0,0.027586206896551724,0.0784313725490196,0.009779951100244499,0.014084507042253521,0.009174311926605505,0.0,0.0,
-9,0.009732360097323601,0.005891016200294551,0.015384615384615385,0.019148936170212766,0.0,0.017421602787456445,0.004966887417218543,0.0,0.017241379310344827,0.012114537444933921,0.005050505050505051,0.0,0.010554089709762533,0.0,0.0,0.0,0.003875968992248062,0.0,0.011828935395814377,0.0,0.02,0.008264462809917356,0.011373578302712161,0.0,0.009615384615384616,0.0045871559633027525,0.004594180704441042,0.0,0.006289308176100629,0.0547945205479452,0.0025974025974025974,0.01048951048951049,0.0037313432835820895,0.0,0.016,
-8,0.02556818181818182,0.00819672131147541,0.015873015873015872,0.036057692307692304,0.006920415224913495,0.009852216748768473,0.004098360655737705,0.0,0.00390625,0.0013422818791946308,0.0045871559633027525,0.013333333333333334,0.0028653295128939827,0.0,0.0,0.0,0.004545454545454545,0.0,0.00891089108910891,0.0,0.0,0.0,0.004599816007359705,0.006993006993006993,0.0045045045045045045,0.005698005698005698,0.0016611295681063123,0.0,0.02857142857142857,0.04716981132075472,0.005917159763313609,0.009945750452079566,0.007782101167315175,0.0,0.010752688172043012,
-7,0.0136986301369863,0.0046875,0.05454545454545454,0.019083969465648856,0.013636363636363636,0.014150943396226415,0.009247027741083224,0.08571428571428572,0.010256410256410256,0.00813953488372093,0.0,0.010321100917431193,0.005008347245409015,0.02040816326530612,0.0,0.01447178002894356,0.0125,0.0,0.00906555090655509,0.0,0.0015174506828528073,0.010416666666666666,0.012835472578763127,0.006172839506172839,0.007220216606498195,0.01949317738791423,0.0035778175313059034,0.0,0.018518518518518517,0.026785714285714284,0.009259259259259259,0.008090614886731391,0.010912698412698412,0.014705882352941176,0.0,0.003036437246963563
-6,0.010610079575596816,0.004098360655737705,0.0,0.027985074626865673,0.005934718100890208,0.010955569080949483,0.006289308176100629,0.017543859649122806,0.0038684719535783366,0.0077192982456140355,0.01603206412825651,0.01703940362087327,0.010660980810234541,0.0,0.0,0.014354066985645933,0.014462809917355372,0.0,0.005196733481811433,0.0,0.0,0.007874015748031496,0.0076481835564053535,0.016216216216216217,0.007905138339920948,0.0,0.002320185614849188,0.0,0.012048192771084338,0.01948051948051948,0.004056795131845842,0.009433962264150943,0.0128,0.0,0.008333333333333333,0.002173913043478261
-5,0.021897810218978103,0.00875,0.0,0.023746701846965697,0.006389776357827476,0.006578947368421052,0.00909090909090909,0.0,0.013657056145675266,0.00749063670411985,0.0165016501650165,0.015217391304347827,0.008658008658008658,0.038461538461538464,0.0,0.014184397163120567,0.013916500994035786,0.0,0.01145912910618793,0.0,0.004158004158004158,0.02459016393442623,0.01059135039717564,0.0,0.0076045627376425855,0.016129032258064516,0.0011123470522803114,0.0,0.02564102564102564,0.04964539007092199,0.011013215859030838,0.01015228426395939,0.01217391304347826,0.0,0.03418803418803419,0.0
-4,0.009876543209876543,0.011597938144329897,0.015625,0.011406844106463879,0.006802721088435374,0.010752688172043012,0.005249343832020997,0.0,0.011061946902654867,0.013188518231186967,0.013468013468013467,0.01020408163265306,0.01909307875894988,0.0,0.029411764705882353,0.0022123893805309734,0.014925373134328358,0.0,0.011458333333333333,0.0,0.006289308176100629,0.009009009009009009,0.008678881388621022,0.00641025641025641,0.012178619756427604,0.008714596949891068,0.0036144578313253013,0.0,0.006289308176100629,0.034013605442176874,0.00904977375565611,0.005141388174807198,0.011673151750972763,0.0,0.0,0.010178117048346057
