cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.02734375,0.03909465020576132,0.0,0.027932960893854747,0.03773584905660377,0.021037868162692847,0.018018018018018018,0.021739130434782608,0.0213903743315508,0.0027739251040221915,0.051470588235294115,0.008,0.006734006734006734,0.0,0.0,0.010416666666666666,0.006369426751592357,0.0,0.021246458923512748,0.0,0.014814814814814815,0.04411764705882353,0.012461059190031152,0.007936507936507936,0.007633587786259542,0.00510204081632653,0.02072538860103627,0.0,0.018867924528301886,0.011627906976744186,0.03676470588235294,0.015184381778741865,0.011627906976744186,0.012345679012345678,0.05555555555555555,
-12,0.03674540682414698,0.028192371475953566,0.03333333333333333,0.027600849256900213,0.020905923344947737,0.020202020202020204,0.024305555555555556,0.06451612903225806,0.023923444976076555,0.0071090047393364926,0.05641025641025641,0.02197802197802198,0.01904761904761905,0.0,0.0,0.04504504504504504,0.02553191489361702,0.16666666666666666,0.026476578411405296,0.0,0.012987012987012988,0.03125,0.02854006586169045,0.0,0.009615384615384616,0.006880733944954129,0.031806615776081425,0.0,0.047619047619047616,0.034013605442176874,0.008379888268156424,0.02226027397260274,0.009316770186335404,0.0,0.06666666666666667,
-11,0.022857142857142857,0.019801980198019802,0.061224489795918366,0.018518518518518517,0.03717472118959108,0.01674418604651163,0.01948051948051948,0.023255813953488372,0.011673151750972763,0.02132701421800948,0.04736842105263158,0.043478260869565216,0.03044496487119438,0.0,0.0,0.019417475728155338,0.009345794392523364,0.0,0.025465230166503428,0.0,0.012195121951219513,0.03296703296703297,0.008746355685131196,0.005952380952380952,0.012605042016806723,0.0228310502283105,0.031654676258992806,0.0,0.03225806451612903,0.06201550387596899,0.03038674033149171,0.013179571663920923,0.01907356948228883,0.008547008547008548,0.050505050505050504,
-10,0.020710059171597635,0.020114942528735632,0.05172413793103448,0.02385685884691849,0.026058631921824105,0.01504424778761062,0.01981981981981982,0.0625,0.017167381974248927,0.018327605956471937,0.06179775280898876,0.024096385542168676,0.029891304347826088,0.0,0.0,0.016129032258064516,0.02553191489361702,0.0,0.023386342376052385,0.0,0.0,0.07142857142857142,0.012237762237762238,0.005780346820809248,0.01702127659574468,0.012711864406779662,0.028023598820058997,0.03076923076923077,0.013793103448275862,0.0392156862745098,0.019559902200488997,0.009683098591549295,0.012232415902140673,0.033707865168539325,0.03773584905660377,
-9,0.019464720194647202,0.023564064801178203,0.0,0.014893617021276596,0.017241379310344827,0.014808362369337979,0.014900662251655629,0.04,0.004310344827586207,0.013215859030837005,0.045454545454545456,0.02247191011235955,0.010554089709762533,0.0,0.0,0.008403361344537815,0.027131782945736434,0.0,0.022747952684258416,0.0,0.02666666666666667,0.05785123966942149,0.01399825021872266,0.00641025641025641,0.004807692307692308,0.013761467889908258,0.027565084226646247,0.03076923076923077,0.025157232704402517,0.03424657534246575,0.025974025974025976,0.013986013986013986,0.011194029850746268,0.023809523809523808,0.016,
-8,0.03409090909090909,0.014754098360655738,0.06349206349206349,0.026442307692307692,0.06920415224913495,0.01083743842364532,0.03278688524590164,0.044444444444444446,0.01171875,0.008053691275167786,0.05045871559633028,0.06666666666666667,0.017191977077363897,0.0,0.02631578947368421,0.021052631578947368,0.013636363636363636,0.3333333333333333,0.02178217821782178,0.0,0.012345679012345678,0.07446808510638298,0.01839926402943882,0.006993006993006993,0.0045045045045045045,0.005698005698005698,0.02823920265780731,0.02127659574468085,0.009523809523809525,0.018867924528301886,0.03254437869822485,0.0162748643761302,0.011673151750972763,0.04225352112676056,0.043010752688172046,
-7,0.021917808219178082,0.01875,0.0,0.015267175572519083,0.045454545454545456,0.01650943396226415,0.017173051519154558,0.02857142857142857,0.010256410256410256,0.011046511627906977,0.046632124352331605,0.02121559633027523,0.005008347245409015,0.02040816326530612,0.01694915254237288,0.00723589001447178,0.0140625,0.0,0.019525801952580194,0.0,0.0,0.041666666666666664,0.019836639439906652,0.0,0.01684717208182912,0.009746588693957114,0.03041144901610018,0.019230769230769232,0.018518518518518517,0.0625,0.023148148148148147,0.012135922330097087,0.008928571428571428,0.014705882352941176,0.05555555555555555,0.009109311740890687
-6,0.034482758620689655,0.02459016393442623,0.0,0.013059701492537313,0.032640949554896145,0.017650639074863056,0.02830188679245283,0.08771929824561403,0.0,0.02456140350877193,0.026052104208416832,0.03407880724174654,0.01279317697228145,0.0,0.0,0.019138755980861243,0.01652892561983471,0.0,0.02301410541945063,0.0,0.005319148936170213,0.05511811023622047,0.009560229445506692,0.005405405405405406,0.023715415019762844,0.019067796610169493,0.030162412993039442,0.04225352112676056,0.006024096385542169,0.03896103896103896,0.02028397565922921,0.018010291595197257,0.0224,0.012345679012345678,0.016666666666666666,0.02391304347826087
-5,0.029197080291970802,0.02375,0.014705882352941176,0.018469656992084433,0.03514376996805112,0.013980263157894737,0.02727272727272727,0.037037037037037035,0.010622154779969651,0.024719101123595506,0.039603960396039604,0.03260869565217391,0.010822510822510822,0.0,0.06976744186046512,0.01182033096926714,0.011928429423459244,0.0,0.016042780748663103,0.0,0.006237006237006237,0.09836065573770492,0.02118270079435128,0.006134969325153374,0.017743979721166033,0.004608294930875576,0.027808676307007785,0.0,0.01282051282051282,0.02127659574468085,0.030837004405286344,0.010998307952622674,0.01391304347826087,0.05263157894736842,0.03418803418803419,0.022792022792022793
-4,0.022222222222222223,0.01675257731958763,0.046875,0.034220532319391636,0.04081632653061224,0.016897081413210446,0.011811023622047244,0.06593406593406594,0.022123893805309734,0.016291698991466253,0.026936026936026935,0.026077097505668934,0.021479713603818614,0.0,0.029411764705882353,0.008849557522123894,0.014925373134328358,0.125,0.01875,0.0,0.0041928721174004195,0.07207207207207207,0.01639344262295082,0.019230769230769232,0.009472259810554804,0.008714596949891068,0.02530120481927711,0.028169014084507043,0.0440251572327044,0.07482993197278912,0.01809954751131222,0.012853470437017995,0.018158236057068743,0.046242774566473986,0.0,0.020356234096692113
-3,0.020202020202020204,0.02168021680216802,0.037037037037037035,0.026923076923076925,0.03908794788273615,0.008465608465608466,0.011780104712041885,0.10204081632653061,0.010416666666666666,0.013026819923371647,0.03858520900321544,0.020737327188940093,0.009592326139088728,0.04,0.0,0.012919896640826873,0.007707129094412331,0.0,0.02100840336134454,0.0,0.0022123893805309734,0.058823529411764705,0.012948207171314742,0.011494252873563218,0.02745664739884393,0.013303769401330377,0.03488372093023256,0.0,0.006369426751592357,0.05844155844155844,0.02517162471395881,0.013345195729537367,0.0140625,0.04020100502512563,0.041237113402061855,0.009302325581395349
-2,0.021505376344086023,0.02601156069364162,0.037037037037037035,0.012,0.04150943396226415,0.013146362839614373,0.014647137150466045,0.09090909090909091,0.021929824561403508,0.014107883817427386,0.026119402985074626,0.024305555555555556,0.009569377990430622,0.0,0.03225806451612903,0.0024875621890547263,0.006666666666666667,0.0,0.018038331454340473,0.0,0.0042643923240938165,0.08333333333333333,0.010570824524312896,0.013333333333333334,0.015895953757225433,0.008130081300813009,0.026862026862026864,0.018867924528301886,0.02,0.09259259259259259,0.017326732673267328,0.013592233009708738,0.012779552715654952,0.023255813953488372,0.05747126436781609,0.005221932114882507
