cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.10403726708074534,0.03826530612244898,0.07142857142857142,0.1326530612244898,0.17142857142857143,0.3027950310559006,0.16941391941391942,0.08766233766233766,0.0,0.3055555555555556,0.08928571428571429,0.04220779220779221,0.025297619047619048,0.21666666666666667,0.0,0.0,0.047619047619047616,0.14532019704433496,0.034013605442176874,0.0625,0.08333333333333333,0.09566326530612244,0.15476190476190477,0.011904761904761904,0.23214285714285715,0.49107142857142855,0.26785714285714285,0.07397959183673469,0.047193877551020405,0.11363636363636363,0.061507936507936505,0.10714285714285714,0.22402597402597402,0.3,0.11363636363636363,0.251984126984127,0.07142857142857142,0.28095238095238095,0.1,0.07142857142857142,0.0,0.008928571428571428
-12,0.15683229813664595,0.061224489795918366,0.2857142857142857,0.1836734693877551,0.30714285714285716,0.5015527950310559,0.27564102564102566,0.14935064935064934,0.0,0.2698412698412698,0.11989795918367346,0.05844155844155844,0.023809523809523808,0.3261904761904762,0.03571428571428571,0.0,0.05357142857142857,0.21798029556650247,0.02891156462585034,0.09375,0.11904761904761904,0.14795918367346939,0.13095238095238096,0.10714285714285714,0.4107142857142857,0.75,0.7142857142857143,0.06377551020408163,0.08928571428571429,0.2012987012987013,0.1130952380952381,0.125,0.288961038961039,0.42142857142857143,0.21753246753246752,0.296957671957672,0.14285714285714285,0.3238095238095238,0.19,0.19047619047619047,0.0,0.026785714285714284
-11,0.18012422360248448,0.07270408163265306,0.17857142857142858,0.21683673469387754,0.34285714285714286,0.5496894409937888,0.29212454212454214,0.2077922077922078,0.0,0.30158730158730157,0.10841836734693877,0.0698051948051948,0.03720238095238095,0.3,0.07142857142857142,0.0,0.05357142857142857,0.22660098522167488,0.061224489795918366,0.09375,0.10119047619047619,0.17729591836734693,0.21428571428571427,0.047619047619047616,0.44642857142857145,0.7232142857142857,0.5,0.07908163265306123,0.08035714285714286,0.17532467532467533,0.07936507936507936,0.125,0.30194805194805197,0.5285714285714286,0.23376623376623376,0.3472222222222222,0.19642857142857142,0.2571428571428571,0.22714285714285715,0.15476190476190477,0.0,0.08035714285714286
-10,0.12267080745341614,0.03188775510204082,0.17857142857142858,0.22704081632653061,0.42142857142857143,0.5201863354037267,0.28205128205128205,0.13636363636363635,0.0,0.2896825396825397,0.13520408163265307,0.045454545454545456,0.03869047619047619,0.30714285714285716,0.0,0.0,0.07738095238095238,0.2105911330049261,0.05782312925170068,0.06696428571428571,0.07738095238095238,0.1875,0.16666666666666666,0.047619047619047616,0.35714285714285715,0.41964285714285715,0.6428571428571429,0.04081632653061224,0.07142857142857142,0.2012987012987013,0.07738095238095238,0.14285714285714285,0.2792207792207792,0.5,0.17857142857142858,0.35185185185185186,0.07142857142857142,0.30238095238095236,0.18714285714285714,0.1488095238095238,0.0,0.07142857142857142
-9,0.15217391304347827,0.04846938775510204,0.17857142857142858,0.2372448979591837,0.40714285714285714,0.4813664596273292,0.29945054945054944,0.17207792207792208,0.0,0.2698412698412698,0.11607142857142858,0.0633116883116883,0.03422619047619048,0.30238095238095236,0.03571428571428571,0.0,0.07142857142857142,0.21305418719211822,0.025510204081632654,0.08258928571428571,0.07142857142857142,0.18877551020408162,0.15476190476190477,0.023809523809523808,0.4375,0.8571428571428571,0.5535714285714286,0.09693877551020408,0.07397959183673469,0.2727272727272727,0.10317460317460317,0.16071428571428573,0.3181818181818182,0.37142857142857144,0.2077922077922078,0.2830687830687831,0.16071428571428573,0.31666666666666665,0.17857142857142858,0.11904761904761904,0.0,0.03571428571428571
-8,0.13043478260869565,0.039540816326530615,0.10714285714285714,0.2193877551020408,0.2714285714285714,0.4409937888198758,0.27106227106227104,0.1331168831168831,0.017857142857142856,0.21825396825396826,0.09693877551020408,0.06655844155844155,0.022321428571428572,0.2833333333333333,0.017857142857142856,0.0,0.041666666666666664,0.20689655172413793,0.05782312925170068,0.08035714285714286,0.09523809523809523,0.12244897959183673,0.10714285714285714,0.03571428571428571,0.29464285714285715,0.5,0.4642857142857143,0.06377551020408163,0.07015306122448979,0.17857142857142858,0.03968253968253968,0.19642857142857142,0.3246753246753247,0.42142857142857143,0.17857142857142858,0.294973544973545,0.10714285714285714,0.2119047619047619,0.1957142857142857,0.047619047619047616,0.0,0.05357142857142857
-7,0.07453416149068323,0.039540816326530615,0.2857142857142857,0.23214285714285715,0.21428571428571427,0.38198757763975155,0.2793040293040293,0.09740259740259741,0.0,0.23412698412698413,0.1913265306122449,0.04707792207792208,0.13095238095238096,0.18571428571428572,0.03571428571428571,0.0,0.08333333333333333,0.17610837438423646,0.11394557823129252,0.13392857142857142,0.13690476190476192,0.15051020408163265,0.32142857142857145,0.03571428571428571,0.22321428571428573,0.4375,0.6785714285714286,0.058673469387755105,0.07908163265306123,0.1396103896103896,0.07142857142857142,0.125,0.3051948051948052,0.42142857142857143,0.15584415584415584,0.28174603174603174,0.05357142857142857,0.36428571428571427,0.1742857142857143,0.05952380952380952,1.4642857142857142,0.044642857142857144
-6,0.17391304347826086,0.07397959183673469,0.14285714285714285,0.33163265306122447,0.3357142857142857,0.6381987577639752,0.6895604395604396,0.12012987012987013,0.017857142857142856,0.44047619047619047,0.2181122448979592,0.06655844155844155,0.16071428571428573,0.2357142857142857,0.05357142857142857,0.14285714285714285,0.125,0.2376847290640394,0.195578231292517,0.16741071428571427,0.24404761904761904,0.2193877551020408,0.47619047619047616,0.05952380952380952,0.5714285714285714,0.8571428571428571,0.5892857142857143,0.09948979591836735,0.15178571428571427,0.22077922077922077,0.1111111111111111,0.14285714285714285,0.5032467532467533,0.7785714285714286,0.262987012987013,0.32341269841269843,0.14285714285714285,0.3976190476190476,0.20857142857142857,0.06547619047619048,1.1071428571428572,0.026785714285714284
-5,0.17080745341614906,0.06760204081632654,0.17857142857142858,0.25,0.6071428571428571,0.5916149068322981,0.7417582417582418,0.1038961038961039,0.0,0.6349206349206349,0.2512755102040816,0.07142857142857142,0.15997023809523808,0.2761904761904762,0.03571428571428571,0.07142857142857142,0.09523809523809523,0.27955665024630544,0.15136054421768708,0.11160714285714286,0.17261904761904762,0.22576530612244897,0.47619047619047616,0.05952380952380952,0.4017857142857143,0.625,0.8125,0.1377551020408163,0.13392857142857142,0.18506493506493507,0.12698412698412698,0.14285714285714285,0.5227272727272727,0.4357142857142857,0.2077922077922078,0.3247354497354497,0.19642857142857142,0.4023809523809524,0.21857142857142858,0.08333333333333333,1.0714285714285714,0.08035714285714286
-4,0.18167701863354038,0.047193877551020405,0.14285714285714285,0.21428571428571427,0.38571428571428573,0.656832298136646,0.7060439560439561,0.12012987012987013,0.0,0.5515873015873016,0.2614795918367347,0.08603896103896104,0.14732142857142858,0.3761904761904762,0.017857142857142856,0.10714285714285714,0.08333333333333333,0.23645320197044334,0.17517006802721088,0.13169642857142858,0.17857142857142858,0.16326530612244897,0.5,0.09523809523809523,0.49107142857142855,0.7232142857142857,0.8839285714285714,0.07397959183673469,0.17857142857142858,0.25,0.13690476190476192,0.125,0.5454545454545454,0.6642857142857143,0.22727272727272727,0.376984126984127,0.26785714285714285,0.48333333333333334,0.2,0.11904761904761904,1.1785714285714286,0.08035714285714286
