cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.05219522019334049,0.010827067669172932,0.042293233082706765,0.07318828987362022,0.09461152882205515,0.03257083386432182,0.020321382725105447,0.016259398496240602,,0.048796992481203005,0.01825017088174983,0.06864661654135339,0.022008145363408522,0.11258524217520546,,,0.048066595059076254,0.02888800949742778,0.01604973973395026,0.15307289964040535,0.09425349087003222,0.047047766475011056,0.0023923444976076554,0.015037593984962405,0.0904045828857859,0.043909774436090225,0.0645139634801289,0.2325563909774436,0.019360902255639096,0.030780075187969925,0.020537454747981063,0.10563909774436091,0.052027389903329745,0.06981740064446831,0.021454498314752397,0.023666890804246388,0.003132832080200501,0.03032920138183296,0.021568752389448196,0.023752563226247435,,0.12969924812030076
-12,0.04462406015037594,0.013706140350877192,0.015977443609022556,0.039119537975373216,0.032042315090050705,0.022455903910720193,0.01719298245614035,0.009602811376266753,,0.041463954002653694,0.007798752199648056,0.013366750208855471,0.05838815789473684,0.05138786816665725,0.05921052631578947,,0.046365914786967416,0.019758202323991798,0.03814683768244139,0.11109022556390977,0.0606203007518797,0.03639486647653617,0.003417634996582365,0.017752715121136173,0.02790944753187316,0.03823583348615441,0.026715225563909772,0.1782706766917293,0.030603853383458647,0.006427358719379093,0.019412166780587835,0.048335123523093444,0.02329559854692912,0.08381444683136412,0.02889686903826731,0.026357747046186895,0.005639097744360902,0.025530243519245877,0.01752501554638476,0.010925751879699248,,0.02506265664160401
-11,0.021049390718174747,0.020907531987864398,0.018045112781954885,0.04901141743247006,0.03323468245080787,0.01586295767747982,0.014336389563249816,0.007638142976488841,,0.024837092731829574,0.02001192004401247,0.020005370569280343,0.027406015037593986,0.08186466165413533,0.05701754385964911,,0.0967000835421888,0.01866198645785735,0.01702172096908939,0.12846139739592885,0.012936753648827952,0.05662086871855899,0.004490392648287385,0.028665413533834585,0.02349624060150376,0.02525845864661654,0.030713576393814727,0.09992723744845985,0.02637546246568803,0.018100807574491784,0.019712743396953922,0.0700859291084855,0.005740156843722209,0.05575477154424523,0.00950439478979138,0.016698890082348726,0.0066643882433356115,0.02879841112214498,0.015668126011230608,0.006940427993059572,,0.005639097744360902
-10,0.030765204149614544,0.00932017543859649,0.048120300751879695,0.04010779961953075,0.03077609277430865,0.021314650262018682,0.013931888544891639,0.009801288936627281,,0.04553637615164672,0.014062278337352815,0.008122986036519871,0.018977732793522266,0.0565671992481203,,,0.14270050125313283,0.012833422842821338,0.010393631136665192,0.054057557687321754,0.008097165991902834,0.03822055137844611,0.0034908700322234154,0.17857142857142855,0.02138157894736842,0.03919372900335946,0.012728249194414608,0.2376644736842105,0.015105946684894053,0.02225321367935969,0.017164622081519587,0.22767857142857142,0.010272774960657457,0.08430913348946137,0.014764183185235816,0.0175049204933237,0.03383458646616541,0.02063121513461072,0.017322151532677847,0.028496240601503756,,0.00775375939849624
-9,0.02286644446166964,0.02189595610648242,0.002631578947368421,0.0404344193817878,0.06859193438140807,0.021604093013991934,0.0137785501489573,0.010541058528674627,,0.028513591671486406,0.03077215510686829,0.03017679333468807,0.013533834586466165,0.06657524959940836,0.03007518796992481,,0.08578263841421736,0.02172842821339062,0.005388471177944862,0.20722260195944406,0.020676691729323307,0.056841590277062516,0.004626951995373048,0.02443609022556391,0.013517837146056632,0.030364372469635626,0.015130038210279797,0.1914325286901464,0.027305104867431734,0.012976718905697978,0.02327067669172932,0.11361737677527153,0.007103284527107242,0.09532760472610098,0.03532641126626089,0.022971160295103956,0.041353383458646614,0.014827067669172932,0.017903364969801553,0.02462406015037594,,0.0037593984962406013
-8,0.02214520676691729,0.010241120041483016,0.005012531328320802,0.04661654135338346,0.0418546365914787,0.03005794302269435,0.020460377133309463,0.007290954659375712,0.0018796992481203006,0.02831296992481203,0.02244582043343653,0.02799227799227799,0.015426497277676952,0.09671236915818959,0.0018796992481203006,,0.026002506265664162,0.018887945670628185,0.026639875550946334,0.1546810574824157,0.02794486215538847,0.0316452896948253,0.0018796992481203006,0.007518796992481203,0.025580254985289312,0.0374765037593985,0.04520917678812415,0.15481886534518113,0.02327067669172932,0.02695568709006559,0.004967776584317937,0.20225563909774436,0.004502535408288161,0.1229860365198711,0.012054593004249756,0.018854624769470845,0.007048872180451127,0.025578185971257255,0.011887357282094124,0.017857142857142856,,0.0033834586466165413
-7,0.059406328320802004,0.014976958525345621,0.012218045112781954,0.08225304640912626,0.03577694235588972,0.034527918156045855,0.020085048687292,0.013095238095238096,,0.028450363196125903,0.04941102756892231,0.01588021778584392,0.06546907040328093,0.09574416811258916,0.09492481203007519,,0.189312567132116,0.019656283566058,0.025575301891091362,0.0825501253132832,0.034688995215311,0.03536383331209379,0.012879420774157616,0.02756892230576441,0.051503759398496246,0.018528464017185824,0.03805120910384068,0.13656423667865314,0.03504729565850109,0.028108060849798916,0.016342940685045947,0.23066595059076261,0.026555751079827227,0.09774436090225563,0.029675251959686448,0.023288855942673586,0.02631578947368421,0.1302766720723377,0.03627353507736283,0.037406015037593984,0.12969924812030073,0.004511278195488721
-6,0.03516044575725027,0.01108374384236453,0.0018796992481203006,0.04305406373075546,0.05351143816989282,0.030413625304136254,0.053480314331645844,0.005334281650071123,0.009398496240601503,0.041607396870554765,0.020753638482170336,0.02095176966807262,0.043459342801448066,0.053467000835421885,0.002819548872180451,0.10573308270676691,0.018170426065162906,0.016124295112781954,0.013157894736842105,0.0650942424554537,0.027737025490555654,0.030877632678186696,0.005545112781954887,0.02481203007518797,0.034421992481203006,0.029389880952380956,0.014809751651856915,0.12854251012145748,0.012478675680798634,0.010061919504643963,0.016473000683527,0.09868421052631579,0.008040261945185544,0.07230806373732497,0.03652650143878214,0.016627811829368084,0.027725563909774438,0.03904596821394805,0.016028942218560098,0.03007518796992481,0.03847117794486215,0.012531328320802004
-5,0.028127136021872865,0.021776138459355936,0.0018796992481203006,0.05974174566851912,0.03754975674480318,0.02070644950106136,0.019711060694129336,0.010004850836769342,,0.0175046992481203,0.026573413228502728,0.020249487354750514,0.02400769365273649,0.07097485092040445,0.0018796992481203006,0.006578947368421052,0.12535244360902256,0.016509747820879633,0.011616118949058037,0.1006015037593985,0.0189312567132116,0.03972215020309394,0.008975563909774435,0.08796992481203007,0.020426065162907268,0.015279269602577873,0.03140576159499873,0.15932191590086328,0.020533476548514142,0.02037989711119905,0.02061795112781955,0.2899436090225564,0.00758884789613786,0.0741094539627758,0.018385808270676693,0.02935399723799294,0.02990430622009569,0.04212083463095609,0.012199616688780774,0.03490870032223416,0.13004101161995898,0.015455304928989139
-4,0.0271190797506587,0.026061776061776062,0.006109022556390977,0.074046723952739,0.057783347257031464,0.026481382026494808,0.02118267059065088,0.007988721804511278,,0.02938551414507492,0.029121584448927196,0.02408142999006951,0.032765924964696005,0.08206433806034073,0.03195488721804511,0.06516290726817042,0.004833512352309345,0.014469768170426065,0.011843930213884225,0.09223270039505543,0.02149122807017544,0.04161979752530934,0.008234872896527032,0.045112781954887216,0.041179337231968816,0.03262786596119929,0.033435862383230805,0.26607466943220115,0.014661654135338344,0.011619958988380039,0.0123562582927908,0.057733619763694954,0.012889366272824918,0.05622928288463093,0.011224489795918367,0.020009381978672518,0.010526315789473684,0.038501103505031234,0.021082382214529127,0.026785714285714284,0.052745500113921165,0.005639097744360902
