cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.13779164961113385,0.1481425839934444,0.11113801452784504,0.0997288503253796,0.09455369192211298,0.1698601662887377,0.1227304523550443,0.08238875878220141,0.19894179894179895,0.10343537414965986,0.12773316427162582,0.09536703850305867,0.1907345013477089,0.1824226804123711,0.1260204081632653,,0.12227088948787061,0.07504995004995005,0.1089985994397759,0.12474789915966386,0.09947802197802198,0.08864827832717741,0.05880541871921182,0.11277777777777778,0.16490825688073396,0.14186401833460657,0.10997438816163915,0.1860217596972564,0.11402649769585253,0.08114035087719298,0.07239220383275262,0.21576190476190477,0.1270190746753247,0.06684636118598382,0.16535991140642303,0.09686461794019934,0.15046082949308756,0.147429614181439,0.06125045438022537,0.10577380952380952,,0.08016917293233082
-12,0.10001193659281894,0.08874262470945825,0.08976934523809522,0.07313606293581262,0.07488755255695707,0.12385671278044584,0.09555055028053518,0.043649938423645326,0.19068322981366462,0.06847826086956521,0.10192433137638618,0.06997129609185251,0.11803394625176802,0.11348684210526316,0.1185960591133005,,0.10194420963651732,0.04988048368953881,0.06173767752715121,0.0580100708690787,0.05087336244541485,0.07426627534685167,0.051978021978021975,0.07852787456445992,0.060173872180451136,0.08699864803965751,0.05838174982911825,0.11915584415584415,0.09292318634423898,0.053522671867381764,0.05469513851167843,0.2102952913008779,0.09388686131386861,0.052650103519668735,0.14416230366492147,0.07365851011882156,0.06428571428571428,0.11766185969656001,0.04649713808728834,0.07094918504314478,,0.03936335403726708
-11,0.1027423073512459,0.09633089859011382,0.09013975155279504,0.06451048951048952,0.06098488542174549,0.1359260531135531,0.09144944506669381,0.04653012863913338,0.08333333333333333,0.07506802721088435,0.10090682482379233,0.0706235827664399,0.10017942583732058,0.1343413277719847,0.08516483516483517,,0.09123168498168499,0.04870479610156451,0.07922257300710339,0.07287414965986394,0.07123671782762692,0.0652855607584248,0.05822411533420708,0.05222772277227723,0.07319508448540707,0.10313721233174121,0.07715331860978729,0.12484158986175115,0.09832078462452944,0.060888785481619356,0.0492960010286743,0.21521501457725947,0.07888482632541133,0.04856150793650794,0.15872667398463228,0.06848532931016543,0.12303921568627452,0.1121713985278654,0.04759997590941942,0.0784547152194211,,0.06626984126984127
-10,0.09895503483217226,0.09608049953590414,0.07152964959568733,0.07081060347766792,0.06544825348761761,0.13486903466500855,0.09859693877551019,0.041461511789181685,0.07336309523809524,0.1024422268907563,0.10358048162230671,0.07129568106312292,0.08979443521594684,0.10522486772486772,0.10476190476190476,,0.06680900621118012,0.04482142857142857,0.06246598639455782,0.05178162798300098,0.0794425087108014,0.06521178282633808,0.08805309734513274,0.042499999999999996,0.061517857142857145,0.06357900050479556,0.0795966651644885,0.15027472527472527,0.08428344310697251,0.06645124716553288,0.048949795081967215,0.21633974833456698,0.08188073394495413,0.05619458128078818,0.14828522782552295,0.06854981511379615,0.07212885154061624,0.12034143518518518,0.04405849549121974,0.07511496014714898,,0.039233193277310924
-9,0.09417935206869633,0.09430463842808827,0.09253571428571428,0.06472727272727273,0.07512387981022667,0.143825763388062,0.09246410830285495,0.04562239944521498,0.11175595238095237,0.10423469387755102,0.10471353679086313,0.07562830687830688,0.09461555264307557,0.13426763110307413,0.05052910052910053,,0.08564026646928201,0.04695839874411303,0.06598263614838201,0.05916190476190476,0.05127551020408163,0.065803862261517,0.047111801242236025,0.07063492063492063,0.0663022351797862,0.1100125313283208,0.07439721530450533,0.1311530230069556,0.09054500412881916,0.06413878842676311,0.04708559682865952,0.18889304412864621,0.07127645502645502,0.06002304147465438,0.14978059483178935,0.07215209928703459,0.11325396825396826,0.12591045616669794,0.04162590991810737,0.07804957599478148,,0.04392857142857143
-8,0.1317554369058471,0.10759311443273707,0.11138095238095237,0.07444298820445609,0.08514240266626269,0.16051020408163263,0.12262088194291583,0.030454919720049402,0.15127551020408164,0.09097300337457818,0.1403464229293613,0.08545655375552283,0.12897759103641457,0.1667145468790807,0.19583333333333333,,0.13101233299075024,0.04762208454810496,0.07844202898550724,0.05884158821121572,0.08923872180451128,0.07232420141969831,0.055335097001763665,0.06416256157635468,0.11428571428571428,0.12196825396825398,0.10237959648551904,0.14933281004709575,0.11482450738916257,0.05798040455120101,0.054376102292768964,0.22547332185886404,0.09387038523274478,0.08197278911564626,0.16888875482625484,0.07912781300509761,0.1735930735930736,0.16719509232264335,0.045071085988352175,0.09032613045218088,,0.03957142857142857
-7,0.134045340624288,0.13632017588710502,0.12843406593406595,0.08189392399918716,0.10260512530086366,0.17519305019305018,0.13827991249762223,0.05794565664882668,0.1350985221674877,0.08682048040455119,0.21212605042016808,0.10480721700444884,0.2382721137499356,0.3322859387274156,0.2280812324929972,,0.1497014239779513,0.06191565871199738,0.10341305036426987,0.12290611279972982,0.08200319233838788,0.08560938394049208,0.06769562096195263,0.09698979591836734,0.2563399778516058,0.13333333333333333,0.10136195752539244,0.1802493842364532,0.11731859410430838,0.087910938433951,0.07263358173458062,0.26117109634551494,0.10331079177233023,0.09238358326756117,0.1907763105242097,0.10600961538461538,0.24849624060150377,0.17958874458874458,0.07074079381000142,0.08913934426229508,0.3089902627717754,0.09503631961259079
-6,0.11088692902903735,0.08663721804511279,0.11808862433862434,0.08338607594936709,0.07368799603174603,0.1697949080622348,0.1241698130725427,0.04312521618817019,0.07452380952380952,0.10267857142857142,0.11808955686396035,0.08692313750196881,0.11216951645523074,0.1834071509099694,0.10703781512605041,0.24290540540540542,0.08281041388518023,0.04935363716038563,0.060655737704918035,0.06771053917576153,0.07461389961389961,0.05944678537447329,0.06078296703296703,0.05934065934065934,0.09505208333333333,0.09873036170990135,0.08655995167623075,0.14280968201233982,0.09048944744935837,0.06594844549390004,0.05400283966797728,0.19358695652173913,0.10077288341079005,0.08743907011623547,0.15434362934362933,0.08779495316578799,0.21063829787234042,0.10992348772722606,0.05643713924963925,0.06194196428571429,0.16781568348732526,0.058314732142857144
-5,0.09869795918367347,0.09526515151515152,0.10374823196605373,0.07623809523809524,0.0718589236248516,0.13707152764018227,0.10723422948515199,0.04426492819349962,0.11262755102040815,0.08388585099111416,0.12074468085106382,0.07083333333333333,0.1159100853204988,0.19119948776323278,0.1371262458471761,0.07771739130434784,0.09862637362637362,0.042950262927256795,0.05559098639455782,0.06933300717547293,0.05743021346469622,0.05603473707500553,0.037420280612244894,0.04631336405529954,0.08410311493018259,0.10044310528181495,0.08014785077841965,0.14257237778832463,0.07806948386418586,0.0617009867009867,0.04653121381198021,0.1982001133786848,0.08685254803675857,0.06840875093492894,0.14353954081632653,0.08791460576083794,0.12990196078431374,0.1382435886137305,0.049814441491798776,0.07805092889173607,0.19866442421844083,0.029497354497354498
-4,0.10487502994490137,0.10304175942273738,0.07685025817555939,0.0727461447212337,0.07861640211640211,0.14110183051715308,0.10436736740321598,0.04734349919743178,0.18767857142857142,0.05252394253790901,0.1293410085004539,0.07894605394605395,0.11626052661662158,0.15429080075570412,0.15714285714285714,0.12452667814113597,0.10172920433996384,0.05436182669789227,0.0547166968053044,0.05401162790697675,0.06112078977932636,0.07389095172952902,0.05992990654205607,0.06258116883116883,0.10529361942405421,0.08656091864538731,0.07909640470887687,0.12159404302261445,0.07980376766091052,0.05342261904761905,0.04896672318779143,0.1385204081632653,0.07552988554472234,0.05997171145685997,0.1534065934065934,0.08935187496879213,0.07331168831168831,0.14412601471815492,0.055871353777112935,0.06855606758832565,0.21065714285714285,0.2736842105263158
-3,0.10247610196494955,0.09892498099180534,0.10879464285714287,0.07708031182015954,0.07263753327417924,0.10994246673858324,0.10830597690740322,0.04800228310502283,0.08235930735930737,0.047058111380145276,0.12045015300370429,0.0897984152878117,0.12120369274470352,0.16193845462713385,0.09659863945578231,0.09694548872180452,0.07637362637362638,0.05233341975628727,0.05446058091286307,0.065835656880433,0.07320675105485233,0.0783923454768727,0.05001616031027796,0.06994047619047619,0.1110441767068273,0.08703885400313972,0.08728142527218741,0.14574493163602073,0.07944807757357086,0.05096652522395097,0.05449024086378738,0.19006849315068494,0.07955253322259136,0.04676781002638523,0.15949529512403765,0.08774426617299187,0.13953201970443352,0.13129231550440082,0.04861396303901438,0.09865897720956086,0.14792557741659537,0.08171256454388985
-2,0.10560246462802374,0.09977268466441694,0.09919137466307278,0.08159450696166316,0.07733325546081064,0.13985854269505638,0.10962458012250544,0.045818815331010454,0.13191244239631336,0.04086239847109412,0.11593932817512738,0.0801095315777208,0.12023556692094314,0.16060030395136776,0.08712406015037595,0.058982683982683984,0.10438682322243965,0.043567482241515396,0.06741446578631453,0.056448903818953323,0.11357832988267771,0.07622424172262098,0.04950638792102207,0.04642857142857143,0.08481222385861562,0.08260869565217391,0.07715705548274356,0.15415094339622643,0.07859254343629343,0.05829646017699115,0.04850633499941881,0.17691540303272146,0.058507594100814436,0.06593333333333334,0.1445299777942265,0.07632814710042433,0.1771978021978022,0.13633045014880954,0.05200908114441949,0.07579195857447456,0.17613275613275614,0.03054945054945055
-1,0.10181645829063332,0.08999011369253583,0.07676609105180533,0.09686321141545022,0.0727327935222672,0.15023773228803716,0.10881091020533253,0.04574692780337942,0.08252551020408162,0.02841970121381886,0.1253297830760211,0.07289637445887445,0.11228323699421965,0.1649283242708848,0.25613839285714285,0.05404411764705882,0.09778652906029331,0.04844155844155844,0.0668554006968641,0.07333603896103896,0.07248168498168497,0.08221243042671614,0.050452079566003616,0.05384615384615385,0.09395043731778425,0.10275200989486703,0.07569722287597082,0.13293650793650794,0.08062901631240732,0.1010697827518104,0.047162857142857145,0.15932944606413993,0.08375900805426029,0.05073891625615763,0.15303388173969704,0.08346860377794466,0.09613095238095237,0.11819816873773709,0.04595429721184248,0.06188920012449425,0.16421908315565031,0.026540616246498602
0,0.09107142857142857,0.09262845465161541,0.09241531664212076,0.08068000637755102,0.08049410791813108,0.1327031746031746,0.10333566433566434,0.0427807486631016,0.16159029649595688,0.045566832631175794,0.11342307327708787,0.08314873417721519,0.11167775546070802,0.15053651505445229,0.14936507936507937,0.07191964285714285,0.09118428040361126,0.045950255102040816,0.06663556158805564,0.06590698536223828,0.10515552995391705,0.07178682514996666,0.05415931804820694,0.052946428571428575,0.09546332046332047,0.10749097472924188,0.07475868725868726,0.14010093167701865,0.0839049976426214,0.07886904761904762,0.050151379233011883,0.1451583210603829,0.06889966969446738,0.05818293055980422,0.15229453644946603,0.08109041382346467,0.09125939849624061,0.10647276874821786,0.052211981566820276,0.07540273556231003,0.18645243065911124,0.03741758241758242
1,0.09506344933666602,0.09471051336722978,0.09222154963680389,0.08853021978021978,0.07607541157727031,0.14253001200480192,0.10247232075674514,0.06253486210102262,0.2228021978021978,0.035501930501930505,0.12472852316602316,0.07161453366393286,0.11533184247432059,0.14020357142857143,0.16173469387755102,0.06334325396825397,0.09760397830018083,0.04937180083759888,0.05375187969924812,0.0714069526115531,0.05966796875,0.07992736077481839,0.057183288409703506,0.05347619047619048,0.0849859943977591,0.08037190082644628,0.0797651797995677,0.13781580156178228,0.1009608843537415,0.07041778975741239,0.051103670634920634,0.14287482319660536,0.08456382553021208,0.05154377880184331,0.15381623071763917,0.07903857745629897,0.25612934362934364,0.11248473748473747,0.05907846715328467,0.07733807506053268,0.18231513384574607,0.086727078891258
2,0.1877043061449002,0.09349038931422056,0.12253193960511033,0.08122287797257421,0.06618634438591055,0.13939530414940252,0.10740678207087762,0.04886871875822152,0.1207641196013289,0.03774875621890547,0.11644415431266847,0.06696303696303696,0.12378129602356405,0.165260725119168,0.1357142857142857,0.06917989417989417,0.09915327833260965,0.051094470046082946,0.061160714285714284,0.06801872721246272,0.0864166168559474,0.08371670702179178,0.03653395784543326,0.07937399678972712,0.11546703296703296,0.05461644464859899,0.08262942106303102,0.1283865002311604,0.07835472898836954,0.06298054105363075,0.05045629202689721,0.14265567765567766,0.08120111156854673,0.05634328358208955,0.14643438335464373,0.07868410738781109,0.11733870967741936,0.12705223880597014,0.05191743791807936,0.08740601503759399,0.1694950331125828,0.10038961038961039
3,0.10313244047619047,0.09384106514821638,0.09780471821756226,0.08356971975393028,0.07596532487420696,0.13392541087231352,0.10545435176307659,0.055357142857142855,0.08739067055393587,0.037828355523569626,0.13299925932784,0.0730164751788424,0.11031258531258531,0.16086694120988354,0.10535714285714286,0.07483766233766233,0.09880184331797234,0.04956691979117228,0.05687346059113301,0.0679084451460142,0.06950442967884829,0.08400301754943222,0.051990632318501165,0.04238445378151261,0.08879264392324093,0.06118106817194963,0.07511743081793117,0.1231681602530311,0.0786140724946695,0.07810727178958227,0.05400561262310706,0.16013251454427924,0.0708190610517832,0.05351731601731602,0.1468831734960767,0.0724011431983961,0.08869047619047618,0.12312935156446607,0.048784417106033984,0.06407751441383729,0.17330891330891332,0.0724937343358396
