cycle,AL,AR,CA,CO,FL,GA,IL,IN,KS,KY,LA,MI,MN,MO,MS,NE,NY,OH,OK,PA,SC,TN,TX,WA,WV
-13,,,,,1.0,0.003869047619047619,0.030357142857142857,,,,,,,,0.0017857142857142857,,,,,,,,0.041188108766233765,,
-12,1.0,,,,1.0,0.013571428571428571,,,,,1.0,,,,,,,,,,,,0.04112173038229376,,
-11,,,,1.0,1.0,0.006428571428571428,0.0017857142857142857,,,,,,,,0.0017857142857142857,,,,,,,,0.042712038944017976,,
-10,,0.0017857142857142857,,0.9660714285714286,,0.0035714285714285713,0.026785714285714284,,,,,,,,,,,,,,1.0,,0.03656667341157426,,
-9,0.9607142857142857,,,,,0.010267857142857143,0.0026785714285714286,,1.0,,,,,,,,,,,,,,0.0365990990990991,,
-8,,,,0.8982142857142856,,0.005357142857142857,0.0023809523809523807,,,,,,,,,,,,,,,,0.03630408429690414,,
-7,1.0,,,0.7125,0.89375,0.19151785714285713,0.0035714285714285713,1.0,,0.875,,,,,0.0017857142857142857,,1.0,,,0.8964285714285715,,0.6553571428571429,0.03556166056166056,,
-6,0.9142857142857144,,,0.5928571428571429,0.8875000000000001,0.0035714285714285713,0.0017857142857142857,,,0.5357142857142857,,,,,0.0017857142857142857,,,,,,1.0,,0.027265139751552796,,
-5,1.0,,,0.8446428571428571,0.9321428571428572,0.0026785714285714286,0.0023809523809523807,,1.0,,,,,,0.28928571428571426,,0.0017857142857142857,0.7821428571428571,,,0.9964285714285714,,0.027424255768892018,,
-4,,,0.6857142857142857,0.8160714285714286,0.7660714285714286,0.008035714285714285,0.006547619047619048,,0.6901785714285714,0.8482142857142857,1.0,,,,0.25892857142857145,0.5892857142857143,,,,,,,0.0269489914021164,0.475,
-3,1.0,,,0.4625,0.7352678571428571,0.0047619047619047615,0.0035714285714285713,,1.0,,,,,,0.0017857142857142857,,0.0017857142857142857,,,,0.8714285714285714,,0.02565614617940199,,
-2,0.6839285714285714,,,0.5660714285714286,0.5428571428571428,0.10892857142857142,0.0035714285714285713,,0.7473214285714286,0.8910714285714286,,,,,0.0017857142857142857,0.5714285714285714,0.1,,,,,,0.02915071529316945,,
-1,0.6821428571428572,,0.7058035714285714,0.7446428571428572,0.4385714285714286,0.17008928571428572,0.024999999999999998,,1.0,0.3625,0.8660714285714285,,,0.625,0.18214285714285713,,,,0.8767857142857143,,0.44821428571428573,,0.027002442002442003,,0.46875
0,0.32857142857142857,,0.36607142857142855,0.47270408163265304,1.0,0.24107142857142858,0.0023809523809523807,,0.4419642857142857,,0.39107142857142857,0.7875,0.4160714285714286,,,,0.0017857142857142857,,,,0.675,0.39107142857142857,0.04543325526932085,,
