cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.0,0.0,0.0,0.009523809523809525,0.1111111111111111,0.008547008547008548,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,0.0,0.05263157894736842,0.0,,0.0,0.01282051282051282,0.047619047619047616,0.0,0.0,0.006578947368421052,0.0,0.0,0.2,0.02702702702702703,0.0058823529411764705,0.1,0.0,0.06,0.02040816326530612,0.26785714285714285,0.0,0.0,0.0012908777969018932,0.007090971982013145,0.041666666666666664,0.0,0.0055248618784530384,0.10416666666666667,,0.0
-12,0.0,0.0,0.0,0.011673151750972763,0.0605369807497467,0.011673151750972763,0.0,0.0,0.0,0.0,0.002617801047120419,0.006613756613756614,0.047619047619047616,0.011627906976744186,0.0,,0.08695652173913043,0.006896551724137931,0.04,0.008281573498964802,0.0,0.016409266409266408,0.0,0.0,0.2222222222222222,0.0,0.004685289957567185,0.05405405405405406,0.025740025740025742,0.03571428571428571,0.0,0.05263157894736842,0.0,0.008486562942008486,0.00546448087431694,0.00699912510936133,0.045454545454545456,0.020889487870619946,0.003650355169692186,0.018229166666666668,,0.0
-11,0.0,0.0,0.0,0.0,0.12252747252747254,0.010220864661654136,0.004132231404958678,0.0,0.0,0.0,0.0047715442452284556,0.0,0.0,0.014285714285714285,,,0.07142857142857142,0.0064516129032258064,0.0,0.0,0.0,0.019857142857142858,0.0,0.0,0.1507936507936508,0.039390756302521014,0.0030864197530864196,0.08823529411764706,0.016233766233766236,0.01639344262295082,0.01984126984126984,0.11263736263736265,0.0,0.0,0.0064516129032258064,0.00736409608091024,0.05357142857142857,0.013513513513513514,0.008607043925603483,0.07272727272727272,,0.0
-10,0.0,0.0,0.0,0.0078125,0.043478260869565216,0.01270733012306046,0.007294832826747721,0.0,0.0,0.015151515151515152,0.003826530612244898,0.0,0.0,0.034482758620689655,0.0,,0.0,0.006369426751592357,0.0,0.013888888888888888,0.0,0.02,0.0,0.0,0.16666666666666666,0.02040816326530612,0.0026109660574412533,0.1261904761904762,0.014814814814814815,0.011363636363636364,0.0,0.07692307692307693,0.0,0.0,0.01053113553113553,0.00826771653543307,0.007857142857142858,0.015384615384615385,0.0,0.0511727078891258,,0.0
-9,0.0,0.0,0.034482758620689655,0.011450381679389313,0.04735449735449735,0.0,0.003676470588235294,0.0,0.0,0.0,0.004048582995951417,0.0,0.0,0.036585365853658534,0.0,,0.029411764705882353,0.006711409395973154,0.03759398496240601,0.0,0.0,0.013933982683982686,0.0,0.0,0.0,0.018518518518518517,0.0,0.14136904761904762,0.022123893805309734,0.04699248120300752,0.0,0.0,0.0,0.0,0.005747126436781609,0.002512562814070352,0.03076923076923077,0.008968609865470852,0.007371007371007371,0.036830357142857144,,0.038461538461538464
-8,0.0,0.03773584905660377,0.0,0.0071428571428571435,0.09168956043956043,0.0037593984962406013,0.0036075036075036075,0.0,0.0,0.0,0.016988416988416986,0.0,0.009523809523809523,0.01694915254237288,,,0.04,0.004347826086956522,0.0,0.016666666666666666,0.0,0.02067669172932331,0.0,0.0,0.0,0.0,0.017104542966611933,0.11869747899159663,0.023255813953488372,0.013333333333333334,0.0,0.33458646616541354,0.013888888888888888,0.0,0.023340832395950507,0.010072350688040856,0.0797872340425532,0.003424657534246575,0.005120327700972862,0.05660377358490566,,0.0035714285714285713
-7,0.01639344262295082,0.0,0.0,0.011904761904761906,0.1189209726443769,0.014705882352941176,0.0025726392251815985,0.0,0.0,0.0,0.020077220077220077,0.02702702702702703,0.01040596094552929,0.020833333333333332,0.0,,0.04100529100529101,0.008522727272727272,0.05154220779220779,0.018002322880371662,0.0,0.03521825396825397,0.0,0.0,0.2,0.0,0.01281055900621118,0.11214285714285716,0.019950738916256157,0.0376984126984127,0.0,0.07692307692307693,0.0,0.0,0.006147540983606557,0.017142857142857144,0.02346938775510204,0.03134110787172011,0.01669973544973545,0.02,0.1076923076923077,0.0
-6,0.022571428571428572,0.0,0.0,0.016459627329192546,0.06164383561643835,0.012690925426774483,0.0028089887640449437,0.0,0.0,0.02197802197802198,0.013842153563780973,0.0,0.0,0.016666666666666666,0.0,,0.037981859410430835,0.007462686567164179,0.012048192771084338,0.003968253968253968,0.0,0.011278195488721804,0.0,0.0,0.16666666666666666,0.0,0.010638297872340425,0.020833333333333332,0.008017492711370262,0.009259259259259259,0.0,0.23076923076923078,0.0,0.010596546310832025,0.005494505494505495,0.013954972728327722,0.0,0.01649659863945578,0.00663716814159292,0.04477611940298507,0.008771929824561403,0.0
-5,0.0,0.0,0.0,0.01400094921689606,0.12792207792207794,0.005847953216374269,0.0,0.0,0.0,0.0,0.0055147058823529415,0.0,0.005154639175257732,0.01,0.3333333333333333,,0.016281512605042018,0.005714285714285714,0.0175,0.019417475728155338,0.0,0.014084507042253521,0.0,0.0,0.0,0.013888888888888888,0.0032467532467532465,0.05387409200968524,0.01488095238095238,0.0,0.003968253968253968,0.0,0.0,0.011235955056179775,0.009911141490088857,0.007363770250368189,0.0,0.010349854227405248,0.003616636528028933,0.02551020408163265,0.043478260869565216,0.0
-4,0.0,0.0,0.0,0.013498312710911137,0.06937307297019527,0.004543533389687235,0.007243460764587525,0.0,0.0,0.004658385093167702,0.013671875,0.0,0.011396011396011397,0.025,0.14285714285714285,0.0,0.016129032258064516,0.0007338551859099804,0.02127659574468085,0.004310344827586207,0.0,0.020966595593461267,0.0,0.038461538461538464,0.0,0.023255813953488372,0.006389776357827476,0.12662337662337664,0.004672897196261682,0.021052631578947368,0.009950248756218905,0.05133928571428571,0.0,0.012345679012345678,0.010063141278610892,0.011098811465858775,0.0,0.0006925207756232687,0.0,0.0775375939849624,0.032037815126050424,0.0
-3,0.0,0.0,0.0,0.012623152709359608,0.030120481927710843,0.001321003963011889,0.002617801047120419,0.0,0.0,0.013333333333333334,0.012600806451612902,0.0023809523809523807,0.008595988538681949,0.0,0.0,,0.0,0.006578947368421052,0.011212624584717609,0.0047169811320754715,0.0,0.005494505494505495,0.0,0.04,0.2,0.0,0.004594820384294068,0.0472972972972973,0.007896625987078248,0.0,0.0,0.2,0.0,0.0,0.0030096308186195824,0.0131293125479172,0.0,0.01144050935137286,0.0004725897920604915,0.04225352112676056,0.016,0.0
-2,0.0,0.0,0.0,0.014159848961611076,0.05794205794205795,0.003389830508474576,0.0,0.0,0.0,0.011111111111111112,0.005631298162418494,0.0,0.0060790273556231,0.0,0.0,,0.0,0.007887817703768623,0.0449438202247191,0.010160098522167487,0.0,0.01969111969111969,0.0,0.0,0.6,0.017543859649122806,0.009202453987730062,0.15595238095238095,0.009259259259259259,0.02806122448979592,0.01092896174863388,0.0,0.0,0.0032765399737876805,0.008035714285714287,0.00896818354671061,0.01282051282051282,0.01341991341991342,0.005234561357010336,0.015625,0.02497314715359828,0.0
-1,0.0,0.0,0.0,0.026233766233766234,0.03597122302158273,0.0,0.0027624309392265192,0.0,0.0,0.013513513513513514,0.008771929824561403,0.0,0.005670513330680462,0.019801980198019802,0.0,0.0,0.0,0.0,0.02702702702702703,0.010248447204968944,0.0,0.01282051282051282,0.0,0.0,0.5,0.0,0.008955223880597015,0.02702702702702703,0.0055248618784530384,0.005547850208044382,0.014251373626373628,0.15384615384615385,0.008771929824561403,0.0,0.0,0.00658062867365193,0.0,0.013991163475699557,0.0019569471624266144,0.04081632653061224,0.00819672131147541,0.045454545454545456
