cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.09653277756726034,0.05726092089728453,0.02040816326530612,0.05858913813459268,0.05410790925812385,0.09231049562682216,0.08715503246753246,0.009787087912087912,0.0,0.04898862199747155,0.04441498176997017,0.054653679653679656,0.22023809523809523,0.1337897853441895,0.2959183673469388,,0.05071428571428571,0.015701970443349752,0.064209726443769,0.06653061224489795,0.2,0.022609278177859654,0.09183673469387756,0.02857142857142857,0.06648936170212766,0.06892857142857142,0.01883021249737008,0.06593406593406594,0.039665653495440725,0.04424603174603175,0.007159904534606206,0.1,0.051662174303683736,0.022388059701492536,0.11361954108068097,0.04035081185758975,0.04336734693877552,0.1078125,0.020929339477726575,0.02631578947368421,,0.0
-12,0.06758241758241758,0.049281314168377825,0.025824175824175826,0.04376376885273683,0.020833333333333332,0.060064935064935064,0.06353464132434089,0.002898550724637681,0.04591836734693877,0.033112582781456956,0.02340844454167578,0.0014705882352941176,0.12749169435215946,0.0661764705882353,0.0,,0.05714285714285715,0.0049382716049382715,0.019505494505494506,0.06517857142857143,0.08333333333333333,0.028855450809765527,0.0,0.03333333333333333,0.05719280719280719,0.03441084462982273,0.008138583249977266,0.043002915451895045,0.021172898689677217,0.04316546762589928,0.005078383749172003,0.16666666666666666,0.034742468415937804,0.03346047156726768,0.07973574045002617,0.03184436311273774,0.01683087027914614,0.07028265851795264,0.01037936065791219,0.038198757763975154,,0.0
-11,0.07235923685435086,0.05059523809523809,0.013769363166953527,0.027068519715578537,0.038177339901477834,0.07919693301049233,0.05789080029917726,0.0056179775280898875,0.05,0.01360544217687075,0.03809117503656753,0.01910828025477707,0.10025817555938038,0.06055008210180624,0.2,,0.08641581632653061,0.0,0.044084821428571425,0.061048557353976074,0.14495798319327732,0.017293233082706767,0.0,0.057692307692307696,0.058673469387755105,0.0228110599078341,0.009728388613214938,0.05094726062467998,0.011627906976744186,0.09053769109119662,0.005829651448208149,0.16241496598639454,0.028273809523809524,0.02459016393442623,0.06662608225108226,0.036348092683214435,0.03431372549019608,0.10853174603174602,0.0062836624775583485,0.019067796610169493,,0.041666666666666664
-10,0.06609130138541904,0.06960317460317461,0.052313883299798795,0.028022617661732915,0.0428987921699292,0.07147852147852148,0.0622564935064935,0.0013008514664143802,0.0,0.022058823529411766,0.0357745121657432,0.030395136778115502,0.10797342192691028,0.08523713128976286,0.23214285714285715,,0.046759941089838,0.0012487512487512488,0.018299881936245575,0.08035714285714285,0.1320754716981132,0.016618873826903025,0.08333333333333333,0.02857142857142857,0.022058823529411766,0.07813998082454458,0.012316362715298885,0.07426508509541001,0.012162162162162163,0.055042016806722695,0.006622516556291391,0.1875,0.04326676907322068,0.024825783972125433,0.09268060836501901,0.042111091682695105,0.032509157509157505,0.10047332185886401,0.014421830438164376,0.07868303571428571,,0.05263157894736842
-9,0.06461086637298091,0.06707086017430845,0.046153846153846156,0.03408885678165072,0.019160997732426303,0.0644493301973617,0.0643868658574541,0.0031545741324921135,0.0,0.0,0.023966165413533833,0.03355704697986577,0.11693548387096774,0.09562431842966193,0.0,,0.04343629343629343,0.00294811320754717,0.008695652173913044,0.0828354155350353,0.10526315789473684,0.02894843139894978,0.03869047619047619,0.04716981132075472,0.0638655462184874,0.0273224043715847,0.01683433936955064,0.07243258749282845,0.0016793551276309898,0.042801556420233464,0.008437590922315974,0.08285714285714287,0.045004826254826255,0.018018018018018018,0.08243355481727574,0.041556807286673055,0.044444444444444446,0.10950023573785951,0.008983347940403156,0.02329192546583851,,0.15789473684210525
-8,0.08197208197208197,0.0542016806722689,0.08072407045009786,0.02922077922077922,0.036449147560258674,0.08953213300039427,0.06739171732522796,0.005,0.2,0.013943248532289627,0.05442176870748299,0.008547008547008548,0.137987012987013,0.13388230940044413,0.03571428571428572,,0.06666666666666667,0.0034482758620689655,0.0449438202247191,0.10528975741239893,0.15040241448692154,0.0192017361766371,0.0,0.023809523809523808,0.05227272727272727,0.056451612903225805,0.014042588866532528,0.09034653465346534,0.018929833417465926,0.041836734693877546,0.005988023952095809,0.20770676691729326,0.034518113465481885,0.03246753246753247,0.08982094200077852,0.040508030849784195,0.001020408163265306,0.12264437689969605,0.009129332206255284,0.02857142857142857,,0.0
-7,0.08740942028985507,0.06261245052177042,0.06493506493506494,0.030028429282160624,0.04539738430583501,0.08521870286576169,0.09571558796718323,0.00592568866111467,0.0,0.03826530612244898,0.09690498716042709,0.034815813117699906,0.17549158967069414,0.152336860670194,0.0,,0.0481859410430839,0.0033068783068783076,0.021106941838649154,0.0875560319625804,0.13157894736842105,0.045309168443496806,0.0,0.01517857142857143,0.17918985776128635,0.04822437449556093,0.014897729102915125,0.12468112244897958,0.013580827067669173,0.08076298701298702,0.013166556945358789,0.17401215805471126,0.08333333333333333,0.026785714285714284,0.11164993153811044,0.06356292517006802,0.028649921507064365,0.13857661708751295,0.00999362955884695,0.05285714285714285,0.20355191256830601,0.07142857142857142
-6,0.058920587609112195,0.047437888198757765,0.004409171075837742,0.030909410523848588,0.038932724252491696,0.09763672170883199,0.07879850211138555,0.04291845493562232,0.0,0.04995173745173745,0.050677583286278936,0.05010277492291881,0.09800576281468001,0.10457348406988695,0.0,0.16800804828973842,0.04637526652452026,0.013528138528138528,0.02966351829988194,0.038306451612903226,0.07355021216407355,0.02852634742536566,0.0,0.02040816326530612,0.025195694716242664,0.02860882572924458,0.018878435256251547,0.08114285714285714,0.01527943813508667,0.03843424787133397,0.007623888182973317,0.15695488721804512,0.06129614767255217,0.014285714285714285,0.08718338399189463,0.04352678571428572,0.04596273291925466,0.074388318863457,0.0150106742572496,0.025269541778975745,0.08377100840336135,0.0
-5,0.06885882106146424,0.04418498168498168,0.0056990881458966565,0.07425310115893076,0.035084562792371356,0.058531137776999205,0.053111739745403105,0.006048387096774193,0.0,0.022364217252396165,0.049007534048102,0.03350970017636684,0.09729751275510204,0.08636258393146562,0.02100840336134454,0.08797909407665505,0.04715219421101774,0.004464285714285714,0.031180400890868598,0.05284256559766764,0.07397959183673469,0.0323729184925504,0.0,0.02792207792207792,0.05629770992366412,0.027099784637473083,0.011750405186385737,0.03153254972875226,0.011754587155963303,0.02606516290726817,0.011053373260524925,0.15555555555555556,0.03256899350649351,0.007067137809187279,0.08011727078891258,0.04981633371911638,0.017987486965589158,0.0748198389147944,0.007643224384869629,0.036848072562358274,0.1013377082281676,0.08333333333333333
-4,0.056485799067401435,0.062279750609921386,0.014084507042253521,0.03385281385281386,0.02601156069364162,0.06311869948233585,0.0524688228733651,0.008774097874443896,0.0,0.020539546290619253,0.049272156415013556,0.01906916612798966,0.09434031877213696,0.09208185053380782,0.0,0.02127659574468085,0.029914529914529916,0.0023017523017523018,0.028445006321112517,0.05063291139240506,0.09151785714285714,0.03461538461538462,0.0,0.02,0.03409090909090909,0.03524229074889868,0.014740259740259741,0.05757783882783883,0.011865079365079365,0.03966836734693878,0.004398708635996771,0.14211309523809523,0.04711246200607903,0.027792696025778732,0.06844750993687164,0.04359188001817906,0.026603498542274052,0.09926202623906705,0.010092194772645901,0.044296788482835,0.08563122923588039,0.125
