cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.0057306590257879654,0.0019120458891013384,0.0,0.0,0.00024098708309234625,0.0045351473922902496,0.004410850303124514,0.000702576112412178,0.0,0.02857142857142857,0.0019723865877712033,0.0,0.0,0.020618556701030927,0.0,,0.0,0.0034965034965034965,0.0,0.0058823529411764705,0.0,0.0025020850708924102,0.0,0.0,0.01834862385321101,0.0,0.0,0.0,0.0,0.0,0.001524390243902439,0.02666666666666667,0.017045454545454544,0.0,0.005592469545957918,0.0,0.0,0.00583941605839416,0.001272264631043257,0.004166666666666667,,0.0
-12,0.008689839572192513,0.0025254782764169495,0.0,0.0012515644555694619,0.0013689253935660506,0.004730843667120637,0.0033178679326715584,0.0,0.0,0.008695652173913044,0.005707762557077625,0.0015455950540958269,0.0049504950495049506,0.012922932330827067,0.020935960591133004,,0.0,0.001968503937007874,0.0,0.0,0.0,0.0017342582710779082,0.0,0.0,0.006578947368421052,0.0,0.0,0.0,0.001422475106685633,0.0,0.0009505703422053232,0.02154828411811652,0.010948905109489052,0.0,0.014659685863874346,0.0015191796429927839,0.0,0.001765059336037254,0.0008347245409015025,0.0022371364653243847,,0.0
-11,0.0031036623215394167,0.005520638695430609,0.0,0.0011655011655011655,0.0027303754266211604,0.002670940170940171,0.001120048874859994,0.0,0.0,0.009523809523809525,0.0024067388688327317,0.0,0.0023923444976076554,0.009515119916579771,0.0,,0.0,0.0,0.0055248618784530384,0.002976190476190476,0.0,0.0037614185921547557,0.0,0.0,0.016129032258064516,0.00303951367781155,0.0008136696501220504,0.004032258064516129,0.0,0.0,0.0,0.025510204081632654,0.005484460694698354,0.0,0.014779676964089699,0.0032774945375091042,0.0,0.0015772870662460567,0.0008431703204047217,0.0,,0.0
-10,0.006966434452184927,0.004176862712007425,0.0,0.006818956699624958,0.0013247539742619228,0.002720348204570185,0.00235172193877551,0.0,0.0,0.0,0.005069708491761723,0.0015503875968992248,0.0,0.009259259259259259,0.0,,0.0,0.0,0.004761904761904762,0.004576659038901602,0.0040650406504065045,0.002040816326530612,0.02654867256637168,0.0,0.0,0.0,0.0007886435331230284,0.0008675534991324465,0.0,0.0,0.0020491803278688526,0.03349370836417469,0.009174311926605505,0.0,0.01362088535754824,0.0004296651216082496,0.0,0.0023148148148148147,0.0,0.0,,0.0
-9,0.00273224043715847,0.004449186664519246,0.0,0.0,0.0007380073800738007,0.001611170784103115,0.0015284677111196026,0.0012135922330097086,0.0,0.014285714285714285,0.0,0.0,0.0030581039755351682,0.02423146473779385,0.0,,0.0051813471502590676,0.0,0.0055248618784530384,0.0,0.0,0.0010857763300760044,0.0,0.0,0.007774538386783284,0.0,0.000792393026941363,0.0,0.0,0.0031645569620253164,0.0,0.020942408376963352,0.009259259259259259,0.0,0.01840565577766943,0.0020464747821494584,0.0,0.002628120893561104,0.0,0.0,,0.0
-8,0.008171636931892174,0.005145797598627788,0.0,0.0045871559633027525,0.0,0.0036891679748822606,0.0025680534155110425,0.0,0.07142857142857142,0.007874015748031496,0.005077860528097495,0.0,0.00784313725490196,0.027422303473491772,0.05555555555555555,,0.0,0.0,0.0,0.0,0.0,0.0015527950310559005,0.0,0.0,0.006565126050420168,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.023666092943201378,0.011235955056179775,0.0,0.011824324324324325,0.0007304488374984459,0.030303030303030304,0.008321185617103984,0.0,0.0,,0.0
-7,0.011961722488038277,0.009305654974946313,0.0,0.002844950213371266,0.0009910802775024777,0.004805717571675019,0.004303785428951874,0.0,0.0,0.008849557522123894,0.005428571428571429,0.0,0.009099222090567204,0.007855459544383346,0.0,,0.0,0.002288329519450801,0.0030883750395945516,0.004728132387706856,0.0,0.0031232119015830633,0.0,0.0,0.02851605758582503,0.0,0.0009233610341643582,0.0,0.000992063492063492,0.0026897788404064557,0.0,0.024501661129568107,0.009509721048182587,0.0,0.01680672268907563,0.0022396082178690875,0.07894736842105263,0.0018181818181818182,0.0,0.0,0.01977457649726557,0.0
-6,0.009443381312921209,0.005845864661654135,0.0,0.0009041591320072332,0.0014384920634920634,0.008260254596888261,0.005748638276801188,0.0,0.0,0.0047169811320754715,0.005403625658506353,0.0011419121121436448,0.004357418643132928,0.024923498147849894,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0028544243577545195,0.007692307692307693,0.0,0.0,0.0025575447570332483,0.0007047216349541931,0.0,0.0007423904974016332,0.0028532073986619446,0.0,0.011801242236024845,0.011315417256011316,0.0026246719160104987,0.016047297297297296,0.001151660951016021,0.02127659574468085,0.0,0.0,0.0,0.0035536602700781805,0.0
-5,0.004755102040816327,0.00487012987012987,0.0,0.0022222222222222222,0.0,0.0027739251040221915,0.002143735723071516,0.0,0.0,0.003075871496924128,0.004160334346504559,0.0,0.003946984613140815,0.0117743312464428,0.0,0.0,0.0,0.0,0.0,0.0027315720808871492,0.0,0.002065049044914817,0.0,0.0,0.0,0.007444168734491315,0.0,0.0033222591362126247,0.0007358351729212656,0.003003003003003003,0.0,0.022392290249433105,0.01023391812865497,0.002617801047120419,0.004464285714285714,0.004000581902822229,0.04411764705882353,0.002886225434035428,0.0006414368184733803,0.0,0.01187178472497032,0.0
-4,0.007346482472251057,0.0022645275197666387,0.0,0.0011862396204033216,0.0007407407407407407,0.002240143369175627,0.002005515166708448,0.0,0.025,0.002793296089385475,0.005199306759098787,0.0,0.004944175589681058,0.006103763987792472,0.0,0.03614457831325301,0.0031645569620253164,0.001639344262295082,0.0,0.0011627906976744186,0.0,0.002051983584131327,0.0,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.009167019923696482,0.0,0.010061813186813187,0.001722674389574075,0.0,0.0041347393976177834,0.0,0.002150537634408602,0.0112,0.14912280701754385
