cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,,,,,,1.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.15503246753246752,,,,,,
-12,1.0,,,,,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.16498993963782696,,,,,,
-11,,,,,1.0,1.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.16598015352930162,,,,,,
-10,,0.0,,,1.0,,0.0,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.14316066369890731,,,,,,
-9,1.0,,,,,,0.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.16087516087516088,,,,,,
-8,,,,,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.14332338679597165,,,,,,
-7,1.0,,,,1.0,1.0,0.4464285714285714,,,0.0,1.0,,1.0,,,,,,0.0,,,,,,,,1.0,,,,1.0,,,1.0,0.11756497470783184,,,,,,
-6,1.0,,,,1.0,1.0,0.0,,,0.0,,,1.0,,,,,,0.0,,,,,,,,,,,,,1.0,,,0.11036490683229815,,,,,,
-5,1.0,,,,1.0,1.0,0.0,,,0.0,,1.0,,,,,,,0.5,,,,,,,,0.0,1.0,,,,1.0,,,0.11088603135458869,,,,,,
-4,,,,1.0,1.0,1.0,0.0,,,0.0,,1.0,1.0,1.0,,,,,0.5,,,,1.0,,,,,,,,,,,,0.10044642857142858,,,1.0,,,
-3,1.0,,,,1.0,1.0,0.0,,,0.0,,1.0,,,,,,,0.0,,,,,,,,0.0,,,,,1.0,,,0.08841362126245848,,,,,,
-2,1.0,,,,1.0,1.0,0.16666666666666666,,,0.0,,1.0,1.0,,,,,,0.0,,,,1.0,,,,1.0,,,,,,,,0.06548458593592585,,,,,,
-1,1.0,,,1.0,1.0,1.0,0.5,,,0.11904761904761905,,1.0,1.0,1.0,,,,1.0,0.3333333333333333,,,,,,,,,,1.0,,,1.0,,,0.06965811965811966,,,,,1.0,
0,1.0,,,1.0,1.0,1.0,0.3333333333333333,,,0.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,0.0,,,,,1.0,,1.0,0.1330015612802498,,,,,,
1,1.0,,,,1.0,1.0,0.2,,,0.0,,,,,,,,1.0,0.4,,,1.0,1.0,,,1.0,0.5,,,1.0,,,,,0.18849581420469888,,,,,1.0,
2,1.0,,,,1.0,1.0,0.6923076923076923,1.0,,0.0,,1.0,1.0,1.0,,,,1.0,0.5,,,,,,,1.0,,,,,,1.0,,1.0,0.17735696293630804,,1.0,1.0,,1.0,
