cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.07768924302788845,0.0549645390070922,0.17073170731707318,0.12396694214876033,0.14,0.06501950585175553,0.04477611940298507,0.10465116279069768,0.07142857142857142,0.10112359550561797,0.0735930735930736,0.09803921568627451,0.03225806451612903,0.059907834101382486,0.0,,0.018867924528301886,0.1148936170212766,0.06944444444444445,0.018518518518518517,0.07407407407407407,0.10434782608695652,0.2857142857142857,0.25925925925925924,0.11363636363636363,0.15789473684210525,0.13821138211382114,0.12727272727272726,0.15348837209302327,0.06756756756756757,0.1326530612244898,0.0,0.06666666666666667,0.2608695652173913,0.05365853658536585,0.0780993992353905,0.045454545454545456,0.07386363636363637,0.15714285714285714,0.13114754098360656,,0.030303030303030304
-12,0.08484848484848485,0.059967585089141004,0.13636363636363635,0.13970588235294118,0.144,0.09494232475598935,0.061224489795918366,0.13333333333333333,0.16666666666666666,0.07291666666666667,0.05565529622980251,0.14093959731543623,0.12605042016806722,0.0453257790368272,0.0,,0.109375,0.14411764705882352,0.13978494623655913,0.08376963350785341,0.2222222222222222,0.1368421052631579,0.03225806451612903,0.1724137931034483,0.0967741935483871,0.11607142857142858,0.14846416382252559,0.16455696202531644,0.12912912912912913,0.061068702290076333,0.10077519379844961,0.09090909090909091,0.0639269406392694,0.27445652173913043,0.0975609756097561,0.08913784705309304,0.10714285714285714,0.10185185185185185,0.20408163265306123,0.12857142857142856,,0.07142857142857142
-11,0.0821917808219178,0.10102489019033675,0.09090909090909091,0.10513447432762836,0.09333333333333334,0.08803418803418804,0.06228373702422145,0.11627906976744186,0.0,0.06666666666666667,0.059961315280464215,0.11180124223602485,0.1,0.06528189910979229,0.14285714285714285,,0.15873015873015872,0.1076923076923077,0.1,0.08888888888888889,0.09183673469387756,0.1453287197231834,0.14583333333333334,0.13793103448275862,0.058823529411764705,0.10638297872340426,0.13737373737373737,0.125,0.1276595744680851,0.04329004329004329,0.13008130081300814,0.07894736842105263,0.10276679841897234,0.19168591224018475,0.12658227848101267,0.08576480990274093,0.041666666666666664,0.1021671826625387,0.18333333333333332,0.16875,,0.0
-10,0.0871559633027523,0.05694444444444444,0.15555555555555556,0.11597938144329897,0.08208955223880597,0.08752327746741155,0.05555555555555555,0.11731843575418995,0.0,0.07142857142857142,0.09215686274509804,0.16,0.02564102564102564,0.06188925081433225,0.0,,0.14492753623188406,0.11855670103092783,0.038461538461538464,0.06692913385826772,0.07216494845360824,0.10369068541300527,0.20512820512820512,0.15,0.11290322580645161,0.13194444444444445,0.11720226843100189,0.10144927536231885,0.13535911602209943,0.07279693486590039,0.11811023622047244,0.08333333333333333,0.08955223880597014,0.15489130434782608,0.10655737704918032,0.08164185836716284,0.10526315789473684,0.07988165680473373,0.16883116883116883,0.12337662337662338,,0.04
-9,0.06692406692406692,0.06550218340611354,0.18604651162790697,0.14393939393939395,0.09219858156028368,0.08658008658008658,0.05525606469002695,0.10897435897435898,0.11764705882352941,0.1414141414141414,0.07909604519774012,0.13793103448275862,0.1111111111111111,0.06918238993710692,0.14285714285714285,,0.136986301369863,0.13784461152882205,0.11827956989247312,0.09090909090909091,0.13541666666666666,0.14165261382799327,0.25,0.07407407407407407,0.15517241379310345,0.10606060606060606,0.130859375,0.06153846153846154,0.1,0.09205020920502092,0.11702127659574468,0.027777777777777776,0.0694980694980695,0.350253807106599,0.11152416356877323,0.0945387792565397,0.07692307692307693,0.08359133126934984,0.14444444444444443,0.16129032258064516,,0.0
-8,0.07445255474452554,0.08376068376068375,0.10869565217391304,0.12138728323699421,0.10655737704918032,0.08807733619763695,0.04696969696969697,0.1092436974789916,0.1111111111111111,0.14285714285714285,0.09574468085106383,0.14615384615384616,0.07446808510638298,0.0673758865248227,0.0,,0.10909090909090909,0.10227272727272728,0.14130434782608695,0.11666666666666667,0.04918032786885246,0.1320754716981132,0.13636363636363635,0.14814814814814814,0.18,0.1511627906976744,0.125,0.08771929824561403,0.0967741935483871,0.08755760368663594,0.16666666666666666,0.041666666666666664,0.12568306010928962,0.34444444444444444,0.11206896551724138,0.08792372881355932,0.09836065573770492,0.06934306569343066,0.14736842105263157,0.1524390243902439,,0.06896551724137931
-7,0.07861635220125786,0.12568306010928962,0.11320754716981132,0.10335195530726257,0.05982905982905983,0.06465517241379311,0.05481120584652863,0.16037735849056603,0.07142857142857142,0.07368421052631578,0.0673076923076923,0.15267175572519084,0.06409767264402899,0.036065573770491806,0.0,,0.09803921568627451,0.12,0.08023483365949119,0.05100463678516229,0.09523809523809523,0.13388429752066117,0.19491525423728814,0.08823529411764706,0.07462686567164178,0.0743801652892562,0.16167664670658682,0.09090909090909091,0.1068840579710145,0.10043668122270742,0.1595744680851064,0.08,0.11458333333333333,0.37341772151898733,0.11142061281337047,0.07090719499478623,0.09523809523809523,0.05992949471210341,0.19,0.08955223880597014,0.02,0.17647058823529413
-6,0.09153952843273232,0.08764367816091954,0.25862068965517243,0.09872029250457039,0.08588957055214724,0.07360226468506724,0.054276315789473686,0.1743119266055046,0.17647058823529413,0.09497206703910614,0.08792372881355932,0.06529209621993128,0.09696969696969697,0.0549738219895288,0.0,0.0,0.09473684210526316,0.11822660098522167,0.10962566844919786,0.0626118067978533,0.17045454545454544,0.13353115727002968,0.23353293413173654,0.08333333333333333,0.04,0.09868421052631579,0.15450643776824036,0.11235955056179775,0.1287758346581876,0.08695652173913043,0.13385826771653545,0.125,0.10661764705882353,0.21971252566735114,0.10029498525073746,0.07260155574762317,0.05128205128205128,0.07692307692307693,0.24479166666666666,0.10843373493975904,0.055944055944055944,0.12121212121212122
-5,0.08712121212121213,0.06934812760055478,0.1956521739130435,0.13617886178861788,0.0855614973262032,0.08391608391608392,0.05555555555555555,0.11965811965811966,0.13636363636363635,0.06280193236714976,0.0893574297188755,0.11004784688995216,0.09040444091990484,0.07922912205567452,0.0,0.045454545454545456,0.05357142857142857,0.14330218068535824,0.12413793103448276,0.07849829351535836,0.16455696202531644,0.11382113821138211,0.24817518248175183,0.07692307692307693,0.04411764705882353,0.11688311688311688,0.1404399323181049,0.12307692307692308,0.13917525773195877,0.09205020920502092,0.1527777777777778,0.08888888888888889,0.0627177700348432,0.30886075949367087,0.11666666666666667,0.09066784608580274,0.10752688172043011,0.08892921960072596,0.22569444444444445,0.1693548387096774,0.06334841628959276,0.10256410256410256
-4,0.08404384896467722,0.06346967559943582,0.14893617021276595,0.1111111111111111,0.15822784810126583,0.08732876712328767,0.04597701149425287,0.13709677419354838,0.2727272727272727,0.11351351351351352,0.07377049180327869,0.10555555555555556,0.10726072607260725,0.04904632152588556,0.125,0.19230769230769232,0.08974358974358974,0.1178082191780822,0.14390243902439023,0.03893805309734513,0.10465116279069768,0.12098298676748583,0.2545454545454545,0.2,0.034482758620689655,0.12121212121212122,0.1425925925925926,0.0449438202247191,0.12539184952978055,0.044444444444444446,0.14383561643835616,0.1111111111111111,0.05904059040590406,0.33496332518337407,0.11486486486486487,0.08104575163398693,0.05194805194805195,0.06168831168831169,0.15985130111524162,0.14,0.03626943005181347,0.0625
