cycle,AL,AR,CA,CO,FL,GA,IL,IN,KS,KY,LA,MI,MN,MO,MS,NE,NY,OH,OK,PA,SC,TN,TX,WA,WV
-13,,,,,0.0,0.3333333333333333,0.0,,,,,,,,0.5,,,,,,,,0.2883522727272727,,
-12,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,0.28325508607198746,,
-11,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,0.2948885976408912,,
-10,,0.0,,0.0,,0.0,0.3333333333333333,,,,,,,,,,,,,,0.0,,0.29745042492917845,,
-9,0.0,,,,,0.375,0.5,,0.0,,,,,,,,,,,,,,0.27155727155727155,,
-8,,,,0.0,,0.3333333333333333,0.0,,,,,,,,,,,,,,,,0.27154046997389036,,
-7,0.0,,,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,1.0,,0.0,,,0.0,,1.0,0.2869352869352869,,
-6,0.5,,,0.0,0.0,0.0,1.0,,,0.0,,,,,0.3333333333333333,,,,,,0.0,,0.30217391304347824,,
-5,0.0,,,0.0,0.0,0.0,0.3333333333333333,,0.0,,,,,,0.0,,1.0,1.0,,,0.0,,0.2626387176325524,,
-4,,,0.0,0.0,0.0,0.5,0.3333333333333333,,0.5,0.0,0.0,,,,0.0,1.0,,,,,,,0.23726851851851852,0.0,
-3,0.0,,,0.0,0.25,0.6666666666666666,0.6666666666666666,,0.0,,,,,,0.5,,0.0,,,,0.0,,0.27906976744186046,,
-2,0.0,,,0.0,0.3333333333333333,0.16666666666666666,1.0,,0.5,0.0,,,,,0.5,0.0,0.0,,,,,,0.27926657263751764,,
-1,0.0,,0.25,0.0,0.6,0.75,0.3333333333333333,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,,0.0,,0.3230769230769231,,0.0
0,1.0,,0.0,0.0,0.0,0.0,0.3333333333333333,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.2814207650273224,,
