cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-13,0.19857060653581546,0.19320642016073766,0.19672645526182003,0.2061921222547895,0.15815997790868924,0.22057274106540795,0.18821163775983052,0.12235915492957747,0.2067442185751585,0.1779059973045822,0.19351781938991242,0.15615932753029527,0.28432507524890016,0.3099291530083536,0.24509677971908186,,0.19891630316248635,0.1045083774250441,0.1760437406669985,0.22551046545667447,0.1497289972899729,0.14618558591600953,0.10402148664343787,0.19421472482435595,0.20408276342451875,0.19280490440964548,0.14011504673374534,0.2706806586270872,0.15326138802766515,0.15659722222222222,0.123241341991342,0.2809823003275384,0.1486583522297808,0.10251063591580832,0.2158127923713566,0.15609840339076292,0.20578288133435194,0.23639798159380881,0.12293379582048647,0.1620883903700756,0.19220102813852816
-12,0.13861230636833047,0.1216313350212419,0.12133586758369241,0.13911111478882565,0.10986980394468018,0.15515160607265166,0.13121887136055466,0.07573277111927315,0.1459400269541779,0.10268455572577556,0.1348038750569303,0.110137663353066,0.1928593393076788,0.21762656117027393,0.19665219984097534,,0.1550925925925926,0.06346412830558276,0.12909577156334232,0.12209599324804549,0.09543164816602316,0.11497290725517786,0.05067460317460317,0.13963414634146343,0.13938729683490164,0.11421717545939537,0.07034233423016838,0.18210034013605442,0.12349626207887178,0.10680425520723755,0.0878778959136102,0.2231705794205794,0.09719809616453585,0.075698501696193,0.16861229858599144,0.10050003282940201,0.13819362889019376,0.16446641156462585,0.07774516466691662,0.10871931908155186,0.1486766581632653
-11,0.1424510139649873,0.13039360667693056,0.12920382847795606,0.13262849048968028,0.10749797077922078,0.15829270791451458,0.13107432361301188,0.0770049454471296,0.17768355018587362,0.10401893808370806,0.1410857039036545,0.10637327278805439,0.17233756454388985,0.22355524062522236,0.17738851438942183,,0.13576311383928572,0.06940546890295633,0.11559530635648754,0.14923730050603348,0.10920897284533648,0.10651167216442528,0.0812807881773399,0.16004699248120302,0.12587036457518386,0.1207769297235023,0.09376530175052025,0.1916758741713246,0.11300158656706552,0.12532756105467907,0.08932484828051247,0.2544138101220388,0.08522435298514436,0.0756600569675723,0.16917223350014163,0.1002586874723329,0.1374249903213318,0.18268247656915648,0.07935649378747604,0.12265534262485481,0.1340492277992278
-10,0.13452102403236313,0.12828389830508474,0.1304374605802586,0.1358245880798664,0.11369488173558896,0.1544885513144354,0.1310188261351052,0.08442936215076437,0.15937411246804883,0.10941648964418481,0.13634090812374994,0.10831980519480519,0.17014493805652342,0.2327895176408383,0.21257853045615951,,0.1367526455026455,0.06081322174646425,0.12111911525974026,0.13267526814860875,0.11156182015953589,0.10824042579994962,0.10679779158040027,0.1283274179236912,0.10431565569533,0.12183599167822469,0.0890214814180021,0.21774712254570075,0.10833361583836193,0.11571467139771677,0.08489856525763653,0.2310455553502125,0.09940862708719853,0.0881496806039489,0.1668909397523563,0.09518440361911067,0.1433294070584052,0.1886146201003158,0.07807276884263639,0.11744396649309487,0.12292410714285713
-9,0.14245663875598086,0.13068077159230454,0.14091531107855987,0.13661158984899993,0.17038774644473173,0.15892594222769268,0.13166041530767558,0.08147562480715828,0.1561535223126579,0.12155448717948718,0.14389595042042436,0.10902881952457882,0.15616744564112986,0.23942579756344676,0.21199526918976547,,0.14781040438935178,0.060806025880383696,0.13384313055365687,0.13247094913050544,0.10167606516290727,0.116447236558601,0.06323660714285714,0.1632241606319947,0.11313140079847249,0.10658127609366491,0.09190087097063841,0.19730230212825148,0.11324690511359639,0.11631199824040471,0.08780104783849024,0.22620791480654764,0.10233830574912892,0.08861530960507069,0.169559828248802,0.10413614076159916,0.15012740656851642,0.18920994909918962,0.0681634935497295,0.12774864193250116,0.14643741159830267
-8,0.16659336829527352,0.14357645678529526,0.1640267029834029,0.1638773849703816,0.21543434127577732,0.1897690752643583,0.16307085866261398,0.07629376586930375,0.18115109067579127,0.11178435114503817,0.16479786943458072,0.1153303751077896,0.21581950918563203,0.265718912121979,0.22560085354896675,,0.17990491651205937,0.06556831513401318,0.16403511174408414,0.16277802273172642,0.1276278409090909,0.1321602229601518,0.07089172694394213,0.14468984962406015,0.1489972114972115,0.13686224489795917,0.1100580567314159,0.22972635687057544,0.14072567654639176,0.11508899676375405,0.09688802576733611,0.2639811738648948,0.10499439531697596,0.11119231984829331,0.18259366450924136,0.12439519062863795,0.17801706146300741,0.24923445868820793,0.07893503083847309,0.13662299239222314,0.12267080745341614
-7,0.18376969019418257,0.1730039446746892,0.21723227454698693,0.18161037577970487,0.17538204393505252,0.2079826404245909,0.19661342530352233,0.09149832367314469,0.18695040111076827,0.14366145218417944,0.2770148927334417,0.14639184722732282,0.34215767208120695,0.32867700237809216,0.26785714285714285,,0.19880855436637196,0.10645044580477743,0.20812869779998852,0.24058217036814725,0.15249021120075937,0.14733621403436142,0.13282537067545305,0.19969422700587086,0.18446969696969698,0.16257017284680159,0.13251624237602758,0.2951502681364517,0.15654248164546322,0.16488678804855275,0.12749813988095238,0.36710993834256456,0.15236934096020338,0.11732299302699803,0.25614192026368066,0.20926307847082493,0.23032477113948444,0.30220625,0.1410684860102233,0.15755403017534322,0.1636472176079734
-6,0.14773324102368218,0.11801967694848846,0.14757765689057079,0.1283078054195084,0.11311097498065514,0.20077504413062666,0.18676809957528293,0.07891315353460972,0.1324326026706979,0.21479002384008805,0.1513392857142857,0.18675699592600012,0.1663641124684003,0.24669785774461428,0.20688498688290005,0.3711998229043683,0.14615795642581358,0.06665224200461589,0.12387845030917322,0.11710422424003158,0.09646189556903843,0.11528633495809039,0.06992368527100544,0.1380580357142857,0.13269857001274246,0.11188157966508483,0.1063891349698511,0.20803030712663567,0.12286896951845407,0.12544701290201946,0.09113371529393517,0.2576889910893935,0.10920749622806321,0.11715930800254723,0.17312469187303275,0.1288970628925597,0.1388555486329986,0.18841343103037994,0.08672325125418977,0.1816853960519119,0.1461511789181692
-5,0.1357013261327061,0.1268561781174334,0.1460122538751571,0.13720786844917127,0.11649237294306101,0.17200989836890176,0.13175800187111955,0.07900781840513983,0.13914221938775512,0.08672895695009637,0.14273851487449646,0.11699802740863788,0.1706628539532906,0.23782687241704328,0.20157384987893465,0.16455668088130773,0.14571166516921236,0.062448824776033134,0.12402418889458834,0.130364387134164,0.08287007623888183,0.11785300994261153,0.056347298534798536,0.12879558468957203,0.13741035207186322,0.10124214616402115,0.1028622287522604,0.1935475908372828,0.11406416308019807,0.10661877492586155,0.0840216644380061,0.22712317210348706,0.10374255952380952,0.09207835116425425,0.1767104791135204,0.12411611942208697,0.1507221885929513,0.2141074382257629,0.07830304037124991,0.1221392587261605,0.10560825892857142
-4,0.14483283503067676,0.12565726134932978,0.1594175311696964,0.14132309296542872,0.11305140026015761,0.16892522365946777,0.13412455127373385,0.08853631380609797,0.13671467674661106,0.10773394723743156,0.14714866209641753,0.11601747091966558,0.17338691311239457,0.2556431155165124,0.2132517326179298,0.16452799712849966,0.13429700658398408,0.0652639698320192,0.12462904830520104,0.11634684094563212,0.09181981811292157,0.11748167727982699,0.08622448979591837,0.1561680865006553,0.12564044605183847,0.11121106337271751,0.10135896250938708,0.1923478154148257,0.11001409622406064,0.11406123173701298,0.08279209901596661,0.20410898672415748,0.10173391870560379,0.08454195505093708,0.18012226416694943,0.13272259210098983,0.1410158244002042,0.21820245955525067,0.08690358554488989,0.11717463301109918,0.27625066880684856
-3,0.13741609294320137,0.13314844344006083,0.16394332479679324,0.14403322275142472,0.10878324034859098,0.13134528125562964,0.1325024346392988,0.07497944830105956,0.10666582661290322,0.09987832808474091,0.14334403717627403,0.12657088217762766,0.17496902969308187,0.2518944587082783,0.1952914420485175,0.15660112359550563,0.14031298003072198,0.0657627905202665,0.12047063723448563,0.126809891576768,0.09271219851576995,0.11660717257941793,0.07257326007326008,0.1422659817351598,0.13683577735730054,0.09998457347540786,0.10469893170489988,0.20983220319503504,0.11398100907029479,0.10660530732116637,0.0949084310709479,0.2206691555715485,0.09627594627594628,0.08690215121136174,0.1724137003400336,0.12805218726570158,0.1462299944812362,0.1931183255531398,0.07949021135570528,0.12509574278589242,0.11982548701298701
-2,0.1345739317873657,0.13496667667713916,0.13736654804270462,0.13990534232365145,0.1159726375598086,0.16709550557442124,0.13668417176963027,0.07393669934006211,0.15524334733893558,0.1006987205801861,0.14321693607222652,0.1334199019310484,0.17255451505702799,0.2616339694934161,0.17597974592521573,0.09653253424657535,0.14812947001650467,0.061339055172050384,0.12536944287130114,0.11196036106750391,0.12377664480426318,0.11303558530671207,0.08205482897384306,0.14353099730458221,0.11581586044892987,0.11930317525531164,0.09855246094681612,0.20830676020408162,0.10956032246108229,0.11868912337662338,0.08672030441703144,0.2243138443366903,0.09146109656162879,0.09501936316695353,0.16264361849390918,0.12855254868922386,0.1495386060561409,0.19434600515463918,0.08149350649350649,0.12024154680322313,0.09343458850931677
-1,0.14399626517273578,0.13176740069469184,0.13628288778529163,0.18745798839595273,0.112354974146404,0.16932139334251894,0.13376130095629754,0.07242752903802244,0.12568146417445483,0.07594273743016759,0.144484386535622,0.1257844483947425,0.16544098058438653,0.23156201397210677,0.2139992360580596,0.10997448979591837,0.14084666776641372,0.06185612847130737,0.13144350392309323,0.1279420628052173,0.07802437060889929,0.11297933637989271,0.07192633150821304,0.12713169642857142,0.12428845505144206,0.1024552062204192,0.1025559209517677,0.19360222902720411,0.11671117044948821,0.13127655918010248,0.08739128487839828,0.21731519026824703,0.1050408392056374,0.079933404776485,0.17103480736556917,0.12217428926027565,0.1421930130466891,0.1877650032615786,0.07778708939892642,0.11455336593785961,0.15943877551020408
0,0.13088238070069466,0.13280028429282162,0.14922543427534354,0.1452037745488984,0.12027053396309491,0.16357834659287446,0.13202250932338838,0.07237662337662337,0.2610682221783741,0.08987616494318908,0.14704645991032256,0.1327428422825441,0.16304509552726612,0.22466345907764756,0.20414434523809524,0.13132022471910113,0.143703531598513,0.061190820258739335,0.12008261573562964,0.1371751407858114,0.12760141093474428,0.11282893121147376,0.07536204268292683,0.12510705721137375,0.13618827160493827,0.13128459409594095,0.09392309594460929,0.20947000123578843,0.11207479953010879,0.13460115684691956,0.08769009534315657,0.21733423449060899,0.09819918666451924,0.09135946417923162,0.1667673575611116,0.12727968484324195,0.13985348753595397,0.173734426910299,0.0802414556752826,0.12190578019699326,0.11680640243902439
1,0.13022677475898334,0.13334637767449006,0.13112689608331446,0.14686977027232617,0.11456378528422864,0.1687244433959684,0.13041792110135833,0.08909378680800942,0.16835393335154328,0.09932945781052147,0.1474824747952111,0.11724793708096956,0.172921717493939,0.22665587378851754,0.20534973939824686,0.13421292083712463,0.14243659420289856,0.06281510723243076,0.1217640472968619,0.13530111492764232,0.08745519321559714,0.10737215337121382,0.07413482834994463,0.1655410561660562,0.1228789592760181,0.09597184187839139,0.09671751859251859,0.2038868478013215,0.11643502124645892,0.1268681870338497,0.09155829858365087,0.1968464109781844,0.09474606374807988,0.08414689405173834,0.17013543222166916,0.12777304949635046,0.1532825118351434,0.17674170835649436,0.08274576111726703,0.13213048597365368,0.11154570773263434
2,0.2915040467037996,0.134260264788094,0.14032888728213716,0.14676550168384792,0.10407644262231974,0.1669022737181435,0.13208414298295892,0.07695406258334074,0.1498925753733446,0.08304937313089487,0.13954776095360824,0.12413012079831932,0.171851754277213,0.23806552155923344,0.1840779280462185,0.11175762439807384,0.13435948703805847,0.06253783292978209,0.12578568377372307,0.12491558080406802,0.10864859777903256,0.11096626199887069,0.0712434495329232,0.1478414442700157,0.1478047006583984,0.0947095540118796,0.09914511071918479,0.19355892435652466,0.11588777609089572,0.12619485294117647,0.09091475140169593,0.20788481864708502,0.10752950752950753,0.09319135173278971,0.16914720961971155,0.12357616309024828,0.14135579585422434,0.19526476209782515,0.08476615336593488,0.13063933200398803,0.13848350253807107
