cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.15108760936603557,0.1447770266263417,0.1446747056756282,0.15380877485805586,0.11605608738340698,0.17070101457469533,0.1433110654333676,0.08591454626087922,0.1483277384060674,0.0925499231950845,0.14487832484436897,0.11246867167919798,0.2160432688572982,0.24272486772486773,0.17979901792851435,,0.1404186356476433,0.0722799511002445,0.133543561161631,0.1531624251497006,0.11081268550780744,0.10722597743001756,0.08266702203269366,0.13527029664324747,0.15798611111111113,0.14277708393377525,0.09889617374378937,0.19741805813234384,0.10786516311069884,0.11452736514959966,0.08891096929890034,0.2157553468037339,0.12458264915161467,0.07217806140219933,0.1684328895286074,0.11047926595373707,0.1825657894736842,0.1813021450649562,0.08816926259430519,0.1188812246626732,,0.1254070004070004
-12,0.10269739854443802,0.09108375701505807,0.08515429197994986,0.10123429263617487,0.07819948661532819,0.12073491814840433,0.1025500552252485,0.052950396825396824,0.10125786163522012,0.07176833411740108,0.10049940539446385,0.07911686957816746,0.14181748960346746,0.16774032329277866,0.14567320434667372,,0.11033471359558315,0.04422453461618908,0.08792162698412699,0.08812502567895147,0.06764297779922779,0.08591472303206997,0.050229057591623036,0.1000725900116144,0.10686127744510979,0.08409715630438222,0.04929564700423409,0.1337698412698413,0.08560550720955346,0.07595832160835445,0.06157632050489194,0.1669892394585646,0.07956010039343372,0.054441120115592406,0.1328451637149434,0.08725624705327675,0.15763888888888888,0.12582671957671956,0.05481026866536317,0.0779595954302484,,0.09962406015037593
-11,0.10635788064925707,0.09592453260373918,0.0960731052984574,0.0966303029480182,0.07709992140795711,0.12494503299698563,0.0991679846739881,0.0536008958038661,0.12554213135068154,0.059704835542464404,0.10420646456256921,0.07711862045910409,0.12861804360298337,0.1738126073937971,0.12684729064039407,,0.09758649553571427,0.04838753475842892,0.08222416950865227,0.09926215879174172,0.0786107831562377,0.0785297452314259,0.056296992481203005,0.11600250626566416,0.09658438950607626,0.08809883832565284,0.06512578760863126,0.1400001083235842,0.07819654950016124,0.0899199843871975,0.06351347012169668,0.20873743993010047,0.06747211122211122,0.05454462459830558,0.1317874059736254,0.08771759936435705,0.1429252479023646,0.13946913755561868,0.05777104340985482,0.088117134992135,,0.09273373983739838
-10,0.102168100615403,0.09431982159254886,0.09328332926796216,0.09889411027568921,0.08218462823725982,0.12203421578421578,0.10213310780651678,0.0591536907374508,0.11071665246615545,0.07296682718031032,0.10094578492701817,0.07826151121605666,0.12755678152019614,0.18597883597883597,0.15919489210598198,,0.09498236331569665,0.04099105659481735,0.09128133235276092,0.08770001927896665,0.07973773265651438,0.07873054943693993,0.07170733307096944,0.08845385980479148,0.07766097995289792,0.09004829242798851,0.06308891972571123,0.15965075603701195,0.07546729485151994,0.08690800792027786,0.06076870993177688,0.2028484765553731,0.0777851526600633,0.0630589430894309,0.13248475328035483,0.08409779791358739,0.1347444983215218,0.14384404607096415,0.05554641812865497,0.08487303881090008,,0.07997257891920813
-9,0.10589670808958426,0.09760448521916411,0.10256537373416885,0.10004416961130742,0.11976220776772248,0.1273909844836811,0.10065232777295514,0.0556016156462585,0.10916011787819253,0.07056721176591586,0.10494452431780886,0.07975613508731441,0.11494953600216758,0.18847327231728347,0.15824893390191896,,0.10337499153288628,0.04220985479393551,0.09505443130969077,0.09277121229675973,0.07559523809523809,0.08927583208158747,0.04990167158308752,0.11516622778143515,0.0859298154255627,0.0768338678122668,0.06512211997681994,0.14342514026058328,0.07899835402235786,0.08875283025543054,0.06267029661326896,0.17085389818115346,0.08360861100472361,0.06362072701663146,0.13428440954595058,0.08754170457992114,0.15463381555153707,0.1435827026544326,0.04919990007934875,0.09544988407347958,,0.09085741037988229
-8,0.12459630453197798,0.10835104740102833,0.12215491923641704,0.12086776264232701,0.15126816433379636,0.1459267665718661,0.12154544702329237,0.052106866002214834,0.12438515825491872,0.07349388746530003,0.12012542110534463,0.08202956409149763,0.15956036925326753,0.20587645916593286,0.17021064190875512,,0.1300247371675943,0.04468411498184655,0.11233938019652305,0.11301496122924694,0.09462256493506493,0.09624683415764701,0.052462024236217784,0.10476190476190476,0.11674174174174175,0.0994572297003908,0.07807385703727167,0.16730199068191443,0.0981114650634123,0.09314810782036392,0.06812239484653278,0.22272461334961335,0.0833816573429754,0.0785090953785644,0.14422082471475278,0.09923385299731759,0.16946390898131405,0.19041582521146133,0.05593259086380324,0.09961341873706003,,0.07174295774647887
-7,0.13952353258837702,0.12555185731177346,0.15494116565545138,0.1329018590508841,0.12335414108336745,0.19535890399156683,0.15839282270617241,0.07928446608000998,0.1303095752339813,0.08359753823200299,0.20804802475100342,0.10620690006936793,0.2598362679734838,0.25677339901477836,0.19507385555276593,,0.13918941626596348,0.07536728046267367,0.14188973184464168,0.17065572196620582,0.11473164847334283,0.1557337833401395,0.09921340513445777,0.14300391389432485,0.3617897764499306,0.11712248239523318,0.09227298043087517,0.2221808431401758,0.11784854258458037,0.16525140004869734,0.09175843253968254,0.30554363376251786,0.1211822357809103,0.08217116633887597,0.20005192342423694,0.14024221366165623,0.20210569777043766,0.22728392857142857,0.10183248101658143,0.11402383039105213,0.32143203372554235,0.10677842565597667
-6,0.10978388488422891,0.08490339676180939,0.10541054866012275,0.12166068972293181,0.08217110677131312,0.15638308382415383,0.14600418628990058,0.057009668508287294,0.09141156462585034,0.15974019438693354,0.11148997333441621,0.14382182948015504,0.12424065208718674,0.1913705373103836,0.15235710310835518,0.2729978354978355,0.1029888306674021,0.04622149785840262,0.08287169794925268,0.0830179274628545,0.07053609732181161,0.08489972691585594,0.049747296661965215,0.09828869047619047,0.11535527331499976,0.07983554246440845,0.0748017462542798,0.15297979524890956,0.08701941095633706,0.09458804577417716,0.06489452458507833,0.20489536188155197,0.11221970434739183,0.08297218094766387,0.1346104011023045,0.10337170277812975,0.12704007850428675,0.13760129954258216,0.06180999942349821,0.13237333654000322,0.13865742061906663,0.10466537966537966
-5,0.10069289018203521,0.09201968222745208,0.10556046498261344,0.12559447545834476,0.08399774282801806,0.1299285883507632,0.09993758233561936,0.05631252775383329,0.09622661564625849,0.08815299553641523,0.1040234364590828,0.08598922407822931,0.12759019216823786,0.17949234878199835,0.14407238241984005,0.11904761904761904,0.10384845762204252,0.04311367644700978,0.08530655330966039,0.09319879578274122,0.0590926967991771,0.0843833424182705,0.0560237784814056,0.09184121961020696,0.1059117816543559,0.07260020951645807,0.07206779427576218,0.1385315579628376,0.07767665923643437,0.0799101624580611,0.060280625510734716,0.17465938216646432,0.07856856684981685,0.0650959723096287,0.1363035448554422,0.0991465317976174,0.12714391066160977,0.1590475627869295,0.055015993882474586,0.08704999083367708,0.1649153002989401,0.06716954022988506
-4,0.10677330799282019,0.10053298559691096,0.11616663355189084,0.10695613882800577,0.08117730889892112,0.12998279879484131,0.10175682104623417,0.06185641769398115,0.09565085158150852,0.06332701536189908,0.1081295854097453,0.08368926450987518,0.12800811299012738,0.1960955091318489,0.15454765630821968,0.12199389806173726,0.09446294595008421,0.04487538788971747,0.08928313749742321,0.08318360154853045,0.06532224958949097,0.08570645722733199,0.06296218487394958,0.11292458497160333,0.10259464414833178,0.07841366809881847,0.0700898591032438,0.13828035509736541,0.07582892215763322,0.08466225420516466,0.058036910824367266,0.1564565227231577,0.07937076602397082,0.059839736112191205,0.13903616672322136,0.10492931290732009,0.12932107989639371,0.1621642704700928,0.06148075668623614,0.08266051681336042,0.17671823382483282,0.22055275854835327
