cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-13,0.0865157056798623,0.09141958670260557,0.08029124934106484,0.08711397136910072,0.06225733029856741,0.10262032085561497,0.07840990277389494,0.024821220688508235,0.08261842596046251,0.04975103021978022,0.08913412563667232,0.04535532379335436,0.18847587974831043,0.18591651404151405,0.10662898252826311,,0.06997455470737914,0.024147727272727272,0.07537642306279839,0.1249268149882904,0.06426635694928379,0.04823944999430242,0.04006968641114983,0.055144337527757215,0.10625633232016211,0.09215582668844269,0.03964272918052925,0.12731910946196662,0.03716372912801484,0.06556437389770722,0.03825197790715032,0.13310882665721377,0.08830049261083743,0.025824749962681,0.11189276718243973,0.05267058003022202,0.11251342642320085,0.11448093146482605,0.0378308680420397,0.05686149936467599,0.05546536796536796
-12,0.056363866396761136,0.05427987997999667,0.04566814764183186,0.05042367271282934,0.03501689454659752,0.06889308449646118,0.05163778529163144,0.014357142857142857,0.05512129380053909,0.03348856321051911,0.059757856383786244,0.027269345238095235,0.09374450887366016,0.12573587127158556,0.0862708719851577,,0.05325511847250977,0.010171790235081375,0.03958837772397095,0.057729941291585124,0.029741795366795366,0.03908500063718619,0.013333333333333334,0.04584059233449478,0.07433704020530367,0.048162418494368704,0.016297495869924353,0.07789115646258504,0.02969573778822334,0.046418051756785185,0.024249559963845677,0.1151767455448437,0.04947598697598697,0.022380324161326803,0.08819937050782167,0.04138648735190522,0.1043956043956044,0.07332766439909297,0.018450699854132398,0.028822974530971594,0.042517006802721094
-11,0.0580367866579733,0.05624389290599961,0.057263581488933596,0.04555510589504924,0.03242888064316636,0.07328245772354533,0.04971219256933542,0.013957597173144876,0.0690387679235263,0.039114160948222086,0.05949958471760797,0.032054517920242304,0.07758175559380379,0.13238784259684583,0.06974332382680841,,0.05580357142857143,0.01751746894409938,0.026756819232547385,0.08651226158038147,0.03789846517119244,0.03769441903019213,0.022013546798029558,0.06284916201117319,0.06544359255202628,0.0440668202764977,0.021299898900156246,0.08848953594176524,0.02000967429861335,0.05705640803976659,0.023793468837298912,0.16245085190039318,0.04230769230769231,0.021319018404907974,0.08863657822679634,0.045015392677015785,0.09439359267734554,0.09504402158477705,0.02547956119384691,0.03962891462891463,0.03648648648648649
-10,0.05419430005377308,0.05505706414797324,0.04876412716481015,0.051100530946980076,0.03382479636591479,0.06933995741660752,0.056860066090493135,0.015989131570697042,0.04693268957682477,0.0355565371024735,0.05716200689391038,0.024584301805828712,0.090495547812621,0.14103755323267517,0.10932805244468725,,0.043915343915343914,0.010723946927734124,0.06195801004107713,0.071311985076947,0.032028039642252835,0.03333246563931695,0.04710144927536232,0.029229323308270678,0.047044632086851626,0.05277995537598746,0.023900108701870818,0.1117806364251862,0.023804032683183974,0.055461277383523605,0.0203126607014296,0.1568144499178982,0.04472582456856938,0.03170731707317073,0.09668961374976899,0.04277219901746489,0.07702349869451697,0.09800916465415815,0.021726190476190475,0.04190751445086705,0.030892857142857146
-9,0.05781612378413929,0.05805433099011081,0.05962957087332434,0.05061664953751285,0.03650210084033614,0.0732408932085626,0.051209125948029344,0.013698979591836734,0.04259051361212461,0.047150699254999345,0.059414891299612256,0.03332151719248493,0.06731355415565941,0.137936065791219,0.10847547974413646,,0.043842714895346475,0.01275853236857271,0.052183880308880305,0.05776114546046209,0.03333333333333333,0.04313375730313841,0.02,0.07142857142857142,0.060362784238847424,0.04069099050039329,0.02583235937546825,0.08759910975100849,0.027227213497016668,0.043412515121522055,0.023219771779679613,0.13565944612009873,0.05256606664113367,0.023484479115878434,0.09328889310622955,0.04489042995839112,0.10135623869801084,0.09158797133480678,0.018026091555503318,0.052808988764044947,0.049681753889674676
-8,0.071848339081503,0.0545593285005723,0.06411264946507238,0.062629150020664,0.04304679987178117,0.08452004569728208,0.06363830392714855,0.008970099667774087,0.03550042771599658,0.03479581743676699,0.06249658563234089,0.027183803457688806,0.09884836852207293,0.1511379800853485,0.11283318358790057,,0.06307977736549165,0.009232570707980543,0.06463337547408345,0.07838526357044875,0.05113636363636364,0.04295177344735736,0.006329113924050633,0.041694352159468435,0.07722007722007722,0.056817194963091615,0.029163203103352728,0.10405699764022508,0.032551148600143576,0.040491601171212824,0.021333838575217885,0.16086691086691088,0.04809660253786328,0.03023598820058997,0.09608327216921332,0.0511702806122449,0.08205244122965641,0.12487926947054175,0.0199811652950088,0.04677795031055901,0.021295474711623782
-7,0.07687035267727328,0.06916311300639659,0.08916161059018202,0.06693290734824281,0.041581389002592443,0.11336393491565905,0.08533267842974271,0.01610918447253608,0.040419623572971304,0.03676115316476083,0.13427698082354692,0.050096762843068264,0.1784311367644701,0.19488592170080374,0.11561636957067538,,0.07111834961997829,0.02458989174470346,0.08953033268101761,0.11439575830332133,0.06602990033222592,0.09544948082120336,0.036361496822781836,0.08470861268695204,0.2999842754933564,0.06009011670852415,0.033544903372489575,0.16170117682109342,0.03498987814075338,0.06052420968387355,0.03532738095238096,0.2317290006131208,0.06856196086682095,0.0303951367781155,0.136671482752393,0.08414764485838613,0.08515689512799339,0.1554357142857143,0.046703296703296704,0.05956554400901464,0.01910299003322259
-6,0.05878112712975098,0.044911455245998815,0.054291392877423544,0.0650663544106167,0.03536423597037474,0.09400292963900889,0.08629748440282578,0.014770440826778856,0.022297808012093724,0.10783335890747275,0.06319540323235605,0.10593366730005183,0.07780138077535848,0.14361688543848,0.09456236584784164,0.16883116883116883,0.048090182018753445,0.012382518796992483,0.03945647434965848,0.04550327239900699,0.039483360911932344,0.04302290536467752,0.015111827523675198,0.049597585513078475,0.08409321175278622,0.04378715976654121,0.02564505978602895,0.09803179409538229,0.022952689522927894,0.052683246073298426,0.021647665580890336,0.1441046768016711,0.0662783729118286,0.03357390504493031,0.0922958777352194,0.056343331970034015,0.06554074992252866,0.07735781708574602,0.022899731926668974,0.07506012506012505,0.03571428571428572
-5,0.04807200409259496,0.05342167362497731,0.05041382877834297,0.04708927436200163,0.0366335372069317,0.07279630711365029,0.050530477091498854,0.010983606557377049,0.035331632653061225,0.05487955910582699,0.05318670557198817,0.044707713593912145,0.07935492128503775,0.1302020175959132,0.07814219678626458,0.0845771144278607,0.04994010182689428,0.013364364892749172,0.040333771545427985,0.05366560417270356,0.027545834089671446,0.03830070623218932,0.010817307692307692,0.04711029711029711,0.07376630520194877,0.033427028218694886,0.0259437729620361,0.07774768675242609,0.02103174603174603,0.034180386542591264,0.02241661095015229,0.1166194523135033,0.03926282051282051,0.026569383259911893,0.09312220982142858,0.05421548127619981,0.059165613147914034,0.09412975965433432,0.016521626744787177,0.03485535628392771,0.0234375
-4,0.053824833702882484,0.05276135878080045,0.058911186171269614,0.05256343863283273,0.036221210498125336,0.06876038410633324,0.04990780746897102,0.018090986394557824,0.03760427528675704,0.040477465758665544,0.06071947674418605,0.03171100743916278,0.07372724874703245,0.14046159619714788,0.08607198748043818,0.06496769562096195,0.0437145919461032,0.01240062429888309,0.03986619441164896,0.047018348623853214,0.031924971580144,0.03962221553281156,0.01723952738990333,0.057079081632653066,0.06840718933994422,0.03174006444683136,0.024747533204085768,0.07483431516936671,0.021206967635539066,0.04060978084415585,0.016914270398590954,0.10031912004345465,0.04176282289883124,0.021288591647873084,0.08980531048523922,0.057943219571126546,0.06545128511655708,0.09581689818784657,0.021047934453022516,0.033023019634394045,0.1833868378812199
