cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.062177280550774525,0.05758168771867402,0.053802055877701635,0.06127492938457588,0.04014928370598474,0.06859373036813671,0.05553271668379582,0.014219191751205722,0.04541215964192465,0.030001920122887868,0.06425842832888673,0.0330228981544771,0.11658121649965042,0.14048191391941392,0.06920178143199726,,0.03253362413667757,0.012981720805681687,0.045614549721325906,0.06934345594525235,0.04994192799070848,0.03503641152773474,0.01634683724235963,0.029127634660421547,0.07592451874366768,0.06186953597848016,0.022883265891512575,0.07244897959183673,0.024988404452690165,0.039072376738305936,0.02360426929392447,0.10155973059198867,0.07077175697865352,0.01638304224511121,0.08494062612450522,0.03654975008717889,0.0777389903329753,0.08763856933695881,0.024872231686541738,0.03562352514067889,,0.03418803418803419
-12,0.040937680740312316,0.03563093848974829,0.028195488721804513,0.032652680900910495,0.020185054219707683,0.047742808316718885,0.037435668460508074,0.010428571428571428,0.022911051212938006,0.0239532695624902,0.040695688477303774,0.02225511001898805,0.050650149358636445,0.09522787480376767,0.051881791677710044,,0.03646192776627559,0.0075123753747472636,0.02926587301587302,0.038056206088992975,0.019606660231660234,0.028920241566014162,0.020474943904263274,0.027700348432055752,0.05017108639863131,0.029826174655908873,0.009717026274578041,0.04894557823129252,0.015943593978276056,0.027201951036488134,0.012368583797155226,0.09049079754601227,0.042073667073667075,0.01566622691292876,0.06877436933339597,0.027507779349363506,0.0749084249084249,0.058758503401360546,0.012468576394277025,0.014961744051986164,,0.02631578947368421
-11,0.04059572423732885,0.036671878053547,0.03533199195171026,0.03186520759225568,0.0202245670995671,0.04936959980665042,0.03375398186718941,0.009496868054152355,0.031996813595326606,0.01638438880706922,0.03986710963455149,0.023930242924002677,0.04939759036144578,0.09966569693257797,0.034871661913404205,,0.02963169642857143,0.009417361835245046,0.026477832512315273,0.04988222253013718,0.023376623376623377,0.02569027611044418,0.01550751879699248,0.03669172932330827,0.048466593647316536,0.02808179723502304,0.010309120431359333,0.05264526192642662,0.011254434053531118,0.032860070257611236,0.014870918023311818,0.10982961992136303,0.029470529470529472,0.015227870289219984,0.06679019922575773,0.03067880166856276,0.06039555410264792,0.06743822777619994,0.01593772029300886,0.025605963105963105,,0.03048780487804878
-10,0.0379637927944076,0.0339728453364817,0.03266525733799496,0.032543859649122805,0.023760573308270676,0.0469270313020313,0.04053609603683605,0.010920681366913994,0.017821641579096846,0.017948343791040423,0.03829950210647262,0.02139905548996458,0.05545876887340302,0.10965285843334624,0.06972138759901667,,0.020634920634920634,0.00475758948799275,0.04100018385732671,0.03568536726431463,0.01927725404882765,0.023081924577373212,0.027843368752459664,0.01582372079266489,0.03282784766500086,0.03334740396791895,0.01526422706074218,0.06137440758293839,0.014760147601476014,0.03690719641639887,0.014514553121464567,0.11535303776683087,0.030583069539466965,0.01713124274099884,0.07321890593236001,0.02917818049396997,0.04177545691906005,0.068796829525048,0.011951754385964913,0.02565028901734104,,0.02247191011235955
-9,0.04479213541486379,0.03864331387267167,0.03662647735385103,0.03390100693429687,0.02415966386554622,0.04936823476149319,0.03589024704971494,0.004540816326530613,0.01768172888015717,0.026573588398642396,0.03618263407833398,0.027030925455804294,0.04013411908148751,0.10804483353229871,0.06823027718550106,,0.021641942694574274,0.0064061499039077515,0.036415547986375474,0.0413625304136253,0.029385964912280703,0.03191293119350673,0.008849557522123894,0.03192890059249506,0.03914250998090609,0.02359774913777455,0.01560158263893052,0.05633606899429684,0.014642342774843975,0.03231797919762259,0.015498134737766072,0.09377570605977516,0.04102834163155879,0.016455387615797172,0.07400246714428049,0.029054342940460658,0.05750452079566004,0.0670752126448329,0.011410056719663797,0.029989299090422684,,0.022271268057784913
-8,0.05363949900163369,0.0414781708181174,0.042191105517096705,0.04176462453325958,0.02961053531360188,0.058261321373878794,0.045116048156882214,0.005581395348837209,0.014970059880239521,0.02194106342088405,0.0421196394427752,0.02057257948496619,0.0618316424458459,0.11687157081893924,0.07547169811320754,,0.042340312748476015,0.004005761094607976,0.04478458049886621,0.0473811902383331,0.039529220779220775,0.03056232528134184,0.010752688172043012,0.028070175438596492,0.058719433719433715,0.03200173686495875,0.01797592651251188,0.061263387184607006,0.020033201722900216,0.028128629500580718,0.01420992800303145,0.11179792429792429,0.03683995088006549,0.015434049726085126,0.07913525055047707,0.034891274185817715,0.029724231464737794,0.08999912195978575,0.012703189616345248,0.03150879917184265,,0.009808853118712274
-7,0.056027499688447634,0.04614870779011379,0.053006067291781575,0.04531053904312957,0.024832855778414518,0.07648771513714042,0.06764742344724989,0.016967796292829056,0.020055538414069728,0.022053338306602013,0.08989891482087112,0.03329660913208471,0.12249985754174027,0.1445747990666321,0.06684659804167713,,0.034706064836358,0.016070597620155554,0.0354852562267392,0.0767626728110599,0.04769814902705268,0.07640707199308175,0.019508230034545826,0.036790606653620356,0.25285006682915323,0.03405229723740582,0.01751537935748462,0.10148219871890361,0.02330012305005359,0.061123865177919234,0.02587797619047619,0.16293684855916615,0.05962023984851672,0.016896120150187734,0.10561901751851184,0.04896248098151565,0.06926094137076796,0.10445714285714287,0.03149697814969781,0.03762363841242018,0.18779498770192116,0.006802721088435374
-6,0.040113040629095674,0.02942807067744474,0.027439766366512533,0.0452937708783651,0.02552599579940307,0.06738954962226791,0.0659403453689168,0.008445146014206787,0.012912572436381959,0.08980331262939958,0.0416531308373264,0.0700420954162769,0.05058843796467559,0.10730246692885234,0.055389935606963994,0.10537190082644628,0.02747517926089355,0.007806594860166289,0.025710375391032325,0.026369999007247093,0.024636881779738922,0.0299436763952893,0.011736852710054401,0.027922077922077924,0.060916919959473154,0.020127638684339717,0.01502818231238019,0.06161457770087596,0.013453369979386594,0.03671693270233416,0.01499728555917481,0.10035395149123826,0.052719304816840215,0.02172221042949126,0.06734233380105427,0.03893312800319691,0.04392624728850325,0.0487526770841596,0.014441369768246282,0.045731120731120734,0.0688174190970835,0.029536679536679537
-5,0.03431544954597775,0.034660507920896415,0.029549961203552032,0.03905005948567768,0.024537643803698852,0.04737246711051158,0.03345853190747414,0.005720554815453334,0.01364795918367347,0.03763205706210888,0.035214645455272205,0.030104712041884817,0.049247643219724434,0.09677565028901734,0.036264582874752364,0.043354655294953796,0.028339323150643903,0.0066979316979316975,0.01836929800600929,0.034839854094838356,0.01819749500816845,0.026164619061595874,0.010011175265412554,0.02531645569620253,0.05541804180418042,0.020124607156641123,0.015014794871111348,0.04302076280749267,0.012833540942765358,0.021101889457884514,0.014848451080900379,0.08073654390934844,0.029590201465201468,0.015890497168030208,0.06872807716836735,0.03556611415137207,0.03938053097345133,0.06472792330542804,0.010134844046183008,0.020692974013474495,0.07505208805145394,0.016317733990147784
-4,0.03885809312638581,0.03709645572119656,0.034571825948738324,0.03092380807708166,0.02276379217996786,0.044491555772013004,0.035064187825982994,0.0119108049311095,0.019616788321167884,0.020700230002555584,0.039415490033222596,0.025468011632133768,0.046982154536111376,0.10288341255941956,0.05348759221998659,0.04953338119167265,0.025876588577553206,0.007164790174002047,0.019202226345083485,0.03040206239258372,0.01989389920424403,0.028887116859283857,0.009915966386554622,0.02981651376146789,0.04878757359776882,0.018018259935553168,0.011914418981950923,0.0428632793323515,0.011983242944825123,0.028296019900497512,0.010452961672473868,0.06375611080934275,0.030503238293754186,0.013025896259429195,0.06670978961655921,0.03889557480221754,0.043783622235505075,0.0657548733779226,0.013505085912130921,0.015927555856465807,0.0786499879139473,0.15701699181875395
