cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.3357363542739444,0.24476831091180867,0.4108463434675431,0.38271269366675725,0.34982050259274033,0.3178498985801217,0.294754724994691,0.4160732451678535,0.31100478468899523,0.34307496823379924,0.3536379018612521,0.3833515881708653,0.2985781990521327,0.2561963190184049,0.3244444444444444,,0.37844036697247707,0.38816738816738816,0.31703204047217537,0.26113861386138615,0.3597122302158273,0.40475,0.4895397489539749,0.44061302681992337,0.35524256651017216,0.4668711656441718,0.37275747508305646,0.3473053892215569,0.3763837638376384,0.32471264367816094,0.47477477477477475,0.3082191780821918,0.3422131147540984,0.5509822263797942,0.3932842686292548,0.30643593233521293,0.29411764705882354,0.3116379310344828,0.4434730177871571,0.4748858447488584,,0.3870967741935484
-12,0.33266482827776384,0.23333333333333334,0.3668044890726521,0.3827429609445958,0.3256319652079369,0.3189053337056688,0.2895671834625323,0.4206036745406824,0.35304990757855825,0.36572052401746724,0.35399590163934425,0.4015267175572519,0.290167865707434,0.2614423239317683,0.308529945553539,,0.35657686212361334,0.38872691933916426,0.3598901098901099,0.28778821520068315,0.38127090301003347,0.4265342960288809,0.46511627906976744,0.47342995169082125,0.3281990521327014,0.44467297408473877,0.38849463989128796,0.4340148698884758,0.3653169014084507,0.29318036966220523,0.46114486728493764,0.3191919191919192,0.3488045007032349,0.5367088607594936,0.3863341968911917,0.30100804876142845,0.2743142144638404,0.3128810975609756,0.4416826003824092,0.44098479362780596,,0.3246753246753247
-11,0.3393953708077468,0.22567676226212813,0.3656387665198238,0.3921676778819636,0.3192738921516284,0.31413684354860827,0.28588919498010407,0.424326192121631,0.3261261261261261,0.3567073170731707,0.3779505692863094,0.36669213139801377,0.30924170616113744,0.2685754435271386,0.2753108348134991,,0.3552833078101072,0.3605227579990987,0.36470588235294116,0.30095238095238097,0.3181818181818182,0.41363469312752665,0.4744897959183674,0.43209876543209874,0.32537960954446854,0.4509493670886076,0.37119932432432434,0.4022787028921998,0.378868258178603,0.2915057915057915,0.44583883751651254,0.3255395683453237,0.35023989033584646,0.5400916380297823,0.3571196886149854,0.3072738112982561,0.30242825607064017,0.30455724342349016,0.44216261525565803,0.45461254612546126,,0.34523809523809523
-10,0.3472425573450464,0.215065211605004,0.37438152831225946,0.3777219430485762,0.2975073706781024,0.31200445124495757,0.2929875120076849,0.4228855721393035,0.32821497120921306,0.3376753507014028,0.39438657407407407,0.4035512510088781,0.2931258106355383,0.27651715039577834,0.2959558823529412,,0.36324786324786323,0.383289124668435,0.34673366834170855,0.29615384615384616,0.3539967373572594,0.39663287472845765,0.4826666666666667,0.4444444444444444,0.35697399527186763,0.4547325102880658,0.36414947450369795,0.3701002734731085,0.362701252236136,0.286084142394822,0.4627019594362324,0.32136105860113423,0.3460207612456747,0.5486111111111112,0.3722029624960605,0.30050597638776855,0.2965686274509804,0.3013481363996828,0.45611015490533563,0.43560872624912034,,0.3259668508287293
-9,0.3390293916609706,0.23670986511504893,0.3743482794577685,0.38154269972451793,0.28128371089536136,0.3145476607792908,0.30097841279701815,0.4184931506849315,0.340036563071298,0.38035527690700105,0.391644908616188,0.3844973138910207,0.3160690571049137,0.27425106990014264,0.2910714285714286,,0.3948787061994609,0.4123755949805279,0.34210526315789475,0.2708333333333333,0.37919463087248323,0.40293809024134314,0.4657534246575342,0.43736263736263736,0.37041420118343193,0.4545085296506905,0.3671796921846892,0.4221014492753623,0.3735320686540199,0.292022792022792,0.4921903378132946,0.33089579524680074,0.33547557840616965,0.5943905070118662,0.3794516230696502,0.30720448344517365,0.3130841121495327,0.27918570835064394,0.4571316460663135,0.44397163120567373,,0.3298429319371728
-8,0.32003129890453835,0.22730118973074515,0.38968824940047964,0.37042771434101024,0.28494962216624686,0.3045171339563863,0.300659418998396,0.4352211016291699,0.34134615384615385,0.3639960435212661,0.39420935412026725,0.3545232273838631,0.29057187017001546,0.27793755135579296,0.3018181818181818,,0.35625,0.3854775828460039,0.3252496433666191,0.28030954428202925,0.3235831809872029,0.4173419773095624,0.5204359673024523,0.4273972602739726,0.3436385255648038,0.46534173533688805,0.3509755550571877,0.38010471204188484,0.3527397260273973,0.29204265791632483,0.5051369863013698,0.28835489833641403,0.36703821656050956,0.590964590964591,0.3514317590182224,0.2931256023128815,0.25365853658536586,0.23664870161685447,0.4434881087202718,0.4506079027355623,,0.36363636363636365
-7,0.3172433847048561,0.2302019878166079,0.383011583011583,0.3751028806584362,0.2642470550780006,0.35627444761602706,0.2884532218538273,0.43774574049803405,0.265658747300216,0.3733681462140992,0.34911550468262226,0.3305156382079459,0.28280254777070063,0.2796733212341198,0.29349736379613356,,0.3572204125950054,0.3760330578512397,0.33166794773251346,0.27931701030927836,0.3250825082508251,0.38108017443810804,0.5020463847203275,0.4273972602739726,0.14199229499174462,0.4782833505687694,0.38729399255715047,0.3680917622523462,0.35009724923589886,0.2972972972972973,0.49669421487603305,0.2815450643776824,0.3159057437407953,0.5919899874843555,0.3851010101010101,0.2913338357196684,0.2514450867052023,0.2966,0.44412028725314184,0.45311130587204207,0.19663648124191463,0.3877551020408163
-6,0.31903669724770645,0.22333000997008973,0.3696763202725724,0.3732977303070761,0.29275212793396954,0.32345179451090783,0.28897271690499166,0.43922651933701656,0.2839506172839506,0.3073671497584541,0.3681068789084707,0.34590616375344985,0.3462951234958835,0.27726135144798,0.3021702838063439,0.256198347107438,0.35424710424710426,0.36880131362889984,0.3355614973262032,0.26319444444444445,0.3001277139208174,0.4038598999285204,0.5365168539325843,0.42727272727272725,0.1894630192502533,0.45916030534351143,0.3683156418986581,0.41029523088569264,0.3640139921294272,0.27568781583380125,0.5016189962223422,0.3322502030869212,0.31725222863135816,0.5116394254581476,0.3606991525423729,0.29335328933941085,0.24511930585683298,0.35119378123264855,0.4484271022383545,0.4727272727272727,0.26945885841363976,0.2972972972972973
-5,0.3119964189794091,0.2175609756097561,0.36632468316234157,0.3755,0.286697247706422,0.3443648471395419,0.28659460551570864,0.4251234229292375,0.24285714285714285,0.36693358455016484,0.356323447118075,0.3024585477415666,0.3381440688694771,0.2720375722543353,0.288135593220339,0.30845771144278605,0.3731656184486373,0.38018741633199465,0.37189292543021035,0.27067407922168174,0.32578616352201256,0.395541958041958,0.5084087968952135,0.4282700421940928,0.1793179317931793,0.46509834168916314,0.3717111401380855,0.3988941548183254,0.36209270307480496,0.2941903584672435,0.4885692268173645,0.35033050047214354,0.30822649572649574,0.5666299559471366,0.3656840934371524,0.28926819155552486,0.2407079646017699,0.3353024574669187,0.45143371866086174,0.46823869104908566,0.2994214079074253,0.2974137931034483
-4,0.30776053215077603,0.243913642627469,0.3720445062586926,0.3843232568737658,0.3082485270487413,0.3398809523809524,0.2715765247410817,0.449746192893401,0.21532846715328466,0.3905784138342278,0.36031976744186045,0.29925187032418954,0.3437214760724997,0.279537896026606,0.28794992175273865,0.3417085427135678,0.37727759914255093,0.3832253665189226,0.36103896103896105,0.26503827925628876,0.28289473684210525,0.41763447432762835,0.5194954128440367,0.4426605504587156,0.19197396963123645,0.4698388909704009,0.358953559115798,0.40893470790378006,0.35394407819959084,0.2568407960199005,0.49413909872362594,0.34695817490494296,0.31891610213652943,0.5710397387044094,0.3437777120898611,0.2867697831791189,0.24476987447698745,0.32673069227691076,0.44066776958941195,0.45165876777251185,0.3126057529610829,0.2599118942731278
