cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.1525974025974026,0.061224489795918366,0.21428571428571427,0.2642857142857143,0.3142857142857143,0.5170068027210885,0.2924710424710425,0.12857142857142856,0.0,0.32936507936507936,0.12372448979591837,0.0633116883116883,0.023809523809523808,0.38095238095238093,0.0,0.06547619047619048,0.24523809523809523,0.034013605442176874,0.09821428571428571,0.14285714285714285,0.18548387096774194,0.19047619047619047,0.05357142857142857,0.375,0.8571428571428571,0.9404761904761905,0.10714285714285714,0.07142857142857142,0.4107142857142857,0.1111111111111111,0.14285714285714285,0.32792207792207795,0.5571428571428572,0.17207792207792208,0.3264285714285714,0.14285714285714285,0.41517857142857145,0.18027210884353742,0.16666666666666666,0.0,0.03571428571428571
-18,0.18181818181818182,0.061224489795918366,0.17857142857142858,0.24285714285714285,0.3142857142857143,0.5459183673469388,0.2915057915057915,0.20714285714285716,0.0,0.3134920634920635,0.11734693877551021,0.07142857142857142,0.03571428571428571,0.3333333333333333,0.07142857142857142,0.05952380952380952,0.22380952380952382,0.05272108843537415,0.10714285714285714,0.1357142857142857,0.15668202764976957,0.16666666666666666,0.05357142857142857,0.45535714285714285,0.7053571428571429,0.6071428571428571,0.05102040816326531,0.09236453201970443,0.47023809523809523,0.08928571428571429,0.14285714285714285,0.2532467532467532,0.38571428571428573,0.2532467532467532,0.36428571428571427,0.14285714285714285,0.24330357142857142,0.1683673469387755,0.19642857142857142,0.0,0.08928571428571429
-17,0.1525974025974026,0.05612244897959184,0.21428571428571427,0.275,0.42857142857142855,0.5085034013605442,0.28957528957528955,0.18928571428571428,0.0,0.29365079365079366,0.1211734693877551,0.056818181818181816,0.036458333333333336,0.24761904761904763,0.03571428571428571,0.07142857142857142,0.22380952380952382,0.05102040816326531,0.060267857142857144,0.09285714285714286,0.20506912442396313,0.20238095238095238,0.07142857142857142,0.4017857142857143,0.5178571428571429,0.6309523809523809,0.06887755102040816,0.06527093596059114,0.4166666666666667,0.08531746031746032,0.125,0.3181818181818182,0.5,0.18831168831168832,0.37285714285714283,0.14285714285714285,0.26339285714285715,0.20918367346938777,0.13690476190476192,0.0,0.10714285714285714
-16,0.13636363636363635,0.03826530612244898,0.17857142857142858,0.325,0.37857142857142856,0.5527210884353742,0.305019305019305,0.17142857142857143,0.0,0.24603174603174602,0.11734693877551021,0.056818181818181816,0.041666666666666664,0.30238095238095236,0.017857142857142856,0.06547619047619048,0.21071428571428572,0.04421768707482993,0.08705357142857142,0.07857142857142857,0.19700460829493088,0.17857142857142858,0.03571428571428571,0.39285714285714285,0.7142857142857143,0.9404761904761905,0.06887755102040816,0.07758620689655173,0.4494047619047619,0.08531746031746032,0.17857142857142858,0.2435064935064935,0.4642857142857143,0.2012987012987013,0.3678571428571429,0.08928571428571429,0.3392857142857143,0.1598639455782313,0.14285714285714285,0.0,0.05357142857142857
-15,0.14935064935064934,0.0548469387755102,0.10714285714285714,0.275,0.35,0.4523809523809524,0.3088803088803089,0.18571428571428572,0.0,0.24206349206349206,0.11607142857142858,0.06493506493506493,0.027529761904761904,0.3261904761904762,0.03571428571428571,0.047619047619047616,0.2357142857142857,0.04081632653061224,0.08035714285714286,0.11428571428571428,0.1923963133640553,0.11904761904761904,0.03571428571428571,0.3482142857142857,0.6964285714285714,0.6309523809523809,0.07142857142857142,0.07266009852216748,0.49107142857142855,0.06547619047619048,0.17857142857142858,0.3961038961038961,0.4785714285714286,0.21753246753246752,0.30357142857142855,0.17857142857142858,0.24107142857142858,0.1717687074829932,0.07142857142857142,0.0,0.05357142857142857
-14,0.07792207792207792,0.017857142857142856,0.10714285714285714,0.22142857142857142,0.17142857142857143,0.32482993197278914,0.18243243243243243,0.075,0.017857142857142856,0.23809523809523808,0.1377551020408163,0.04707792207792208,0.07068452380952381,0.1619047619047619,0.017857142857142856,0.06547619047619048,0.14166666666666666,0.06972789115646258,0.09821428571428571,0.15,0.0967741935483871,0.11904761904761904,0.017857142857142856,0.19642857142857142,0.4017857142857143,0.5833333333333334,0.05102040816326531,0.0480295566502463,0.34226190476190477,0.04563492063492063,0.14285714285714285,0.21753246753246752,0.3,0.11363636363636363,0.28714285714285714,0.03571428571428571,0.24553571428571427,0.11734693877551021,0.023809523809523808,0.0,0.05357142857142857
-13,0.13636363636363635,0.07270408163265306,0.32142857142857145,0.3892857142857143,0.35714285714285715,0.5867346938775511,0.6032818532818532,0.14642857142857144,0.0,0.24603174603174602,0.2002551020408163,0.0633116883116883,0.15327380952380953,0.27380952380952384,0.07142857142857142,0.1130952380952381,0.2226190476190476,0.1649659863945578,0.16294642857142858,0.21428571428571427,0.19930875576036866,0.4642857142857143,0.0,0.5089285714285714,0.6785714285714286,0.8809523809523809,0.09693877551020408,0.16748768472906403,0.5029761904761905,0.09325396825396826,0.08928571428571429,0.4935064935064935,0.6142857142857143,0.2662337662337662,0.35428571428571426,0.07142857142857142,0.35044642857142855,0.23299319727891157,0.07738095238095238,2.107142857142857,0.125
-12,0.19642857142857142,0.07908163265306123,0.17857142857142858,0.37857142857142856,0.45714285714285713,0.6258503401360545,0.7384169884169884,0.14285714285714285,0.017857142857142856,0.6150793650793651,0.23596938775510204,0.07142857142857142,0.15848214285714285,0.2261904761904762,0.017857142857142856,0.10119047619047619,0.2619047619047619,0.17517006802721088,0.140625,0.2357142857142857,0.2672811059907834,0.42857142857142855,0.07142857142857142,0.4642857142857143,0.7410714285714286,0.7738095238095238,0.09183673469387756,0.20812807881773399,0.5386904761904762,0.13293650793650794,0.19642857142857142,0.5,0.6071428571428571,0.22077922077922077,0.37714285714285717,0.21428571428571427,0.38169642857142855,0.2465986394557823,0.07738095238095238,1.3571428571428572,0.08928571428571429
-11,0.16558441558441558,0.04591836734693878,0.17857142857142858,0.25357142857142856,0.4928571428571429,0.6224489795918368,0.752895752895753,0.11428571428571428,0.0,0.5555555555555556,0.25,0.07305194805194805,0.15625,0.3761904761904762,0.017857142857142856,0.10119047619047619,0.2714285714285714,0.15476190476190477,0.11383928571428571,0.2,0.18087557603686635,0.5714285714285714,0.03571428571428571,0.41964285714285715,0.6875,1.1428571428571428,0.11989795918367346,0.18842364532019704,0.5148809523809523,0.1349206349206349,0.125,0.5357142857142857,0.5571428571428572,0.24025974025974026,0.35928571428571426,0.26785714285714285,0.359375,0.1989795918367347,0.13095238095238096,0.5714285714285714,0.10714285714285714
-10,0.17857142857142858,0.04974489795918367,0.14285714285714285,0.26785714285714285,0.4,1.1241496598639455,0.7355212355212355,0.13214285714285715,0.0,0.6468253968253969,0.22066326530612246,0.06493506493506493,0.13616071428571427,0.28095238095238095,0.05357142857142857,0.06547619047619048,0.2630952380952381,0.2193877551020408,0.11383928571428571,0.2,0.14285714285714285,0.39285714285714285,0.017857142857142856,0.49107142857142855,0.6071428571428571,0.9285714285714286,0.05612244897959184,0.21182266009852216,0.43452380952380953,0.13095238095238096,0.125,0.4935064935064935,0.6857142857142857,0.21103896103896103,0.36642857142857144,0.14285714285714285,0.5178571428571429,0.29081632653061223,0.07738095238095238,1.3214285714285714,0.16071428571428573
