cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.13636363636363635,0.05229591836734694,0.17857142857142858,0.24285714285714285,0.21428571428571427,0.413265306122449,0.26158301158301156,0.10357142857142858,0.0,0.23412698412698413,0.11734693877551021,0.05519480519480519,0.020089285714285716,0.3,0.017857142857142856,0.05357142857142857,0.1880952380952381,0.030612244897959183,0.06473214285714286,0.08571428571428572,0.15668202764976957,0.19047619047619047,0.05357142857142857,0.30357142857142855,0.6607142857142857,0.7857142857142857,0.07142857142857142,0.06280788177339902,0.30357142857142855,0.09126984126984126,0.16071428571428573,0.2922077922077922,0.42142857142857143,0.14285714285714285,0.30857142857142855,0.10714285714285714,0.34598214285714285,0.14285714285714285,0.14285714285714285,0.0,0.03571428571428571
-18,0.16558441558441558,0.0548469387755102,0.17857142857142858,0.2357142857142857,0.35714285714285715,0.5799319727891157,0.2944015444015444,0.20714285714285716,0.0,0.30158730158730157,0.11607142857142858,0.0633116883116883,0.031994047619047616,0.3476190476190476,0.0,0.05357142857142857,0.23809523809523808,0.047619047619047616,0.10044642857142858,0.1357142857142857,0.16013824884792627,0.15476190476190477,0.05357142857142857,0.375,0.6964285714285714,0.5833333333333334,0.058673469387755105,0.0812807881773399,0.4791666666666667,0.09126984126984126,0.125,0.2727272727272727,0.45,0.23376623376623376,0.39571428571428574,0.17857142857142858,0.21875,0.17687074829931973,0.19642857142857142,0.0,0.125
-17,0.16396103896103897,0.06377551020408163,0.14285714285714285,0.2571428571428571,0.37857142857142856,0.5051020408163265,0.2924710424710425,0.20714285714285716,0.0,0.30952380952380953,0.11096938775510204,0.06168831168831169,0.03794642857142857,0.23809523809523808,0.08928571428571429,0.05357142857142857,0.2369047619047619,0.047619047619047616,0.08482142857142858,0.10714285714285714,0.20391705069124424,0.21428571428571427,0.03571428571428571,0.44642857142857145,0.5535714285714286,0.6904761904761905,0.07653061224489796,0.07019704433497537,0.4255952380952381,0.08531746031746032,0.14285714285714285,0.30844155844155846,0.45714285714285713,0.20454545454545456,0.36357142857142855,0.08928571428571429,0.28348214285714285,0.20068027210884354,0.13095238095238096,0.0,0.08928571428571429
-16,0.1525974025974026,0.042091836734693876,0.25,0.30714285714285716,0.45714285714285713,0.5748299319727891,0.3030888030888031,0.15714285714285714,0.0,0.23412698412698413,0.1211734693877551,0.05357142857142857,0.04092261904761905,0.3357142857142857,0.017857142857142856,0.03571428571428571,0.19404761904761905,0.05102040816326531,0.08705357142857142,0.1,0.1923963133640553,0.16666666666666666,0.017857142857142856,0.35714285714285715,0.6517857142857143,0.9047619047619048,0.08928571428571429,0.08497536945812807,0.5059523809523809,0.07341269841269842,0.25,0.24025974025974026,0.42142857142857143,0.19155844155844157,0.4042857142857143,0.125,0.3482142857142857,0.16156462585034015,0.13690476190476192,0.0,0.07142857142857142
-15,0.14285714285714285,0.04846938775510204,0.14285714285714285,0.26071428571428573,0.32142857142857145,0.42346938775510207,0.2915057915057915,0.18571428571428572,0.0,0.3055555555555556,0.11607142857142858,0.06818181818181818,0.03050595238095238,0.3357142857142857,0.03571428571428571,0.05952380952380952,0.2523809523809524,0.04251700680272109,0.060267857142857144,0.11428571428571428,0.20391705069124424,0.13095238095238096,0.05357142857142857,0.4107142857142857,0.6964285714285714,0.6309523809523809,0.058673469387755105,0.07019704433497537,0.4494047619047619,0.0873015873015873,0.16071428571428573,0.3961038961038961,0.4357142857142857,0.2077922077922078,0.2807142857142857,0.14285714285714285,0.2611607142857143,0.18537414965986396,0.08928571428571429,0.0,0.05357142857142857
-14,0.08603896103896104,0.02295918367346939,0.10714285714285714,0.21785714285714286,0.24285714285714285,0.336734693877551,0.18436293436293436,0.08214285714285714,0.017857142857142856,0.25,0.07142857142857142,0.05032467532467533,0.028273809523809524,0.15476190476190477,0.017857142857142856,0.05357142857142857,0.13214285714285715,0.034013605442176874,0.08482142857142858,0.10714285714285714,0.08064516129032258,0.07142857142857142,0.03571428571428571,0.24107142857142858,0.45535714285714285,0.5,0.058673469387755105,0.04064039408866995,0.37202380952380953,0.047619047619047616,0.10714285714285714,0.22077922077922077,0.4785714285714286,0.1396103896103896,0.30142857142857143,0.08928571428571429,0.15178571428571427,0.12755102040816327,0.023809523809523808,0.0,0.07142857142857142
-13,0.12987012987012986,0.07015306122448979,0.32142857142857145,0.33214285714285713,0.35,0.5374149659863946,0.48841698841698844,0.15714285714285714,0.0,0.24603174603174602,0.22448979591836735,0.05844155844155844,0.15401785714285715,0.22142857142857142,0.07142857142857142,0.10714285714285714,0.24404761904761904,0.1598639455782313,0.16071428571428573,0.18571428571428572,0.22004608294930875,0.44047619047619047,0.0,0.39285714285714285,0.7857142857142857,0.9523809523809523,0.07653061224489796,0.14901477832512317,0.46130952380952384,0.08531746031746032,0.10714285714285714,0.4967532467532468,0.5928571428571429,0.2077922077922078,0.395,0.05357142857142857,0.2924107142857143,0.1921768707482993,0.07738095238095238,1.0357142857142858,0.10714285714285714
-12,0.18181818181818182,0.07015306122448979,0.21428571428571427,0.3892857142857143,0.36428571428571427,0.5952380952380952,0.6988416988416989,0.12857142857142856,0.017857142857142856,0.5515873015873016,0.22321428571428573,0.0698051948051948,0.14657738095238096,0.30714285714285716,0.03571428571428571,0.1130952380952381,0.2523809523809524,0.18197278911564627,0.14285714285714285,0.24285714285714285,0.2465437788018433,0.44047619047619047,0.05357142857142857,0.48214285714285715,0.7053571428571429,0.7380952380952381,0.1326530612244898,0.18719211822660098,0.5416666666666666,0.11507936507936507,0.10714285714285714,0.4935064935064935,0.6357142857142857,0.23376623376623376,0.33214285714285713,0.17857142857142858,0.37723214285714285,0.25170068027210885,0.06547619047619048,1.1071428571428572,0.05357142857142857
-11,0.1672077922077922,0.05102040816326531,0.17857142857142858,0.28214285714285714,0.5214285714285715,0.6581632653061225,0.747104247104247,0.125,0.0,0.5634920634920635,0.2385204081632653,0.0698051948051948,0.15922619047619047,0.3380952380952381,0.03571428571428571,0.10714285714285714,0.28095238095238095,0.16156462585034015,0.12946428571428573,0.20714285714285716,0.18433179723502305,0.5595238095238095,0.017857142857142856,0.4375,0.7053571428571429,1.0119047619047619,0.06377551020408163,0.20073891625615764,0.5029761904761905,0.14087301587301587,0.08928571428571429,0.5324675324675324,0.45714285714285713,0.2597402597402597,0.3364285714285714,0.25,0.3794642857142857,0.20748299319727892,0.125,0.6785714285714286,0.14285714285714285
-10,0.17045454545454544,0.05229591836734694,0.14285714285714285,0.2892857142857143,0.42142857142857143,1.0782312925170068,0.7480694980694981,0.1357142857142857,0.0,0.6746031746031746,0.22448979591836735,0.07142857142857142,0.13541666666666666,0.2761904761904762,0.03571428571428571,0.09523809523809523,0.25952380952380955,0.20578231292517007,0.11830357142857142,0.22142857142857142,0.15552995391705068,0.4523809523809524,0.017857142857142856,0.4375,0.625,1.0714285714285714,0.07653061224489796,0.2044334975369458,0.47023809523809523,0.14484126984126985,0.10714285714285714,0.5,0.6785714285714286,0.2077922077922078,0.40285714285714286,0.14285714285714285,0.4642857142857143,0.2789115646258503,0.09523809523809523,1.4642857142857142,0.16071428571428573
