cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.03417818740399386,0.0,0.0,0.05663265306122449,0.07475083056478406,0.03464641670621737,0.02005220692928334,0.0,,0.06669535283993115,0.009398496240601503,0.05586080586080587,0.0,0.20023041474654377,,0.19642857142857145,0.023634453781512604,0.05263157894736842,0.1951827242524917,0.09285714285714286,0.0440251572327044,0.0,0.0,0.1488095238095238,0.08668154761904762,0.053113553113553105,0.3280075187969925,0.0,0.022058823529411766,0.0,0.125,0.031117397454031116,0.13821892393320964,0.041105121293800534,0.01781789638932496,0.0,0.03512558869701727,0.014824797843665768,0.01403061224489796,,0.0
-18,0.018018018018018018,0.0,0.0,0.07954545454545454,0.022727272727272728,0.009404388714733543,0.012577123872804935,0.0,,0.018083182640144666,0.015650080256821828,0.029069767441860465,0.04389880952380953,0.11620082815734989,0.0,0.0,0.006599378881987578,0.03225806451612903,0.30046583850931674,0.08082706766917293,0.03702731092436975,0.0,0.0,0.04,0.039473684210526314,0.08,0.1,0.043478260869565216,0.009411196911196911,0.022727272727272728,0.0,0.01282051282051282,0.07608695652173914,0.01282051282051282,0.02591036414565826,0.0,0.02981651376146789,0.0021645021645021645,0.0,,0.0
-17,0.031914893617021274,0.046511627906976744,0.0,0.1051307847082495,0.03389830508474576,0.018815915627996165,0.015939597315436243,0.0,,0.01785714285714286,0.0,0.0,0.04081632653061224,0.1716366158113731,0.0,0.3409090909090909,0.021963330786860198,0.0,0.07692307692307693,0.0,0.056615259740259744,0.0,0.25,0.027597402597402596,0.06896551724137931,0.0,0.2195767195767196,0.0,0.014925373134328358,0.023809523809523808,0.42857142857142855,0.0018221574344023325,0.10274725274725276,0.0,0.021004378762999456,0.0,0.02608695652173913,0.008130081300813009,0.05745341614906832,,0.0
-16,0.024096385542168676,0.034482758620689655,0.0,0.03991596638655462,0.038461538461538464,0.022335600907029476,0.015822784810126583,0.0,,0.04215456674473068,0.043478260869565216,0.030303030303030304,0.0,0.08520809898762655,0.0,0.5454545454545454,0.022988505747126436,0.0,0.2293233082706767,0.0,0.06424344885883347,0.0,0.0,0.0,0.05287569573283859,0.05128205128205128,0.167989417989418,0.016129032258064516,0.0,0.0,0.11071428571428572,0.0,0.13116883116883118,0.06451612903225806,0.01500833796553641,0.0,0.01123876123876124,0.009216589861751152,0.0,,0.0
-15,0.01725521669341894,0.023809523809523808,0.0,0.09476190476190476,0.10562310030395138,0.056451612903225805,0.015289449112978526,0.0,,0.04025974025974026,0.03165584415584415,0.05128205128205128,0.006944444444444444,0.13846153846153847,0.0,0.0,0.00558659217877095,0.0,0.31361607142857145,0.0,0.04214729370008873,0.0,0.0,0.02631578947368421,0.06766917293233084,0.06101190476190477,0.2195767195767196,0.02770935960591133,0.01556776556776557,0.04352678571428571,0.2222222222222222,0.00847457627118644,0.19272237196765496,0.015873015873015872,0.01479591836734694,0.1,0.036734693877551024,0.025252525252525252,0.08333333333333333,,0.0
-14,0.16129032258064516,0.0,0.0,0.13297872340425532,0.11764705882352941,0.05466472303206996,0.019867549668874173,0.0,0.0,0.03635204081632653,0.09547383309759547,0.03708791208791209,0.1763157894736842,0.3018867924528302,0.0,0.3,0.01888341543513957,0.060810810810810814,0.18772893772893773,0.10526315789473684,0.08411654135338345,0.0,,0.08333333333333333,0.030888030888030885,0.14107142857142857,0.3333333333333333,0.029411764705882353,0.05400696864111498,0.0,0.4017857142857143,0.0,0.18638392857142858,0.034482758620689655,0.0285901762279715,,0.311624649859944,0.03183229813664597,0.48214285714285715,,0.0
-13,0.03571428571428571,0.0006265664160401002,0.0,0.08221024258760107,0.04,0.03373594335693461,0.09068571428571429,0.0,,0.009216589861751152,0.012738853503184714,0.02564102564102564,0.03138002773925104,0.13385093167701864,0.0,0.02631578947368421,0.010752688172043012,0.008646616541353383,0.1111111111111111,0.03333333333333333,0.0303156146179402,0.0,,0.07957393483709273,0.05263157894736842,0.020337301587301588,0.14661654135338345,0.06565126050420168,0.006097560975609756,0.0,0.2,0.001174812030075188,0.08098006644518273,0.02821869488536155,0.020965876229034126,0.0,0.0875796178343949,0.04044117647058824,0.013736263736263736,0.21173469387755103,0.0
-12,0.012101534828807558,0.016129032258064516,0.0,0.10167638483965014,0.0703125,0.038528726708074536,0.024137607799025122,0.0,0.0,0.017511520737327188,0.03783783783783784,0.04301948051948052,0.0409121395036888,0.11278195488721805,0.0,0.058823529411764705,0.010273972602739725,0.0,0.12269585253456222,0.0,0.0562111801242236,0.0,0.25,0.02403846153846154,0.03657487091222031,0.06179138321995465,0.16666666666666666,0.029585798816568046,0.008004926108374383,0.014925373134328358,0.2889610389610389,0.0,0.16302521008403362,0.029411764705882353,0.02358362699918677,0.1369047619047619,0.08709273182957393,0.006896551724137931,0.07692307692307693,0.1875,0.0
-11,0.0196078431372549,0.05555555555555555,0.0,0.07645875251509054,0.03881987577639752,0.02781030444964871,0.0224542598410645,0.0,,0.015306122448979591,0.033345481049562684,0.022222222222222223,0.03742310321257689,0.1247739602169982,0.0,0.11764705882352941,0.01143483709273183,0.003532182103610675,0.11764705882352941,0.0,0.06433150183150184,0.0,0.0,0.04179331306990882,0.041743970315398886,0.03125,0.3617021276595745,0.014472455648926238,0.036142001710863986,0.020483193277310924,0.1683673469387755,0.0012987012987012987,0.06684981684981685,0.013513513513513514,0.020276038702333524,0.0,0.039485359361135765,0.008547008547008548,0.045454545454545456,0.07692307692307693,0.0
-10,0.027522935779816515,0.02564102564102564,0.0,0.10380952380952381,0.10714285714285714,0.023341257834449968,0.02066929133858268,0.0,,0.020595968448729185,0.05532617671345995,0.045535714285714284,0.04449648711943793,0.10290556900726391,0.0,0.0,0.009415584415584415,0.0005537098560354374,0.11904761904761904,0.03571428571428571,0.06649245063879211,0.0,0.0,0.04497354497354497,0.04411764705882353,0.08834586466165413,0.29545454545454547,0.016611295681063124,0.019642857142857142,0.0,0.14285714285714285,0.024906015037593984,0.1134672619047619,0.03076923076923077,0.027847396268448902,0.0,0.0562111801242236,0.0058823529411764705,0.0,0.05405405405405406,0.0
-9,0.04124149659863946,0.048701298701298704,0.0,0.04919137466307278,0.06186224489795918,0.01337968815844922,0.023095845481049565,0.01365546218487395,0.0,0.013605442176870748,0.04547991071428571,0.019230769230769232,0.04090531561461794,0.08718487394957983,0.0,0.0,0.01015228426395939,0.016434892541087234,0.14007421150278293,0.08823529411764706,0.03987730061349693,0.0,,0.02127659574468085,0.061224489795918366,0.05042016806722689,0.06666666666666667,0.022672552166934187,0.020604395604395604,0.0166256157635468,0.2,0.0072992700729927005,0.15069686411149827,0.024818401937046007,0.013832997987927566,0.06666666666666667,0.0992063492063492,0.013157894736842105,0.0,0.14285714285714285,0.0
-8,0.02,0.023255813953488372,0.0,0.1216931216931217,0.047619047619047616,0.0301410373066424,0.026492765437130632,0.011083743842364532,,0.034013605442176874,0.024369747899159667,0.004355400696864111,0.033625730994152045,0.0699023199023199,0.0,0.02142857142857143,0.0,0.03125,0.09120879120879122,0.0,0.06390977443609024,0.0,0.0,0.024052478134110787,0.058179723502304145,0.056338028169014086,0.17857142857142858,0.024539877300613498,0.029488859764089125,0.0125,0.0625,0.0,0.148711943793911,0.05357142857142857,0.010956175298804782,0.0,0.06215213358070501,0.006390977443609024,0.0625,0.12414965986394558,0.0
-7,0.011111111111111112,0.05600649350649351,0.0,0.10029354207436399,0.07305194805194805,0.02967359050445104,0.015900534971270062,0.0,,0.010115606936416185,0.04225352112676056,0.002232142857142857,0.05659640905542545,0.13695937090432503,0.0,0.0,0.015745007680491554,0.010101010101010102,0.07142857142857142,0.0049261083743842365,0.07282913165266107,0.05555555555555555,0.0,0.13003663003663002,0.0663265306122449,0.03998447204968945,0.12637362637362637,0.022556390977443608,0.02654867256637168,0.0,0.13214285714285715,0.0,0.13274932614555257,0.013888888888888888,0.01559934318555008,0.0,0.0452240067624683,0.0,0.0,0.05654761904761905,0.0
-6,0.012658227848101266,0.023255813953488372,0.0,0.029411764705882353,0.04395604395604395,0.029464285714285717,0.0125677048070413,0.0,,0.024897959183673473,0.04533678756476684,0.0,0.11205145565335138,0.13616071428571427,0.0,0.012755102040816327,0.004750982961992137,0.017857142857142856,0.1580952380952381,0.02647783251231527,0.04354207436399217,0.002040816326530612,,0.08035714285714286,0.08682266009852216,0.01648351648351648,0.23529411764705882,0.014880952380952382,0.017241379310344827,0.013333333333333334,0.20604395604395606,0.013531499556344279,0.08490566037735849,0.0,0.017973856209150325,0.0,0.06114718614718615,0.0,0.0,0.3888888888888889,0.0
-5,0.037037037037037035,0.017857142857142856,0.0,0.08928571428571427,0.07967032967032968,0.025410408662242402,0.019492911668484186,0.018518518518518517,0.0,0.01878720238095238,0.030181086519114688,0.0,0.0705532212885154,0.13131313131313133,,0.046583850931677016,0.01,0.004545454545454545,0.02666666666666667,0.0,0.031142857142857142,0.0,0.0,0.05555555555555555,0.03880070546737213,0.05252100840336135,0.1935483870967742,0.02027027027027027,0.007518796992481203,0.0,0.2222222222222222,0.007059800664451827,0.07471804511278196,0.012658227848101266,0.017354124748490945,0.0,0.018433179723502304,0.006658595641646489,0.0,0.1954887218045113,0.0
-4,0.020202020202020204,0.021739130434782608,0.0,0.05080482897384306,0.034126984126984124,0.024066646096883675,0.01733007252487772,0.0,,0.034782608695652174,0.039141414141414144,0.024390243902439025,0.06344984802431611,0.1057142857142857,,0.0,0.005,0.0,0.11538461538461539,0.02127659574468085,0.02456778889899909,0.0,0.0,0.043478260869565216,0.0,0.0817857142857143,0.20803571428571427,0.00487012987012987,0.002304147465437788,0.015625,0.20153061224489793,0.0,0.07216494845360824,0.016452648475120388,0.011707663197729423,0.014285714285714285,0.05321285140562249,0.0,0.13333333333333333,0.2,0.0
-3,0.07236842105263158,0.0,0.0,0.09883720930232558,0.05405405405405406,0.01768867924528302,0.018194980694980694,0.0,,0.020942408376963352,0.03420523138832998,0.05313588850174217,0.03010625737898465,0.11628919860627179,0.3333333333333333,0.05555555555555555,0.006939742721733244,0.02305194805194805,0.08707865168539326,0.0,0.051224489795918364,0.0,0.0,0.09733893557422969,0.023809523809523808,0.010526315789473684,0.10215946843853821,0.01867816091954023,0.015503875968992248,0.015873015873015872,0.2727272727272727,0.008695652173913044,0.057370820668693014,0.0,0.022363784223366767,0.0,0.01898496240601504,0.005649717514124294,0.0,0.16666666666666666,0.0
-2,0.0812807881773399,0.07317073170731707,0.0,0.041666666666666664,0.02203647416413374,0.021558737390172472,0.020868347338935573,0.0,0.0,0.038461538461538464,0.02946428571428571,0.06168831168831168,0.05213647959183674,0.1318181818181818,0.0,0.25,0.015306122448979593,0.009523809523809525,0.11236933797909408,0.021428571428571425,0.06627576403695806,0.0,0.0,0.007440476190476191,0.015376984126984128,0.03884254431699687,0.25,0.02207792207792208,0.0,0.004098360655737705,0.25,0.0,0.11479591836734693,0.0,0.018883415435139574,0.0,0.02135678391959799,0.005154639175257732,0.058823529411764705,0.10884353741496598,0.0
-1,0.008297258297258296,0.020833333333333332,0.0,0.10880398671096346,0.07915057915057915,0.04021879021879022,0.013759130287073212,0.0,,0.007976794778825236,0.03228962818003914,0.047619047619047616,0.06724924012158054,0.13639455782312926,0.0,0.3474025974025974,0.004464285714285714,0.028037383177570093,0.11231884057971014,0.0,0.01665521978021978,0.029411764705882353,0.0,0.0,0.01510989010989011,0.04183673469387755,0.1346153846153846,0.014114627887082978,0.0070921985815602835,0.016666666666666666,0.25,0.00507416081186573,0.1027336860670194,0.0,0.02095152140278494,0.0,0.021585557299843017,0.01596169193934557,0.0625,0.21218487394957983,0.0
0,0.06860902255639098,0.038740920096852295,0.0,0.08958837772397094,0.051510989010989015,0.01603835978835979,0.01539408866995074,0.0,,0.00619047619047619,0.03214285714285715,0.07894736842105263,0.06304493628437291,0.08075692963752665,0.0,0.05555555555555555,0.01006036217303823,0.02040816326530612,0.1215213358070501,0.10526315789473684,0.04213002566295979,0.0,0.0,0.03896103896103896,0.0,0.020807453416149067,0.2463054187192118,0.04216867469879518,0.027972027972027972,0.005022321428571429,0.1,0.005376344086021506,0.005456349206349206,0.0,0.024926293218976145,0.0,0.033783783783783786,0.004347826086956522,0.047619047619047616,0.04,0.0
1,0.06239737274220033,0.04878048780487805,0.0,0.09567901234567901,0.0,0.025944907110826393,0.01747529200359389,0.0,,0.004043126684636118,0.017438616071428572,0.024390243902439025,0.02518796992481203,0.06573498964803312,0.25,0.22077922077922077,0.004629629629629629,0.0015262515262515263,0.06493506493506493,0.08,0.043969002695417786,0.02857142857142857,0.0,0.022222222222222223,0.02631578947368421,0.02554945054945055,0.060267857142857144,0.007792207792207791,0.027152641878669278,0.0,0.18907563025210083,0.012411347517730497,0.13586156111929307,0.00046992481203007516,0.018786868427802004,0.0,0.02912621359223301,0.026151444184231067,0.0,0.12079831932773108,0.0
2,0.060064935064935064,0.02702702702702703,0.0,0.02838827838827839,0.05172413793103448,0.021912039925140365,0.01903553299492386,0.0,,0.018016581632653062,0.028643944887599707,0.07692307692307693,0.032432432432432434,0.2455005624296963,0.0,0.14814814814814814,0.009082512315270937,0.01560846560846561,0.06645569620253164,0.16428571428571428,0.03996138996138996,0.0,0.0,0.07217261904761905,0.05194805194805195,0.023124357656731757,0.03809523809523809,0.03211716341212744,0.02142857142857143,0.001756440281030445,0.0,0.0006957328385899814,0.07954545454545454,0.0,0.027383228626058454,0.015306122448979591,0.03774981495188749,0.006599378881987578,0.0625,0.10960591133004927,0.0
