cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0425531914893617,0.041666666666666664,0.0,0.013513513513513514,0.0,0.0,0.006600660066006601,0.027777777777777776,,0.0,0.030927835051546393,0.0,0.0,0.006289308176100629,,0.0,0.014563106796116505,0.05263157894736842,0.0,0.0,0.012422360248447204,0.0,0.0,0.023809523809523808,0.010416666666666666,0.012658227848101266,0.0,0.0,0.014598540145985401,0.0,0.0,0.009900990099009901,0.0,0.0,0.01978021978021978,0.0,0.005376344086021506,0.0,0.0,,0.5
-18,0.02702702702702703,0.0,0.2,0.0,0.022727272727272728,0.009345794392523364,0.006622516556291391,0.0,,0.0,0.010869565217391304,0.0,0.020833333333333332,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.03676470588235294,0.0,0.0,0.0,0.012658227848101266,0.02,0.0,0.014492753623188406,0.013333333333333334,0.044444444444444446,0.0,0.038461538461538464,0.0,0.01282051282051282,0.00980392156862745,0.125,0.01834862385321101,0.020202020202020204,0.0,,0.0
-17,0.02127659574468085,0.045454545454545456,0.0,0.0,0.016666666666666666,0.010033444816053512,0.0,0.0,,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.005319148936170213,0.03333333333333333,0.0,0.0,0.0056179775280898875,0.058823529411764705,0.0,0.0,0.017241379310344827,0.038461538461538464,0.0,0.018867924528301886,0.0,0.0,0.0,0.01020408163265306,0.0,0.017241379310344827,0.022988505747126436,0.0,0.01694915254237288,0.008130081300813009,0.043478260869565216,,0.0
-16,0.011904761904761904,0.03333333333333333,0.0,0.0,0.018867924528301886,0.015432098765432098,0.006329113924050633,0.0,,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.005649717514124294,0.0,0.0,0.09090909090909091,0.017543859649122806,0.0,0.0,0.0,0.0125,0.012658227848101266,0.0,0.015873015873015872,0.0,0.0,0.0,0.013333333333333334,0.0,0.016129032258064516,0.01556420233463035,0.0,0.013157894736842105,0.0,0.0,,0.3333333333333333
-15,0.021739130434782608,0.0,0.0,0.025974025974025976,0.0,0.022556390977443608,0.0125,0.0,,0.01639344262295082,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.005988023952095809,0.1,0.0,0.05128205128205128,0.012987012987012988,0.018867924528301886,0.0,0.03389830508474576,0.03680981595092025,0.0,0.0,0.00819672131147541,0.0,0.0,0.009411764705882352,0.0,0.0,0.009900990099009901,0.0,,0.0
-14,0.02127659574468085,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.014925373134328358,0.0,0.02857142857142857,0.012468827930174564,0.0,0.0,0.0,0.0,,0.0
-13,0.011904761904761904,0.0,0.0,0.0,0.02,0.020289855072463767,0.0048,0.04878048780487805,,0.04838709677419355,0.01910828025477707,0.0,0.014563106796116505,0.008695652173913044,0.0,0.0,0.0,0.010309278350515464,0.0,0.03333333333333333,0.0,0.10256410256410256,,0.0,0.0,0.0,0.0,0.022058823529411766,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.012738853503184714,0.0072992700729927005,0.0,0.0,0.0
-12,0.01652892561983471,0.016129032258064516,0.0,0.009433962264150943,0.015625,0.005434782608695652,0.006535947712418301,0.0,1.0,0.0064516129032258064,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0136986301369863,0.019417475728155338,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.005917159763313609,0.017241379310344827,0.0,0.0,0.012987012987012988,0.023529411764705882,0.014705882352941176,0.00946969696969697,0.08333333333333333,0.005847953216374269,0.013793103448275862,0.0,0.02631578947368421,0.0
-11,0.0,0.0,0.0,0.0,0.043478260869565216,0.02185792349726776,0.002570694087403599,0.03125,,0.007142857142857143,0.02040816326530612,0.022222222222222223,0.009569377990430622,0.006329113924050633,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.01910828025477707,0.020833333333333332,0.0,0.0,0.012987012987012988,0.010416666666666666,0.0,0.006535947712418301,0.005988023952095809,0.014705882352941176,0.0,0.030303030303030304,0.01282051282051282,0.0,0.021912350597609563,0.0,0.0,0.0,0.0,0.0,0.0
-10,0.009174311926605505,0.0,0.0,0.0,0.017857142857142856,0.0045385779122541605,0.006561679790026247,0.0,,0.0,0.023121387283236993,0.0,0.01092896174863388,0.00847457627118644,0.0,0.0,0.00909090909090909,0.007751937984496124,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.013157894736842105,0.0,0.005813953488372093,0.0,0.0,0.0,0.013157894736842105,0.03125,0.015384615384615385,0.011695906432748537,0.0,0.0,0.0058823529411764705,0.07692307692307693,0.0,0.0
-9,0.011904761904761904,0.0,0.0,0.0,0.017857142857142856,0.011799410029498525,0.003826530612244898,0.0,0.0,0.006802721088435374,0.0078125,0.0,0.029069767441860465,0.00980392156862745,0.0,0.058823529411764705,0.01015228426395939,0.017699115044247787,0.012987012987012988,0.02564102564102564,0.0,0.034482758620689655,,0.02127659574468085,0.0,0.0,0.0,0.016853932584269662,0.0,0.0,0.0,0.021897810218978103,0.024390243902439025,0.0,0.022887323943661973,0.0,0.005050505050505051,0.0,0.0,0.0,0.0
-8,0.01,0.0,0.0,0.012345679012345678,0.023809523809523808,0.009554140127388535,0.0028530670470756064,0.034482758620689655,,0.006802721088435374,0.011764705882352941,0.0,0.017543859649122806,0.008547008547008548,0.0,0.0,0.017937219730941704,0.0,0.0,0.0,0.00641025641025641,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.024539877300613498,0.05504587155963303,0.0,0.0,0.006329113924050633,0.01639344262295082,0.017857142857142856,0.03187250996015936,0.0,0.0,0.0,0.0,0.047619047619047616,0.0
-7,0.0,0.0,0.0,0.0,0.045454545454545456,0.011869436201780416,0.0013869625520110957,0.0,,0.005780346820809248,0.007042253521126761,0.03125,0.01092896174863388,0.01834862385321101,0.0,0.0,0.0106951871657754,0.030303030303030304,0.017857142857142856,0.034482758620689655,0.00980392156862745,0.1111111111111111,0.0,0.0,0.0,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.027777777777777776,0.017241379310344827,0.0,0.005917159763313609,0.007042253521126761,0.0,0.0,0.0
-6,0.02531645569620253,0.0,0.0,0.0,0.0,0.01818181818181818,0.0071090047393364926,0.02631578947368421,,0.005714285714285714,0.0051813471502590676,0.0,0.018957345971563982,0.0,0.0,0.0,0.0045871559633027525,0.017857142857142856,0.0,0.0,0.0136986301369863,0.05714285714285714,,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.07692307692307693,0.037267080745341616,0.009433962264150943,0.0,0.013071895424836602,0.0,0.010101010101010102,0.0,0.0,0.0,0.0
-5,0.018518518518518517,0.0,0.0,0.0,0.0,0.022004889975550123,0.001272264631043257,0.0,0.0,0.005208333333333333,0.009389671361502348,0.0,0.0196078431372549,0.0,,0.0,0.005,0.00909090909090909,0.013333333333333334,0.03571428571428571,0.008,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.007518796992481203,0.016666666666666666,0.0,0.01744186046511628,0.013157894736842105,0.012658227848101266,0.01056338028169014,0.0,0.009216589861751152,0.02824858757062147,0.0,0.0,0.0
-4,0.030303030303030304,0.0,0.0,0.0,0.0,0.023758099352051837,0.0059031877213695395,0.05172413793103448,,0.008695652173913044,0.015151515151515152,0.0,0.01773049645390071,0.008,,0.0,0.005,0.03076923076923077,0.0,0.0,0.006369426751592357,0.07692307692307693,0.0,0.0,0.014705882352941176,0.01,0.025,0.025974025974025976,0.04032258064516129,0.0,0.0,0.0049261083743842365,0.0,0.0,0.016556291390728478,0.0,0.004016064257028112,0.010869565217391304,0.0,0.0,0.0
-3,0.02631578947368421,0.02857142857142857,0.0,0.0,0.0,0.007075471698113208,0.005405405405405406,0.03125,,0.0,0.014084507042253521,0.024390243902439025,0.01652892561983471,0.012195121951219513,0.0,0.05555555555555555,0.0,0.0,0.011235955056179775,0.0,0.017142857142857144,0.0,0.0,0.0392156862745098,0.0,0.021052631578947368,0.0,0.005747126436781609,0.015503875968992248,0.0,0.0,0.004347826086956522,0.02127659574468085,0.0,0.017077798861480076,0.0,0.005263157894736842,0.011299435028248588,0.0,0.0,0.0
-2,0.0,0.0,0.0,0.0,0.0,0.015945330296127564,0.00522875816993464,0.046875,0.0,0.0,0.005,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.0380952380952381,0.0,0.03333333333333333,0.029850746268656716,0.08620689655172414,0.0,0.0,0.013888888888888888,0.014598540145985401,0.0,0.006060606060606061,0.008264462809917356,0.0,0.0,0.0,0.011904761904761904,0.027777777777777776,0.019157088122605363,0.0,0.0,0.010309278350515464,0.0,0.047619047619047616,0.0
-1,0.010101010101010102,0.041666666666666664,0.16666666666666666,0.011627906976744186,0.0,0.009009009009009009,0.0023781212841854932,0.01694915254237288,,0.01015228426395939,0.0136986301369863,0.0,0.005319148936170213,0.0,0.0,0.0,0.008928571428571428,0.018691588785046728,0.028985507246376812,0.0,0.009615384615384616,0.0,0.0,0.0,0.01282051282051282,0.01904761904761905,0.0,0.005988023952095809,0.02127659574468085,0.0,0.0,0.01092896174863388,0.012345679012345678,0.013333333333333334,0.01263537906137184,0.0,0.01098901098901099,0.0111731843575419,0.0,0.029411764705882353,0.0
0,0.017543859649122806,0.03389830508474576,0.25,0.0,0.019230769230769232,0.011574074074074073,0.007389162561576354,0.0,,0.013333333333333334,0.004347826086956522,0.0,0.009389671361502348,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.02631578947368421,0.005988023952095809,0.0,0.0,0.01818181818181818,0.014285714285714285,0.02608695652173913,0.0,0.006024096385542169,0.02097902097902098,0.015625,0.0,0.010752688172043012,0.027777777777777776,0.0,0.020637898686679174,0.0,0.006756756756756757,0.008695652173913044,0.0,0.0,0.0
1,0.034482758620689655,0.0,0.0,0.0,0.0,0.011210762331838564,0.0025157232704402514,0.02857142857142857,,0.018867924528301886,0.01953125,0.024390243902439025,0.02631578947368421,0.007246376811594203,0.0,0.0,0.009259259259259259,0.017094017094017096,0.0,0.0,0.03773584905660377,0.02857142857142857,0.0,0.0,0.0,0.0,0.03125,0.01818181818181818,0.00684931506849315,0.018518518518518517,0.0,0.02127659574468085,0.020618556701030927,0.0,0.01615798922800718,0.0,0.0,0.01639344262295082,0.0,0.0,0.0
2,0.011363636363636364,0.0,0.0,0.02564102564102564,0.0,0.008733624454148471,0.0038071065989847717,0.044444444444444446,,0.004464285714285714,0.005076142131979695,0.0,0.016216216216216217,0.007874015748031496,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.010810810810810811,0.0,0.0,0.0,0.0,0.03597122302158273,0.0,0.007194244604316547,0.02142857142857143,0.01639344262295082,0.0,0.0,0.06818181818181818,0.0136986301369863,0.017208413001912046,0.0,0.010362694300518135,0.021739130434782608,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.010025062656641603,0.006983240223463687,0.0,,0.020100502512562814,0.011235955056179775,0.0,0.0053475935828877,0.0,,0.0,0.01020408163265306,0.01098901098901099,0.01282051282051282,0.012048192771084338,0.005494505494505495,0.08823529411764706,0.0,0.0,0.015625,0.009259259259259259,0.0,0.006535947712418301,0.008130081300813009,0.017857142857142856,0.0,0.018518518518518517,0.0,0.0,0.01576182136602452,0.0,0.011235955056179775,0.019138755980861243,0.0,0.0,0.0
4,0.014084507042253521,0.0,0.0,0.0,0.0,0.017391304347826087,0.004092769440654843,0.05660377358490566,,0.01,0.005988023952095809,0.0,0.022935779816513763,0.0,0.0,0.0,0.009708737864077669,0.021052631578947368,0.0,0.024390243902439025,0.010471204188481676,0.03125,0.0,0.0,0.0,0.014598540145985401,0.0,0.022388059701492536,0.008849557522123894,0.0,0.0,0.008403361344537815,0.012195121951219513,0.0,0.01727447216890595,0.0,0.00546448087431694,0.0045871559633027525,0.0,0.0,0.0
5,0.010526315789473684,0.0,0.1111111111111111,0.04878048780487805,0.0,0.005917159763313609,0.008174386920980926,0.01818181818181818,0.0,0.011695906432748537,0.007042253521126761,0.03571428571428571,0.005154639175257732,0.0070921985815602835,0.0,0.1,0.012875536480686695,0.010101010101010102,0.013888888888888888,0.06666666666666667,0.025,0.0,0.0,0.02564102564102564,0.0,0.014814814814814815,0.0,0.007462686567164179,0.0,0.023255813953488372,0.0,0.015267175572519083,0.014084507042253521,0.017241379310344827,0.02320185614849188,0.0,0.0,0.010362694300518135,0.0,0.07142857142857142,0.0
6,0.030303030303030304,0.027777777777777776,0.0,0.015873015873015872,0.0,0.014749262536873156,0.0044444444444444444,0.017857142857142856,,0.017241379310344827,0.013157894736842105,0.0,0.030303030303030304,0.0,0.0,0.0,0.0106951871657754,0.024691358024691357,0.0,0.0,0.011834319526627219,0.03225806451612903,0.0,0.025,0.013333333333333334,0.00847457627118644,0.0,0.0,0.004830917874396135,0.0,0.0,0.008547008547008548,0.046875,0.013333333333333334,0.028455284552845527,0.0,0.0,0.010810810810810811,0.0,0.0,0.0
7,0.010526315789473684,0.0,0.0,0.0,0.0,0.015503875968992248,0.0036540803897685747,0.018867924528301886,0.0,0.008583690987124463,0.008733624454148471,0.030303030303030304,0.021367521367521368,0.0,0.0,0.0,0.017142857142857144,0.009174311926605505,0.013157894736842105,0.0,0.015306122448979591,0.09375,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.02394106813996317,0.3333333333333333,0.009852216748768473,0.004878048780487805,0.0,0.03225806451612903,0.0
8,0.0,0.0,0.0,0.014285714285714285,0.013888888888888888,0.02577319587628866,0.003605769230769231,0.0,0.0,0.0,0.009615384615384616,0.0,0.0041841004184100415,0.013422818791946308,,0.0,0.022222222222222223,0.0425531914893617,0.0,0.0,0.006211180124223602,0.08823529411764706,0.0,0.025,0.0,0.03875968992248062,0.0,0.0,0.0,0.03125,0.07692307692307693,0.018404907975460124,0.056338028169014086,0.014285714285714285,0.015985790408525755,0.0,0.011111111111111112,0.0,0.0,0.0,0.0
9,0.012048192771084338,0.0,0.0,0.0,0.0,0.0025380710659898475,0.004750593824228029,0.0,0.0,0.008298755186721992,0.015384615384615385,0.029411764705882353,0.0,0.0,0.0,0.0,0.014492753623188406,0.01639344262295082,0.0,0.0,0.027472527472527472,0.10256410256410256,0.0,0.02127659574468085,0.0,0.00847457627118644,0.0,0.005952380952380952,0.0,0.0,0.0,0.0,0.02247191011235955,0.0,0.01225114854517611,0.0,0.004761904761904762,0.004166666666666667,0.0,0.0,0.0
10,0.0,0.02,0.0,0.0,0.0,0.010554089709762533,0.005037783375314861,0.041666666666666664,,0.013333333333333334,0.005319148936170213,0.021739130434782608,0.0,0.006134969325153374,,0.0,0.0,0.011764705882352941,0.0,0.0196078431372549,0.011235955056179775,0.05405405405405406,0.0,0.0,0.01,0.013605442176870748,0.0,0.017241379310344827,0.021739130434782608,0.016129032258064516,0.0,0.01282051282051282,0.0,0.03614457831325301,0.016556291390728478,0.0,0.0,0.007936507936507936,0.0,0.0,0.06666666666666667
11,0.0,0.0,0.0,0.021739130434782608,0.0,0.004866180048661801,0.005208333333333333,0.01818181818181818,,0.004672897196261682,0.0213903743315508,0.0,0.0,0.0,0.0,0.0,0.00510204081632653,0.017094017094017096,0.018518518518518517,0.0,0.01764705882352941,0.07317073170731707,,0.0,0.020202020202020204,0.006993006993006993,0.0,0.012903225806451613,0.0,0.0,0.0,0.008928571428571428,0.0,0.011764705882352941,0.011437908496732025,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
12,0.008849557522123894,0.0,0.0,0.0,0.0,0.004576659038901602,0.006666666666666667,0.0,0.0,0.00881057268722467,0.004672897196261682,0.0,0.008968609865470852,0.0,0.0,0.0,0.00904977375565611,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.031496062992125984,0.0,0.020833333333333332,0.0,0.0,0.03125,0.0,0.013223140495867768,0.0,0.004830917874396135,0.01015228426395939,0.0,0.024390243902439025,0.0
