cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0,0.0,0.0,0.004975124378109453,0.05555555555555555,0.005277973258268825,0.0,0.0,0.0,0.0,0.0027247956403269754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0053475935828877,0.0,0.0,0.0,0.0,0.001473723817885363,0.0,0.0035087719298245615,0.0,0.011494252873563218,,0.0
-18,0.0,0.0,0.0,0.0,0.04827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.005012531328320802,0.0,0.0,0.0,0.0,0.0,0.0008389261744966443,0.0,0.005154639175257732,0.0,0.0,,0.0
-17,0.0,0.0,0.0,0.004545454545454545,0.04895104895104895,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.002177331559211322,0.0,0.0,0.0,0.007352941176470588,,0.0
-16,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0036900369003690036,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,,0.0,0.006578947368421052,0.0,0.0,0.0,0.010714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007874015748031496,0.0,0.0045662100456621,0.0,0.01639344262295082,,0.0
-15,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.011450381679389313,0.0,0.0,0.0,0.0,0.00303951367781155,0.0,0.008064516129032258,0.0,0.0,0.0625,0.0,0.0,0.0,0.00035744072441320146,0.0,0.0,0.0,0.0,,0.0
-14,0.0,0.0,0.0,0.0018315018315018315,0.12280701754385964,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.0,0.010309278350515464,0.03333333333333333,0.0,0.0,0.0,0.0,0.008086253369272236,0.0,0.026143790849673203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012786596119929454,0.0,0.008130081300813009,0.0,0.025,,0.0
-13,0.0,0.0,0.0,0.0041390728476821195,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.004085956416464891,0.0,0.0028011204481792717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.003875968992248062,0.01639344262295082,0.00390625,0.009302325581395349,0.0,0.02380952380952381,0.0,0.0,0.0,0.0027605244996549345,0.0,0.004629629629629629,0.005314625850340136,0.0,0.009345794392523364,0.0
-12,0.0,0.0,0.0,0.0,0.026437847866419294,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051495016611295685,0.0,0.007042253521126761,0.0,0.0,0.0,0.013513513513513514,0.0,0.018867924528301886,0.004016064257028112,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0016284815813117698,0.0,0.0,0.0,0.0,0.009009009009009009,0.0
-11,0.0,0.0,0.0,0.004830917874396135,0.040606653620352255,0.0,0.0,0.0,0.0,0.0,0.0035650623885918,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.009174311926605505,0.0043859649122807015,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0032679738562091504,0.0,0.00411522633744856,0.0,0.004651162790697674,0.0,0.0,0.0,0.0,0.0012264922322158627,0.0,0.001455026455026455,0.0,0.0,0.041666666666666664,0.0
-10,0.0,0.0,0.0,0.0,0.02274659863945578,0.0,0.0,0.0,0.0,0.0,0.0020920502092050207,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017035775127768314,0.0,0.0,0.0,0.0,0.0,0.0
