cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.02040816326530612,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.02040816326530612,0.006060606060606061,0.0017497812773403325,0.0,0.0,0.0032679738562091504,0.0,,0.0
-18,0.0,0.0,0.0,0.0,0.0,0.003875968992248062,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.008771929824561403,0.0,0.002508361204013378,0.0,0.0,0.0,0.0,,0.0
-17,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.00303951367781155,0.0,0.0,0.010582010582010581,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.003067484662576687,0.0,,0.0
-16,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.125,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0023455824863174357,0.0,0.0,0.0,0.0,,0.0
-15,0.0,0.0,0.0,0.0044444444444444444,0.0,0.003246753246753247,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.003703703703703704,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.007407407407407408,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0016194331983805667,0.0,0.0,0.0027247956403269754,0.0,,0.0
-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034522439585730723,0.0,0.0,0.005555555555555556,0.0,,0.0
-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0031847133757961785,0.015384615384615385,0.0,0.019230769230769232,0.0,0.0,0.002785515320334262,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.014925373134328358,0.003875968992248062,0.0,0.01171875,0.0,0.0,0.0,0.0,0.0,0.0,0.001607717041800643,0.0,0.0,0.0,0.0,0.0,0.0
-12,0.0,0.0,0.0,0.0,0.0,0.00625,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.002770083102493075,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.010869565217391304,0.0,0.0049504950495049506,0.0023584905660377358,0.0,0.0,0.002207505518763797,0.0,0.0,0.0
-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0017825311942959,0.0,0.0025974025974025974,0.0,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.004366812227074236,0.004608294930875576,0.0,0.0,0.0,0.005050505050505051,0.001635322976287817,0.0,0.0,0.0,0.0,0.0,0.0
-10,0.0,0.0,0.0,0.0,0.0,0.0012804097311139564,0.008310249307479225,0.014084507042253521,0.0,0.013333333333333334,0.0,0.0,0.008823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0196078431372549,0.003257328990228013,0.0,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0034071550255536627,0.0,0.0,0.0020242914979757085,0.0,0.0,0.0
