cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.01098901098901099,0.02127659574468085,0.0,0.0,0.0,0.009852216748768473,0.0,0.01020408163265306,0.0,0.015384615384615385,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.01935483870967742,0.0,0.0,0.0,0.006230529595015576,0.0,0.0,0.0,0.0,0.008426966292134831,0.01694915254237288,0.010101010101010102,0.009852216748768473,0.010471204188481676,0.0,0.015384615384615385,0.0,0.0,0.009623797025371828,0.0,0.006872852233676976,0.0032679738562091504,0.011363636363636364,,0.0
-18,0.0,0.0,0.0,0.0,0.006622516556291391,0.003875968992248062,0.0,0.00909090909090909,0.3333333333333333,0.0,0.011299435028248588,0.03125,0.0,0.0,0.0,0.0,0.01935483870967742,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0032679738562091504,0.0,0.014184397163120567,0.017142857142857144,0.006493506493506494,0.0,0.012987012987012988,0.008771929824561403,0.00546448087431694,0.007525083612040134,0.0,0.0,0.005813953488372093,0.011627906976744186,,0.0
-17,0.024691358024691357,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.003745318352059925,0.0,0.0,0.1111111111111111,0.0,0.0060790273556231,0.0,0.017241379310344827,0.015873015873015872,0.0,0.0,0.02702702702702703,0.030303030303030304,0.006711409395973154,0.015228426395939087,0.0,0.0,0.0,0.0,,0.0
-16,0.017857142857142856,0.0,0.0,0.0041841004184100415,0.0,0.0,0.0,0.0,0.2,0.0,0.004098360655737705,0.027777777777777776,0.0,0.0,,0.0,0.006578947368421052,0.038461538461538464,0.0,0.013157894736842105,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.006329113924050633,0.0,0.0,0.014492753623188406,0.011560693641618497,0.007036747458952306,0.016129032258064516,0.0,0.003003003003003003,0.0,,0.0
-15,0.0,0.0,0.0,0.013333333333333334,0.0070921985815602835,0.0,0.007518796992481203,0.0,0.0,0.0,0.012396694214876033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0136986301369863,0.003703703703703704,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.007407407407407408,0.01775147928994083,0.007874015748031496,0.0,0.01020408163265306,0.025,0.0,0.0032388663967611335,0.015151515151515152,0.008928571428571428,0.005449591280653951,0.0,,0.05
-14,0.044444444444444446,0.0,0.0,0.014285714285714285,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.009523809523809525,0.0,0.0,0.018867924528301886,0.022727272727272728,0.0,0.010356731875719217,0.0,0.0,0.0,0.0,,0.0
-13,0.01,0.0,0.058823529411764705,0.006557377049180328,0.006535947712418301,0.011152416356877323,0.006369426751592357,0.0,0.0,0.019230769230769232,0.00423728813559322,0.0,0.002785515320334262,0.0,0.0,0.0,0.0,0.0,0.026881720430107527,0.017857142857142856,0.0,0.0,0.0,0.0,0.029850746268656716,0.015503875968992248,0.0,0.01171875,0.013953488372093023,0.0,0.06666666666666667,0.011494252873563218,0.0,0.012658227848101266,0.005627009646302251,0.0,0.004629629629629629,0.002898550724637681,0.0,0.009174311926605505,0.0
-12,0.01680672268907563,0.0,0.05263157894736842,0.003134796238244514,0.006493506493506494,0.003125,0.008,0.01639344262295082,0.2,0.010638297872340425,0.002070393374741201,0.0,0.013850415512465374,0.0,0.0,0.0,0.019736842105263157,0.02564102564102564,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.006756756756756757,0.0,0.004016064257028112,0.010471204188481676,0.004081632653061225,0.0,0.010869565217391304,0.005235602094240838,0.009900990099009901,0.007861635220125786,0.015384615384615385,0.00904977375565611,0.002207505518763797,0.0,0.0,0.0
-11,0.0,0.02666666666666667,0.0,0.0,0.0,0.0035714285714285713,0.0027472527472527475,0.0,0.0,0.0,0.008912655971479501,0.0,0.015584415584415584,0.013888888888888888,0.1111111111111111,0.0,0.01764705882352941,0.009174311926605505,0.008771929824561403,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.006535947712418301,0.041666666666666664,0.00411522633744856,0.004366812227074236,0.0,0.0,0.0,0.023529411764705882,0.0,0.009811937857726901,0.0,0.007407407407407408,0.010869565217391304,0.0,0.03225806451612903,0.06666666666666667
-10,0.0,0.017543859649122806,0.0,0.0049261083743842365,0.0,0.002560819462227913,0.019390581717451522,0.0,0.5,0.013333333333333334,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.011764705882352941,0.004761904761904762,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.006514657980456026,0.027777777777777776,0.004329004329004329,0.016483516483516484,0.0,0.041666666666666664,0.0,0.04597701149425287,0.0,0.008517887563884156,0.0,0.007371007371007371,0.0020242914979757085,0.0,0.0,0.0
-9,0.0,0.018518518518518517,0.0,0.004878048780487805,0.006535947712418301,0.0,0.0051813471502590676,0.0,,0.02247191011235955,0.003976143141153081,0.0,0.002932551319648094,0.0,0.0,0.0,0.01818181818181818,0.0,0.01293103448275862,0.0,0.004484304932735426,0.0,0.0,0.0,0.0,0.005934718100890208,0.0,0.004016064257028112,0.0,0.004651162790697674,0.0,0.0,0.021505376344086023,0.01015228426395939,0.005415162454873646,0.0,0.005917159763313609,0.0039603960396039604,0.0136986301369863,0.015873015873015872,0.0
-8,0.009345794392523364,0.0,0.0,0.004484304932735426,0.007692307692307693,0.007633587786259542,0.0,0.015384615384615385,0.0,0.0,0.01059322033898305,0.0,0.011527377521613832,0.0,0.0,0.0136986301369863,0.013071895424836602,0.011904761904761904,0.014018691588785047,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.010416666666666666,0.0,0.02030456852791878,0.013636363636363636,0.0,0.0,0.0,0.009615384615384616,0.0,0.007036059806508356,0.0,0.008571428571428572,0.004106776180698152,0.0,0.03076923076923077,0.0625
-7,0.0,0.0,0.0,0.004629629629629629,0.0,0.003472222222222222,0.0160857908847185,0.013513513513513514,0.0,0.015151515151515152,0.004576659038901602,0.0,0.010526315789473684,0.0,0.0,0.01639344262295082,0.007751937984496124,0.0125,0.004524886877828055,0.0,0.005208333333333333,0.02857142857142857,0.0,0.0,0.0,0.008955223880597015,0.027777777777777776,0.01090909090909091,0.004672897196261682,0.0,0.0,0.00819672131147541,0.010526315789473684,0.0,0.00429553264604811,0.0,0.005917159763313609,0.004310344827586207,0.0,0.017094017094017096,0.0
