cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.01098901098901099,0.0,0.0,0.0,0.0,0.009852216748768473,0.004807692307692308,0.0,0.0,0.015384615384615385,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.010869565217391304,0.003115264797507788,0.0,0.0,0.0,0.041666666666666664,0.0028089887640449437,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0026246719160104987,0.0,0.0,0.0,0.0,,0.0
-18,0.0,0.0,0.0,0.0091324200913242,0.0,0.003875968992248062,0.010416666666666666,0.00909090909090909,0.0,0.0,0.002824858757062147,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.017543859649122806,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,,0.0
-17,0.0,0.0,0.023809523809523808,0.0,0.00684931506849315,0.012448132780082987,0.008333333333333333,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.008620689655172414,0.0,0.013422818791946308,0.0,0.0,0.020202020202020204,0.006711409395973154,0.0008460236886632825,0.0,0.0,0.003067484662576687,0.0,,0.0
-16,0.017857142857142856,0.0,0.0,0.0041841004184100415,0.0,0.003937007874015748,0.011029411764705883,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.006578947368421052,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0023455824863174357,0.0,0.004219409282700422,0.0,0.0,,0.045454545454545456
-15,0.0,0.0,0.0,0.0,0.0070921985815602835,0.003246753246753247,0.007518796992481203,0.0,0.0,0.0,0.004132231404958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0024291497975708503,0.0,0.0,0.0027247956403269754,0.0,,0.0
-14,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.018518518518518517,0.0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0034522439585730723,0.0,0.0,0.0,0.0,,0.09090909090909091
-13,0.0,0.013333333333333334,0.0,0.003278688524590164,0.0,0.0037174721189591076,0.009554140127388535,0.015384615384615385,0.0,0.019230769230769232,0.00211864406779661,0.01694915254237288,0.002785515320334262,0.0,0.0,0.0,0.0,0.0,0.005376344086021506,0.0,0.006329113924050633,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0008038585209003215,0.0,0.0,0.0,0.0,0.0,0.0
-12,0.008403361344537815,0.0,0.0,0.0,0.006493506493506494,0.0,0.005333333333333333,0.0,0.0,0.0,0.002070393374741201,0.0,0.008310249307479225,0.01098901098901099,0.0,0.0,0.006578947368421052,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0033783783783783786,0.0,0.004016064257028112,0.005235602094240838,0.0,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0,0.0,0.002207505518763797,0.014705882352941176,0.0,0.0
-11,0.0,0.0,0.0,0.00966183574879227,0.0,0.007142857142857143,0.005494505494505495,0.0,0.0,0.0,0.0053475935828877,0.025,0.012987012987012988,0.013888888888888888,0.0,0.027777777777777776,0.0,0.0,0.0043859649122807015,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0032679738562091504,0.0,0.00823045267489712,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,0.003270645952575634,0.0,0.0,0.004347826086956522,0.012048192771084338,0.0,0.0
-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0110803324099723,0.0,0.0,0.0,0.0020920502092050207,0.0,0.008823529411764706,0.0,0.0,0.0,0.0,0.0,0.004761904761904762,0.0,0.014563106796116505,0.0,0.0,0.0,0.0,0.0,0.0,0.004329004329004329,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0017035775127768314,0.0,0.0,0.004048582995951417,0.014492753623188406,0.0,0.0
