cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0662248028045574,0.03894993894993895,0.012195121951219513,0.04076338706688901,0.03182827535159141,0.06405895691609977,0.06188780053428317,0.0005668934240362812,0.0,0.034001956947162425,0.017511838989739542,0.026610644257703084,0.09813384813384812,0.09161246916348957,0.19642857142857142,0.03356282271944922,0.006756756756756757,0.03214285714285714,0.05089285714285714,0.1812169312169312,0.023795102535260015,0.0,0.0270935960591133,0.05757575757575758,0.02913008778930567,0.008182220256523662,0.037582417582417586,0.02170868347338936,0.026371983771086908,0.004320647177790035,0.13043478260869565,0.039380321665089875,0.019590114526823386,0.07187993680884676,0.025017919170755912,0.012150220913107511,0.08106923751095531,0.010517285205897306,0.031007751937984496,,0.0
-18,0.05803571428571428,0.04478686635944701,0.013513513513513514,0.026054720133667504,0.018461538461538463,0.0614127569847127,0.0482740021574973,0.004640839386602098,0.0,0.014388489208633094,0.02268496975337366,0.0,0.15555555555555556,0.046985583224115335,0.0,0.047724399494311,0.0,0.02877697841726619,0.07719410634208841,0.07547169811320754,0.014526542324246772,0.0,0.1,0.04351395730706075,0.03731343283582089,0.004548685145700071,0.026509572901325478,0.014547237659365804,0.039890301670406386,0.003738317757009346,0.09375,0.02793218454697054,0.02843601895734597,0.08009453781512604,0.025258552108194113,0.031578947368421054,0.08224489795918367,0.006480558325024925,0.02702702702702703,,0.0
-17,0.05852495107632094,0.03652782297429222,0.045454545454545456,0.017168437622983077,0.018973214285714288,0.048595713229859575,0.04632982225148124,0.003115264797507788,0.03383458646616542,0.011128364389233954,0.024715549936788872,0.031473214285714285,0.05970149253731343,0.06508106454573263,0.0,0.036120129870129865,0.0,0.03125,0.04220779220779221,0.1603896103896104,0.018245341614906832,0.1,0.0,0.045112781954887216,0.03365384615384615,0.005564548765681909,0.04892183288409703,0.012629399585921323,0.031512605042016806,0.0032679738562091504,0.13157894736842105,0.027922077922077924,0.020567602040816323,0.05954631379962193,0.03356440856440856,0.019599303135888504,0.06645443692797454,0.009224450013923698,0.053571428571428575,,0.0
-16,0.045261669024045256,0.04984396671289875,0.04955357142857143,0.02129307007355788,0.03316326530612245,0.062167379734947306,0.06,0.0032258064516129032,0.0,0.0027685492801771874,0.02937484308310319,0.032818532818532815,0.11956521739130435,0.06316074817023583,0.0,0.017195767195767195,0.002242152466367713,0.007869249394673124,0.08319805194805195,0.14634146341463414,0.022754556368001746,0.0,0.0,0.004406307977736549,0.04597701149425287,0.01000842815002107,0.039337474120082816,0.0029154518950437317,0.036834733893557424,0.009025270758122744,0.1415343915343915,0.033489866534849234,0.015701970443349752,0.07080685272174633,0.03445150938911338,0.012345679012345678,0.08667377398720683,0.006004442593363877,0.024786780383795306,,0.0
-15,0.052076538377908245,0.041941391941391945,0.034340659340659344,0.02890625,0.011736496718828876,0.06050677151594582,0.04740834386852086,0.0,0.1111111111111111,0.013888888888888888,0.028070637849235632,0.007194244604316547,0.09081632653061224,0.11027568922305764,0.0,0.03775510204081633,0.0,0.02402022756005057,0.06118383608423449,0.13560267857142858,0.02469174243367792,0.0,0.02564102564102564,0.0467741935483871,0.012121212121212121,0.009347098214285714,0.05660643704121965,0.005797101449275362,0.02158385093167702,0.006111111111111111,0.03225806451612903,0.02702702702702703,0.024390243902439025,0.05536461446503288,0.029054666263968586,0.03428571428571429,0.104753053637812,0.004363915654238235,0.03333333333333333,,0.12276785714285715
-14,0.076007326007326,0.08029721955896452,0.0625,0.030096308186195825,0.03486897717666948,0.07456616052060737,0.07856101624323199,0.010332434860736747,0.0,0.015773809523809523,0.0852106227106227,0.0392156862745098,0.15920329670329672,0.14935064935064937,0.0,0.04111295681063123,0.0051813471502590676,0.023225957049486462,0.09643498332905874,0.11096938775510204,0.03233305156382079,0.0,0.038461538461538464,0.09126984126984126,0.09743788819875776,0.0106045831301804,0.10231660231660232,0.012664640324214792,0.02819548872180451,0.011513157894736841,0.18421052631578946,0.0661764705882353,0.02247191011235955,0.09328895286074126,0.04169096209912536,0.0,0.1153184165232358,0.007142857142857143,0.029850746268656716,,0.25
-13,0.047140731292517,0.040632054176072234,0.030981067125645436,0.028439794928640707,0.0339832361516035,0.07550213761393886,0.07522334981351375,0.01819154628143392,0.0,0.014388489208633094,0.04072026300059773,0.0218773373223635,0.08563748079877112,0.10436893203883495,0.0,0.013198757763975156,0.00819672131147541,0.013357705286839145,0.03132723677706377,0.08046471600688468,0.03811136523574948,0.0,0.0,0.11439075630252102,0.02251552795031056,0.012419441460794845,0.07341269841269842,0.006922923123063081,0.036851683348498636,0.009174311926605505,0.1374223602484472,0.03936822253653937,0.007352941176470588,0.06901477832512315,0.047233574347689405,0.028169014084507043,0.07299918055176181,0.009574246060732547,0.042517006802721094,0.15467152153703131,0.0
-12,0.04458874458874459,0.03714000570287995,0.0,0.01699201419698314,0.024167561761546722,0.054393580636674564,0.043819973130317956,0.010917030567685589,0.0,0.03209647495361781,0.03578486730660644,0.02854793233082707,0.0760062685582316,0.08253968253968254,0.0,0.023109243697478993,0.0025974025974025974,0.018903005887821504,0.03415627996164909,0.08571428571428572,0.020397743849071285,0.0,0.0,0.02774922918807811,0.019623233908948195,0.009358288770053475,0.033786525974025976,0.009203519333178978,0.014411027568922305,0.006521739130434782,0.13278388278388278,0.05633385951065509,0.012396694214876033,0.06163859111791731,0.0353562477622628,0.026859504132231406,0.055062166962699825,0.0075439266615737206,0.024193548387096774,0.06636212624584717,0.0
-11,0.043343128390596744,0.03188259109311741,0.0,0.022592738752959748,0.030352084176446782,0.04597862767154105,0.04414893617021277,0.004232804232804232,0.0,0.011990716864363073,0.03860103626943005,0.018402994385527137,0.07997062461348176,0.07572175211548034,0.0,0.028985507246376812,0.0021551724137931034,0.018379281537176273,0.040280210157618214,0.10227272727272728,0.022502225189141075,0.0,0.04,0.037648272305312015,0.018957345971563982,0.009305127861828893,0.030736684917869586,0.005492005719485246,0.025804038893044126,0.005481531455557429,0.073015873015873,0.020696958028494417,0.017428571428571432,0.06327292110874201,0.0377871047481718,0.0006053268765133171,0.05560123329907503,0.006858875625721987,0.03045404208194906,0.11814345991561181,0.1396103896103896
-10,0.044797039694998875,0.03755144032921811,0.012195121951219513,0.016500217108119844,0.014577259475218658,0.03167858783384736,0.04626623376623376,0.007782101167315175,0.0,0.014426460239268123,0.034282921379695575,0.02219626168224299,0.07555506865322816,0.07328802256988971,0.0,0.02570093457943925,0.0021231422505307855,0.01373079112122937,0.049049165120593693,0.05786618444846293,0.03135313531353135,0.0,0.0,0.06696428571428571,0.013664596273291925,0.009137709137709137,0.0480807281361298,0.007111251580278128,0.018394437420986093,0.0025412960609911056,0.13127413127413126,0.027525651144435673,0.00796812749003984,0.04824334797210023,0.03171660613397902,0.042735042735042736,0.07142857142857142,0.006451313468857329,0.0,0.04271284271284271,0.07142857142857142
