cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.34782608695652173,0.29,0.5714285714285714,0.42625,0.38613861386138615,0.3746130030959752,0.3210616438356164,0.391644908616188,0.30303030303030304,0.4178082191780822,0.36998706338939197,0.46859903381642515,0.3620689655172414,0.33689024390243905,0.375,0.43023255813953487,0.42921348314606744,0.4014084507042254,0.2937062937062937,0.46296296296296297,0.41811637672465507,0.4444444444444444,0.3793103448275862,0.40963855421686746,0.5355191256830601,0.5345565749235474,0.43373493975903615,0.3780487804878049,0.37298091042584436,0.5393120393120393,0.40425531914893614,0.3550488599348534,0.540650406504065,0.47327044025157233,0.3535238095238095,0.30303030303030304,0.32170542635658916,0.5487269534679543,0.46564885496183206,,0.3333333333333333
-18,0.3878887070376432,0.2450592885375494,0.3918918918918919,0.43705799151343705,0.38392857142857145,0.3644251626898048,0.30531914893617024,0.41225626740947074,0.35714285714285715,0.40425531914893614,0.39520958083832336,0.4484848484848485,0.3020833333333333,0.3562386980108499,0.0,0.4224137931034483,0.4492753623188406,0.44285714285714284,0.35555555555555557,0.5471698113207547,0.4276595744680851,0.2857142857142857,0.25,0.44,0.5185185185185185,0.517578125,0.5132450331125827,0.42058165548098436,0.34523809523809523,0.4857142857142857,0.3870967741935484,0.3688212927756654,0.5603448275862069,0.4363957597173145,0.3372365339578454,0.4,0.34748010610079577,0.5130687318489835,0.40350877192982454,,0.55
-17,0.38564273789649417,0.2178649237472767,0.5072463768115942,0.421259842519685,0.38292011019283745,0.37073863636363635,0.28794642857142855,0.4072948328267477,0.47368421052631576,0.33093525179856115,0.486013986013986,0.4876543209876543,0.25,0.37684210526315787,0.3333333333333333,0.43956043956043955,0.43612334801762115,0.39097744360902253,0.3574660633484163,0.45614035087719296,0.40861088545897645,0.6363636363636364,0.3225806451612903,0.41911764705882354,0.5031055900621118,0.5162488393686165,0.4264705882352941,0.37254901960784315,0.40433925049309666,0.4968454258675079,0.38461538461538464,0.3902439024390244,0.5991902834008097,0.4340659340659341,0.3664,0.42857142857142855,0.32917705735660846,0.5553416746871992,0.5384615384615384,,0.23076923076923078
-16,0.38304552590266877,0.2962962962962963,0.4819277108433735,0.4268142681426814,0.41194029850746267,0.3701657458563536,0.31607929515418504,0.403125,0.5,0.4351145038167939,0.45969125214408235,0.5163398692810458,0.3877551020408163,0.3431192660550459,0.4,0.3893805309734513,0.5021929824561403,0.4523809523809524,0.286231884057971,0.46511627906976744,0.4085545722713864,0.7058823529411765,0.41935483870967744,0.4240506329113924,0.46368715083798884,0.5027777777777778,0.4489795918367347,0.4106145251396648,0.35795454545454547,0.5324232081911263,0.42857142857142855,0.3687707641196013,0.6716417910447762,0.4515539305301645,0.34528076463560337,0.4044943820224719,0.29411764705882354,0.5545112781954887,0.375886524822695,,0.3
-15,0.3917241379310345,0.22911694510739858,0.43902439024390244,0.4399460188933873,0.401840490797546,0.36313236313236313,0.3193877551020408,0.410958904109589,0.3,0.43137254901960786,0.46539792387543255,0.4088050314465409,0.34177215189873417,0.31876138433515483,0.14285714285714285,0.39166666666666666,0.4956896551724138,0.416,0.2669039145907473,0.39705882352941174,0.41451990632318503,0.4,0.37209302325581395,0.40625,0.5168539325842697,0.5084745762711864,0.475177304964539,0.3822784810126582,0.4163346613545817,0.5641547861507128,0.3333333333333333,0.3580645161290323,0.6201550387596899,0.47102803738317756,0.35184450614835383,0.36607142857142855,0.2532467532467532,0.5431878895814782,0.5669291338582677,,0.42105263157894735
-14,0.40305010893246185,0.26,0.5135135135135135,0.4370748299319728,0.45023696682464454,0.3843248347497639,0.3141025641025641,0.4734042553191489,0.8333333333333334,0.43609022556390975,0.42823529411764705,0.408,0.2769701606732976,0.3232876712328767,0.14285714285714285,0.4489795918367347,0.4044943820224719,0.42586750788643535,0.3188908145580589,0.4393939393939394,0.46153846153846156,0.5076923076923077,0.3793103448275862,0.42857142857142855,0.4444444444444444,0.5164520743919886,0.3931034482758621,0.408955223880597,0.4,0.5367847411444142,0.29545454545454547,0.3737864077669903,0.7211538461538461,0.4574468085106383,0.3200555812876332,0.30612244897959184,0.2886002886002886,0.5339130434782609,0.44155844155844154,,0.5
-13,0.41517857142857145,0.2751677852348993,0.4819277108433735,0.36675700090334235,0.3647959183673469,0.35665914221218964,0.2964307320024198,0.44569288389513106,0.625,0.39568345323741005,0.4372384937238494,0.47959183673469385,0.33170731707317075,0.40499306518723993,0.3125,0.38405797101449274,0.4715447154471545,0.3079710144927536,0.30689655172413793,0.25301204819277107,0.42444717444717445,0.6966292134831461,0.36,0.19411764705882353,0.5826086956521739,0.47650375939849626,0.4444444444444444,0.42407277816655004,0.3821656050955414,0.5763636363636364,0.45652173913043476,0.33993399339933994,0.6691176470588235,0.49038461538461536,0.3237139272271016,0.3873239436619718,0.3632887189292543,0.5150429799426934,0.4444444444444444,0.2002002002002002,0.375
-12,0.4166666666666667,0.25544554455445545,0.5227272727272727,0.39183222958057395,0.38095238095238093,0.38735420503376305,0.3266708307307932,0.4410480349344978,0.5,0.38701298701298703,0.43379446640316205,0.39869281045751637,0.35091743119266056,0.326984126984127,0.4375,0.4411764705882353,0.4451901565995526,0.42764578833693306,0.2981574539363484,0.3584905660377358,0.44972826086956524,0.6947368421052632,0.2727272727272727,0.2841726618705036,0.5274725274725275,0.5053475935828877,0.4460227272727273,0.42787682333873583,0.3719298245614035,0.5903743315508021,0.23076923076923078,0.3701657458563536,0.5702479338842975,0.46788990825688076,0.3334525939177102,0.3305785123966942,0.41637010676156583,0.5235567352355673,0.4838709677419355,0.29896907216494845,0.4666666666666667
-11,0.36075949367088606,0.23588709677419356,0.43820224719101125,0.36049723756906077,0.3626062322946176,0.3862295081967213,0.2656800563777308,0.45555555555555555,0.5238095238095238,0.4981949458483754,0.4538860103626943,0.3949579831932773,0.3635382955771305,0.36585365853658536,0.5333333333333333,0.43478260869565216,0.4666666666666667,0.3937621832358674,0.3263888888888889,0.28888888888888886,0.43434343434343436,0.6037735849056604,0.32,0.26714801444043323,0.5450236966824644,0.4845360824742268,0.445993031358885,0.4103730664240218,0.3542757417102967,0.5696055684454756,0.35555555555555557,0.3584905660377358,0.656,0.4427934621099554,0.33850036049026677,0.3474576271186441,0.3683453237410072,0.5255376344086021,0.37209302325581395,0.2668918918918919,0.45454545454545453
-10,0.3359497645211931,0.22587268993839835,0.4634146341463415,0.3586626139817629,0.37317784256559766,0.2806614607257694,0.30791788856304986,0.5214007782101168,0.47058823529411764,0.4729064039408867,0.4252199413489736,0.35514018691588783,0.33163265306122447,0.34290843806104127,0.2857142857142857,0.4205607476635514,0.4491525423728814,0.41832669322709165,0.3051948051948052,0.2911392405063291,0.4962962962962963,0.5175438596491229,0.375,0.26339285714285715,0.5956521739130435,0.46396396396396394,0.44598337950138506,0.41858407079646015,0.3274336283185841,0.6004962779156328,0.16216216216216217,0.3259668508287293,0.601593625498008,0.4452423698384201,0.3386299435028249,0.39316239316239315,0.3834771886559803,0.4828033744321869,0.47706422018348627,0.296969696969697,0.3333333333333333
-9,0.3248730964467005,0.18526315789473685,0.5113636363636364,0.3430232558139535,0.4064327485380117,0.36344969199178645,0.28520877565463554,0.423728813559322,0.5454545454545454,0.47843137254901963,0.44617092119866814,0.35294117647058826,0.3555018137847642,0.35489833641404805,0.38461538461538464,0.5092592592592593,0.4270386266094421,0.38735177865612647,0.3273381294964029,0.21686746987951808,0.4798657718120805,0.7978723404255319,0.35294117647058826,0.2112676056338028,0.5253456221198156,0.4701561065197429,0.4452054794520548,0.41486603284356094,0.32771535580524347,0.6037735849056604,0.3404255319148936,0.346875,0.6115384615384616,0.4412191582002903,0.3423391397084963,0.3269230769230769,0.39972714870395637,0.5044182621502209,0.4444444444444444,0.2617283950617284,0.36363636363636365
