cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.08695652173913043,0.10666666666666667,0.11904761904761904,0.0625,0.14603960396039603,0.07678018575851393,0.10188356164383562,0.0783289817232376,0.030303030303030304,0.02054794520547945,0.05304010349288486,0.16908212560386474,0.1724137931034483,0.06554878048780488,0.125,0.10465116279069768,0.033707865168539325,0.04225352112676056,0.045454545454545456,0.1111111111111111,0.10137972405518897,0.2222222222222222,0.1724137931034483,0.060240963855421686,0.13114754098360656,0.11498470948012232,0.05421686746987952,0.06829268292682927,0.049926578560939794,0.11056511056511056,0.10638297872340426,0.08469055374592833,0.08943089430894309,0.09748427672955975,0.034666666666666665,0.010101010101010102,0.07945736434108527,0.09657594381035997,0.183206106870229,,0.0
-18,0.10638297872340426,0.10869565217391304,0.10810810810810811,0.056577086280056574,0.15178571428571427,0.08459869848156182,0.09680851063829787,0.07242339832869081,0.07142857142857142,0.02127659574468085,0.061377245508982034,0.1696969696969697,0.13541666666666666,0.05786618444846293,0.0,0.08620689655172414,0.033816425120772944,0.05714285714285714,0.07111111111111111,0.05660377358490566,0.07092198581560284,0.07142857142857142,0.05,0.05142857142857143,0.17037037037037037,0.0859375,0.076158940397351,0.09619686800894854,0.025510204081632654,0.07321428571428572,0.22580645161290322,0.09885931558935361,0.07758620689655173,0.09717314487632508,0.039032006245121,0.02,0.04509283819628647,0.08325266214908035,0.13157894736842105,,0.2
-17,0.09682804674457429,0.08496732026143791,0.11594202898550725,0.03412073490813648,0.1184573002754821,0.07244318181818182,0.0703125,0.1094224924012158,0.15789473684210525,0.03597122302158273,0.07692307692307693,0.19135802469135801,0.10294117647058823,0.07157894736842105,0.16666666666666666,0.07692307692307693,0.030837004405286344,0.09022556390977443,0.05429864253393665,0.19298245614035087,0.08773354995938261,0.36363636363636365,0.03225806451612903,0.029411764705882353,0.13043478260869565,0.0882079851439183,0.06985294117647059,0.09243697478991597,0.05719921104536489,0.1167192429022082,0.07692307692307693,0.09059233449477352,0.10526315789473684,0.08058608058608059,0.0356,0.011904761904761904,0.06733167082294264,0.0933589990375361,0.16923076923076924,,0.0
-16,0.10047095761381476,0.09259259259259259,0.10843373493975904,0.041820418204182044,0.12835820895522387,0.0718232044198895,0.09251101321585903,0.1,0.1,0.04580152671755725,0.0548885077186964,0.2549019607843137,0.12244897959183673,0.07339449541284404,0.0,0.08849557522123894,0.05701754385964912,0.06349206349206349,0.028985507246376812,0.09302325581395349,0.09218289085545722,0.23529411764705882,0.0967741935483871,0.05063291139240506,0.1005586592178771,0.1037037037037037,0.08163265306122448,0.0893854748603352,0.020833333333333332,0.08361774744027303,0.25,0.11627906976744186,0.1044776119402985,0.10420475319926874,0.04181600955794504,0.0,0.0639386189258312,0.07330827067669173,0.16312056737588654,,0.1
-15,0.11724137931034483,0.081145584725537,0.12195121951219512,0.04993252361673414,0.15644171779141106,0.062370062370062374,0.09489795918367347,0.10273972602739725,0.0,0.0196078431372549,0.06228373702422145,0.1761006289308176,0.10126582278481013,0.056466302367941715,0.14285714285714285,0.058333333333333334,0.04525862068965517,0.08,0.05338078291814947,0.058823529411764705,0.08899297423887588,0.26666666666666666,0.023255813953488372,0.0625,0.11797752808988764,0.08920606601248884,0.07446808510638298,0.05569620253164557,0.049800796812749,0.12016293279022404,0.16666666666666666,0.12580645161290321,0.14728682170542637,0.102803738317757,0.039666798889329634,0.008928571428571428,0.045454545454545456,0.08281389136242208,0.2047244094488189,,0.10526315789473684
-14,0.09586056644880174,0.08571428571428572,0.14864864864864866,0.05102040816326531,0.1848341232227488,0.06704438149197356,0.09615384615384616,0.11702127659574468,0.0,0.03007518796992481,0.08352941176470588,0.136,0.08722264728385616,0.052054794520547946,0.07142857142857142,0.04081632653061224,0.03745318352059925,0.04416403785488959,0.04852686308492201,0.12121212121212122,0.0899100899100899,0.16923076923076924,0.0,0.05102040816326531,0.09401709401709402,0.10157367668097282,0.034482758620689655,0.07761194029850746,0.04197530864197531,0.12806539509536785,0.13636363636363635,0.1407766990291262,0.1346153846153846,0.11914893617021277,0.03751736915238536,0.0,0.06637806637806638,0.06956521739130435,0.18181818181818182,,0.16666666666666666
-13,0.09226190476190477,0.08501118568232663,0.10843373493975904,0.044263775971093045,0.1377551020408163,0.08126410835214447,0.09739866908650938,0.10486891385767791,0.125,0.03597122302158273,0.07531380753138076,0.22448979591836735,0.12,0.06934812760055478,0.0625,0.057971014492753624,0.04878048780487805,0.034420289855072464,0.05344827586206897,0.060240963855421686,0.07985257985257985,0.1348314606741573,0.04,0.01764705882352941,0.15217391304347827,0.09022556390977443,0.04497354497354497,0.086074177746676,0.03343949044585987,0.1290909090909091,0.1956521739130435,0.066006600660066,0.11764705882352941,0.12362637362637363,0.04077791718946048,0.02112676056338028,0.11281070745697896,0.07091690544412607,0.15873015873015872,0.05205205205205205,0.125
-12,0.12878787878787878,0.09306930693069307,0.22727272727272727,0.05187637969094923,0.15538847117794485,0.06875383670963782,0.10368519675202999,0.1091703056768559,0.0,0.04155844155844156,0.07312252964426877,0.15359477124183007,0.11926605504587157,0.050793650793650794,0.0625,0.07352941176470588,0.053691275167785234,0.06263498920086392,0.04690117252931323,0.07547169811320754,0.07608695652173914,0.12631578947368421,0.05454545454545454,0.03597122302158273,0.15384615384615385,0.09536541889483066,0.06818181818181818,0.08508914100486224,0.03684210526315789,0.12406417112299466,0.05128205128205128,0.11878453038674033,0.09917355371900827,0.0871559633027523,0.03398926654740608,0.03305785123966942,0.10498220640569395,0.059721300597213006,0.22580645161290322,0.07628865979381444,0.26666666666666666
-11,0.08860759493670886,0.08064516129032258,0.06741573033707865,0.04005524861878453,0.1359773371104816,0.0760655737704918,0.08104298801973221,0.14444444444444443,0.23809523809523808,0.05776173285198556,0.0922279792746114,0.13025210084033614,0.1423948220064725,0.06794425087108014,0.06666666666666667,0.08695652173913043,0.053763440860215055,0.05458089668615984,0.0642361111111111,0.07777777777777778,0.08469308469308469,0.1509433962264151,0.04,0.018050541516245487,0.0995260663507109,0.08716026241799438,0.041811846689895474,0.07006369426751592,0.04363001745200698,0.10208816705336426,0.1111111111111111,0.08355795148247978,0.172,0.09063893016344725,0.0418168709444845,0.01694915254237288,0.0776978417266187,0.06720430107526881,0.10852713178294573,0.07094594594594594,0.18181818181818182
-10,0.08320251177394035,0.0944558521560575,0.12195121951219512,0.03343465045592705,0.15160349854227406,0.050528249885163065,0.09750733137829912,0.13618677042801555,0.11764705882352941,0.059113300492610835,0.0772238514173998,0.1261682242990654,0.11530612244897959,0.05745062836624776,0.07142857142857142,0.102803738317757,0.04449152542372881,0.04183266932270916,0.05844155844155844,0.06329113924050633,0.0897119341563786,0.11403508771929824,0.05,0.017857142857142856,0.13043478260869565,0.08018018018018018,0.060941828254847646,0.0743362831858407,0.04424778761061947,0.13027295285359802,0.02702702702702703,0.08839779005524862,0.1394422310756972,0.08976660682226212,0.03672316384180791,0.008547008547008548,0.09124537607891492,0.06878650227125244,0.12844036697247707,0.06464646464646465,0.16666666666666666
