cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0,0.0,0.0,0.001272264631043257,0.001218769043266301,0.00135623869801085,0.0019083969465648854,0.0019157088122605363,0.0,0.0,0.0,0.0,0.0021598272138228943,0.0,0.02857142857142857,0.0053475935828877,0.005597014925373134,0.0,0.0028011204481792717,0.008968609865470852,0.003367003367003367,0.0,0.0,0.0,0.006134969325153374,0.0025396825396825397,0.0,0.004658385093167702,0.005791505791505791,0.001635322976287817,0.0,0.0,0.02077922077922078,0.0008802816901408451,0.004047093451066961,0.0,0.0007874015748031496,0.003885003885003885,0.0064794816414686825,,0.0
-18,0.0013012361743656475,0.0005668934240362812,0.0,0.002793296089385475,0.0034674063800277394,0.0,0.0019054878048780487,0.008492569002123142,0.0,0.008,0.002072538860103627,0.0015432098765432098,0.0,0.0011876484560570072,0.0,0.012578616352201259,0.005545286506469501,0.0056179775280898875,0.0,0.010309278350515464,0.0014443909484833895,0.0,0.0,0.0,0.017699115044247787,0.0,0.0,0.0025220680958385876,0.005703422053231939,0.001892147587511826,0.005319148936170213,0.003590664272890485,0.013966480446927373,0.0040858018386108275,0.007024938531787847,0.0,0.0010548523206751054,0.0009354536950420954,0.0,,0.03571428571428571
-17,0.001977587343441002,0.0,0.0,0.0,0.0014587892049598833,0.0005367686527106817,0.002995132909022838,0.007853403141361256,0.0,0.0,0.00267379679144385,0.0031007751937984496,0.0,0.0027137042062415195,0.0,0.005847953216374269,0.005291005291005291,0.00546448087431694,0.002512562814070352,0.00392156862745098,0.004347826086956522,0.0,0.02857142857142857,0.0,0.009230769230769232,0.002531645569620253,0.0,0.004511278195488722,0.0,0.0027548209366391185,0.0,0.0,0.008287292817679558,0.00468384074941452,0.0036509675063891934,0.016666666666666666,0.001976284584980237,0.003755868544600939,0.0021231422505307855,,0.0
-16,0.0006389776357827476,0.0,0.009174311926605505,0.0049079754601227,0.001388888888888889,0.0015856236786469344,0.0018241517694272164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007054673721340388,0.0,0.002232142857142857,0.00975609756097561,0.0,0.0,0.0,0.0,0.016556291390728478,0.0017301038062283738,0.0,0.0013966480446927375,0.0057251908396946565,0.005763688760806916,0.0,0.0017889087656529517,0.015209125475285171,0.0010482180293501049,0.004852686308492201,0.02127659574468085,0.0,0.004516711833785004,0.0021008403361344537,,0.023255813953488372
-15,0.0012903225806451613,0.0,0.009174311926605505,0.006435006435006435,0.0007092198581560284,0.0010224948875255625,0.0011001100110011,0.0,0.0,0.0,0.002430133657351154,0.0014814814814814814,0.0,0.0,0.0,0.0051813471502590676,0.005235602094240838,0.005263157894736842,0.007142857142857143,0.0,0.005193578847969783,0.0,0.03225806451612903,0.0,0.006369426751592357,0.003463203463203463,0.0,0.006587615283267457,0.0,0.0042417815482502655,0.005208333333333333,0.003703703703703704,0.016877637130801686,0.007829977628635347,0.005502567865003668,0.017857142857142856,0.0,0.0009000900090009,0.0021413276231263384,,0.0
-14,0.000949667616334283,0.0,0.0,0.0018181818181818182,0.0,0.0007112375533428165,0.001466992665036675,0.0,0.0,0.0,0.0006230529595015577,0.003898635477582846,0.0005564830272676684,0.0,0.0,0.004098360655737705,0.0,0.0,0.0018115942028985507,0.0,0.002253944402704733,0.0,0.0,0.0,0.0036231884057971015,0.0027548209366391185,0.0,0.0019267822736030828,0.0,0.004103967168262654,0.0,0.002506265664160401,0.007194244604316547,0.0012062726176115801,0.004972875226039783,0.0,0.00078003120124805,0.0033444816053511705,0.0,,0.0
-13,0.0,0.0010845986984815619,0.0,0.0,0.0013297872340425532,0.0004268032437046522,0.002111684655091506,0.006741573033707865,0.0,0.0078125,0.002197802197802198,0.0013315579227696406,0.00224159402241594,0.0006793478260869565,0.0,0.0,0.0015384615384615385,0.0,0.0,0.0045045045045045045,0.002751031636863824,0.0,0.02857142857142857,0.0,0.010178117048346057,0.0033333333333333335,0.0,0.003462204270051933,0.0,0.0025951557093425604,0.0,0.0,0.012711864406779662,0.0025188916876574307,0.0035087719298245615,0.0,0.0014295925661186562,0.0014858841010401188,0.0,0.0006548788474132286,0.0
-12,0.001201923076923077,0.0,0.0,0.0010526315789473684,0.0020477815699658703,0.0013280212483399733,0.0009235742322789194,0.0075,0.0,0.002688172043010753,0.0021447721179624667,0.0,0.0012556504269211452,0.0,0.0,0.006734006734006734,0.004580152671755725,0.0,0.002224694104560623,0.004291845493562232,0.0004576659038901602,0.01652892561983471,0.0,0.0,0.0056022408963585435,0.0015037593984962407,0.0,0.0018094089264173703,0.005319148936170213,0.0021156558533145277,0.007751937984496124,0.0,0.017857142857142856,0.0017123287671232876,0.004934790271413465,0.0,0.0013937282229965157,0.001998667554963358,0.0,0.004335260115606936,0.0
-11,0.0005998800239952009,0.0015781167806417674,0.0,0.001349527665317139,0.0014255167498218105,0.0004928536224741252,0.0010235414534288639,0.0024875621890547263,0.0,0.005115089514066497,0.0005720823798627002,0.0013227513227513227,0.0002583311805734952,0.0,0.0,0.0,0.00927357032457496,0.00847457627118644,0.0035087719298245615,0.017316017316017316,0.003977272727272727,0.0,0.07317073170731707,0.0,0.005012531328320802,0.0023828435266084196,0.003787878787878788,0.0043343653250774,0.003316749585406302,0.0029411764705882353,0.0,0.0,0.022222222222222223,0.0027906976744186047,0.003795721187025535,0.0,0.003658536585365854,0.0014903129657228018,0.0,0.0069124423963133645,0.0
-10,0.0012330456226880395,0.0,0.0,0.0013850415512465374,0.0015174506828528073,0.0010932944606413995,0.0016029922522041143,0.0045351473922902496,0.0,0.006920415224913495,0.0,0.0,0.0021953896816684962,0.0,0.0,0.0036363636363636364,0.0065252854812398045,0.0,0.008177570093457943,0.0,0.0041265474552957355,0.007722007722007722,0.0,0.0,0.005291005291005291,0.0008787346221441124,0.0,0.0033003300330033004,0.001949317738791423,0.002926115581565472,0.0,0.004761904761904762,0.009685230024213076,0.00404040404040404,0.005374417771408097,0.0,0.0010131712259371835,0.0035587188612099642,0.0,0.0014388489208633094,0.0
-9,0.001806140878988561,0.0005980861244019139,0.0,0.0028735632183908046,0.003993610223642172,0.0019588638589618022,0.001558846453624318,0.0,0.0,0.0030864197530864196,0.002364066193853428,0.003246753246753247,0.0013958682300390843,0.0,0.0,0.0,0.006944444444444444,0.0,0.002317497103128621,0.0,0.002530044275774826,0.0,0.023255813953488372,0.0,0.005847953216374269,0.004366812227074236,0.0,0.002008032128514056,0.008928571428571428,0.0029651593773165306,0.0,0.001440922190201729,0.01282051282051282,0.004646840148698885,0.005943536404160475,0.0,0.0005927682276229994,0.004313443565780014,0.0,0.0016181229773462784,0.0
-8,0.0006968641114982578,0.0006613756613756613,0.009174311926605505,0.002560819462227913,0.0016155088852988692,0.0026609898882384245,0.0009066183136899365,0.005333333333333333,0.0,0.012578616352201259,0.002,0.0,0.0015499070055796653,0.0022727272727272726,0.0,0.004048582995951417,0.003663003663003663,0.007352941176470588,0.006127450980392157,0.0,0.0015255530129672007,0.007722007722007722,0.04,0.0,0.0,0.0009587727708533077,0.0,0.004294917680744453,0.0027247956403269754,0.004118616144975288,0.0,0.004379562043795621,0.010958904109589041,0.003181336161187699,0.00547302580140735,0.0,0.0038535645472061657,0.004395604395604396,0.0,0.0,0.03333333333333333
