cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.03697078115682767,0.014533258803801007,0.08181818181818182,0.06615776081424936,0.039609993906154786,0.039330922242314645,0.029580152671755726,0.06321839080459771,0.0,0.04477611940298507,0.01991150442477876,0.0340599455040872,0.01079913606911447,0.03617269544924154,0.0,0.0481283422459893,0.027985074626865673,0.05319148936170213,0.05042016806722689,0.04035874439461883,0.05303030303030303,0.031496062992125984,0.06060606060606061,0.05113636363636364,0.06441717791411043,0.06349206349206349,0.032846715328467155,0.024844720496894408,0.04247104247104247,0.06541291905151267,0.01646090534979424,0.03514376996805112,0.03896103896103896,0.05897887323943662,0.03532008830022075,0.05555555555555555,0.027559055118110236,0.05672105672105672,0.038876889848812095,,0.0
-18,0.02797657774886142,0.013038548752834467,0.03488372093023256,0.04748603351955307,0.038834951456310676,0.04450261780104712,0.026295731707317072,0.050955414012738856,0.16,0.024,0.024870466321243522,0.040123456790123455,0.026128266033254157,0.029691211401425176,0.06060606060606061,0.05660377358490566,0.031423290203327174,0.05056179775280899,0.025210084033613446,0.020618556701030927,0.053923928743379874,0.04201680672268908,0.03125,0.058823529411764705,0.07374631268436578,0.06621226874391431,0.09055118110236221,0.04287515762925599,0.02091254752851711,0.05676442762535478,0.02127659574468085,0.059245960502693,0.07262569832402235,0.04698672114402452,0.04285212504390586,0.06382978723404255,0.03270042194092827,0.05986903648269411,0.04856512141280353,,0.0
-17,0.03032300593276203,0.018607442977190875,0.05825242718446602,0.045859872611464965,0.03865791393143691,0.03274288781535158,0.02134032197678772,0.034031413612565446,0.05,0.010638297872340425,0.02540106951871658,0.03255813953488372,0.01876675603217158,0.023066485753052916,0.02631578947368421,0.04678362573099415,0.02821869488536155,0.04371584699453552,0.02512562814070352,0.054901960784313725,0.050241545893719805,0.038461538461538464,0.14285714285714285,0.043010752688172046,0.07076923076923076,0.059915611814345994,0.047058823529411764,0.02706766917293233,0.0708502024291498,0.06519742883379247,0.02,0.05008944543828265,0.07458563535911603,0.04918032786885246,0.03723986856516977,0.08333333333333333,0.0266798418972332,0.07605633802816901,0.04246284501061571,,0.058823529411764705
-16,0.02875399361022364,0.016638935108153077,0.09174311926605505,0.05276073619631902,0.03680555555555556,0.03171247357293869,0.02991608901860635,0.043859649122807015,0.0,0.025974025974025976,0.025149700598802394,0.042232277526395176,0.026737967914438502,0.037641154328732745,0.03225806451612903,0.06896551724137931,0.031746031746031744,0.06220095693779904,0.04241071428571429,0.03414634146341464,0.04551724137931035,0.0078125,0.046511627906976744,0.025806451612903226,0.059602649006622516,0.05709342560553633,0.060714285714285714,0.030726256983240222,0.05343511450381679,0.056676272814601344,0.033816425120772944,0.03756708407871199,0.053231939163498096,0.04612159329140461,0.04124783362218371,0.0425531914893617,0.019088016967126194,0.08852755194218609,0.031512605042016806,,0.023255813953488372
-15,0.02838709677419355,0.020184544405997693,0.08256880733944955,0.06177606177606178,0.031205673758865248,0.04294478527607362,0.026035936927026035,0.044444444444444446,0.07142857142857142,0.02857142857142857,0.03645200486026731,0.03259259259259259,0.025936599423631124,0.03553921568627451,0.0,0.04145077720207254,0.03315881326352531,0.05789473684210526,0.03333333333333333,0.030927835051546393,0.05004721435316336,0.03773584905660377,0.16129032258064516,0.05263157894736842,0.0732484076433121,0.06147186147186147,0.060498220640569395,0.039525691699604744,0.053703703703703705,0.0816542948038176,0.020833333333333332,0.040740740740740744,0.09282700421940929,0.04697986577181208,0.03778429933969186,0.03571428571428571,0.022538552787663108,0.0846084608460846,0.029978586723768737,,0.06976744186046512
-14,0.02849002849002849,0.015113350125944584,0.0967741935483871,0.04909090909090909,0.03994673768308921,0.03485064011379801,0.02885085574572127,0.06354515050167224,0.041666666666666664,0.056910569105691054,0.030529595015576325,0.03313840155945419,0.016138007790762382,0.04225352112676056,0.025,0.03278688524590164,0.03142857142857143,0.045936395759717315,0.036231884057971016,0.015151515151515152,0.0473328324567994,0.022388059701492536,0.09090909090909091,0.04032258064516129,0.07971014492753623,0.048209366391184574,0.046153846153846156,0.03275529865125241,0.041666666666666664,0.08071135430916553,0.021505376344086023,0.017543859649122806,0.05755395683453238,0.05548854041013269,0.0352622061482821,0.0,0.01794071762870515,0.07692307692307693,0.029940119760479042,,0.037037037037037035
-13,0.02663284717818643,0.013557483731019523,0.07,0.056016597510373446,0.026595744680851064,0.030303030303030304,0.01923979352416706,0.0651685393258427,0.03571428571428571,0.0390625,0.036813186813186814,0.02130492676431425,0.026899128268991282,0.028532608695652172,0.045454545454545456,0.019543973941368076,0.04153846153846154,0.054901960784313725,0.03236607142857143,0.04054054054054054,0.0541036221916552,0.03319502074688797,0.11428571428571428,0.0215633423180593,0.0737913486005089,0.06416666666666666,0.04941860465116279,0.04385458742065782,0.05935251798561151,0.07352941176470588,0.0273224043715847,0.047619047619047616,0.059322033898305086,0.04534005037783375,0.04456140350877193,0.015384615384615385,0.03788420300214439,0.0713224368499257,0.0391304347826087,0.023575638506876228,0.05555555555555555
-12,0.0390625,0.01818181818181818,0.05172413793103448,0.05052631578947368,0.03890784982935153,0.03098716246126605,0.024474717155391363,0.05,0.0625,0.043010752688172046,0.03324396782841823,0.026595744680851064,0.025615268709191362,0.03305785123966942,0.029411764705882353,0.04040404040404041,0.0366412213740458,0.038696537678207736,0.03337041156840934,0.03862660944206009,0.05446224256292906,0.06611570247933884,0.07142857142857142,0.041237113402061855,0.07282913165266107,0.06691729323308271,0.06289308176100629,0.04101326899879373,0.03368794326241135,0.07404795486600846,0.003875968992248062,0.023977433004231313,0.060267857142857144,0.05565068493150685,0.045470567500881215,0.02127659574468085,0.0397212543554007,0.06928714190539641,0.026859504132231406,0.036127167630057806,0.030303030303030304
-11,0.03419316136772645,0.016307206733298264,0.052083333333333336,0.04588394062078273,0.041339985744832504,0.03794972893050764,0.020214943705220062,0.05970149253731343,0.09090909090909091,0.04603580562659847,0.033752860411899316,0.027777777777777776,0.022991475071041073,0.03389830508474576,0.0,0.031141868512110725,0.04482225656877898,0.07838983050847458,0.03508771929824561,0.021645021645021644,0.05227272727272727,0.04090909090909091,0.024390243902439025,0.020491803278688523,0.07769423558897243,0.06671961874503574,0.056818181818181816,0.04148606811145511,0.05306799336650083,0.07205882352941176,0.0136986301369863,0.03151862464183381,0.06111111111111111,0.04837209302325581,0.04485852311939269,0.038461538461538464,0.03536585365853658,0.06780923994038748,0.03153153153153153,0.020737327188940093,0.0625
-10,0.02836004932182491,0.01647058823529412,0.01282051282051282,0.055401662049861494,0.03490136570561457,0.03498542274052478,0.022709056906224954,0.07029478458049887,0.0,0.06228373702422145,0.03479749001711352,0.03793626707132018,0.02469813391877058,0.03293413173652695,0.02631578947368421,0.04,0.03425774877650897,0.06391752577319587,0.0397196261682243,0.034782608695652174,0.0515818431911967,0.04247104247104247,0.0,0.021645021645021644,0.07936507936507936,0.0632688927943761,0.08394160583941605,0.03564356435643564,0.050682261208576995,0.07315288953913679,0.03827751196172249,0.03333333333333333,0.1016949152542373,0.04141414141414142,0.042278753135077035,0.0,0.04154002026342452,0.07615658362989323,0.03219315895372234,0.03597122302158273,0.03076923076923077
