cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.3372379778051788,0.2803752850922662,0.34022556390977443,0.34306916215821026,0.30477566749243046,0.3160983582200431,0.35255883962780515,0.23073678290213723,0.3076923076923077,0.21044393853158794,0.3113361762615494,0.26656105990783413,0.4165329052969502,0.39125874125874127,0.373015873015873,0.38476716653512233,0.16636690647482014,0.30078849721706863,0.27718334297281666,0.19513991163475697,0.2599502487562189,0.1357142857142857,0.47108843537414963,0.29726443768996963,0.20795660036166363,0.14294254287080688,0.3880718954248366,0.2597176079734219,0.33508403361344535,0.2532051282051282,0.49882903981264637,0.2595353675450763,0.14641943734015345,0.2999645222327341,0.33109483109483107,0.42008196721311475,0.3834904520183708,0.23844318520727706,0.3146378269617706,,0.4316770186335404
-18,0.23445493900039355,0.21206035605731652,0.22189695550351288,0.2709637046307885,0.22148617511520738,0.2482356134636265,0.28988357457520453,0.15904761904761905,0.23376623376623373,0.16589363017934447,0.24518771874005726,0.22523584905660377,0.5246185852981969,0.3007579237482775,0.5555555555555556,0.25923226433430513,0.15500889152341432,0.26683673469387753,0.22177933673469388,0.16873177842565595,0.15971239981140972,0.08270676691729323,0.2979591836734694,0.24285714285714288,0.15548172757475084,0.19145896656534955,0.2907981698017285,0.2095533865720201,0.2714954834392774,0.21910946196660483,0.5056818181818182,0.15489344909234412,0.12846153846153846,0.27669969721992843,0.2840805613584016,0.2649136577708006,0.3433673469387755,0.16087773782281792,0.21254960317460317,,0.38461538461538464
-17,0.23964723926380369,0.20872540633019673,0.24285714285714288,0.2495856811402055,0.2781042796865582,0.23545432037633077,0.290986205803076,0.17261904761904764,0.16666666666666666,0.20085714285714287,0.22554136158280108,0.23055555555555557,0.3961466165413534,0.3125,0.36160714285714285,0.30989876265466815,0.1290853979968371,0.2544973544973545,0.2165062916358253,0.1362577639751553,0.1864392491851186,0.06451612903225806,0.3234126984126984,0.17458303118201596,0.13262829403606102,0.17235658042744656,0.3226792662590328,0.18899733806566105,0.25475134621476087,0.19656954887218045,0.5734890109890111,0.19624447717231222,0.15719315895372235,0.27059141236835,0.269890673222786,0.330762987012987,0.30533661740558293,0.16743426561714958,0.19230769230769232,,0.3076923076923077
-16,0.22454728370221327,0.16932013769363166,0.32194616977225676,0.23959019091507572,0.1908958388550225,0.2199383350462487,0.26783727951692354,0.10977616853192891,0.22023809523809523,0.1904761904761905,0.25964208577599507,0.19059955588452998,0.49077046548956665,0.36140552995391706,0.4321428571428571,0.3429621848739496,0.11308492201039862,0.2859730848861284,0.22569650266745703,0.11623376623376623,0.17142309377738826,0.03042328042328042,0.3717532467532468,0.12274436090225564,0.1480284421460892,0.15425246675246676,0.27783813145029873,0.17577452667814114,0.26463825873697117,0.18719211822660098,0.3486140724946695,0.13706058339566193,0.15508021390374332,0.26498501498501503,0.26366471019809246,0.30522827687776144,0.3051242236024845,0.1357142857142857,0.2735930735930736,,0.33441558441558444
-15,0.2569650266745702,0.24238017682643093,0.41707021791767557,0.28534031413612565,0.25522827687776145,0.26337507114399544,0.3079881656804734,0.08525835866261398,0.0,0.20852534562211983,0.2828786020846107,0.2558246474555487,0.3473084886128365,0.36407332886206123,0.5571428571428572,0.3097402597402597,0.14351851851851852,0.2997142857142857,0.24733893557422967,0.18588992974238874,0.19028057232282583,0.04878048780487805,0.16596638655462184,0.14910714285714285,0.1917293233082707,0.19202371629936235,0.3129496402877698,0.2119738520408163,0.2707808564231738,0.23128551832255537,0.44930875576036866,0.18044128646222887,0.16123642439431915,0.25182976416373004,0.29779969650986343,0.42078754578754574,0.3500868432479375,0.1610310421286031,0.3581081081081081,,0.1875
-14,0.37968701580415243,0.3454878454878455,0.4679300291545189,0.3830409356725146,0.3403540903540903,0.43042278174229165,0.4467194043741275,0.27664835164835166,0.5,0.2474747474747475,0.5673096602537863,0.29504094631483163,0.7146549905043258,0.5070197044334975,0.7131696428571429,0.4890625,0.22074718045112784,0.533519975786925,0.5237831858407079,0.26932084309133486,0.2947719166510231,0.4771594684385382,0.5126050420168067,0.3274398868458274,0.41056422569027606,0.3044717887154862,0.5020661157024794,0.3637566137566138,0.46242697822623474,0.34228515625,0.5805647840531561,0.40785714285714286,0.21929824561403508,0.4714098237720285,0.43694196428571425,0.5238095238095238,0.631874389847055,0.2742944428280477,0.36451863354037267,,0.3076923076923077
-13,0.24865840118430793,0.18863555397221232,0.26385927505330486,0.3672095916751499,0.3008581524482584,0.3440758889307702,0.4691763516927741,0.14053254437869822,0.4,0.2148109243697479,0.26898306611421363,0.211629279811098,0.30696160042964554,0.5229457713684843,0.4981203007518797,0.37432614555256066,0.17600700525394045,0.259190077704722,0.25721500721500723,0.21631823461091754,0.3173854447439353,0.10849056603773585,0.125,0.5345250483127695,0.1951530612244898,0.1995026778882938,0.42106276472853293,0.32880501598229656,0.42630870841487284,0.22520420070011668,0.41625615763546797,0.20893580104106418,0.16372180451127819,0.2877777777777778,0.3838951695786228,0.3848012889366273,0.3941740412979351,0.1804786289058418,0.2795031055900621,0.5603907637655418,0.5952380952380952
-12,0.25088547815820544,0.20691244239631337,0.2857142857142857,0.2584169884169884,0.22999529301012003,0.28742927864214995,0.29744897959183675,0.13813628899835795,0.22727272727272727,0.42529008940460344,0.26824583866837387,0.4741443452380952,0.3250862663906142,0.3956413210445468,0.5147783251231527,0.3152096659559346,0.1611483134920635,0.2576530612244898,0.20939051296194153,0.14625850340136054,0.17194540153723828,0.2068733153638814,0.19360902255639098,0.21356542617046817,0.14558111380145278,0.1954477050413845,0.31258840169731256,0.21697722567287786,0.32059975889089815,0.2213853562168169,0.4172077922077922,0.3638014527845036,0.24785082174462705,0.2142857142857143,0.3114166168559474,0.26900393184796856,0.4029834494773519,0.1571014192479022,0.2762548262548262,0.29365079365079366,0.3664021164021164
-11,0.2455895008605852,0.20429447852760735,0.26313025210084034,0.2970902828136331,0.23607642357642356,0.2794401544401544,0.28838572466023443,0.2117000646412411,0.18181818181818182,0.16030844155844154,0.28729990939293265,0.2583170254403131,0.32004402158477707,0.32783882783882784,0.4857142857142857,0.21695951107715813,0.14683922349427578,0.323235974551764,0.2462634688912061,0.14549180327868852,0.19192568958419104,0.14767255216693417,0.3002645502645503,0.2026546250684182,0.20866261398176292,0.19829906340833245,0.3126444752658345,0.20034635475811946,0.3435775597792765,0.2172264739229025,0.27845036319612587,0.22540554683411826,0.14093342254934763,0.2512713823393435,0.32083434392432697,0.2960829493087558,0.42231711525189786,0.14630252100840335,0.26538060479666314,0.4496753246753247,0.2608695652173913
-10,0.2546419098143236,0.23612836438923393,0.30238095238095236,0.33727900833163993,0.28929259565097715,0.19987637362637364,0.26817000385059686,0.21467391304347827,0.42857142857142855,0.18831168831168832,0.2585956416464891,0.26053268765133175,0.32955446329475185,0.3279558480152834,0.39285714285714285,0.2702648475120385,0.1548941798941799,0.24562156593406595,0.25,0.10910878112712975,0.20917100283822138,0.25762439807383625,0.21428571428571427,0.18970503181029497,0.17356475300400537,0.2014139251915277,0.3252254390128144,0.18973032663024525,0.28907471084713976,0.23143007202881155,0.384453781512605,0.22265625,0.16805700382342717,0.27420774647887325,0.33291636063165625,0.28396358543417366,0.4502032520325203,0.1691234665611397,0.22311165845648603,0.3031674208144796,0.34523809523809523
