cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0,0.0,0.0,0.001890359168241966,0.0,0.0020512820512820513,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.01,0.0007032348804500703,0.0,0.0,0.0,0.004201680672268907,0.000946521533364884,0.0,0.0023094688221709007,0.0,0.0009345794392523365,0.0,0.0,0.002398081534772182,0.0016420361247947454,0.0013971358714634998,0.0,0.0,0.0,0.0,,0.0
-18,0.0,0.0,0.0,0.002364066193853428,0.0019646365422396855,0.0,0.003232758620689655,0.0,0.0,0.0,0.0032017075773745998,0.004608294930875576,0.0,0.0,0.0,0.006535947712418301,0.002066115702479339,0.006896551724137931,0.0043859649122807015,0.0,0.0008169934640522876,0.0,0.0,0.0,0.0,0.0016638935108153079,0.0,0.0,0.0,0.0024783147459727386,0.0,0.0,0.005763688760806916,0.001893939393939394,0.0014625228519195613,0.0,0.0,0.002176278563656148,0.0,,0.0
-17,0.0,0.001466275659824047,0.0,0.0021810250817884407,0.0,0.0011248593925759281,0.0,0.0040650406504065045,0.0,0.003937007874015748,0.003181336161187699,0.0,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,0.0,0.0,0.0023219814241486067,0.0,0.0,0.0,0.004784688995215311,0.0007710100231303007,0.0,0.002008032128514056,0.002074688796680498,0.0012706480304955528,0.0,0.0,0.0,0.0036900369003690036,0.0007155635062611807,0.010752688172043012,0.00211864406779661,0.003464203233256351,0.0,,0.0
-16,0.0013458950201884253,0.001445086705202312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010277492291880781,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.00398406374501992,0.0,0.000744047619047619,0.0,0.0,0.0,0.004405286343612335,0.0007199424046076314,0.0,0.003913894324853229,0.0,0.0,0.0,0.005154639175257732,0.0,0.0,0.0007097232079489,0.0,0.0,0.004158004158004158,0.0,,0.0
-15,0.0,0.0,0.0,0.0,0.0018484288354898336,0.0,0.001091703056768559,0.0,0.0,0.007936507936507936,0.0019940179461615153,0.0,0.0,0.0029806259314456036,0.0,0.0,0.0,0.0,0.0038314176245210726,0.0,0.0,0.0,0.0,0.0,0.0,0.002150537634408602,0.003278688524590164,0.0,0.0,0.0012706480304955528,0.0,0.0,0.016129032258064516,0.0,0.0014414414414414415,0.0,0.0,0.0010427528675703858,0.0,,0.0
-14,0.0,0.00199203187250996,0.0,0.001466275659824047,0.0,0.0,0.004322766570605188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005747126436781609,0.002512562814070352,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126436,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.007751937984496124,0.0,0.001970831690973591,0.0,0.0,0.0017006802721088435,0.0,,0.0
-13,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0004393673110720562,0.0005045408678102926,0.005917159763313609,0.0,0.0,0.0012618296529968455,0.0,0.0018779342723004694,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0,0.0009416195856873823,0.009433962264150943,0.041666666666666664,0.0,0.008928571428571428,0.0007651109410864575,0.0,0.0,0.0,0.0011574074074074073,0.0,0.0,0.010526315789473684,0.0,0.002868617326448652,0.0,0.0014749262536873156,0.0007204610951008645,0.0,0.0,0.0
-12,0.0013774104683195593,0.0,0.015625,0.0,0.0032948929159802307,0.0004948045522018803,0.0005924170616113745,0.005747126436781609,0.0,0.0013315579227696406,0.0019206145966709346,0.0,0.0,0.0,0.0,0.0,0.005172413793103448,0.0,0.005780346820809248,0.0,0.0012322858903265558,0.0,0.05263157894736842,0.0,0.00423728813559322,0.0015048908954100827,0.0,0.0007246376811594203,0.002109704641350211,0.0017050298380221654,0.0,0.0,0.0035398230088495575,0.0,0.0016082341588935349,0.0,0.001524390243902439,0.005046863734679163,0.0,0.0,0.0
-11,0.0,0.0,0.0,0.0012690355329949238,0.0,0.0005005005005005005,0.000724112961622013,0.0,0.0,0.001893939393939394,0.0014094432699083862,0.0,0.0019880715705765406,0.0016025641025641025,0.0,0.0,0.0,0.0,0.0,0.008130081300813009,0.0014347202295552368,0.0,0.0,0.0,0.0,0.0015071590052750565,0.0,0.000794912559618442,0.002145922746781116,0.0029182879377431907,0.0,0.0,0.0,0.00487012987012987,0.001697792869269949,0.0,0.0,0.0023510971786833857,0.0,0.0,0.0
-10,0.0,0.0,0.0,0.001422475106685633,0.0019267822736030828,0.0003846153846153846,0.0006752194463200541,0.0,0.0,0.0021141649048625794,0.002033898305084746,0.0,0.0022222222222222222,0.0,0.0,0.0,0.001851851851851852,0.0,0.0,0.0,0.0008271298593879239,0.0,0.0,0.0,0.004672897196261682,0.0007886435331230284,0.0,0.0,0.0,0.0,0.0,0.0,0.014598540145985401,0.0034965034965034965,0.0006426735218508997,0.00980392156862745,0.0020325203252032522,0.002070393374741201,0.005747126436781609,0.0,0.0
