cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.06796116504854369,0.027181688125894134,0.11864406779661017,0.07277882797731569,0.06934306569343066,0.05435897435897436,0.03669724770642202,0.10943396226415095,0.0,0.09126984126984126,0.09309021113243762,0.09411764705882353,0.04395604395604396,0.05442176870748299,0.15789473684210525,0.0972972972972973,0.13701067615658363,0.1032258064516129,0.072,0.12,0.10548523206751055,0.0,0.19047619047619047,0.08677685950413223,0.08403361344537816,0.10033128253667771,0.10126582278481013,0.10161662817551963,0.05852842809364549,0.13644859813084112,0.03278688524590164,0.028985507246376812,0.1606714628297362,0.10180623973727422,0.061124694376528114,0.11290322580645161,0.07704654895666131,0.08686868686868687,0.040268456375838924,,0.08695652173913043
-18,0.07346938775510205,0.03566121842496285,0.12903225806451613,0.07446808510638298,0.06286836935166994,0.06663084363245567,0.04633620689655173,0.10434782608695652,0.0,0.11914893617021277,0.10672358591248667,0.06912442396313365,0.018867924528301886,0.03610675039246468,0.0,0.06535947712418301,0.11776859504132231,0.07586206896551724,0.039473684210526314,0.0707070707070707,0.12908496732026145,0.02564102564102564,0.08571428571428572,0.08947368421052632,0.037037037037037035,0.10066555740432612,0.12027491408934708,0.08811475409836066,0.05855855855855856,0.15489467162329615,0.022222222222222223,0.032432432432432434,0.14985590778097982,0.10037878787878787,0.06106032906764168,0.14130434782608695,0.10311284046692606,0.0957562568008705,0.027586206896551724,,0.0
-17,0.08383233532934131,0.02346041055718475,0.047619047619047616,0.07415485278080698,0.049079754601226995,0.0562429696287964,0.04017372421281216,0.11382113821138211,0.0,0.1062992125984252,0.10392364793213149,0.0913978494623656,0.0375,0.05263157894736842,0.0,0.10606060606060606,0.1263537906137184,0.09352517985611511,0.06862745098039216,0.08163265306122448,0.0998452012383901,0.0,0.16666666666666666,0.08585858585858586,0.06220095693779904,0.09560524286815729,0.13059701492537312,0.10642570281124498,0.06431535269709543,0.144853875476493,0.0,0.03,0.12536443148688048,0.08302583025830258,0.06475849731663685,0.053763440860215055,0.07203389830508475,0.11547344110854503,0.05442176870748299,,0.15384615384615385
-16,0.08344549125168237,0.031791907514450865,0.07042253521126761,0.0689289501590668,0.049557522123893805,0.049145299145299144,0.03805496828752643,0.09333333333333334,0.08333333333333333,0.102880658436214,0.0986639260020555,0.06965174129353234,0.05319148936170213,0.0717628705148206,0.0,0.11724137931034483,0.12207357859531773,0.11888111888111888,0.03187250996015936,0.07207207207207207,0.08630952380952381,0.07407407407407407,0.22727272727272727,0.09278350515463918,0.039647577092511016,0.10007199424046076,0.16607773851590105,0.10176125244618395,0.05154639175257732,0.14875,0.07246376811594203,0.02577319587628866,0.21171171171171171,0.12162162162162163,0.0695528743789922,0.10891089108910891,0.0826271186440678,0.11850311850311851,0.07602339181286549,,0.09090909090909091
-15,0.07493540051679587,0.045871559633027525,0.01639344262295082,0.07665505226480836,0.04251386321626617,0.04794520547945205,0.02947598253275109,0.07874015748031496,0.0,0.11507936507936507,0.10867397806580259,0.10236220472440945,0.03896103896103896,0.06557377049180328,0.0,0.11931818181818182,0.12627986348122866,0.09352517985611511,0.019157088122605363,0.06923076923076923,0.0943952802359882,0.07142857142857142,0.16666666666666666,0.125,0.08050847457627118,0.09175627240143369,0.1377049180327869,0.12423625254582485,0.05841121495327103,0.144853875476493,0.045454545454545456,0.03482587064676617,0.1827956989247312,0.10526315789473684,0.0645045045045045,0.09195402298850575,0.08539944903581267,0.12721584984358708,0.04,,0.21052631578947367
-14,0.07129455909943715,0.03386454183266932,0.09259259259259259,0.07771260997067449,0.05714285714285714,0.05665024630541872,0.043227665706051875,0.08843537414965986,0.0,0.09767441860465116,0.09261744966442953,0.07731958762886598,0.04249084249084249,0.04180064308681672,0.0,0.05747126436781609,0.11055276381909548,0.055441478439425054,0.056962025316455694,0.08823529411764706,0.07752808988764046,0.11235955056179775,0.15789473684210525,0.06569343065693431,0.056338028169014086,0.09310344827586207,0.1037037037037037,0.09234828496042216,0.08333333333333333,0.15619694397283532,0.023255813953488372,0.05952380952380952,0.2713178294573643,0.08403361344537816,0.04296413086322428,0.03225806451612903,0.044420368364030335,0.11734693877551021,0.047619047619047616,,0.15384615384615385
-13,0.06476683937823834,0.05955334987593052,0.1044776119402985,0.06756756756756757,0.05123674911660778,0.05536028119507909,0.037840565085771945,0.10650887573964497,0.1,0.08088235294117647,0.09274447949526814,0.08130081300813008,0.06103286384976526,0.03995793901156677,0.0,0.14150943396226415,0.12369337979094076,0.13450292397660818,0.06464646464646465,0.07258064516129033,0.07344632768361582,0.05660377358490566,0.125,0.02497398543184183,0.07589285714285714,0.10558530986993114,0.11590296495956873,0.09236947791164658,0.0547945205479452,0.13425925925925927,0.017241379310344827,0.024291497975708502,0.29473684210526313,0.08727810650887574,0.0519219736087206,0.09774436090225563,0.06489675516224189,0.11671469740634005,0.037267080745341616,0.03858784893267652,0.0
-12,0.0674931129476584,0.04236200256739409,0.0625,0.07829534192269574,0.05601317957166392,0.05987135081642751,0.035545023696682464,0.09770114942528736,0.18181818181818182,0.07723035952063914,0.09282970550576185,0.046632124352331605,0.044444444444444446,0.056451612903225805,0.034482758620689655,0.08955223880597014,0.12586206896551724,0.11409395973154363,0.03275529865125241,0.09302325581395349,0.09242144177449169,0.12264150943396226,0.21052631578947367,0.031932773109243695,0.08050847457627118,0.09255079006772009,0.11221122112211221,0.09202898550724638,0.05485232067510549,0.1474850809889173,0.045454545454545456,0.061016949152542375,0.215929203539823,0.08062015503875969,0.05596654872949502,0.11926605504587157,0.10365853658536585,0.11968276856524873,0.032432432432432434,0.02813852813852814,0.0
-11,0.05572289156626506,0.04628501827040195,0.07352941176470588,0.08629441624365482,0.04895104895104895,0.06806806806806807,0.042722664735698766,0.06787330316742081,0.0,0.10416666666666667,0.08738548273431994,0.04590163934426229,0.0536779324055666,0.060897435897435896,0.13333333333333333,0.12834224598930483,0.11846689895470383,0.10526315789473684,0.06280193236714976,0.04065040650406504,0.08034433285509325,0.15217391304347827,0.14814814814814814,0.034482758620689655,0.07659574468085106,0.10097965335342879,0.09385113268608414,0.0985691573926868,0.06866952789699571,0.14980544747081712,0.05084745762711865,0.03663003663003663,0.1686182669789227,0.0762987012987013,0.060101867572156194,0.0967741935483871,0.09420289855072464,0.11442006269592477,0.06569343065693431,0.0425531914893617,0.08695652173913043
-10,0.0649867374005305,0.0536231884057971,0.06666666666666667,0.07823613086770982,0.04816955684007707,0.04269230769230769,0.042538825118163405,0.06521739130434782,0.14285714285714285,0.09090909090909091,0.09016949152542372,0.05084745762711865,0.06,0.0713224368499257,0.07692307692307693,0.06179775280898876,0.1259259259259259,0.15625,0.05991735537190083,0.06422018348623854,0.08188585607940446,0.10112359550561797,0.2,0.02631578947368421,0.04205607476635514,0.0946372239747634,0.11960132890365449,0.11554109031733116,0.0700218818380744,0.1540816326530612,0.029411764705882353,0.04296875,0.19951338199513383,0.07692307692307693,0.06651670951156813,0.09803921568627451,0.07926829268292683,0.12284334023464458,0.06321839080459771,0.038461538461538464,0.0
