cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-19,2.3635761589403974,2.5340397350993378,2.795121951219512,3.7869892899643,2.089214380825566,2.1083987213019473,2.465741728922092,2.141935483870968,1.9473684210526316,3.004303719643406,2.3104549082202714,2.1846153846153844,3.525679758308157,2.6875,,2.3703703703703702,1.965151515151515,2.4554913294797687,1.7681159420289856,3.115354484919702,2.4939024390243905,2.843137254901961,2.2802101576182134,2.607616521409625,1.9448275862068964,2.2483870967741937,2.465536723163842,3.450657894736842,1.3213367609254498,2.1631372549019607,3.01726618705036,3.20231504781077,2.139014202172097,5.74679270762998,2.2878455462922336,1.8627450980392157,2.8808724832214767,2.0483870967741935
-18,2.278743068391867,2.530005608524958,2.640449438202247,3.5537885874649207,2.0548159749412687,2.1035927178991463,2.453995462566171,1.8501070663811563,1.9294320137693632,2.8075772681954136,2.23308957952468,2.3362175525339928,3.357064622124863,2.1964285714285716,,2.1882352941176473,1.8598726114649682,2.3745072273324572,1.9666666666666666,2.9435736677115987,2.1812080536912752,2.9054325955734406,2.352504638218924,2.0051908396946563,2.017857142857143,2.179930795847751,2.4384787472035794,3.130861040068201,1.3333333333333333,1.976582827406765,3.0448504983388704,3.088544548976204,2.0171762281003094,4.977528089887641,2.3068526379624013,1.6690265486725664,2.4285714285714284,2.142857142857143
-17,2.2221337579617835,2.5377815796977474,2.641833810888252,3.5774586597040905,2.1608557844690965,2.0220650160013474,2.489002557544757,2.2775,1.979553903345725,3.1397430906967694,2.308411214953271,2.0875179340028693,3.326595072646873,2.3714285714285714,,2.0786516853932584,1.9575221238938052,2.309045226130653,1.7681159420289856,2.924789820495342,2.341463414634146,2.5277207392197125,2.308488612836439,2.003403289846852,1.7478260869565216,2.172811059907834,2.4146341463414633,3.11747491638796,1.2573099415204678,1.9028960817717206,2.96,2.965865992414665,2.0379172714078373,5.617283950617284,2.2650056625141564,1.6974358974358974,2.670753064798599,1.76
-16,2.2622253720765415,2.5368772613414974,2.604215456674473,3.556638246041413,2.007114624505929,2.0125932835820897,2.630201844006977,1.894736842105263,1.945518453427065,3.119330855018587,2.337674418604651,2.3215686274509806,3.3443223443223444,2.5185185185185186,,2.2767857142857144,1.8621745788667687,2.5472636815920398,1.825,3.09547521108465,1.9310344827586208,2.793307086614173,2.206,1.961017866811045,1.9445628997867803,2.103794642857143,2.2811816192560177,3.31437125748503,1.5154929577464789,2.0186282811176968,2.704791344667697,2.9646320593268682,2.0487234807623156,5.570769230769231,2.227326266195524,1.7390243902439024,2.6785714285714284,1.8285714285714285
-15,2.2997118155619596,2.4303361103131285,2.819178082191781,3.4818718381112985,2.7399507793273177,2.016812053925456,2.409896602658789,2.1398416886543536,1.8731617647058822,3.226788990825688,2.317418213969938,2.22406015037594,3.426736719206071,1.9574468085106382,,2.5140845070422535,1.9879310344827585,2.6063249727371867,1.7547169811320755,2.9231974921630095,2.5405405405405403,2.7729166666666667,2.316430020283976,1.9826063687449826,1.9092702169625246,2.113289760348584,2.1815252416756175,3.469733656174334,1.2820512820512822,1.870479394449117,3.0106382978723403,2.8042973286875728,2.098860026163334,5.844009042954031,2.248079877112135,1.6519721577726219,2.7542857142857144,2.230769230769231
-14,2.4511991076408255,2.6305863058630585,2.761437908496732,3.7292134831460673,1.9826435246995995,3.3533714285714287,2.559017941454202,2.091633466135458,2.114219114219114,3.131434599156118,2.5155555555555558,3.5451559934318553,3.775922671353251,1.9313725490196079,,2.54320987654321,2.387524883875249,2.66974358974359,1.6756756756756757,3.22972972972973,2.489130434782609,2.925566343042071,2.3060686015831133,1.9601694915254237,1.9082840236686391,2.2243502051983586,2.404802744425386,3.797432239657632,1.4805194805194806,2.2428734321550743,2.9956236323851204,2.9651741293532337,3.0436950843030157,5.39453125,3.9045566502463056,1.6431226765799256,2.448717948717949,1.8571428571428572
-13,2.265051395007342,2.4424480628860192,2.5679611650485437,3.453080229226361,2.065868263473054,2.226938459553606,2.4830653438248373,1.9279475982532752,1.9138211382113821,2.6381975867269984,2.259059367771781,2.646454265159301,3.0446641663825433,2.4956521739130433,,2.0049751243781095,1.9128608923884514,2.3222903885480575,1.5625,2.8862854686156494,2.4693877551020407,2.5575959933222037,2.2778649921507066,1.9847569744032212,1.85062893081761,1.9969818913480886,2.535425101214575,3.1702418986764034,1.3606060606060606,1.8559822747415067,2.808781869688385,2.414814814814815,2.0837867247007615,5.711262798634812,2.6052807486631018,1.7069767441860466,2.781925343811395,2.35
-12,2.362614913176711,2.4592376919004764,2.5091383812010446,3.1356743814844372,3.002867383512545,1.977732498908456,2.3923390383048084,1.9338235294117647,3.832745236414961,2.609715552271888,2.6814634146341465,2.584877983731164,3.3581241117953575,2.3258426966292136,3.8746268656716416,2.1004784688995217,2.02905441098785,2.2813133360356708,2.106060606060606,2.7372036339463772,2.063380281690141,2.4263959390862944,2.247191011235955,2.013041065482797,1.8640429338103757,2.071134020618557,2.2704471101417667,3.213952039862971,1.357308584686775,1.932977913175933,2.770864946889226,2.1971830985915495,2.11794500723589,5.370566037735849,2.679919137466307,1.6388261851015802,2.979020979020979,2.0641025641025643
-11,2.2950819672131146,2.4154277699859747,2.471052631578947,3.2157164869029278,3.70234375,1.9996977025392986,2.3231286497964962,2.1749502982107356,2.430456852791878,2.588302533815965,2.364697802197802,2.6131196932347303,3.246031746031746,1.9431818181818181,2.71505376344086,1.7263157894736842,2.0065934065934066,2.163326226012793,2.0144927536231885,2.601020119013885,2.1488095238095237,2.5471349353049906,2.147008547008547,2.034407427635172,1.7392086330935252,1.9546351084812623,2.2936507936507935,3.1388044579533942,1.340966921119593,1.8952380952380952,2.784251968503937,2.2817033224145997,2.0887562189054725,5.278966789667897,2.546643109540636,1.745958429561201,3.2235067437379574,2.191780821917808
-10,2.3429736744530962,2.4540141494924637,2.719402985074627,3.1601779755283648,3.61,1.899279824652959,2.2641436570766555,1.9423459244532804,2.2263473053892215,2.6782659409020217,2.4251581166549543,2.604438081603436,2.9410256410256412,1.989247311827957,2.9105263157894736,1.71900826446281,2.0695457094784073,2.194773376888526,1.873015873015873,2.621012482662968,1.8606060606060606,2.6864754098360657,2.098566308243728,2.037468066988362,1.8743068391866913,2.0403225806451615,2.4122596153846154,3.1985739750445634,1.2845303867403315,1.9582066869300911,2.8136054421768706,2.165101334651508,3.0444666001994016,5.163109756097561,2.5193998965338853,2.334088335220838,2.596085409252669,1.8840579710144927
