cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WY
-19,0.19129084115397987,0.1925329942427791,0.2108047897521582,0.20312256049960967,0.17944825561632832,0.24575827062851285,0.18984629694851582,0.11951161310849506,0.1517596073517126,0.1906177494199536,0.1569808786346397,0.23282602813852812,0.28006054856768087,0.3144599303135889,,0.22913832199546486,0.16478011969815248,0.20751661129568108,0.1768925518925519,0.1612728632859719,0.2225609756097561,0.1956236231147263,0.1836928246260568,0.09607341903509478,0.3296031746031746,0.17373432242275924,0.1600657345117179,0.129802466802136,0.3109191307445672,0.1588139213469029,0.138083108061274,0.2402089947089947,0.16461841950300318,0.23983713772762247,0.08743028743028744,0.18913255360623782,0.241793804900601
-18,0.15253121115996066,0.1532948598372973,0.13148238747553814,0.16286926283358252,0.13891190660332192,0.20702314871294375,0.16423751377157547,0.07426054122089365,0.1309658326607479,0.1705847619047619,0.13278568308057168,0.24673623815067355,0.20949091645159656,0.23515406162464986,,0.17672902494331066,0.1291378374711708,0.1597144717261905,0.11558280028429282,0.1317110999329309,0.14982876712328766,0.13589285714285715,0.12188208616780045,0.11543251321147015,0.24437779734389906,0.13004734057365636,0.15108346709470305,0.10698870191351394,0.29782430213464695,0.10629657397310069,0.12805198480071145,0.22485798443088575,0.13487762590218136,0.22982678495986483,0.06668239983217956,0.17147114273551053,0.2093994314143568
-17,0.1538502333474756,0.1558539780056116,0.1336278413804546,0.148077254420538,0.1628200808625337,0.20850852412705712,0.16068353067814856,0.09935293378565146,0.13346233664254867,0.16080434018625903,0.13145071982281287,0.17504349507055866,0.22546752979860255,0.21664050235478807,,0.18547077922077923,0.14897186147186148,0.14317699556886976,0.16787323037323038,0.13576442017897714,0.1634871339840284,0.117583918813427,0.15407279593697096,0.10491176431057887,0.2862545018007203,0.12651565255731922,0.13773097891638925,0.10271983997514177,0.3380317014446228,0.12691407669938204,0.14132262100242396,0.2274391169107048,0.1320370607848166,0.20962623918400092,0.06255355612682091,0.1760152794531564,0.20130621693121692
-16,0.15428589391244993,0.14497818172259244,0.1783690813435856,0.14074476108936726,0.1472776958281327,0.21866280566280566,0.14784784029768192,0.09156436011904762,0.1403854488325478,0.16758406639573364,0.1459945618071533,0.20289290298918025,0.2429143429143429,0.2846961152882206,,0.2235512129380054,0.14018995576372625,0.16777394411001811,0.16832779623477298,0.14211309523809523,0.12091222030981068,0.09587966923296265,0.14042980828695115,0.10369474087885641,0.28271805355138685,0.13156956330919464,0.13969356261022928,0.10816267962199946,0.26656386788698766,0.13205128205128205,0.10983628556092323,0.22825416230061707,0.13485221674876846,0.2299486148346738,0.05571193994839315,0.15534997131382672,0.24534417727487035
-15,0.15371148459383754,0.15844494047619048,0.22872988785958068,0.1471217031235935,0.1606835769561479,0.22555603577246583,0.15711875738540954,0.08918279127212844,0.1322369159928122,0.17814766998647485,0.1270423934643409,0.22847206888937957,0.2728279398613906,0.21203102453102451,,0.24317653890824623,0.13217290070602375,0.15858259779884495,0.20357142857142857,0.1449385112094609,0.1928844056706652,0.12545592705167175,0.11378915202444614,0.10683681329261918,0.2877078609221466,0.15337089758797942,0.13454003802105066,0.11835787076171692,0.2871981653851342,0.12152630587348688,0.1422888250777698,0.20646267593087478,0.14360243632336656,0.2219946166330206,0.060708435708435704,0.2006759611322349,0.23525230987917556
-14,0.2657742047682287,0.2534717582074925,0.26736924277907886,0.20537834079500747,0.22075960293482952,0.31824581815729125,0.2500345962796253,0.13833670260557054,0.1645966595593461,0.4038955315398176,0.23008432539682538,0.4891825315778596,0.35243175834834417,0.4240229110512129,,0.36027777777777775,0.35612487275195115,0.3615169314958456,0.17766955266955267,0.2189047432890279,0.23732220160791592,0.2347332451499118,0.23699038780245277,0.1866479810087905,0.3919439935064935,0.22933070866141733,0.20277493824005452,0.17461484593837534,0.42128076062639824,0.2524121893655421,0.20090451324132785,0.3689226875584357,0.25883398039086664,0.41052596596951435,0.07272851669403393,0.2453793774319066,0.19032549728752263
-13,0.17921767472421068,0.14804913663376437,0.21275410749094958,0.14315420767934733,0.17013180272108844,0.29351462807345163,0.2000746093776923,0.10961218548554792,0.13944658944658944,0.20577230578407418,0.15116959064327484,0.20638453051072506,0.4003877459462924,0.3198412698412698,,0.20193674484719262,0.1386849132176235,0.15221291866028708,0.14917027417027418,0.20825622995312115,0.18735827664399093,0.4127307530941892,0.14800393841747225,0.1251821125050587,0.3069415266106443,0.17868814192343604,0.15912117859191868,0.11393809942622607,0.2709276794291203,0.1311829474872953,0.12813638203156616,0.25939955106621776,0.17384254035122915,0.2256257230403652,0.06868025632526792,0.16789819376026274,0.2071858864027539
-12,0.16158273082356853,0.15137339942172656,0.17953715409467622,0.1261245117593285,0.15905971173644476,0.24453401242523382,0.17660125662305995,0.11414565826330532,0.23682438303788667,0.18269371176488672,0.25627460978442534,0.2013247682017079,0.293767044262639,0.2936827956989247,0.36411023947151117,0.1892969451931716,0.14448636597496142,0.14817479124351163,0.13304375804375804,0.14496063157013026,0.14071931589537223,0.14560044840217254,0.11985083189902468,0.12589798149377268,0.2611372395323013,0.1335202481190594,0.1283289241622575,0.11545523639049893,0.2839874411302983,0.13721650689735795,0.14159642677040557,0.22560709542781257,0.16372480305601325,0.22729356719646382,0.0710139111824505,0.16172952825990208,0.14148351648351648
-11,0.1595304555876782,0.15260651629072683,0.1456719736087206,0.17502438038152324,0.154304718875502,0.2307778042622314,0.15744455439155033,0.1472119662974534,0.10986250838363515,0.17978668969266687,0.15578358208955223,0.20562517212889012,0.30029696780243825,0.28721409823772026,0.2075006168270417,0.15513587634006482,0.1459368530020704,0.14480478777386427,0.15264187866927592,0.14229584120095068,0.16071428571428573,0.1447774062075452,0.13482897688060733,0.12423896499238965,0.29203283602425234,0.12505131362889985,0.12879580543154762,0.10278114839532677,0.24269226469930694,0.13103951133612152,0.11886014248218973,0.22874357482300453,0.15910641631497816,0.23679597701149427,0.054431520314547836,0.17877853460972018,0.19946311858076562
-10,0.16693482998023615,0.15614566859954312,0.16443972693972694,0.15362735266892935,0.17116266396061186,0.14886654578008907,0.1633146921531327,0.09696239606953892,0.11792460061938491,0.17812565554856302,0.1489850779021286,0.20615201543885492,0.27664479617604615,0.2620487711213518,0.18818681318681318,0.15925058548009366,0.13490034991632435,0.15969802555168408,0.10966810966810966,0.15260613534210832,0.13246753246753248,0.15621743036837377,0.133589655958077,0.12796624774631457,0.290085841458245,0.13259481874941756,0.11838228305294174,0.10928622159090909,0.24230697500932488,0.11607378875420113,0.12469309297667507,0.24057667197127353,0.17524993977354855,0.2780471162824104,0.1441014258810869,0.1427567089828057,0.24610016420361247
