cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV,WY
-19,0.1243198407431984,0.12889478138968974,0.13324979114452798,0.12930577134412066,0.11638588536706641,0.16140246687985382,0.13190890628696048,0.06983773464842508,0.09490217574633159,0.12641621719347937,0.10546436588103256,0.15633854781582054,0.19962821241719422,0.20282969063456868,,0.14730983302411874,0.11234137999405175,0.12609709492502508,0.11434398934398934,0.10202046455257072,0.13454228698131138,0.13857050422886721,0.1194938319084105,0.05645699044232052,0.2165021645021645,0.10729580911593758,0.10299465240641711,0.08146633386461372,0.2228681542896007,0.11765411369633007,0.08360271460708142,0.1733982683982684,0.10432757679253969,0.1627311198675651,0.05567450567450567,0.11979190400243031,,0.11068476977567887
-18,0.10163336857921977,0.10165976569676242,0.07873376623376624,0.10013381888381888,0.08637669368527837,0.1365115125999252,0.11629754320033145,0.04150695119858115,0.077863210708399,0.11179012987012987,0.08392928657245838,0.16510439502290492,0.14987509833418441,0.139877769289534,,0.12430426716141002,0.095563206954336,0.10374917894882402,0.06304516379143245,0.08302601781648024,0.09617950542608077,0.09133766233766234,0.07643195286619822,0.06795243870744173,0.16444880235327078,0.07966127439811649,0.0958047329015071,0.0638378956048129,0.2140618002686968,0.07365296916823634,0.08113024496725685,0.16295449763785552,0.08882082367928319,0.1578564021529801,0.04404571199725385,0.10584498515532997,,0.12337662337662339
-17,0.10047440891734485,0.10283440379782184,0.08275261324041812,0.09084504944596687,0.10381697704810913,0.1346421201259911,0.11235423735423736,0.05622280094575609,0.08668130430720358,0.10383260650788326,0.0854978354978355,0.11463806829165421,0.1639370185917658,0.1502426145283288,,0.11168093270365999,0.09912478825522304,0.08855252728492165,0.09937697437697438,0.08558435069801545,0.10161732677260628,0.07827469661486054,0.10071446329422629,0.06321226050269234,0.19266070064389393,0.0764151936026936,0.0912029147323265,0.06286545835893308,0.2549066102436889,0.08487719341726975,0.08826477299383703,0.16597926767868348,0.08648278850210368,0.14485559566787004,0.03538877574867292,0.11094966553350148,,0.11933349669198726
-16,0.10147359242040493,0.09545078162246255,0.1110242448769361,0.08600219466944205,0.09344408569984423,0.1438880435957117,0.10237955488762542,0.0534953327922078,0.08583375893769153,0.11017448521949781,0.0946588198443486,0.1378348865511895,0.17729417729417732,0.20176862611073137,,0.14316344033325165,0.08340663320743003,0.09997596851875958,0.09423135004530353,0.09014804886691007,0.07438194335784697,0.05942660134276901,0.09011075504581999,0.06255705950065495,0.1884264725173816,0.08000553593871566,0.094262816435568,0.06634809443677286,0.20132583294143183,0.0922795954045954,0.06737666520275216,0.16818181818181818,0.08793605143335718,0.16014196929076285,0.03185976584991363,0.10088796745423252,,0.13403760418685792
-15,0.10084818485301966,0.10431161100803958,0.14735605691237091,0.09195035549302089,0.10469453160768724,0.14958025747563167,0.10936096136567834,0.050825255436206446,0.08179588651691656,0.11403876462895277,0.08600099619744146,0.14890403259800478,0.2036975641729163,0.14753049980322708,,0.16072748389821562,0.09394330274691448,0.10069682551404728,0.1262987012987013,0.09305776490420001,0.12615247348071776,0.08771760154738878,0.07299465240641712,0.06363298648765277,0.18453927025355596,0.09548843801512841,0.10022727272727272,0.07221624529316838,0.20483058018468783,0.08529872699012166,0.08877178098283625,0.15092977572934813,0.09551899829929172,0.147868963953752,0.033113692204601294,0.1304091978996922,,0.11670274170274171
-14,0.17744390403752955,0.16834977464070075,0.1658505428997232,0.12996872975181,0.14425981873111782,0.2074090957586103,0.17096538274012676,0.07824369027199216,0.09506470642034022,0.27258916066687966,0.1276147516605532,0.3408017362440955,0.25334437628327056,0.26231315853957365,,0.2311904761904762,0.21354373428609238,0.2376260875047283,0.12219598583234947,0.13998961038961039,0.14854950244560636,0.16707251082251082,0.15087232952662186,0.1132186714819075,0.2664735832349469,0.14142550363022804,0.13032849503437738,0.10811415475281022,0.31342063976292167,0.17021790163189582,0.12176596249703299,0.2642158112706522,0.1635513678059704,0.28286934839354194,0.04142409314823108,0.15362701500833795,,0.07969860328350895
-13,0.11823534127455695,0.09435169827648374,0.13145553277132224,0.0877740407040974,0.10804962894248608,0.20131019907579772,0.14073426573426573,0.06382918391652016,0.08818112646341675,0.13693167808184284,0.08918287594758184,0.1368801652892562,0.29639077275349146,0.19867965367965368,,0.12390967241713512,0.07941197158331574,0.09382945701047635,0.09809130263675718,0.1453697512165254,0.1178549341814648,0.3222981863951027,0.0918340222851501,0.07387077056768013,0.20574309269162208,0.1083982683982684,0.15039217797508614,0.07038058687135204,0.19320520977581496,0.09172270417329706,0.07734262904234576,0.18888986060703233,0.11726173274608945,0.14745866411985914,0.037718082381655464,0.1083705236499529,0.2961804479389263,0.11754347347567685
-12,0.10373404954556788,0.09720959768898409,0.10957552771712063,0.145658056060542,0.1011930759700149,0.15990887371933948,0.11880039827930255,0.06557168321874204,0.1774918790645201,0.11856256235694583,0.15836103051616288,0.1342076672492281,0.2119858115452829,0.1790689149560117,0.24063508745589668,0.12467838765008576,0.08988163734999179,0.09314123376623376,0.07594770094770094,0.09196621413144092,0.08891988293396744,0.10396715353611906,0.07174698292061636,0.07555143269428984,0.165664582331249,0.07912976077909213,0.08597095973333597,0.07126875213092397,0.1977665191950906,0.0901624970773907,0.08993653849932216,0.15944921612252289,0.10842533273445071,0.1476663560271197,0.03883700569093827,0.10200342881417648,0.14776814188700282,0.07577016007248565
-11,0.10099033903988544,0.10783746365339371,0.08646925363792833,0.11297812738216051,0.09669114770771398,0.14893929037469708,0.10656124932034335,0.08367973974335804,0.06673768515048314,0.1155660994478993,0.09553550235665118,0.13589702647079696,0.21448748188354314,0.16637693015645771,0.13570755669201265,0.10486503025770041,0.09903923961635912,0.09089011791714495,0.09842554705568404,0.08944410045798097,0.10097789115646259,0.10142125613961751,0.08015422077922078,0.07382914288508695,0.18967727551418537,0.07513632412212534,0.08976116925146052,0.06252094850592073,0.16396103896103895,0.08886048466171732,0.0738419061253707,0.16426058666384533,0.10537817333975104,0.1521898790864308,0.029689920171571547,0.10976201633418128,0.24131868131868134,0.09483937115516063
-10,0.10804006210178611,0.10460731321658473,0.09909408773045136,0.09955201166580217,0.10803206264926864,0.09371751070910325,0.10965283807762005,0.056328592042877754,0.06912689374001091,0.11545667988399265,0.09671323318342742,0.1348374320714746,0.19675601387249114,0.15120967741935484,0.11986346986346985,0.10408239301681924,0.07896747215632666,0.10184076792772447,0.059818968909878,0.09840293498550379,0.07365210547028729,0.11288899779465816,0.07998819362455727,0.07582608412223582,0.18990616208717098,0.07802373751493126,0.08030788828793815,0.06732747011511216,0.17267132345461328,0.07831343913818141,0.07640222735202383,0.16829699863118885,0.11543435600039374,0.1845319712966772,0.08945630640545894,0.0907447445692665,0.15289853686982874,0.08796536796536797
-9,0.10103407113373891,0.10263795381057447,0.10259059122695487,0.10340066975811013,0.09894384704671381,0.14953931963745318,0.11075581526572141,0.05690287972896668,0.06870454320142037,0.11221762392537041,0.10375752296484005,0.13574995279357152,0.17749623682890114,0.15898783755926613,0.10123055956389289,0.09932900432900434,0.08940095398428731,0.0834884379380448,0.09064296359378327,0.08363215633742538,0.09122127872127872,0.09810598296968455,0.07529495820635061,0.0683237280536835,0.18138092557597202,0.07484278879015721,0.10384049822679699,0.07038628685859007,0.199009324009324,0.07748139023690945,0.0904120309657769,0.14672907323741727,0.11167620917664463,0.15763063317411144,0.054999645163579594,0.10958664990923056,0.13845886793928963,0.11515500628403855
-8,0.10743721259285462,0.10516888532974324,0.09295257458196755,0.17079640947288005,0.0980249152408736,0.14964524293597778,0.11003585871310738,0.0598094399547184,0.05702229057492216,0.11269297445937262,0.09811593515973077,0.1328720004444929,0.19160382628124564,0.1740491651205937,0.0705762987012987,0.08218647024617173,0.08421965965069413,0.09588818044700397,0.06811273832550428,0.08518670535680196,0.11719877344877344,0.10363475533754173,0.07819688148841754,0.07183018804112554,0.16911213786213786,0.07640925382860866,0.09592889380123423,0.06766136319342322,0.16095301757066463,0.08382092151511612,0.07499703040861577,0.17249797867502148,0.10482442086215672,0.15084850984754739,0.053079430582768365,0.10042082751246098,0.1465740465520395,0.09448051948051947
-7,0.10176318966170785,0.10377966727996366,0.10541406645302748,0.10396440866286588,0.0973807337443701,0.14663428593356834,0.1109200749499257,0.05541070183013917,0.0566078066078066,0.11480491214365372,0.10509458719482585,0.12690467635131666,0.16337558717877868,0.18720095693779903,0.10687067423594368,0.1001990710019907,0.08802269159412017,0.09695932809705265,0.09668109668109667,0.09062682652144781,0.0928030303030303,0.11182155109041901,0.04971635118693942,0.07369392183887438,0.18309737007566723,0.07867399604330463,0.11084463481723755,0.0649896415762625,0.15965700965700966,0.09023469956861718,0.08183121226599488,0.15727368528198404,0.10638477233020976,0.14237218759315368,0.04654487303741035,0.09839390301575177,0.14513846086714627,0.1273041474654378
-6,0.10355164934526724,0.10075598633676071,0.09011744428411095,0.1105672275397046,0.09899025743596361,0.14424469111969113,0.11224591011825054,0.04857767483017984,0.06309918152023415,0.11887741338779914,0.09860353401245596,0.13665949095803356,0.18600536310884475,0.14400449174885266,0.09296472758011219,0.10788334472544998,0.08179333254861956,0.10768273007856341,0.08382526564344746,0.08503809348061055,0.10412131221379775,0.13148522999214915,0.05384348145953181,0.06828652377432864,0.18488214198669964,0.08526979853859125,0.10130650310872122,0.07312118655622593,0.17000412881915772,0.08595254049799506,0.082677816935688,0.14367509476451829,0.11099632136938012,0.14543320069556498,0.04668607254814152,0.09916455495723789,0.15476140967906749,0.09712822388878727
-5,0.1196791605019453,0.10367970750960058,0.10980755938739133,0.1106631676071162,0.09957254975240587,0.1526540107811199,0.10724828593194516,0.07040741516547969,0.060532619755321794,0.1132669998540785,0.09163375809143835,0.13594420793590917,0.17404191790352505,0.19355384199134198,0.13788497217068646,0.08621446121446122,0.08182293316439657,0.09793542015023003,0.053625541125541125,0.08573283523563761,0.12513718675690508,0.11696490532368395,0.04642744992485925,0.07411592414454464,0.17535114342179559,0.07653324487689814,0.10093092747960004,0.06535125873786193,0.14706373318198512,0.08159209629797864,0.08777073482955836,0.17357198099657495,0.10951979606071678,0.13477213163405632,0.05075345154188781,0.12001969398575973,0.1574794253365682,0.13361291486291488
-4,0.2933898212840067,0.1036468484462541,0.10986035907666002,0.10913668690147141,0.08989479512735327,0.14002184731156692,0.10814689607883783,0.06570491364305797,0.05554156464060998,0.12547021296298613,0.09191572619520218,0.12783105166866443,0.16395570642403115,0.20944741532976827,0.09943408546760503,0.11754495504495505,0.08749296814038314,0.09743254695424151,0.08271490414347557,0.09815240141066243,0.099626400996264,0.10851984894538087,0.044353115239191186,0.07006790252757994,0.17656153370439084,0.07566571359674809,0.10341605026644396,0.09238812499682064,0.1701578877974817,0.0802119434817382,0.07308182614931082,0.14633572035441195,0.10129316967935047,0.16188935864984721,0.06204951811778613,0.11637980824766085,0.13878960844980262,0.08987289306438243
-3,0.12950951911865224,0.09945142216468013,0.12431144706686502,0.11505373344434812,0.09475718641114983,0.14474258263980436,0.11424292622525642,0.04876521116678597,0.05167780196681931,0.11203862362802759,0.09479845139588572,0.12948831559524845,0.17508401496417475,0.18998743192291578,0.1693344155844156,0.12151821242730335,0.0808119531820691,0.095745684270539,0.08949383949383949,0.09046465236101195,0.09983182285340558,0.10829546640357451,0.04975996342299779,0.06835483110993315,0.16853805916305917,0.08567172108325385,0.08987001212749172,0.06331948550968725,0.18872714962762355,0.09303432087800545,0.06904761904761905,0.15583729892072026,0.1043860833558376,0.1447901920354527,0.060502540937323546,0.10675177095631641,0.13561785196066944,0.1307900432900433
