cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WY
-19,0.07780239833159541,0.09868998829039813,0.08061821219715957,0.09218384074941452,0.07235561323815703,0.12066100950183996,0.08731137059413184,0.02076041998090996,0.0674733709273183,0.09454756380510441,0.05289981036662452,0.12475649350649351,0.17519851029442768,0.17247386759581881,,0.10374149659863945,0.07055035128805622,0.10963455149501662,0.06822344322344322,0.055733904048510786,0.10518292682926829,0.11362480935434671,0.09825493171471927,0.025958777273825177,0.1894761904761905,0.06144845518507189,0.07538583300356153,0.0475048438164548,0.19816530103313143,0.08905013192612138,0.04741110417966313,0.141984126984127,0.06283123307030973,0.12277186458066171,0.022072072072072072,0.08233082706766917,0.07732316227461859
-18,0.07030163058600924,0.07957990051297995,0.04415362035225049,0.07112274024738345,0.055573969727101984,0.11189307063559839,0.08044895336026442,0.009046570169918187,0.07090395480225989,0.0928457142857143,0.05682456468826062,0.15807417262597703,0.13640504023075756,0.12941176470588237,,0.09268707482993196,0.05525030525030525,0.1017485119047619,0.029317697228144993,0.048901743796109995,0.06629158512720157,0.08021428571428571,0.06254724111866969,0.03938534176557221,0.1524323134492626,0.04736842105263158,0.08329989299090422,0.03296932808211004,0.2034072249589491,0.05684296619411123,0.060696095076400676,0.14340065923276527,0.05621749123019233,0.12794224153539743,0.024229074889867842,0.0782703886152162,0.05970149253731343
-17,0.07206497363476574,0.08560059041768062,0.0467894474863116,0.06414356787491117,0.07993598382749326,0.11655388759320698,0.08499923112409656,0.029966076140218623,0.06570755510684839,0.08264364786505009,0.06124031007751938,0.09907210516141503,0.15527567377135812,0.13971742543171115,,0.09902597402597402,0.07445887445887446,0.08523684703239094,0.06756756756756757,0.05435387397412714,0.07076308784383319,0.06872072599531616,0.08822763380648523,0.03598645215918713,0.18421368547418968,0.04716435185185185,0.07446808510638298,0.03896236308552785,0.2526083467094703,0.0725531624863686,0.05923058878723903,0.15304225779531144,0.06246473454731983,0.12343132198727866,0.010282776349614395,0.09370153368947097,0.06845238095238096
-16,0.07644015735302043,0.07566736327431885,0.0962161068393363,0.05965631115459883,0.06660615000567344,0.12780694980694982,0.07357821692562981,0.015531994047619048,0.07837640175524134,0.08862338597664489,0.058460573101861535,0.12690262240968275,0.16688116688116686,0.22227443609022557,,0.1263477088948787,0.06537861046057766,0.10009543385699603,0.0627076411960133,0.057944943226828624,0.03205679862306368,0.033932135728542916,0.08917748917748917,0.039245050977902964,0.18566618566618567,0.056451612903225805,0.07556216931216932,0.03868150790234303,0.19110624751293276,0.07936126373626375,0.03669197147458017,0.1552741879147747,0.06330559738635493,0.1455141708157794,0.005981703026038002,0.07865748709122204,0.12942008486562942
-15,0.07532807643605388,0.08570365646258504,0.1342028278888347,0.06265190386173373,0.07895221717233755,0.13009076099604375,0.08013558057093104,0.019967064635652534,0.06953335579514824,0.0944959688043421,0.05232943254581586,0.14131154780304703,0.19181757209926223,0.10606060606060606,,0.14895470383275264,0.058697611536728256,0.09815299117358614,0.09357142857142858,0.06372886889646666,0.11504907306434024,0.07066869300911854,0.05748663101604278,0.03819014607576133,0.17171201814058956,0.07011523470598204,0.06826401446654612,0.04812975486052409,0.21084581141238365,0.06828458386321888,0.05521655898540321,0.13615713522180653,0.07154152823920265,0.1216601353758461,0.002369252369252369,0.11438529784537389,0.10394456289978678
-14,0.1302172263327642,0.13961646398503275,0.12983021077283372,0.09261803011803012,0.10250323694432456,0.17527063941724,0.1262290783551108,0.020552560646900267,0.07691897654584222,0.2510757809677101,0.10535714285714286,0.3345855064006711,0.23084384093113483,0.21900269541778977,,0.20047619047619047,0.20404931568827056,0.22994954439340312,0.06060606060606061,0.10218641796046019,0.10992578849721706,0.1423611111111111,0.12578720583360956,0.07897334649555775,0.25375405844155846,0.08914510686164229,0.09819831331459239,0.06926770708283314,0.3156759348034516,0.13723448563098709,0.08709436777321894,0.23907050972047586,0.15373922484700928,0.26015818858560796,0.005747126436781609,0.11054752640355753,0.024864376130198918
-13,0.08859840232389252,0.0693626138189609,0.08719715956558062,0.06024208566108007,0.07448979591836735,0.17127100840336132,0.10241817091578273,0.025109170305676855,0.0694980694980695,0.11265719217233416,0.06687552213868003,0.11488040693434069,0.29240771005575855,0.19095238095238096,,0.13148542999289267,0.05442673564753004,0.0758857370699476,0.0670995670995671,0.11468628902338138,0.10058309037900874,0.3250157331655129,0.07623224728487886,0.04240186159449615,0.1926207983193277,0.061330532212885154,0.08190926973198918,0.03651526573690162,0.17229312474269246,0.0663184641445511,0.037585997571833264,0.17221153332264444,0.08970886932972241,0.11372057030297346,0.0069605568445475635,0.07945473076269746,0.0391566265060241
-12,0.06647968087758664,0.0749778721897681,0.07722292456805731,0.05129643480428821,0.06875674085694676,0.12944879547932983,0.08362638908425939,0.0233718487394958,0.14212395724713242,0.09506709397768145,0.152927679102575,0.11253542032114425,0.19798615481434864,0.19585253456221197,0.22285301403798516,0.11421832884097036,0.057665923512262046,0.07312119160460392,0.022683397683397683,0.05744440256313607,0.07344064386317907,0.09032777567260326,0.05883534136546185,0.04694881505485495,0.15476190476190477,0.04455883393476261,0.05707671957671958,0.037919792021820664,0.18516483516483517,0.061111760579845686,0.05451696563648152,0.14060899260102447,0.08534785923320955,0.10497977993040535,0.006500802568218299,0.07601802403204272,0.012362637362637362
-11,0.06993320705811983,0.0769266917293233,0.038511187607573154,0.08047309833024119,0.07411790017211704,0.12460935430902059,0.07151461698969605,0.05168986083499006,0.05476861167002012,0.0949882471457354,0.06979610874200426,0.11674764921115788,0.21111284776492656,0.1124859392575928,0.12694300518134716,0.07273747195213164,0.058695652173913045,0.07202555071339024,0.09001956947162426,0.05919736211707014,0.058886054421768703,0.08070331278085484,0.07307841614906832,0.04543187137868846,0.1844982628244431,0.04132860040567951,0.05824497767857143,0.0355042703131563,0.14243796109993292,0.06598062953995157,0.042463442069741286,0.14642129764329356,0.08281948901973668,0.11684729064039408,0.0022935779816513763,0.08486745213549338,0.07528011204481792
-10,0.07786449095423909,0.08630167934332406,0.0636863136863137,0.05995448935513731,0.08056150637050401,0.0760345211009802,0.07561710710274805,0.016085600907029478,0.0667831846196302,0.09303141792128576,0.06257406188281764,0.11481454962050694,0.18797348484848486,0.13306451612903225,0.11098901098901098,0.08665105386416862,0.05547695116385212,0.08289311003709116,0.024350649350649352,0.0662882341902796,0.048051948051948054,0.09506738544474393,0.06766917293233082,0.050648265987909634,0.16452946163628657,0.04427592954990215,0.04622897063016823,0.040723924512987016,0.1616933979858262,0.057777274272119636,0.044000775344058926,0.15606255355612683,0.09408576246687546,0.14541585865115275,0.054156577885391445,0.06471958862285071,0.1148399014778325
