cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.02710843373493976,0.022659362549800798,0.06340057636887608,0.019683149303888623,0.013504823151125401,0.026499302649930265,0.012348307430274643,0.025806451612903226,0.023316062176165803,0.02418682235195997,0.02207001522070015,0.021111111111111112,0.021863117870722433,0.008,0.018518518518518517,0.02857142857142857,0.0220949263502455,0.0,0.02320599785790789,0.038461538461538464,0.02276707530647986,0.0014903129657228018,0.023599925079602922,0.0258732212160414,0.03205128205128205,0.019390581717451522,0.008248730964467006,0.014742014742014743,0.024305555555555556,0.13629842180774748,0.013181019332161687,0.03179876601803512,0.026512013256006627,0.0,0.02981651376146789,
-18,0.02743041549011698,0.023243387656959658,0.05102040816326531,0.025847214244686962,0.012947448591012947,0.02531366938146599,0.013161162155450708,0.006423982869379015,0.01793103448275862,0.02171945701357466,0.015638575152041704,0.021664766248574687,0.019771071800208116,0.0,0.023529411764705882,0.050100200400801605,0.028094820017559263,0.0,0.02586206896551724,0.0,0.01984126984126984,0.006097560975609756,0.02425876010781671,0.013392857142857142,0.03103448275862069,0.02573048408198866,0.009689140088817117,0.014245014245014245,0.02819548872180451,0.11608623548922056,0.018731988472622477,0.02766489527977493,0.021492537313432834,0.0,0.03530895334174023,
-17,0.032369443245576175,0.022572749524068535,0.03355704697986577,0.023006955591225255,0.013117283950617283,0.02902926149558755,0.012218963831867057,0.007481296758104738,0.017045454545454544,0.026685899747565814,0.023402340234023402,0.022427440633245383,0.02399520095980804,0.03225806451612903,0.011111111111111112,0.042735042735042736,0.029676258992805755,0.0,0.02140798682585426,0.0,0.016194331983805668,0.0053285968028419185,0.02615470228158041,0.034482758620689655,0.03299203640500569,0.020512820512820513,0.011067193675889328,0.02185792349726776,0.02040816326530612,0.1296,0.012403100775193798,0.02836642749874854,0.01894150417827298,0.0,0.03395784543325527,
-16,0.033982436044291714,0.024661893396976928,0.07671232876712329,0.02391629297458894,0.009931245225362872,0.024474023185916703,0.012955854126679463,0.03258145363408521,0.029005524861878452,0.027045769764216365,0.023318385650224215,0.018270401948842874,0.018529241459177764,0.011904761904761904,0.017857142857142856,0.038314176245210725,0.024390243902439025,0.0,0.022780832678711706,0.0,0.03696498054474708,0.004991680532445923,0.024819855884707767,0.017432646592709985,0.03303964757709251,0.018038852913968548,0.008946726311508743,0.0160857908847185,0.02436738519212746,0.1325115562403698,0.01276595744680851,0.030976321764515084,0.029120559114735003,0.0024390243902439024,0.016184971098265895,
-15,0.03141559424678274,0.021612635078969242,0.04777070063694268,0.022407503908285567,0.005520504731861199,0.02343407796758651,0.010096153846153847,0.007894736842105263,0.033012379642365884,0.023989033584647018,0.024242424242424242,0.015341701534170154,0.013721185510428101,0.013888888888888888,0.056338028169014086,0.032454361054766734,0.03193916349809886,0.0,0.01818181818181818,0.0,0.024439918533604887,0.0070140280561122245,0.023249669749009248,0.020588235294117647,0.027056277056277056,0.022889842632331903,0.01,0.0158311345646438,0.026703499079189688,0.12613981762917933,0.013665202537823329,0.025185185185185185,0.0297029702970297,0.0023094688221709007,0.036686390532544376,
-14,0.025817555938037865,0.01898488957768307,0.08243727598566308,0.028056112224448898,0.011450381679389313,0.020572163291546125,0.010388839418224993,0.027888446215139442,0.02090032154340836,0.021636675235646958,0.016146393972012917,0.02118003025718608,0.01201716738197425,0.0,0.012345679012345678,0.025245441795231416,0.028505747126436783,0.0,0.022325311684546247,0.05,0.025396825396825397,0.0070921985815602835,0.019510170195101702,0.017326732673267328,0.02702702702702703,0.02679169457468185,0.007452574525745257,0.009174311926605505,0.02625,0.15536105032822758,0.02002288329519451,0.019363762102351315,0.014230655203083309,0.007434944237918215,0.035058430717863104,
-13,0.032743695897628905,0.024114544084400905,0.05263157894736842,0.025817555938037865,0.014285714285714285,0.02319674906874365,0.012766645119586296,0.017467248908296942,0.043941411451398134,0.022752235995606464,0.02262443438914027,0.025119154965863713,0.01379542395693136,0.006666666666666667,0.024875621890547265,0.02569986232216613,0.023166023166023165,0.0,0.013636363636363636,0.038461538461538464,0.0052863436123348016,0.004177109440267335,0.026674233825198637,0.01715686274509804,0.030318471337579617,0.024734982332155476,0.007413868294810292,0.025936599423631124,0.022134387351778657,0.10906515580736544,0.015298507462686567,0.02671255326122583,0.028233749179251477,0.002320185614849188,0.0178359096313912,0.005173564753004005
-12,0.03546869344914948,0.02119047619047619,0.06489675516224189,0.03294573643410853,0.01098146877144818,0.021211022480058014,0.01086272040302267,0.00980392156862745,0.012980529206190713,0.01872175597159458,0.019507663725034836,0.028544751233826864,0.014977973568281937,0.008064516129032258,0.009433962264150943,0.037199124726477024,0.024914675767918087,0.0,0.01341606573872212,0.0,0.0033156498673740055,0.006430868167202572,0.024650780608052588,0.027434842249657063,0.034237726098191215,0.02425531914893617,0.009139150943396226,0.017582417582417582,0.02127659574468085,0.13767019667170954,0.020618556701030927,0.023295070898041864,0.02074415541652947,0.011235955056179775,0.037383177570093455,0.007339449541284404
-11,0.028225806451612902,0.01859005311443747,0.018072289156626505,0.042281879194630875,0.01581325301204819,0.023690292758089367,0.012354152367879203,0.011928429423459244,0.025721455457967377,0.023169912693082606,0.020234986945169713,0.025860895603647748,0.02013129102844639,0.007874015748031496,0.015706806282722512,0.028600612870275793,0.022496371552975326,0.0,0.01731521132005213,0.0,0.011704462326261888,0.005434782608695652,0.03151939655172414,0.030042918454935622,0.03234686854783207,0.01788756388415673,0.010587102983638113,0.007042253521126761,0.030046224961479198,0.12755905511811025,0.01338199513381995,0.024119055764625384,0.028285615729561918,0.0045871559633027525,0.03608247422680412,0.009931719428926133
-10,0.024814814814814814,0.018329938900203666,0.05944055944055944,0.029476787030213707,0.01973164956590371,0.016293029523459512,0.015079941860465117,0.021825396825396824,0.025055268975681652,0.021009827177228057,0.016075016744809108,0.0288339222614841,0.014678030303030304,0.016129032258064516,0.01639344262295082,0.035105833763551884,0.022956521739130435,0.0,0.016002844950213372,0.029411764705882353,0.009811320754716982,0.007655502392344498,0.031573065101983794,0.019287833827893175,0.02788713910761155,0.017815283638068447,0.00718931872646354,0.007832898172323759,0.020618556701030927,0.1248303934871099,0.01867572156196944,0.027880147412273674,0.023629964806435394,0.011299435028248588,0.03374578177727784,0.010673536989326464
-9,0.019946298427311087,0.02099809108262885,0.027972027972027972,0.030612244897959183,0.01433389544688027,0.024897879789924138,0.012165450121654502,0.02391304347826087,0.02914642609299098,0.02341549295774648,0.02981029810298103,0.026551268886607013,0.018564977420973405,0.007936507936507936,0.02,0.0360082304526749,0.02573266619013581,0.0,0.018030513176144243,0.0,0.007890961262553802,0.007789678675754625,0.029567642956764294,0.029411764705882353,0.03637635536901014,0.025380710659898477,0.008422416585681892,0.007692307692307693,0.027800490596892886,0.13517915309446255,0.011691022964509395,0.023072889355007866,0.0282021151586369,0.01639344262295082,0.03345280764635603,0.009789156626506024
-8,0.021121039805036556,0.019362526064938934,0.04153354632587859,0.031067086897793788,0.013009540329575022,0.022532188841201718,0.015089163237311385,0.01937046004842615,0.029970760233918127,0.022823168392788647,0.02335766423357664,0.02677864046902234,0.008064516129032258,0.017857142857142856,0.029850746268656716,0.03017241379310345,0.027526395173453996,0.0,0.021522207004500096,0.03225806451612903,0.010835913312693499,0.0073145245559038665,0.03395364022200457,0.020833333333333332,0.03301707779886148,0.027717391304347826,0.007844474761255117,0.011764705882352941,0.01553556827473426,0.15548780487804878,0.02068014705882353,0.028535307928481128,0.02823227462303497,0.009345794392523364,0.027888446215139442,0.012764084507042254
-7,0.017992424242424244,0.015115589804386485,0.03571428571428571,0.04449648711943794,0.012626262626262626,0.02314225053078556,0.013134328358208954,0.020460358056265986,0.02286902286902287,0.024930747922437674,0.02545743834526651,0.0262533607464811,0.011702127659574468,0.017543859649122806,0.014598540145985401,0.036813186813186814,0.02594810379241517,0.0,0.021425932766900628,0.045454545454545456,0.0047169811320754715,0.014161220043572984,0.03080909876187734,0.035058430717863104,0.02977941176470588,0.023721665788086453,0.010634648370497428,0.01282051282051282,0.026292725679228746,0.12040133779264214,0.02074688796680498,0.024326833797585885,0.023295649194929772,0.01791044776119403,0.03081232492997199,0.011759764804703907
-6,0.02370500438981563,0.020026702269692925,0.06790123456790123,0.0384,0.0099361249112846,0.021570482497634817,0.01309328968903437,0.03006012024048096,0.02631578947368421,0.024925816023738872,0.024163568773234202,0.02958928308552922,0.01644100580270793,0.0,0.011695906432748537,0.058438287153652395,0.026234567901234566,0.0,0.022061140876142454,0.02702702702702703,0.005098324836125273,0.007867820613690008,0.03009761388286334,0.020107238605898123,0.034392523364485984,0.02054154995331466,0.009186351706036745,0.028901734104046242,0.031122031122031123,0.1199400299850075,0.015887426236949616,0.021351714862138535,0.03347406513872135,0.011936339522546418,0.026829268292682926,0.007319304666056725
-5,0.01729490022172949,0.011688634667993036,0.04201680672268908,0.036211699164345405,0.01223021582733813,0.023769100169779286,0.015013966480446927,0.024193548387096774,0.032078963602714373,0.028491171749598716,0.021316614420062698,0.026141078838174275,0.017410714285714286,0.010416666666666666,0.013513513513513514,0.041463414634146344,0.024683122081387593,0.0,0.0234009360374415,0.06896551724137931,0.010687022900763359,0.004317789291882556,0.03180515759312321,0.03125,0.031496062992125984,0.02445777572681126,0.012580754845290717,0.010282776349614395,0.021462639109697933,0.10492845786963434,0.011987625676720804,0.028992471568156337,0.030930760499432462,0.01445466491458607,0.026511134676564158,0.008791208791208791
