cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.08509036144578314,0.05901394422310757,0.08069164265129683,0.06192990878540566,0.13183279742765272,0.05220163379159195,0.0600383223334043,0.07096774193548387,0.031088082901554404,0.03141506811231582,0.1232876712328767,0.07111111111111111,0.030893536121673004,0.032,0.046296296296296294,0.05142857142857143,0.038461538461538464,0.05405405405405406,0.08425562299178865,0.038461538461538464,0.043782837127845885,0.041728763040238454,0.06312043453830306,0.02457956015523933,0.053418803418803416,0.025722200237435693,0.09105329949238579,0.051597051597051594,0.07465277777777778,0.09182209469153516,0.058875219683655534,0.029900332225913623,0.056752278376139186,0.08496732026143791,0.07454128440366972,
-18,0.08430818878580072,0.06625701309110339,0.07482993197278912,0.05686387133831131,0.11576542269611577,0.044904248294078804,0.05463123913583313,0.07494646680942184,0.027586206896551724,0.03740573152337858,0.11120764552562988,0.08665906499429875,0.033818938605619145,0.045454545454545456,0.023529411764705882,0.06813627254509018,0.04214223002633889,0.10344827586206896,0.0805934242181235,0.19047619047619047,0.031746031746031744,0.06010452961672474,0.06289308176100629,0.026785714285714284,0.06321839080459771,0.023549934583515047,0.10012111425111021,0.03418803418803419,0.07518796992481203,0.11940298507462686,0.053314121037463975,0.02922788371366052,0.04358208955223881,0.07054673721340388,0.06683480453972257,
-17,0.0807078118256366,0.05847158009246668,0.07718120805369127,0.0599250936329588,0.10030864197530864,0.045750116117045984,0.04863147605083089,0.06733167082294264,0.024147727272727272,0.04904435629282366,0.1341134113411341,0.06992084432717678,0.04799040191961608,0.08602150537634409,0.05555555555555555,0.0811965811965812,0.05485611510791367,0.0,0.08666117743927543,0.027777777777777776,0.022267206477732792,0.06127886323268206,0.057317751808569836,0.029556650246305417,0.05460750853242321,0.03496503496503497,0.108300395256917,0.03825136612021858,0.039888682745825604,0.1184,0.056847545219638244,0.02786584348406474,0.04958217270194986,0.1585677749360614,0.09250585480093677,
-16,0.08285605192821688,0.06921241050119331,0.07671232876712329,0.053811659192825115,0.119938884644767,0.04680120223271791,0.060220729366602686,0.09022556390977443,0.023480662983425413,0.0412621359223301,0.13273542600896862,0.058465286236297195,0.04169079328314997,0.05952380952380952,0.044642857142857144,0.05555555555555555,0.03547671840354767,0.02631578947368421,0.07443047918303221,0.0,0.021400778210116732,0.06156405990016639,0.05337603416066186,0.03645007923930269,0.05947136563876652,0.0272895467160037,0.10532736884912566,0.05630026809651475,0.06654170571696345,0.1016949152542373,0.075177304964539,0.028219266947778137,0.039603960396039604,0.1073170731707317,0.08901734104046242,
-15,0.08591975775927328,0.060681629260182876,0.06687898089171974,0.05784262636789995,0.1253943217665615,0.04621112571178274,0.06033653846153846,0.10789473684210527,0.017881705639614855,0.041809458533241944,0.10822510822510822,0.07670850767085077,0.038419319429198684,0.09722222222222222,0.014084507042253521,0.04259634888438134,0.04638783269961977,0.041666666666666664,0.07992007992007992,0.13043478260869565,0.028513238289205704,0.07114228456913828,0.05785997357992074,0.026470588235294117,0.05194805194805195,0.03481163567000477,0.10545454545454545,0.0633245382585752,0.06077348066298342,0.09422492401215805,0.06246949731576379,0.03209876543209877,0.0594059405940594,0.07621247113163972,0.07455621301775148,
-14,0.09007458405048767,0.063541263076327,0.07885304659498207,0.04208416833667335,0.12086513994910941,0.04789456766313083,0.06381715642623924,0.099601593625498,0.028938906752411574,0.03963153384747215,0.12055974165769645,0.05269793242561775,0.034334763948497854,0.034482758620689655,0.012345679012345678,0.029453015427769985,0.02666666666666667,0.18181818181818182,0.06784575239199768,0.05,0.031746031746031744,0.09042553191489362,0.06973848069738481,0.01485148514851485,0.060810810810810814,0.03951774949765573,0.13211382113821138,0.07339449541284404,0.04375,0.08315098468271334,0.06178489702517163,0.022722782058881643,0.03883782982508153,0.13011152416356878,0.08681135225375626,
-13,0.08280015054572827,0.06455664405928159,0.049707602339181284,0.04561101549053356,0.11642857142857142,0.0457162207924145,0.05656108597285068,0.08951965065502183,0.017310252996005325,0.04424917621214498,0.11613876319758673,0.09171711967023058,0.025235531628532974,0.04666666666666667,0.05472636815920398,0.03625516291877008,0.03194103194103194,0.034482758620689655,0.055425219941348976,0.0,0.007488986784140969,0.05764411027568922,0.06611804767309876,0.01715686274509804,0.055031847133757965,0.03180212014134275,0.12254688181421718,0.05475504322766571,0.04901185770750988,0.09206798866855524,0.05970149253731343,0.031137332022287776,0.061720288903479976,0.12529002320185614,0.09155766944114149,0.02069425901201602
-12,0.07347086500180963,0.06190476190476191,0.07964601769911504,0.054748062015503876,0.1091283459162663,0.04133430021754895,0.05667506297229219,0.10784313725490197,0.018472291562656017,0.045997417688831505,0.07570831398049234,0.08936908096571962,0.030837004405286344,0.056451612903225805,0.04245283018867924,0.04649890590809628,0.03583617747440273,0.14705882352941177,0.05752138185477109,0.07407407407407407,0.013925729442970823,0.0635048231511254,0.0714872637633525,0.024691358024691357,0.05781653746770026,0.026808510638297874,0.11409198113207547,0.07252747252747253,0.05646481178396072,0.09833585476550681,0.06780333068992862,0.0275151924375422,0.058939743167599604,0.12808988764044943,0.09345794392523364,0.035596330275229356
-11,0.07734604105571848,0.057460164171897636,0.0783132530120482,0.053020134228187916,0.12424698795180723,0.04564714946070878,0.04890185312285518,0.09741550695825049,0.03638644918444166,0.04365345869711216,0.09203655352480418,0.09228256431196406,0.03194748358862144,0.05511811023622047,0.07853403141361257,0.045454545454545456,0.03555878084179971,0.08108108108108109,0.05604170545522249,0.05128205128205128,0.008778346744696415,0.058876811594202896,0.06169181034482758,0.024320457796852647,0.06572608396421198,0.028960817717206135,0.09688803336541546,0.08685446009389672,0.05161787365177196,0.11496062992125984,0.06285482562854826,0.02651385562777968,0.057261124525698516,0.10550458715596331,0.09922680412371133,0.03227808814400993
-10,0.07814814814814815,0.04837067209775967,0.055944055944055944,0.05379513633014001,0.11286503551696922,0.029523459512434153,0.05396075581395349,0.10317460317460317,0.040530582166543844,0.037444933920704845,0.09176155391828533,0.08904593639575972,0.036458333333333336,0.04032258064516129,0.03278688524590164,0.04284976768198245,0.03860869565217391,0.0,0.05352062588904694,0.08823529411764706,0.009811320754716982,0.0708133971291866,0.06314613020396759,0.02225519287833828,0.05446194225721785,0.030004688232536336,0.11434440260184868,0.057441253263707574,0.04916732751784298,0.12347354138398914,0.056876061120543296,0.025476686428456977,0.048265460030165915,0.10508474576271186,0.08098987626546682,0.03312476996687523
-9,0.07403145377828922,0.06108535587673848,0.05244755244755245,0.06778425655976676,0.1475548060708263,0.04084808403034429,0.05005213764337852,0.08260869565217391,0.02914642609299098,0.04084507042253521,0.08401084010840108,0.08258764852574446,0.04114400401404917,0.047619047619047616,0.06666666666666667,0.038580246913580245,0.031451036454610434,0.0,0.05409153952843273,0.09090909090909091,0.010043041606886656,0.0759493670886076,0.06666666666666667,0.02476780185758514,0.05666316894018888,0.030964467005076143,0.10268869452542922,0.05384615384615385,0.04660670482420278,0.0993485342019544,0.05970772442588727,0.028141933228456564,0.05493537015276146,0.10382513661202186,0.0979689366786141,0.028237951807228916
-8,0.06823720552396426,0.06702412868632708,0.10543130990415335,0.04412426834759117,0.14050303555941024,0.043991416309012876,0.05584950029394474,0.09927360774818401,0.04312865497076023,0.0379746835443038,0.08467153284671533,0.09459673585802567,0.04408602150537634,0.044642857142857144,0.05223880597014925,0.03502155172413793,0.03733031674208145,0.041666666666666664,0.05771864605752299,0.06451612903225806,0.014705882352941176,0.07001044932079414,0.06464250734573947,0.03365384615384615,0.056925996204933584,0.025543478260869567,0.10470668485675307,0.061764705882352944,0.053147996729354045,0.08231707317073171,0.05606617647058824,0.026909878995846126,0.068334937439846,0.11615487316421896,0.09296148738379814,0.029049295774647887
-7,0.057291666666666664,0.05927682276229994,0.07467532467532467,0.052107728337236536,0.12121212121212122,0.04734607218683652,0.046567164179104475,0.10230179028132992,0.04712404712404712,0.04174910961614563,0.06841686555290374,0.09441720702198324,0.043617021276595745,0.008771929824561403,0.058394160583941604,0.03296703296703297,0.037125748502994015,0.13333333333333333,0.05984484669375693,0.0,0.014150943396226415,0.09041394335511982,0.05643535847970055,0.04006677796327212,0.05220588235294118,0.02635740643120717,0.09262435677530018,0.04871794871794872,0.03856266432953549,0.10367892976588629,0.05716920239741816,0.02934076137418756,0.05995203836930456,0.1208955223880597,0.0784313725490196,0.031919361612767747
-6,0.05004389815627744,0.07316421895861148,0.09567901234567901,0.0576,0.12349183818310859,0.04389782403027436,0.05219130751045645,0.08016032064128256,0.043859649122807015,0.042136498516320474,0.06505576208178439,0.09686441925511556,0.029497098646034815,0.06015037593984962,0.07017543859649122,0.03727959697732997,0.03356481481481482,0.05128205128205128,0.06350456980775292,0.05405405405405406,0.013109978150036417,0.10857592446892211,0.058297180043383946,0.0388739946380697,0.05719626168224299,0.034080298786181136,0.10662729658792651,0.06647398843930635,0.04832104832104832,0.12893553223388307,0.04766227871084884,0.024041694687289845,0.06423401688781664,0.1273209549071618,0.08292682926829269,0.02607502287282708
