cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.015873015873015872,0.0,0.0,0.01639344262295082,0.006756756756756757,0.002506265664160401,0.011235955056179775,0.0,0.0,0.0,0.034482758620689655,0.0,0.028985507246376812,,0.0,0.0,0.046511627906976744,0.0,0.00847457627118644,0.0,0.0,0.0,0.0136986301369863,0.11869747899159663,0.0,0.0,0.0,0.0,0.013157894736842105,0.000585480093676815,0.0,0.0,0.005,0.0,0.0,
-18,0.028985507246376812,0.0,0.0,0.0,0.025210084033613443,0.0,0.0,0.0,0.0,0.0,0.0,0.03273809523809524,0.02447089947089947,0.0,0.0,0.0,0.06133540372670807,0.0,0.025613275613275612,0.0,0.0,0.0,0.021739130434782608,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,
-17,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,,0.0,0.0,,0.023255813953488372,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.004797441364605544,0.0,0.14285714285714285,0.0,0.034863945578231297,0.0,0.0,0.0,0.0,0.0,
-16,0.017241379310344827,0.0,0.0,0.0,0.02177700348432056,0.0045045045045045045,0.0051813471502590676,0.0,0.0,0.023255813953488372,0.04,0.0,0.04878048780487805,0.0,,0.0,0.07894736842105263,,0.03305785123966942,0.0,0.0,0.0,0.013888888888888888,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,,0.017241379310344827,,0.0,0.0,0.0,0.07285714285714286,0.0,0.0,0.0,0.11507936507936509,0.0,0.0625,0.0,0.0049504950495049506,0.0,0.0,0.0,
-14,0.16666666666666666,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.08333333333333333,0.0,0.0,0.0,0.0009157509157509158,,0.021739130434782608,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.024181547619047616,0.0,0.0,
-13,0.015873015873015872,0.0,0.0,0.0,0.021825396825396824,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.041666666666666664,,0.0,,0.0,0.0,0.0,0.08333333333333333,0.010101010101010102,0.0,0.0,0.0,0.0,0.0125,0.017857142857142856,0.0,0.0,0.0,0.0,0.017857142857142856
-12,0.0,0.0,0.0,0.021904761904761903,0.0,0.01079136690647482,0.0024937655860349127,0.0,0.0,0.0,0.0,0.013033175355450236,0.0,0.0,0.0,0.0,0.0,0.0,0.0028647822765469825,,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.03168202764976959,0.018518518518518517,0.004524886877828055,0.006097560975609756,0.0,0.0,0.03125
-11,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.09210526315789473,0.0,0.0,0.0,0.05812324929971989,0.0,0.01699029126213592,,0.0,0.0,0.0,0.08303571428571428,0.009433962264150943,0.0,0.0,0.14285714285714285,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.07692307692307693
-10,0.0,0.0,0.0,0.06666666666666667,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,,0.01455026455026455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0006027727546714888,0.0053475935828877,0.0,0.0,0.0
-9,0.017543859649122806,0.0,0.0,0.0,0.0,0.011235955056179775,0.002656434474616293,0.0,0.0,0.0,0.0196078431372549,0.011695906432748537,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023596938775510203,0.0,0.0,0.0,0.0,0.0,0.0
-8,0.0,0.0,0.0,0.01639344262295082,0.0,0.008097165991902834,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.00909090909090909,0.015384615384615385,0.0,0.01680672268907563,0.0,0.0,0.047619047619047616,0.0,0.045454545454545456,0.008547008547008548,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.007711038961038961,0.0,0.0,0.047619047619047616
-7,0.017241379310344827,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026785714285714288,0.0,0.0,0.0,0.0,0.0,0.028814935064935064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.004032258064516129,0.0,0.0,0.0,0.0
-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01845522898154477,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,,0.0,0.019047619047619046,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0
-5,0.024520255863539446,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.009950248756218905,0.016666666666666666,,0.0,0.0,0.0,0.0,0.0,,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.015873015873015872,0.0,0.005431830526887561,0.0,0.0,0.0,0.0
