cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.726457399103139,0.7338403041825095,0.7368421052631579,0.8648648648648649,0.6351351351351351,0.7362045760430687,0.7617260787992496,0.6744186046511628,0.7407407407407407,0.7733598409542743,0.6099290780141844,0.7295081967213115,0.7588424437299035,0.9333333333333333,0.7142857142857143,0.5789473684210527,0.8137254901960784,,0.7034795763993948,0.6,0.8275862068965517,0.84,0.8377659574468085,0.7368421052631579,0.7333333333333333,0.75,0.8283582089552238,,0.7914438502673797,0.5689655172413793,0.726775956284153,0.7403355215171408,0.7253886010362695,0.8333333333333334,0.7398373983739838,
-18,0.7268518518518519,0.7646153846153846,0.7777777777777778,0.825,0.6567164179104478,0.7416545718432511,0.7611607142857143,0.6857142857142857,0.72,0.7742663656884876,0.7241379310344828,0.7948717948717948,0.7228070175438597,0.8,0.8571428571428571,0.7674418604651163,0.7414634146341463,,0.748653500897666,,0.7619047619047619,0.5714285714285714,0.8042168674698795,0.765625,0.72,0.7580645161290323,0.8229166666666666,,0.7703349282296651,0.5859872611464968,0.6820809248554913,0.7330246913580247,0.6694915254237288,,0.7425742574257426,
-17,0.75,0.7337031900138696,0.6388888888888888,0.8444444444444444,0.8,0.7140575079872205,0.7235955056179775,0.6833333333333333,0.7663551401869159,0.7268518518518519,0.6818181818181818,0.7314814814814815,0.7792207792207793,0.8333333333333334,0.7777777777777778,0.6363636363636364,0.7192118226600985,,0.7253787878787878,0.7142857142857143,0.72,0.6111111111111112,0.8510028653295129,0.6911764705882353,0.7785234899328859,0.7336956521739131,0.7850467289719626,,0.7814207650273224,0.5189873417721519,0.7248322147651006,0.711472602739726,0.6886792452830188,,0.6944444444444444,
-16,0.7065868263473054,0.7456647398843931,0.6909090909090909,0.8232044198895028,0.7068965517241379,0.7610872675250357,0.759090909090909,0.723404255319149,0.7472527472527473,0.7448275862068966,0.656,0.7739130434782608,0.7478991596638656,,0.7692307692307693,0.631578947368421,0.788135593220339,,0.7495590828924162,0.3333333333333333,0.6428571428571429,0.5333333333333333,0.8169014084507042,0.8070175438596491,0.7723577235772358,0.6935483870967742,0.7647058823529411,0.7142857142857143,0.7714285714285715,0.5759493670886076,0.7710843373493976,0.7260726072607261,0.6722689075630253,,0.68,
-15,0.734475374732334,0.717357910906298,0.6097560975609756,0.86,0.6909090909090909,0.7220543806646526,0.7452830188679245,0.71875,0.75,0.6786516853932584,0.6203703703703703,0.7211538461538461,0.779783393501805,0.875,0.8461538461538461,0.5679012345679012,0.7478260869565218,,0.7156673114119922,0.75,0.6923076923076923,0.5,0.853448275862069,0.7761194029850746,0.7636363636363637,0.676829268292683,0.8390804597701149,0.8,0.7368421052631579,0.5592105263157895,0.7468354430379747,0.7246248896734334,0.6865671641791045,,0.7657657657657657,
-14,0.7617647058823529,0.7516483516483516,0.6410256410256411,0.8321678321678322,0.7105263157894737,0.6990740740740741,0.7372881355932204,0.6842105263157895,0.6805555555555556,0.7687651331719129,0.7663551401869159,0.7113163972286374,0.8125,0.9,0.7619047619047619,0.708029197080292,0.737885462555066,,0.7192118226600985,,0.5714285714285714,0.625,0.8087431693989071,0.7714285714285715,0.7280701754385965,0.7692307692307693,0.8620689655172413,,0.7586206896551724,0.5739130434782609,0.6512820512820513,0.7277599142550911,0.6851145038167938,,0.7047619047619048,
-13,0.7520325203252033,0.7274074074074074,0.7424242424242424,0.8157894736842105,0.6333333333333333,0.7312572087658593,0.7368421052631579,0.7121212121212122,0.7107438016528925,0.7058096415327565,0.7006802721088435,0.6863950807071484,0.7289156626506024,0.6363636363636364,0.7777777777777778,0.6529680365296804,0.7023593466424682,,0.6981132075471698,,0.7428571428571429,0.7,0.8481848184818482,0.796875,0.7101123595505618,0.7238095238095238,0.8095238095238095,,0.8412698412698413,0.6257309941520468,0.6311475409836066,0.7231985940246046,0.7025641025641025,,0.6822429906542056,0.737037037037037
-12,0.7044534412955465,0.7246963562753036,0.6808510638297872,0.7626262626262627,0.7183098591549296,0.7388059701492538,0.7697478991596639,0.5641025641025641,0.7511737089201878,0.7058125741399762,0.7427536231884058,0.6486928104575164,0.7656675749318801,0.5714285714285714,0.8,0.6810631229235881,0.7253521126760564,,0.695142378559464,,0.6666666666666666,0.4883720930232558,0.8166666666666667,0.6857142857142857,0.6940874035989717,0.6968085106382979,0.8660714285714286,0.6666666666666666,0.7326732673267327,0.52,0.6506550218340611,0.6967799642218246,0.628482972136223,,0.7553191489361702,0.7335640138408305
-11,0.6935779816513762,0.7220670391061452,0.7884615384615384,0.841897233201581,0.7419354838709677,0.7229551451187335,0.7631133671742809,0.717391304347826,0.7845303867403315,0.7097130242825607,0.7592592592592593,0.7053097345132744,0.7306501547987616,0.8571428571428571,0.7727272727272727,0.6636636636636637,0.7150442477876107,,0.7434782608695653,0.42857142857142855,0.75,0.48,0.814621409921671,0.7560975609756098,0.7349726775956285,0.6794871794871795,0.788135593220339,0.8,0.7799043062200957,0.5104895104895105,0.7135922330097088,0.7030965391621129,0.6865671641791045,,0.7191011235955056,0.5970149253731343
-10,0.6927966101694916,0.7160493827160493,0.7619047619047619,0.8264840182648402,0.6666666666666666,0.7072936660268714,0.7526132404181185,0.6938775510204082,0.7708333333333334,0.7139107611548556,0.7244897959183674,0.696078431372549,0.7328519855595668,0.8181818181818182,0.9375,0.6341463414634146,0.7408056042031523,,0.7151898734177216,0.5,0.631578947368421,0.6428571428571429,0.8123167155425219,0.6944444444444444,0.728,0.6666666666666666,0.8478260869565217,,0.7420814479638009,0.6108108108108108,0.730593607305936,0.7018739352640545,0.6634304207119741,0.7,0.6612903225806451,0.69140625
-9,0.7191489361702128,0.7264808362369338,0.6944444444444444,0.8136363636363636,0.78,0.7321196358907672,0.7507836990595611,0.6808510638297872,0.7960526315789473,0.7105263157894737,0.6857142857142857,0.6663414634146342,0.7201492537313433,0.75,0.6,0.5898876404494382,0.7518115942028986,,0.715962441314554,0.75,0.8125,0.7586206896551724,0.8214285714285714,0.7916666666666666,0.6905444126074498,0.6626506024096386,0.8114754098360656,0.75,0.7766990291262136,0.6058394160583942,0.65625,0.7311151079136691,0.660436137071651,0.7037037037037037,0.71900826446281,0.7072243346007605
