cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.027929373996789728,0.01478794642857143,0.017857142857142856,0.0272911051212938,0.0273972602739726,0.020935960591133004,0.026293588301462317,0.0,0.018518518518518517,0.030053117137265866,0.021164021164021163,0.0603448275862069,0.04880952380952381,0.0,0.0,0.013333333333333334,0.02,0.0,0.019726858877086494,0.0,0.014285714285714285,0.0,0.0026595744680851063,0.024096385542168676,0.016964285714285713,0.045876085240726124,0.028080697928026175,0.0,0.03804347826086957,0.005813953488372093,0.09944751381215469,0.015332557893623772,0.06498470948012232,0.0,0.0,
-18,0.014686248331108143,0.030676220331392747,0.0,0.018543956043956044,0.015151515151515152,0.015389513903629803,0.029330963154492566,0.0,0.003968253968253968,0.012090359529112313,0.023704171934260432,0.014724310776942357,0.05704008221993834,0.0,0.0,0.011627906976744186,0.0049504950495049506,,0.009009009009009009,0.0,0.0,0.0,0.006042296072507553,0.005030181086519115,0.0,0.03739715781600598,0.02127659574468085,0.05128205128205128,0.022364771151178915,0.0,0.08190761334473909,0.008068156172421575,0.05376766091051806,0.0,0.0,
-17,0.0076726342710997444,0.014104372355430184,0.0,0.005780346820809248,0.0,0.019458946369245375,0.04406415343915344,0.0,0.018691588785046728,0.00963855421686747,0.007692307692307693,0.04807692307692308,0.04083920563741192,0.0,0.0,0.0,0.02072538860103627,0.0,0.011494252873563218,0.0,0.0,0.031746031746031744,0.0,0.0,0.0058309037900874635,0.02127659574468085,0.02857142857142857,0.038461538461538464,0.008448540706605223,0.0,0.06993006993006994,0.00895246591053906,0.055780559646539024,,0.009708737864077669,
-16,0.018329938900203666,0.013432835820895522,0.0,0.017241379310344827,0.0,0.024729437229437233,0.014252568776930725,0.0017006802721088435,0.0,0.024725274725274728,0.02073732718894009,0.04672897196261682,0.057548346849656894,0.0,0.0,0.04054054054054054,0.008888888888888889,0.0,0.0117096018735363,0.0,0.015625,0.0,0.0028735632183908046,0.02784503631961259,0.0,0.015498652291105123,0.012345679012345678,0.10344827586206896,0.029069767441860465,0.0,0.11933797909407666,0.004741110417966313,0.08728134110787172,0.0,0.0,
-15,0.019450800915331808,0.024689186019235282,0.0,0.013877551020408161,0.0,0.01917989417989418,0.03974358974358974,0.0,0.01098901098901099,0.011728395061728396,0.00980392156862745,0.06534090909090909,0.09003259098316133,0.0,0.0,0.014925373134328358,0.014084507042253521,0.0,0.016530178950561115,0.0,0.020833333333333332,0.0,0.0030211480362537764,0.025053304904051173,0.009615384615384616,0.01331508213041314,0.02666666666666667,0.0625,0.026595744680851064,0.007194244604316547,0.04477611940298507,0.004511640721862516,0.018361581920903956,0.0,0.00035360678925035356,
-14,0.026973026973026972,0.02269345238095238,0.03125,0.04398148148148148,0.03125,0.02463054187192118,0.022634212920837126,0.0,0.0,0.05278700627537836,0.010869565217391304,0.08658323632130384,0.05907626208378088,0.0,0.0,0.0037313432835820895,0.02304147465437788,,0.01588455149501661,0.5,0.05,0.0,0.006289308176100629,0.017857142857142856,0.010101010101010102,0.005376344086021506,0.0,0.1875,0.016,0.0,0.10775162337662338,0.011933174224343675,0.03534418948926721,,0.03125,
-13,0.01640534262485482,0.007385524372230428,0.0,0.03636363636363636,0.015476190476190477,0.025823539149147492,0.026293378752395145,0.0,0.008264462809917356,0.025560656895638353,0.007480694980694981,0.026854501430772615,0.037973321858864026,0.0,0.0,0.005025125628140704,0.012681159420289856,,0.020682148040638608,0.0,0.061224489795918366,0.0,0.0,0.015384615384615385,0.009483022330988071,0.012345679012345678,0.0,0.0,0.015789473684210527,0.0,0.055474238875878226,0.010452191486674246,0.029503105590062112,,0.0053404539385847796,0.04843345789019834
-12,0.01883116883116883,0.01508785332314744,0.00911854103343465,0.011235955056179775,0.014084507042253521,0.014170220326936744,0.01482593037214886,0.0,0.018779342723004695,0.02101338756143027,0.017543859649122806,0.023312273312273313,0.021933229813664596,0.0,0.0,0.0033333333333333335,0.0035714285714285713,0.0,0.009003601440576232,0.0,0.014705882352941176,0.03488372093023256,0.0,0.0,0.0025,0.00968688845401174,0.0,0.03281853281853282,0.00980392156862745,0.006622516556291391,0.05217391304347826,0.01143371017471737,0.03552923760177647,0.0,0.0,0.01680672268907563
-11,0.016251638269986896,0.010605761641673244,0.0,0.01953125,0.03225806451612903,0.021833239224543576,0.01959491850431448,0.0,0.006708760852407262,0.015728476821192054,0.0,0.034257852077001015,0.03979276895943563,0.0,0.0,0.0029940119760479044,0.012522361359570662,0.0,0.008870214752567693,0.0,0.00684931506849315,0.0,0.0,0.0,0.005249343832020997,0.02107907383136741,0.009174311926605505,0.02127659574468085,0.01066350710900474,0.0,0.04390243902439024,0.008181818181818182,0.03046218487394958,0.0,0.011235955056179775,0.031914893617021274
-10,0.018947368421052633,0.004658385093167702,0.0,0.013636363636363636,0.0,0.007677543186180422,0.028411880216003927,0.0,0.0,0.0209230481183299,0.01375,0.02297970126388357,0.021402784940691078,0.09090909090909091,0.0,0.0027100271002710027,0.012216404886561954,0.0,0.024962406015037596,0.0,0.05,0.0,0.0,0.025974025974025976,0.0,0.005135387488328666,0.0379746835443038,0.07857142857142857,0.02242152466367713,0.0,0.04855167873601053,0.00935374149659864,0.0391749723145072,0.0,0.0014400921658986176,0.04307948860478043
