cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.10444444444444445,0.05415617128463476,0.14035087719298245,0.13063063063063063,0.21621621621621623,0.07940780619111709,0.04690431519699812,0.11627906976744186,0.07407407407407407,0.06037735849056604,0.11347517730496454,0.08196721311475409,0.05144694533762058,0.0,0.0,0.10526315789473684,0.05365853658536585,0.0,0.11800302571860817,0.4,0.08450704225352113,0.28,0.17553191489361702,0.15476190476190477,0.09166666666666666,0.07317073170731707,0.12686567164179105,0.0,0.05319148936170213,0.3563218390804598,0.09836065573770492,0.07574654042243263,0.10263929618768329,0.0,0.18699186991869918,
-18,0.09216589861751152,0.07480916030534351,0.1111111111111111,0.12422360248447205,0.11940298507462686,0.10740203193033382,0.060267857142857144,0.05714285714285714,0.06,0.05856832971800434,0.10344827586206896,0.1452991452991453,0.0456140350877193,0.2,0.07142857142857142,0.12790697674418605,0.08737864077669903,,0.1413237924865832,0.5,0.08163265306122448,0.23809523809523808,0.1897590361445783,0.08333333333333333,0.072,0.07142857142857142,0.14583333333333334,0.07692307692307693,0.08571428571428572,0.36942675159235666,0.12716763005780346,0.08083140877598152,0.05825242718446602,0.0,0.1188118811881188,
-17,0.10723192019950124,0.0821917808219178,0.1111111111111111,0.09444444444444444,0.12727272727272726,0.11501597444089456,0.058426966292134834,0.05,0.09345794392523364,0.0787037037037037,0.10606060606060606,0.046296296296296294,0.09523809523809523,0.0,0.1111111111111111,0.07575757575757576,0.06896551724137931,0.0,0.13636363636363635,0.0,0.10344827586206896,0.2222222222222222,0.15759312320916904,0.13513513513513514,0.12751677852348994,0.06321839080459771,0.102803738317757,0.07692307692307693,0.07526881720430108,0.27848101265822783,0.10738255033557047,0.07941929974380871,0.07981220657276995,,0.10185185185185185,
-16,0.10358565737051793,0.07194244604316546,0.16363636363636364,0.13114754098360656,0.1724137931034483,0.0944206008583691,0.06349206349206349,0.10638297872340426,0.06593406593406594,0.10344827586206896,0.1746031746031746,0.08695652173913043,0.07142857142857142,0.0,0.0,0.11842105263157894,0.08403361344537816,0.0,0.11992945326278659,0.0,0.109375,0.16666666666666666,0.16901408450704225,0.08196721311475409,0.13821138211382114,0.07951070336391437,0.12941176470588237,0.1,0.07386363636363637,0.3670886075949367,0.1144578313253012,0.10231023102310231,0.06976744186046512,0.0,0.12,
-15,0.07462686567164178,0.07435508345978756,0.14634146341463414,0.11940298507462686,0.2,0.1027190332326284,0.046948356807511735,0.1875,0.125,0.0898876404494382,0.08333333333333333,0.07692307692307693,0.07220216606498195,0.125,0.23076923076923078,0.07407407407407407,0.09090909090909091,0.0,0.13733075435203096,0.0,0.16,0.4,0.16379310344827586,0.06944444444444445,0.08181818181818182,0.0877742946708464,0.16091954022988506,0.03125,0.0979381443298969,0.3815789473684211,0.12025316455696203,0.09788359788359788,0.07537688442211055,0.0,0.14414414414414414,
-14,0.08797653958944282,0.07860262008733625,0.1282051282051282,0.1258741258741259,0.13157894736842105,0.06944444444444445,0.062146892655367235,0.10526315789473684,0.0684931506849315,0.06537530266343826,0.16822429906542055,0.054241200230813615,0.04861111111111111,0.0,0.0,0.08394160583941605,0.06167400881057269,,0.14285714285714285,0.0,0.32142857142857145,0.0625,0.18579234972677597,0.05555555555555555,0.12280701754385964,0.1277533039647577,0.1724137931034483,0.05555555555555555,0.08904109589041095,0.40869565217391307,0.10256410256410256,0.07494646680942184,0.04391891891891892,,0.09523809523809523,
-13,0.09959349593495935,0.11504424778761062,0.15151515151515152,0.09130434782608696,0.06666666666666667,0.0784313725490196,0.046199701937406856,0.16666666666666666,0.10743801652892562,0.08281829419035847,0.11486486486486487,0.10453497309761722,0.04216867469879518,0.09090909090909091,0.05555555555555555,0.09817351598173515,0.06159420289855073,,0.1316931982633864,0.0,0.05102040816326531,0.15,0.20462046204620463,0.1076923076923077,0.13062098501070663,0.1037037037037037,0.17857142857142858,0.08,0.11052631578947368,0.3684210526315789,0.10245901639344263,0.06299212598425197,0.09347826086956522,,0.08411214953271028,0.03518518518518519
-12,0.10909090909090909,0.08377659574468085,0.3191489361702128,0.12562814070351758,0.1267605633802817,0.08830845771144279,0.06554621848739496,0.10256410256410256,0.056338028169014086,0.09252669039145907,0.08070175438596491,0.0923202614379085,0.059782608695652176,0.0,0.0,0.12292358803986711,0.0773286467486819,0.0,0.12395309882747069,0.0,0.029411764705882353,0.20930232558139536,0.21944444444444444,0.14102564102564102,0.1725,0.07397260273972603,0.13392857142857142,0.13513513513513514,0.08823529411764706,0.3841059602649007,0.12663755458515283,0.08050089445438283,0.07253886010362694,0.4,0.14893617021276595,0.06920415224913495
-11,0.09541284403669725,0.06052269601100413,0.07692307692307693,0.1484375,0.1774193548387097,0.08432147562582346,0.0587248322147651,0.06382978723404255,0.07734806629834254,0.09602649006622517,0.12121212121212122,0.09991158267020336,0.07716049382716049,0.14285714285714285,0.0,0.1317365269461078,0.047619047619047616,0.0,0.14099783080260303,0.125,0.03424657534246575,0.16,0.17493472584856398,0.06818181818181818,0.14173228346456693,0.0672782874617737,0.211864406779661,0.10638297872340426,0.04739336492890995,0.4195804195804196,0.11165048543689321,0.0890909090909091,0.08333333333333333,0.25,0.15730337078651685,0.05223880597014925
-10,0.07157894736842105,0.07130434782608695,0.23809523809523808,0.11818181818181818,0.13043478260869565,0.07389635316698656,0.06013745704467354,0.14285714285714285,0.15753424657534246,0.06684141546526867,0.08,0.0962566844919786,0.04693140794223827,0.0,0.0,0.14634146341463414,0.055944055944055944,0.0,0.09052631578947369,0.0,0.09166666666666666,0.14285714285714285,0.19648093841642228,0.07792207792207792,0.12435233160621761,0.05228758169934641,0.10869565217391304,0.2,0.05829596412556054,0.43243243243243246,0.1278538812785388,0.07142857142857142,0.06976744186046512,0.2,0.14516129032258066,0.04669260700389105
