cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.004878048780487805,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.0021849963583394027,0.0,0.0,0.0,
-18,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048543689320388345,,0.0,0.0,0.0,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023094688221709007,0.0,0.0,0.0,
-17,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0022471910112359553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057306590257879654,0.0,0.006711409395973154,0.0,0.0,0.0,0.005376344086021506,0.0,0.0,0.0,0.0,,0.0,
-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005633802816901409,0.0,0.0,0.0030581039755351682,0.0,0.03333333333333333,0.0,0.0,0.0,0.0008250825082508251,0.0,0.0,0.0,
-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022471910112359553,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001763668430335097,0.0,0.0,0.0,
-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036319612590799033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010706638115631692,0.0,,0.0,
-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0014903129657228018,0.0,0.0,0.0012360939431396785,0.0,0.0030745580322828594,0.0,0.0,0.0,0.00228310502283105,0.0,,0.0,0.0,0.0,0.0,0.0033003300330033004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002173913043478261,,0.0,0.0
-12,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0016806722689075631,0.0,0.0,0.0011862396204033216,0.0,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.002777777777777778,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0034602076124567475
-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0008841732979664014,0.0,0.0,0.0,0.0,0.003527336860670194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.0,0.0,0.0,0.0
-10,0.002105263157894737,0.0,0.0,0.0,0.0,0.0,0.001718213058419244,0.02040816326530612,0.0,0.0,0.0,0.00089126559714795,0.0,0.0,0.0,0.0,0.0,0.0,0.002105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
