cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.035555555555555556,0.015113350125944584,0.017543859649122806,0.09009009009009009,0.08108108108108109,0.03768506056527591,0.0300187617260788,0.046511627906976744,0.027777777777777776,0.018867924528301886,0.02127659574468085,0.0,0.04501607717041801,0.0,0.07142857142857142,0.039473684210526314,0.014634146341463415,0.0,0.0680786686838124,0.0,0.056338028169014086,0.16,0.11702127659574468,0.047619047619047616,0.025,0.032520325203252036,0.13432835820895522,0.0,0.06382978723404255,0.08620689655172414,0.04371584699453552,0.03860160233066278,0.03812316715542522,0.0,0.016260162601626018,
-18,0.03917050691244239,0.016793893129770993,0.1111111111111111,0.08695652173913043,0.014925373134328358,0.04934687953555878,0.020089285714285716,0.17142857142857143,0.04,0.026030368763557483,0.04310344827586207,0.017094017094017096,0.03859649122807018,0.0,0.07142857142857142,0.03488372093023256,0.043689320388349516,,0.055456171735241505,0.0,0.04081632653061224,0.14285714285714285,0.16265060240963855,0.06944444444444445,0.016,0.03316326530612245,0.020833333333333332,0.05128205128205128,0.047619047619047616,0.050955414012738856,0.028901734104046242,0.03002309468822171,0.014563106796116505,0.0,0.039603960396039604,
-17,0.034912718204488775,0.028767123287671233,0.1388888888888889,0.07222222222222222,0.0,0.04792332268370607,0.02696629213483146,0.11666666666666667,0.018691588785046728,0.034722222222222224,0.03787878787878788,0.009259259259259259,0.05627705627705628,0.0,0.0,0.0,0.034482758620689655,0.0,0.05113636363636364,0.0,0.017241379310344827,0.05555555555555555,0.17478510028653296,0.0,0.013422818791946308,0.04597701149425287,0.037383177570093455,0.0,0.021505376344086023,0.05063291139240506,0.06040268456375839,0.027327070879590094,0.018779342723004695,,0.027777777777777776,
-16,0.0398406374501992,0.015827338129496403,0.03636363636363636,0.1092896174863388,0.017241379310344827,0.044349070100143065,0.02947845804988662,0.02127659574468085,0.02197802197802198,0.05747126436781609,0.03968253968253968,0.02608695652173913,0.06722689075630252,0.0,0.07692307692307693,0.013157894736842105,0.01680672268907563,0.0,0.0582010582010582,0.0,0.09375,0.06666666666666667,0.14084507042253522,0.03278688524590164,0.08130081300813008,0.06116207951070336,0.058823529411764705,0.03333333333333333,0.03977272727272727,0.06329113924050633,0.04819277108433735,0.03547854785478548,0.037209302325581395,0.0,0.03,
-15,0.02771855010660981,0.02276176024279211,0.024390243902439025,0.13432835820895522,0.03636363636363636,0.04682779456193353,0.02112676056338028,0.0625,0.08333333333333333,0.05393258426966292,0.037037037037037035,0.019230769230769232,0.05776173285198556,0.0,0.0,0.012345679012345678,0.06060606060606061,0.0,0.06382978723404255,0.0,0.14,0.0,0.10344827586206896,0.041666666666666664,0.00909090909090909,0.047021943573667714,0.04597701149425287,0.0,0.05154639175257732,0.06578947368421052,0.04430379746835443,0.029982363315696647,0.02512562814070352,0.0,0.02702702702702703,
-14,0.03519061583577713,0.019650655021834062,0.02564102564102564,0.1048951048951049,0.05263157894736842,0.032407407407407406,0.025423728813559324,0.10526315789473684,0.0684931506849315,0.029055690072639227,0.06542056074766354,0.012117714945181766,0.04861111111111111,0.0,0.047619047619047616,0.01824817518248175,0.03303964757709251,,0.0665024630541872,0.0,0.10714285714285714,0.0625,0.11475409836065574,0.027777777777777776,0.043859649122807015,0.07488986784140969,0.034482758620689655,0.05555555555555555,0.07534246575342465,0.034782608695652174,0.05641025641025641,0.031049250535331904,0.02533783783783784,,0.01904761904761905,
-13,0.022357723577235773,0.01327433628318584,0.06060606060606061,0.08695652173913043,0.05,0.04382929642445214,0.020864381520119227,0.015151515151515152,0.03305785123966942,0.02595797280593325,0.04054054054054054,0.022290545734050732,0.018072289156626505,0.0,0.0,0.03424657534246575,0.043478260869565216,,0.04052098408104197,0.0,0.03571428571428571,0.1,0.1419141914191419,0.046153846153846156,0.044967880085653104,0.04197530864197531,0.05952380952380952,0.04,0.015789473684210527,0.0935672514619883,0.06147540983606557,0.01837270341207349,0.0391304347826087,,0.009345794392523364,0.027777777777777776
-12,0.024242424242424242,0.027925531914893616,0.14893617021276595,0.07035175879396985,0.056338028169014086,0.03482587064676617,0.015126050420168067,0.07692307692307693,0.014084507042253521,0.03558718861209965,0.06666666666666667,0.021241830065359478,0.057065217391304345,0.0,0.0,0.023255813953488372,0.028119507908611598,0.0,0.05862646566164154,0.0,0.03676470588235294,0.13953488372093023,0.16111111111111112,0.05128205128205128,0.075,0.04657534246575343,0.026785714285714284,0.05405405405405406,0.08333333333333333,0.039735099337748346,0.048034934497816595,0.03309481216457961,0.03367875647668394,0.4,0.0425531914893617,0.058823529411764705
-11,0.03669724770642202,0.01925722145804677,0.17307692307692307,0.0625,0.0967741935483871,0.043478260869565216,0.020134228187919462,0.06382978723404255,0.049723756906077346,0.03421633554083885,0.04242424242424243,0.023872679045092837,0.046296296296296294,0.0,0.0,0.038922155688622756,0.03350970017636684,0.0,0.049891540130151846,0.0,0.03424657534246575,0.08,0.14882506527415143,0.022727272727272728,0.047244094488188976,0.05198776758409786,0.06779661016949153,0.0425531914893617,0.03317535545023697,0.04895104895104895,0.038834951456310676,0.03090909090909091,0.02696078431372549,0.0,0.033707865168539325,0.06716417910447761
-10,0.023157894736842106,0.01391304347826087,0.07142857142857142,0.11363636363636363,0.057971014492753624,0.04318618042226487,0.020618556701030927,0.04081632653061224,0.0410958904109589,0.022280471821756225,0.05,0.013368983957219251,0.04332129963898917,0.0,0.0625,0.032520325203252036,0.017482517482517484,0.0,0.07368421052631578,0.0,0.03333333333333333,0.14285714285714285,0.12609970674486803,0.025974025974025976,0.08549222797927461,0.05555555555555555,0.07608695652173914,0.05,0.03139013452914798,0.07567567567567568,0.0365296803652968,0.03571428571428571,0.013565891472868217,0.225,0.008064516129032258,0.038910505836575876
