cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.13555555555555557,0.09697732997481108,0.15789473684210525,0.1036036036036036,0.22972972972972974,0.12113055181695828,0.0975609756097561,0.13953488372093023,0.018518518518518517,0.0509433962264151,0.22695035460992907,0.18032786885245902,0.07395498392282958,0.06666666666666667,0.0,0.013157894736842105,0.02926829268292683,0.0,0.11649016641452345,0.2,0.014084507042253521,0.28,0.09574468085106383,0.03571428571428571,0.09166666666666666,0.032520325203252036,0.1044776119402985,0.26666666666666666,0.05851063829787234,0.08045977011494253,0.11475409836065574,0.04297159504734159,0.09090909090909091,0.16666666666666666,0.11382113821138211,
-18,0.15207373271889402,0.11145038167938931,0.08333333333333333,0.08695652173913043,0.208955223880597,0.11320754716981132,0.140625,0.14285714285714285,0.02,0.049891540130151846,0.1810344827586207,0.1794871794871795,0.08421052631578947,0.2,0.07142857142857142,0.06976744186046512,0.043689320388349516,,0.08586762075134168,1.0,0.04081632653061224,0.2857142857142857,0.08734939759036145,0.027777777777777776,0.064,0.04336734693877551,0.07291666666666667,0.1282051282051282,0.12380952380952381,0.11464968152866242,0.08092485549132948,0.037721324095458045,0.11165048543689321,0.4,0.12871287128712872,
-17,0.1745635910224439,0.08767123287671233,0.05555555555555555,0.1111111111111111,0.14545454545454545,0.12140575079872204,0.11685393258426967,0.1,0.056074766355140186,0.05092592592592592,0.19696969696969696,0.1111111111111111,0.06060606060606061,0.0,0.16666666666666666,0.06060606060606061,0.09359605911330049,0.0,0.12121212121212122,0.14285714285714285,0.017241379310344827,0.4444444444444444,0.06876790830945559,0.02702702702702703,0.0738255033557047,0.04885057471264368,0.102803738317757,0.15384615384615385,0.10752688172043011,0.08227848101265822,0.087248322147651,0.04782237403928266,0.11267605633802817,,0.14814814814814814,
-16,0.16733067729083664,0.11223021582733812,0.12727272727272726,0.10382513661202186,0.27586206896551724,0.11158798283261803,0.13378684807256236,0.14893617021276595,0.02197802197802198,0.05057471264367816,0.18253968253968253,0.11304347826086956,0.10504201680672269,0.0,0.07692307692307693,0.06578947368421052,0.08823529411764706,0.0,0.11992945326278659,0.16666666666666666,0.046875,0.26666666666666666,0.07887323943661972,0.03278688524590164,0.07317073170731707,0.039755351681957186,0.058823529411764705,0.0,0.13636363636363635,0.0949367088607595,0.1566265060240964,0.052805280528052806,0.04186046511627907,0.0,0.15,
-15,0.12366737739872068,0.09559939301972686,0.17073170731707318,0.0945273631840796,0.2545454545454545,0.11933534743202417,0.11502347417840375,0.28125,0.041666666666666664,0.056179775280898875,0.18518518518518517,0.11538461538461539,0.1407942238267148,0.0,0.0,0.07407407407407407,0.06926406926406926,0.0,0.15087040618955513,0.0,0.04,0.4,0.10632183908045977,0.041666666666666664,0.08181818181818182,0.05642633228840126,0.11494252873563218,0.09375,0.10309278350515463,0.09210526315789473,0.12658227848101267,0.04585537918871252,0.09045226130653267,0.5,0.11711711711711711,
-14,0.1436950146627566,0.1091703056768559,0.20512820512820512,0.055944055944055944,0.18421052631578946,0.12037037037037036,0.13559322033898305,0.13157894736842105,0.0136986301369863,0.0774818401937046,0.205607476635514,0.10213502596653203,0.0763888888888889,0.0,0.0,0.040145985401459854,0.03303964757709251,,0.08620689655172414,0.0,0.10714285714285714,0.5,0.10382513661202186,0.027777777777777776,0.09649122807017543,0.05286343612334802,0.05172413793103448,0.05555555555555555,0.1095890410958904,0.0782608695652174,0.12307692307692308,0.03640256959314775,0.10810810810810811,,0.11428571428571428,
-13,0.11585365853658537,0.09587020648967552,0.18181818181818182,0.06521739130434782,0.18333333333333332,0.12226066897347174,0.11028315946348734,0.25757575757575757,0.024793388429752067,0.10506798516687268,0.16891891891891891,0.15449654112221367,0.08132530120481928,0.0,0.1111111111111111,0.02968036529680365,0.018115942028985508,,0.10709117221418235,0.14285714285714285,0.02040816326530612,0.35,0.1188118811881188,0.03076923076923077,0.13062098501070663,0.04197530864197531,0.08333333333333333,0.2,0.11052631578947368,0.08771929824561403,0.13934426229508196,0.05774278215223097,0.14130434782608695,,0.18691588785046728,0.044444444444444446
-12,0.13333333333333333,0.09973404255319149,0.1702127659574468,0.09045226130653267,0.14084507042253522,0.10945273631840796,0.12100840336134454,0.15384615384615385,0.051643192488262914,0.10083036773428232,0.08771929824561403,0.15196078431372548,0.07608695652173914,0.2857142857142857,0.12,0.03322259136212625,0.04745166959578207,1.0,0.09212730318257957,0.0,0.007352941176470588,0.20930232558139536,0.10555555555555556,0.02564102564102564,0.0875,0.038356164383561646,0.08928571428571429,0.10810810810810811,0.10294117647058823,0.0728476821192053,0.12663755458515283,0.05008944543828265,0.13730569948186527,0.2,0.1702127659574468,0.07612456747404844
-11,0.10642201834862386,0.08528198074277854,0.21153846153846154,0.09375,0.16129032258064516,0.1067193675889328,0.11912751677852348,0.1702127659574468,0.06629834254143646,0.10044150110375276,0.09696969696969697,0.15826702033598586,0.08024691358024691,0.21428571428571427,0.045454545454545456,0.041916167664670656,0.04056437389770723,0.0,0.11713665943600868,0.25,0.0136986301369863,0.44,0.10704960835509138,0.045454545454545456,0.10498687664041995,0.03363914373088685,0.07627118644067797,0.2553191489361702,0.10900473933649289,0.11188811188811189,0.1553398058252427,0.04363636363636364,0.10784313725490197,0.0,0.16853932584269662,0.029850746268656716
-10,0.11368421052631579,0.08869565217391304,0.14285714285714285,0.09545454545454546,0.15942028985507245,0.07197696737044146,0.10481099656357389,0.14285714285714285,0.0821917808219178,0.08256880733944955,0.105,0.15508021390374332,0.06859205776173286,0.0,0.0625,0.04065040650406504,0.055944055944055944,0.0,0.10947368421052632,0.16666666666666666,0.008333333333333333,0.35714285714285715,0.0967741935483871,0.025974025974025976,0.09585492227979274,0.042483660130718956,0.08695652173913043,0.2,0.08968609865470852,0.12972972972972974,0.1598173515981735,0.03486394557823129,0.12403100775193798,0.325,0.14516129032258066,0.0933852140077821
-9,0.11839323467230443,0.06872852233676977,0.08333333333333333,0.09375,0.24,0.11443433029908973,0.10903426791277258,0.1276595744680851,0.039473684210526314,0.1038107752956636,0.0670391061452514,0.12,0.08955223880597014,0.25,0.0,0.02247191011235955,0.059674502712477394,,0.1267605633802817,0.25,0.03361344537815126,0.2413793103448276,0.08630952380952381,0.013333333333333334,0.10863509749303621,0.032679738562091505,0.08196721311475409,0.2,0.10096153846153846,0.10218978102189781,0.1,0.04672057502246182,0.0975609756097561,0.1111111111111111,0.19008264462809918,0.07604562737642585
