cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.2711864406779661,0.15555555555555556,0.20689655172413793,0.22758620689655173,0.1875,0.2536231884057971,0.24113475177304963,0.13043478260869565,0.2153846153846154,0.1413793103448276,0.10526315789473684,0.21739130434782608,0.25,,0.25,0.3076923076923077,0.22972972972972974,,0.23015873015873015,,,0.417910447761194,0.2462686567164179,0.1875,0.2702702702702703,0.3142857142857143,0.2900763358778626,0.4444444444444444,0.175,0.3939393939393939,0.1810344827586207,0.23042505592841164,0.2857142857142857,0.2682926829268293,0.24285714285714285,
-18,0.2857142857142857,0.25,0.2903225806451613,0.16030534351145037,0.24489795918367346,0.18404907975460122,0.24166666666666667,0.2682926829268293,0.23943661971830985,0.14855072463768115,0.3076923076923077,0.36363636363636365,0.125,,0.25,0.21052631578947367,0.21212121212121213,0.5,0.20869565217391303,,,0.3870967741935484,0.23868312757201646,0.20689655172413793,0.22950819672131148,0.2857142857142857,0.16666666666666666,0.5,0.28,0.13513513513513514,0.31746031746031744,0.1883720930232558,0.23809523809523808,0.23684210526315788,0.2318840579710145,
-17,0.24528301886792453,0.3148148148148148,0.30952380952380953,0.14864864864864866,0.2653061224489796,0.27906976744186046,0.25806451612903225,0.2222222222222222,0.3880597014925373,0.2222222222222222,0.25,0.13636363636363635,0.24324324324324326,,0.4,0.2777777777777778,0.22641509433962265,,0.2815533980582524,,,0.2765957446808511,0.24632352941176472,0.3793103448275862,0.35714285714285715,0.22580645161290322,0.2803738317757009,0.5,0.2708333333333333,0.2972972972972973,0.20408163265306123,0.20398009950248755,0.29508196721311475,0.15384615384615385,0.16666666666666666,
-16,0.21333333333333335,0.25,0.23809523809523808,0.21739130434782608,0.24528301886792453,0.2754491017964072,0.30864197530864196,0.45454545454545453,0.2,0.22167487684729065,0.3103448275862069,0.15625,0.2,,0.3333333333333333,0.16,0.1797752808988764,0.5,0.2912621359223301,,,0.30434782608695654,0.21052631578947367,0.3333333333333333,0.24,0.27419354838709675,0.2711864406779661,,0.2631578947368421,0.23684210526315788,0.3023255813953488,0.25223214285714285,0.2857142857142857,0.2608695652173913,0.2777777777777778,
-15,0.2571428571428571,0.2222222222222222,0.11764705882352941,0.1476510067114094,0.3333333333333333,0.22790697674418606,0.2345679012345679,0.26666666666666666,0.24489795918367346,0.23497267759562843,0.2,0.2857142857142857,0.3333333333333333,,0.2,0.25,0.19480519480519481,,0.21495327102803738,0.25,,0.1896551724137931,0.26373626373626374,0.2,0.28,0.25333333333333335,0.23863636363636365,0.2222222222222222,0.14545454545454545,0.375,0.20634920634920634,0.20956719817767655,0.29411764705882354,0.2,0.2545454545454545,
-14,0.40625,0.30303030303030304,0.21428571428571427,0.15384615384615385,0.27586206896551724,0.23,0.2641509433962264,0.3076923076923077,0.3409090909090909,0.20670391061452514,0.2,0.27472527472527475,0.4090909090909091,0.3333333333333333,,0.2653061224489796,0.25925925925925924,,0.2777777777777778,,,0.20833333333333334,0.25,0.12,0.125,0.34285714285714286,0.23333333333333334,,0.2,0.20689655172413793,0.16049382716049382,0.23228346456692914,0.23255813953488372,0.35714285714285715,0.08333333333333333,
-13,0.19117647058823528,0.24324324324324326,0.17647058823529413,0.20670391061452514,0.28846153846153844,0.2430939226519337,0.21495327102803738,0.25,0.23076923076923078,0.2230971128608924,0.16279069767441862,0.19648093841642228,0.16129032258064516,,0.3125,0.2765957446808511,0.26344086021505375,0.3333333333333333,0.25098039215686274,,,0.3898305084745763,0.20270270270270271,0.2,0.2857142857142857,0.2911392405063291,0.29357798165137616,0.25,0.21875,0.22580645161290322,0.20689655172413793,0.24736842105263157,0.2361111111111111,0.15384615384615385,0.17073170731707318,0.1559633027522936
-12,0.17647058823529413,0.24675324675324675,0.3157894736842105,0.1402439024390244,0.24,0.2553191489361702,0.24369747899159663,0.3333333333333333,0.2765957446808511,0.2283653846153846,0.09302325581395349,0.17391304347826086,0.14516129032258066,,0.25,0.2631578947368421,0.26046511627906976,0.3333333333333333,0.2572614107883817,0.125,,0.3484848484848485,0.2314410480349345,0.18421052631578946,0.3119266055045872,0.36619718309859156,0.21333333333333335,0.3076923076923077,0.32075471698113206,0.2692307692307692,0.17777777777777778,0.2119815668202765,0.2808219178082192,0.375,0.28,0.1282051282051282
-11,0.23684210526315788,0.21333333333333335,0.18181818181818182,0.20202020202020202,0.20408163265306123,0.23300970873786409,0.2727272727272727,0.21739130434782608,0.2376237623762376,0.21382289416846653,0.17142857142857143,0.21138211382113822,0.11627906976744186,,0.3333333333333333,0.3300970873786408,0.252212389380531,0.25,0.1885245901639344,,,0.24489795918367346,0.19433198380566802,0.24390243902439024,0.24,0.2804878048780488,0.19117647058823528,0.18181818181818182,0.27848101265822783,0.2,0.26,0.20526315789473684,0.25,0.22727272727272727,0.1875,0.1935483870967742
-10,0.17567567567567569,0.19642857142857142,0.1111111111111111,0.21739130434782608,0.3392857142857143,0.27507163323782235,0.23645320197044334,0.1951219512195122,0.23943661971830985,0.22613065326633167,0.18518518518518517,0.21100917431192662,0.16326530612244897,,0.25,0.1951219512195122,0.28095238095238095,,0.17964071856287425,0.23076923076923078,,0.3333333333333333,0.188,0.26666666666666666,0.216,0.2857142857142857,0.24324324324324326,0.3076923076923077,0.2753623188405797,0.19230769230769232,0.2465753424657534,0.23676880222841226,0.21710526315789475,0.2857142857142857,0.2727272727272727,0.25
