cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.031325665859564165,0.02096273291925466,0.0625,0.10763113839285714,0.3846371882086168,0.09258540372670807,0.024601747173689622,0.06987577639751553,0.07993861607142858,0.06635044642857144,0.01926691729323308,0.01948051948051948,0.04856271777003485,0.22023809523809523,0.09375,0.22664835164835162,0.02980212355212355,,0.11510714285714287,0.5803571428571429,0.15,0.06676439232409381,0.05883528784648188,0.29376750700280113,0.16288610038610038,0.09699057287889776,0.10812710911136109,0.31407563025210083,0.019817073170731708,0.07900432900432901,0.05888238916256158,0.08404895666131622,0.16422503467406382,0.05422473867595819,0.36594202898550726,
-18,0.03360615079365079,0.009657434402332361,0.023329493087557603,0.042994505494505494,0.35550291545189505,0.06867283950617284,0.02366071428571429,0.02003484320557491,0.053948692152917505,0.04603311913000494,0.06112637362637363,0.08163265306122448,0.07053571428571428,0.25,0.03125,0.1668233082706767,0.05614177489177489,0.013392857142857142,0.0791256157635468,,0.10714285714285714,0.11160714285714285,0.05962219598583235,0.32085253456221197,0.12306547619047618,0.06590136054421769,0.08543577981651376,0.13775510204081634,0.010854341736694676,0.02171814671814672,0.0764904386951631,0.0746128871128871,0.1399501661129568,0.024891774891774892,0.3528726708074534,
-17,0.04278975741239892,0.024553571428571428,0.03167517006802721,0.05952380952380952,0.2232142857142857,0.08881302521008404,0.020089285714285712,0.031746031746031744,0.08168976545842217,0.04817393058918482,0.048549107142857144,0.04261363636363636,0.10714285714285715,0.026785714285714288,0.05357142857142857,0.1066468253968254,0.03335579514824798,0.026785714285714284,0.08292682926829269,0.3596938775510204,0.16454081632653064,0.07237841945288755,0.05632878151260504,0.18024553571428573,0.08694727891156463,0.07945929768555467,0.08768530997304583,0.26211734693877553,0.01457725947521866,0.032577220077220075,0.07658321060382917,0.08345208407552547,0.11478718199608612,0.0625,0.2898478835978836,
-16,0.02890037593984962,0.011332417582417582,0.044642857142857144,0.04848553345388788,0.2561953352769679,0.045800264550264556,0.03444664902998236,0.03896103896103897,0.05915178571428571,0.053347092605886576,0.03869047619047619,0.034877232142857144,0.09419642857142857,,0.40714285714285714,0.07714285714285714,0.03992776886035313,0.008928571428571428,0.07025832177531206,0.09642857142857142,0.2857142857142857,0.07744565217391304,0.04059017223910841,0.2803101503759398,0.09160714285714286,0.08193942133815552,0.0656055900621118,0.296875,0.017857142857142856,0.03383458646616542,0.07383241758241757,0.06892372333548805,0.09361263736263736,0.05316558441558441,0.29278975741239893,
-15,0.02857142857142857,0.010302197802197802,0.023109243697478993,0.056084656084656084,0.3660714285714286,0.04420943134535368,0.02813342318059299,0.04583333333333333,0.06808035714285714,0.07759831460674158,0.02443609022556391,0.1377551020408163,0.033887987012987016,0.16964285714285715,0.05178571428571428,0.10962301587301587,0.0425556586270872,0.017857142857142856,0.08758503401360544,0.008928571428571428,0.30357142857142855,0.05043859649122807,0.04632936507936508,0.32461734693877553,0.12034161490683229,0.10135893980233603,0.06863166953528399,0.38783482142857145,0.011850649350649351,0.055900621118012424,0.07998819362455727,0.06180986887508627,0.10641100702576113,0.04955357142857143,0.2888198757763975,
-14,0.032844387755102046,0.09686147186147186,0.03165584415584415,0.09016599597585513,0.591931216931217,0.07987189440993789,0.06491815476190475,0.009821428571428571,0.07921245421245422,0.15548225659690626,0.13768796992481205,0.1488095238095238,0.15133928571428573,0.5505952380952381,0.08333333333333333,0.29901215805471126,0.12382075471698113,0.008928571428571428,0.06898656898656899,0.37797619047619047,0.9017857142857143,0.0986607142857143,0.08903997378768021,0.2954931972789116,0.1290922619047619,0.07478991596638655,0.11152291105121294,0.45436507936507936,0.09392857142857142,0.11684782608695653,0.1490283613445378,0.10958850931677018,0.22905844155844157,0.09077380952380953,0.3371212121212121,
-13,0.03915816326530612,0.010952380952380951,0.03203781512605042,0.06391242937853107,0.2712912087912088,0.09022817460317459,0.04627002670226969,0.0125,0.09203296703296703,0.06842894638170229,0.014327242524916944,0.044484829329962075,0.04377880184331798,0.05952380952380953,0.10658482142857144,0.10459183673469387,0.018673195084485405,0.008928571428571428,0.07291666666666667,0.09821428571428571,0.5280612244897959,0.059170702179176755,0.0953989703989704,0.24491995073891626,0.13200934579439252,0.10513078470824949,0.0952653997378768,0.2773809523809524,0.03653846153846154,0.041186635944700456,0.09943528693528693,0.0837966453071994,0.09899068322981366,0.10164835164835165,0.26328397212543553,0.2266355140186916
-12,0.027512458471760794,0.012934981684981684,0.08411654135338346,0.04669401544401544,0.36642857142857144,0.05474924012158055,0.02644949193066348,0.010416666666666666,0.1006838905775076,0.05393629807692308,0.05128737541528239,0.047153209109730844,0.06703514739229025,0.71875,0.11458333333333333,0.14156484962406016,0.04260797342192691,0.008928571428571428,0.06455761316872428,0.1015625,0.4441964285714286,0.05911796536796536,0.05501403618215845,0.23299319727891157,0.10419397116644824,0.07353216155572177,0.07398809523809523,0.16558441558441558,0.01179245283018868,0.05555555555555555,0.07671957671957673,0.07547208538587849,0.1014968487394958,0.08482142857142858,0.1957142857142857,0.07239382239382239
-11,0.032775768535262206,0.019285714285714285,0.0799512987012987,0.09098214285714286,0.34730320699708456,0.0399618585298197,0.02563115763546798,0.034549689440993785,0.07484243697478991,0.06001234186979327,0.011989795918367345,0.07386142467886338,0.048092532467532464,0.2242063492063492,0.02261904761904762,0.10980425824175824,0.03931704260651629,0.008928571428571428,0.06949708454810496,0.17346938775510204,0.375,0.07725947521865889,0.07797137073452863,0.2402408637873754,0.08866690240452617,0.0513590391908976,0.07453703703703704,0.149906015037594,0.01294642857142857,0.030654761904761903,0.07621807000946074,0.07100785340314136,0.07814900153609831,0.04788961038961039,0.2777622767857143,0.2697172619047619
-10,0.01843692022263451,0.02130325814536341,0.025793650793650792,0.138536866359447,0.30994897959183676,0.022787655834866135,0.03074912891986063,0.018728222996515678,0.10178571428571428,0.05357142857142857,0.01455026455026455,0.060179117518567055,0.09321428571428571,0.9732142857142857,0.06994047619047618,0.09560104529616725,0.02980442176870748,,0.08415312232677502,0.045280612244897954,0.37857142857142856,0.06364468864468864,0.06325,0.36495535714285715,0.10026927437641724,0.07432162809257782,0.07252358490566038,0.25669642857142855,0.010714285714285714,0.09134615384615384,0.08596059113300493,0.09296657381615599,0.12998056365403304,0.07267441860465117,0.19139610389610387,0.0668103448275862
-9,0.015657349896480332,0.01669973544973545,0.0425,0.09848760932944606,0.33348997493734334,0.05048988621997472,0.03315764631843927,0.017857142857142856,0.06420545746388444,0.0776115530958146,0.05133928571428571,0.04647225862822193,0.028108465608465607,0.15476190476190477,0.0521978021978022,0.09477194492254734,0.040140086206896554,0.013392857142857142,0.05656512605042017,0.25297619047619047,0.0625,0.040599730458221024,0.06350250626566416,0.29464285714285715,0.10680272108843537,0.06995451482479784,0.08949829931972789,0.13058035714285715,0.010302197802197802,0.06011904761904762,0.06924077578051088,0.08842252913249891,0.13327859879584017,0.04224738675958188,0.22807017543859648,0.08234126984126984
-8,0.020875251509054327,0.013558201058201057,0.023928571428571428,0.16183035714285715,0.23047820823244553,0.05160807778608826,0.026213369963369964,0.029149159663865547,0.07536482334869431,0.042214100666173204,0.06926406926406926,0.05159340659340659,0.06981850117096018,0.21428571428571427,0.05272108843537415,0.11813186813186814,0.052361481975967954,0.008928571428571428,0.055734250221827854,0.20535714285714285,0.5044642857142857,0.047492401215805474,0.06340865992414665,0.31538865546218486,0.09629294755877035,0.07428075396825397,0.10431929181929181,0.15752551020408162,0.025530133928571428,0.06349206349206349,0.03759765625,0.08393364448051949,0.12092731829573936,0.05380639097744361,0.2109375,0.05714285714285715
-7,0.024951076320939333,0.020017281105990783,0.05142857142857142,0.11215986394557823,0.30241402116402116,0.048588039867109634,0.02756033920417482,0.030303030303030304,0.0679945054945055,0.057738095238095234,0.04858193277310924,0.06354748603351955,0.060078692493946734,0.11160714285714285,0.03762755102040816,0.07873376623376624,0.028078539107950874,0.010714285714285714,0.0728721129170231,0.19642857142857145,0.024553571428571428,0.015692640692640692,0.04681899641577061,0.365234375,0.12929645542427498,0.08713780323450135,0.11347680097680099,0.07738095238095238,0.028820072332730557,0.03192640692640693,0.07857142857142857,0.08307954964931709,0.11072862880091797,0.02460801393728223,0.18459302325581395,0.045177045177045176
