cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.01694915254237288,0.02127659574468085,0.0,0.013793103448275862,0.0,0.007246376811594203,0.0070921985815602835,0.0,0.015384615384615385,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.011904761904761904,0.0,0.0,0.0,0.011194029850746268,0.019230769230769232,0.0,0.015,0.015267175572519083,0.058823529411764705,0.024390243902439025,0.0,0.0,0.017857142857142856,0.004761904761904762,0.0,0.014285714285714285,
-18,0.013888888888888888,0.0,0.0,0.0,0.0,0.012269938650306749,0.016666666666666666,0.0,0.0,0.013114754098360656,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.00411522633744856,0.0,0.01639344262295082,0.01744186046511628,0.009174311926605505,0.0,0.0196078431372549,0.0,0.0078125,0.004618937644341801,0.007194244604316547,0.0,0.0,
-17,0.03773584905660377,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.007352941176470588,0.03125,0.023809523809523808,0.016304347826086956,0.0,0.0,0.02040816326530612,0.05405405405405406,0.0,0.014925373134328358,0.0,0.0,0.0,
-16,0.02631578947368421,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.009852216748768473,0.03333333333333333,0.0,0.0,,0.0,0.04,0.0,0.0,0.014423076923076924,0.0,0.0,0.0,0.0035087719298245615,0.02564102564102564,0.0,0.006289308176100629,0.00847457627118644,0.0,0.0,0.0,0.015384615384615385,0.008908685968819599,0.006756756756756757,0.0,0.0,
-15,0.0,0.0,0.0,0.020134228187919462,0.020833333333333332,0.004651162790697674,0.006172839506172839,0.0,0.0,0.02717391304347826,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.01282051282051282,0.0,0.009259259259259259,0.0,0.0,0.0,0.014652014652014652,0.0,0.0,0.01818181818181818,0.011363636363636364,0.0,0.017857142857142856,0.041666666666666664,0.0,0.0,0.015748031496062992,0.0,0.0,
-14,0.09375,0.030303030303030304,0.0,0.02197802197802198,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0196078431372549,0.0,0.0,0.03333333333333333,0.034482758620689655,0.0,0.00390625,0.008333333333333333,0.0,0.0,
-13,0.014285714285714285,0.0,0.058823529411764705,0.0,0.0,0.016574585635359115,0.018691588785046728,0.0,0.019230769230769232,0.005249343832020997,0.0,0.005865102639296188,0.0,0.0,0.0,0.0,0.026881720430107527,0.0,0.011627906976744186,0.0,0.0,0.01694915254237288,0.018018018018018018,0.0,0.018691588785046728,0.014084507042253521,0.0,0.06666666666666667,0.015384615384615385,0.0,0.008547008547008548,0.007874015748031496,0.004830917874396135,0.0,0.0,0.009174311926605505
-12,0.023255813953488372,0.0,0.05263157894736842,0.006097560975609756,0.0,0.01276595744680851,0.016736401673640166,0.0,0.010638297872340425,0.004807692307692308,0.0,0.014492753623188406,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.008733624454148471,0.0,0.009174311926605505,0.010471204188481676,0.006666666666666667,0.0,0.03773584905660377,0.037037037037037035,0.007407407407407408,0.016091954022988506,0.0196078431372549,0.0,0.0,0.0
-11,0.0379746835443038,0.02666666666666667,0.0,0.0,0.0,0.009708737864077669,0.004310344827586207,0.0,0.0,0.01079913606911447,0.0,0.016260162601626018,0.022727272727272728,0.1111111111111111,0.0,0.009615384615384616,0.013157894736842105,0.0,0.004081632653061225,0.0,0.0,0.0,0.012145748987854251,0.046511627906976744,0.009900990099009901,0.004424778761061947,0.0,0.0,0.0,0.03333333333333333,0.006622516556291391,0.013089005235602094,0.010752688172043012,0.0,0.0,0.03225806451612903
-10,0.0,0.017543859649122806,0.0,0.0,0.0,0.004291845493562232,0.03414634146341464,0.0,0.02666666666666667,0.0,0.0,0.018292682926829267,0.0,0.0,0.0,0.012195121951219513,0.004761904761904762,,0.0,0.0,0.0,0.0,0.012,0.03125,0.007936507936507936,0.01675977653631285,0.0,0.041666666666666664,0.0,0.11538461538461539,0.0,0.016713091922005572,0.01020408163265306,0.0,0.0,0.0
-9,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.00881057268722467,0.0,0.02247191011235955,0.007263922518159807,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.01293103448275862,0.0,0.011764705882352941,0.0,0.0,0.0,0.010526315789473684,0.037037037037037035,0.0,0.0,0.007936507936507936,0.0,0.01282051282051282,0.0,0.013157894736842105,0.006042296072507553,0.0038314176245210726,0.0,0.017543859649122806,0.015873015873015872
-8,0.028169014084507043,0.0,0.0,0.009615384615384616,0.01694915254237288,0.010471204188481676,0.004273504273504274,0.0,0.0,0.015544041450777202,0.0,0.015384615384615385,0.0,0.0,0.0,0.01282051282051282,0.02336448598130841,0.0,0.006211180124223602,0.0,0.0,0.02127659574468085,0.01327433628318584,0.0,0.02531645569620253,0.013888888888888888,0.0,0.0,0.0,0.022222222222222223,0.0,0.005681818181818182,0.013157894736842105,0.0,0.0,0.03076923076923077
