cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.03389830508474576,0.0,0.0,0.013793103448275862,0.09375,0.050724637681159424,0.014184397163120567,0.0,0.07692307692307693,0.027439024390243903,0.0,0.043478260869565216,0.04878048780487805,0.0,0.0,0.038461538461538464,0.05405405405405406,,0.15873015873015872,1.0,0.0,0.1044776119402985,0.05970149253731343,0.17307692307692307,0.0,0.055,0.10687022900763359,0.0,0.0,0.18181818181818182,0.11206896551724138,0.06919642857142858,0.09047619047619047,0.0,0.07142857142857142,
-18,0.0,0.0,0.0967741935483871,0.03787878787878788,0.04081632653061224,0.04294478527607362,0.008333333333333333,0.0,0.07042253521126761,0.029508196721311476,0.0,0.09090909090909091,0.025,0.0,0.75,0.05263157894736842,0.09090909090909091,0.0,0.1459227467811159,,0.0,0.08064516129032258,0.03292181069958848,0.18181818181818182,0.03278688524590164,0.011627906976744186,0.13761467889908258,0.0,0.0,0.40540540540540543,0.0703125,0.04387990762124711,0.16546762589928057,0.0,0.07246376811594203,
-17,0.018867924528301886,0.0,0.023809523809523808,0.020134228187919462,0.08163265306122448,0.01744186046511628,0.03205128205128205,0.0,0.11940298507462686,0.06666666666666667,0.1875,0.0,0.0,0.0,0.2,0.1111111111111111,0.018518518518518517,0.0,0.20388349514563106,0.0,0.14285714285714285,0.06382978723404255,0.04779411764705882,0.03125,0.047619047619047616,0.016304347826086956,0.08411214953271028,0.0,0.04081632653061224,0.16216216216216217,0.08163265306122448,0.03731343283582089,0.11038961038961038,0.0,0.14814814814814814,
-16,0.0,0.0,0.07142857142857142,0.037267080745341616,0.018867924528301886,0.017964071856287425,0.006172839506172839,0.0,0.03076923076923077,0.07389162561576355,0.03333333333333333,0.0,0.0,,0.16666666666666666,0.12,0.011111111111111112,0.0,0.14903846153846154,0.0,0.0,0.021739130434782608,0.07017543859649122,0.05128205128205128,0.1,0.03773584905660377,0.1271186440677966,0.0,0.0,0.2631578947368421,0.07692307692307693,0.062360801781737196,0.10135135135135136,0.0,0.07407407407407407,
-15,0.0,0.0,0.11764705882352941,0.006711409395973154,0.020833333333333332,0.046511627906976744,0.037037037037037035,0.06666666666666667,0.04081632653061224,0.07608695652173914,0.05,0.047619047619047616,0.022222222222222223,0.0,0.0,0.15,0.02564102564102564,0.0,0.09722222222222222,0.0,0.0,0.06896551724137931,0.04395604395604396,0.16666666666666666,0.02,0.024242424242424242,0.1590909090909091,0.0,0.0,0.2916666666666667,0.12598425196850394,0.04328018223234624,0.11023622047244094,0.05,0.10909090909090909,
-14,0.03125,0.0,0.0,0.054945054945054944,0.10344827586206896,0.01,0.009433962264150943,0.0,0.0,0.061452513966480445,0.05,0.04395604395604396,0.0,0.0,0.2222222222222222,0.061224489795918366,0.018518518518518517,0.0,0.0625,0.0,0.0,0.0,0.0546875,0.11538461538461539,0.125,0.0392156862745098,0.16666666666666666,0.0,0.03333333333333333,0.10344827586206896,0.037037037037037035,0.02734375,0.06666666666666667,0.07142857142857142,0.0,
-13,0.0,0.0,0.11764705882352941,0.016666666666666666,0.057692307692307696,0.04419889502762431,0.018691588785046728,0.0,0.07692307692307693,0.06561679790026247,0.046511627906976744,0.06158357771260997,0.0,0.0,0.0,0.0851063829787234,0.026881720430107527,0.0,0.16279069767441862,0.5,0.0,0.1016949152542373,0.04504504504504504,0.15517241379310345,0.09345794392523364,0.023474178403755867,0.09174311926605505,0.0,0.015384615384615385,0.3548387096774194,0.1111111111111111,0.06299212598425197,0.12560386473429952,0.15384615384615385,0.04878048780487805,0.027522935779816515
-12,0.0,0.0,0.10526315789473684,0.054878048780487805,0.1,0.04680851063829787,0.04602510460251046,0.0,0.06382978723404255,0.08413461538461539,0.046511627906976744,0.06956521739130435,0.015873015873015872,0.0,0.0,0.06578947368421052,0.037209302325581395,0.0,0.09053497942386832,0.0,0.0,0.06060606060606061,0.05240174672489083,0.19047619047619047,0.07339449541284404,0.015706806282722512,0.16666666666666666,0.045454545454545456,0.018867924528301886,0.18518518518518517,0.1111111111111111,0.06896551724137931,0.14215686274509803,0.125,0.06,0.017094017094017096
-11,0.0,0.0,0.0,0.05,0.061224489795918366,0.038834951456310676,0.017241379310344827,0.043478260869565216,0.08823529411764706,0.04319654427645788,0.05714285714285714,0.06233062330623306,0.022727272727272728,0.0,0.13333333333333333,0.09615384615384616,0.017543859649122806,0.0,0.08163265306122448,0.0,0.14285714285714285,0.08163265306122448,0.0728744939271255,0.16279069767441862,0.0297029702970297,0.017699115044247787,0.12408759124087591,0.0,0.0,0.2,0.11920529801324503,0.06544502617801047,0.13440860215053763,0.045454545454545456,0.109375,0.0
-10,0.025974025974025976,0.017543859649122806,0.05555555555555555,0.021505376344086023,0.08928571428571429,0.015736766809728183,0.004878048780487805,0.14634146341463414,0.05333333333333334,0.045112781954887216,0.037037037037037035,0.07621951219512195,0.0,0.0,0.08333333333333333,0.13414634146341464,0.009523809523809525,,0.10778443113772455,0.0,0.0,0.10256410256410256,0.032,0.0625,0.047619047619047616,0.0335195530726257,0.125,0.0,0.0,0.19230769230769232,0.10273972602739725,0.036211699164345405,0.14285714285714285,0.09302325581395349,0.07272727272727272,0.05172413793103448
