cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.10079575596816977,0.08833333333333333,0.15476190476190477,0.10894941634241245,0.14035087719298245,0.11133810010214505,0.056768558951965066,0.12698412698412698,0.17142857142857143,0.13596491228070176,0.16666666666666666,0.14655172413793102,0.08745247148288973,0.25,0.16666666666666666,0.08490566037735849,0.0979020979020979,0.0,0.12694704049844235,0.0,0.11428571428571428,0.19767441860465115,0.20933521923620935,0.09375,0.09417040358744394,0.1,0.18439716312056736,0.0425531914893617,0.0944206008583691,0.3238095238095238,0.10554089709762533,0.09603658536585366,0.08256880733944955,0.16260162601626016,0.16455696202531644,
-18,0.1239193083573487,0.07114624505928854,0.12162162162162163,0.09192825112107623,0.15246636771300448,0.11004784688995216,0.09090909090909091,0.12056737588652482,0.17164179104477612,0.14482758620689656,0.1610738255033557,0.07291666666666667,0.12322274881516587,0.0,0.21739130434782608,0.08490566037735849,0.09333333333333334,0.0,0.15337954939341422,0.0,0.10067114093959731,0.23529411764705882,0.23094688221709006,0.11737089201877934,0.10404624277456648,0.07625649913344887,0.2065439672801636,0.0,0.07766990291262135,0.25555555555555554,0.15151515151515152,0.09257842387146137,0.11715481171548117,0.0979020979020979,0.03896103896103896,
-17,0.1167192429022082,0.06318082788671024,0.18840579710144928,0.12608695652173912,0.12295081967213115,0.09753086419753086,0.0661764705882353,0.109375,0.11538461538461539,0.17551020408163265,0.1793103448275862,0.1323529411764706,0.10540540540540541,0.0,0.25,0.11,0.10407239819004525,0.0,0.13927855711422846,0.0,0.128,0.2465753424657534,0.21158129175946547,0.11049723756906077,0.11875,0.07099391480730223,0.21323529411764705,0.15384615384615385,0.12093023255813953,0.3565217391304348,0.1525974025974026,0.10886075949367088,0.07913669064748201,0.2358490566037736,0.13186813186813187,
-16,0.09565217391304348,0.08564814814814815,0.1927710843373494,0.1686746987951807,0.13658536585365855,0.11212814645308924,0.07282415630550622,0.128,0.1557377049180328,0.1242603550295858,0.18115942028985507,0.14285714285714285,0.08980582524271845,0.0,0.02857142857142857,0.13,0.05434782608695652,0.0,0.14054054054054055,0.0,0.11724137931034483,0.2153846153846154,0.19779005524861878,0.08839779005524862,0.12280701754385964,0.08023483365949119,0.1816326530612245,0.03571428571428571,0.07964601769911504,0.367816091954023,0.12244897959183673,0.09825145711906745,0.0778688524590164,0.18446601941747573,0.11956521739130435,
-15,0.10687022900763359,0.081145584725537,0.13414634146341464,0.1191919191919192,0.10900473933649289,0.10247349823321555,0.072,0.102803738317757,0.176056338028169,0.16141732283464566,0.19148936170212766,0.08860759493670886,0.08845208845208845,0.0,0.1111111111111111,0.125,0.07829181494661921,0.0,0.1302717900656045,0.0,0.10948905109489052,0.2608695652173913,0.19896373056994818,0.12637362637362637,0.13297872340425532,0.10515463917525773,0.19597989949748743,0.05555555555555555,0.10126582278481013,0.3,0.12539184952978055,0.11719418306244654,0.09195402298850575,0.16666666666666666,0.13157894736842105,
-14,0.1111111111111111,0.08571428571428572,0.13513513513513514,0.12661498708010335,0.1554054054054054,0.085667215815486,0.07183364839319471,0.15254237288135594,0.14173228346456693,0.11214953271028037,0.15517241379310345,0.05360134003350084,0.08950617283950617,0.0,0.125,0.11221122112211221,0.045060658578856154,0.0,0.1525,0.0,0.1375,0.2830188679245283,0.1880064829821718,0.056074766355140186,0.10897435897435898,0.1096938775510204,0.18,0.06818181818181818,0.07407407407407407,0.34523809523809523,0.11041009463722397,0.07377049180327869,0.04983922829581994,0.208955223880597,0.11764705882352941,
-13,0.12299465240641712,0.12080536912751678,0.0963855421686747,0.09,0.132,0.1060480530240265,0.06349206349206349,0.13178294573643412,0.11940298507462686,0.1506524317912218,0.14689265536723164,0.1149789029535865,0.08985024958402663,0.125,0.02857142857142857,0.10251450676982592,0.06724137931034482,0.0,0.1627069834413247,0.0,0.052795031055900624,0.34234234234234234,0.18806306306306306,0.14285714285714285,0.14984709480122324,0.09967845659163987,0.24937655860349128,0.10869565217391304,0.1,0.29896907216494845,0.16820276497695852,0.09443507588532883,0.08991228070175439,0.22758620689655173,0.08860759493670886,0.042042042042042045
-12,0.12781954887218044,0.08118811881188119,0.17045454545454544,0.10559006211180125,0.1198501872659176,0.11715089034676664,0.06645230439442658,0.08256880733944955,0.09549071618037135,0.13333333333333333,0.1541095890410959,0.1232876712328767,0.09073359073359073,0.0625,0.02564102564102564,0.14797136038186157,0.08375209380234507,0.0,0.17523167649536647,0.0,0.09090909090909091,0.2608695652173913,0.21878453038674034,0.08866995073891626,0.15846994535519127,0.0989399293286219,0.2479892761394102,0.07692307692307693,0.13304721030042918,0.36666666666666664,0.16826923076923078,0.06813996316758748,0.12962962962962962,0.13385826771653545,0.125,0.088659793814433
-11,0.08857142857142856,0.0907258064516129,0.15730337078651685,0.08808290155440414,0.12149532710280374,0.10824742268041238,0.06234718826405868,0.1095890410958904,0.16974169741697417,0.12857142857142856,0.15859030837004406,0.11252900232018562,0.09312638580931264,0.13333333333333333,0.03125,0.11506276150627615,0.08333333333333333,0.0,0.16618635926993275,0.0,0.09302325581395349,0.2823529411764706,0.17780294450736125,0.13812154696132597,0.14067278287461774,0.10815602836879433,0.2318840579710145,0.06666666666666667,0.11864406779661017,0.3548387096774194,0.1496437054631829,0.0962962962962963,0.11136363636363636,0.19444444444444445,0.06818181818181818,0.07094594594594594
-10,0.08493150684931507,0.07597535934291581,0.08536585365853659,0.0963855421686747,0.1588785046728972,0.0715619166148102,0.05442176870748299,0.13333333333333333,0.12935323383084577,0.13048368953880765,0.14953271028037382,0.09922822491730982,0.0892018779342723,0.14285714285714285,0.0,0.1282051282051282,0.07142857142857142,0.0,0.14146868250539957,0.0,0.10747663551401869,0.24299065420560748,0.17971334068357223,0.0871559633027523,0.13911845730027547,0.08424908424908426,0.2329803328290469,0.0,0.08943089430894309,0.30357142857142855,0.14356435643564355,0.08986784140969163,0.07861635220125786,0.1688888888888889,0.11940298507462686,0.06262626262626263
-9,0.0953757225433526,0.06526315789473684,0.125,0.1111111111111111,0.12807881773399016,0.09670563230605739,0.06299212598425197,0.08403361344537816,0.1285140562248996,0.1307596513075965,0.16363636363636364,0.10855683269476372,0.11294117647058824,0.15384615384615385,0.05263157894736842,0.12127659574468085,0.07913669064748201,,0.16274089935760172,,0.06642066420664207,0.31,0.19888268156424582,0.07471264367816093,0.1366906474820144,0.08102766798418973,0.2503556187766714,0.0425531914893617,0.07339449541284404,0.2403846153846154,0.18639798488664988,0.07929104477611941,0.10142348754448399,0.18857142857142858,0.11267605633802817,0.06419753086419754
-8,0.12130177514792899,0.06334841628959276,0.1518987341772152,0.10952380952380952,0.11267605633802817,0.12206572769953052,0.05449591280653951,0.13402061855670103,0.2149122807017544,0.16124837451235371,0.11458333333333333,0.11842105263157894,0.09408602150537634,0.16666666666666666,0.11764705882352941,0.12189616252821671,0.07243460764587525,0.0,0.15066828675577157,0.0,0.06818181818181818,0.11428571428571428,0.2130257801899593,0.13402061855670103,0.1482059282371295,0.09202453987730061,0.2695417789757412,0.0,0.11538461538461539,0.2857142857142857,0.14893617021276595,0.0841813135985199,0.11909262759924386,0.1902439024390244,0.07692307692307693,0.08762886597938144
