cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.03713527851458886,0.043333333333333335,0.047619047619047616,0.02529182879377432,0.028070175438596492,0.03983656792645557,0.023289665211062592,0.007936507936507936,0.03571428571428571,0.021929824561403508,0.04040404040404041,0.017241379310344827,0.03612167300380228,0.0,0.041666666666666664,0.03773584905660377,0.02097902097902098,0.0,0.022585669781931463,0.0,0.014285714285714285,0.023255813953488372,0.04596888260254597,0.013392857142857142,0.03587443946188341,0.028358208955223882,0.00851063829787234,0.0425531914893617,0.017167381974248927,0.11428571428571428,0.0158311345646438,0.03048780487804878,0.027522935779816515,0.024390243902439025,0.012658227848101266,
-18,0.03170028818443804,0.025691699604743084,0.05405405405405406,0.03587443946188341,0.013452914798206279,0.03827751196172249,0.016042780748663103,0.014184397163120567,0.007462686567164179,0.02586206896551724,0.020134228187919462,0.03125,0.04028436018957346,0.0,0.0,0.05660377358490566,0.017777777777777778,0.0,0.026863084922010397,0.0,0.026845637583892617,0.029411764705882353,0.03810623556581986,0.014084507042253521,0.028901734104046242,0.019064124783362217,0.012269938650306749,0.0,0.02912621359223301,0.1111111111111111,0.024793388429752067,0.026778882938026015,0.02092050209205021,0.0,0.05194805194805195,
-17,0.025236593059936908,0.0196078431372549,0.043478260869565216,0.041304347826086954,0.020491803278688523,0.030864197530864196,0.014705882352941176,0.0234375,0.007692307692307693,0.026530612244897958,0.027586206896551724,0.029411764705882353,0.010810810810810811,0.0,0.0,0.04,0.027149321266968326,0.0,0.02004008016032064,0.0,0.008,0.0410958904109589,0.0378619153674833,0.016574585635359115,0.025,0.038539553752535496,0.011029411764705883,0.07692307692307693,0.027906976744186046,0.11304347826086956,0.025974025974025976,0.026160337552742614,0.025179856115107913,0.0,0.01098901098901099,
-16,0.043478260869565216,0.037037037037037035,0.07228915662650602,0.03413654618473896,0.03902439024390244,0.02517162471395881,0.019538188277087035,0.04,0.02459016393442623,0.02564102564102564,0.014492753623188406,0.030612244897959183,0.021844660194174758,0.0,0.0,0.02,0.028985507246376812,0.0,0.02072072072072072,0.0,0.020689655172413793,0.015384615384615385,0.0430939226519337,0.0055248618784530384,0.023391812865497075,0.0273972602739726,0.01020408163265306,0.0,0.017699115044247787,0.11494252873563218,0.02040816326530612,0.026644462947543714,0.028688524590163935,0.009708737864077669,0.010869565217391304,
-15,0.02544529262086514,0.01909307875894988,0.04878048780487805,0.04040404040404041,0.009478672985781991,0.02591283863368669,0.0112,0.018691588785046728,0.04225352112676056,0.025590551181102362,0.03546099290780142,0.0,0.022113022113022112,0.0,0.022222222222222223,0.022727272727272728,0.021352313167259787,0.0,0.01780693533270853,0.0,0.043795620437956206,0.057971014492753624,0.031088082901554404,0.03296703296703297,0.031914893617021274,0.030927835051546393,0.005025125628140704,0.027777777777777776,0.016877637130801686,0.11818181818181818,0.0219435736677116,0.029940119760479042,0.017241379310344827,0.008771929824561403,0.05263157894736842,
-14,0.04938271604938271,0.03142857142857143,0.08108108108108109,0.046511627906976744,0.013513513513513514,0.0214168039538715,0.007561436672967864,0.03389830508474576,0.007874015748031496,0.04138851802403204,0.02586206896551724,0.02512562814070352,0.015432098765432098,0.0,0.08333333333333333,0.013201320132013201,0.024263431542461005,0.0,0.025,0.25,0.025,0.0,0.04213938411669368,0.0,0.03205128205128205,0.02806122448979592,0.008,0.022727272727272728,0.024691358024691357,0.09523809523809523,0.031545741324921134,0.020491803278688523,0.017684887459807074,0.0,0.09803921568627451,
-13,0.034759358288770054,0.015659955257270694,0.07228915662650602,0.03,0.004,0.01988400994200497,0.01473922902494331,0.007751937984496124,0.029850746268656716,0.033214709371293,0.022598870056497175,0.028481012658227847,0.03826955074875208,0.0,0.0,0.009671179883945842,0.013793103448275862,0.0,0.020158387329013677,0.0,0.009316770186335404,0.0,0.04279279279279279,0.015444015444015444,0.03567787971457696,0.022508038585209004,0.007481296758104738,0.021739130434782608,0.043478260869565216,0.10309278350515463,0.01152073732718894,0.026981450252951095,0.02850877192982456,0.0,0.012658227848101266,0.01001001001001001
-12,0.03508771929824561,0.027722772277227723,0.06818181818181818,0.041407867494824016,0.018726591760299626,0.023430178069353328,0.01822079314040729,0.009174311926605505,0.01856763925729443,0.02598870056497175,0.0410958904109589,0.0224159402241594,0.017374517374517374,0.0,0.07692307692307693,0.014319809069212411,0.021775544388609715,0.0,0.010951979780960405,0.0,0.007575757575757576,0.03260869565217391,0.04088397790055249,0.009852216748768473,0.023224043715846996,0.0176678445229682,0.00804289544235925,0.02564102564102564,0.030042918454935622,0.15833333333333333,0.019230769230769232,0.02394106813996317,0.026748971193415638,0.007874015748031496,0.025,0.01443298969072165
-11,0.037142857142857144,0.020161290322580645,0.07865168539325842,0.046632124352331605,0.018691588785046728,0.0288659793814433,0.017114914425427872,0.02054794520547945,0.033210332103321034,0.02023809523809524,0.039647577092511016,0.019721577726218097,0.015521064301552107,0.0,0.0,0.01882845188284519,0.020833333333333332,0.0,0.01921229586935639,0.0,0.011627906976744186,0.0,0.052095130237825596,0.011049723756906077,0.024464831804281346,0.01950354609929078,0.008695652173913044,0.0,0.03389830508474576,0.0967741935483871,0.019002375296912115,0.019444444444444445,0.029545454545454545,0.0,0.03409090909090909,0.006756756756756757
-10,0.030136986301369864,0.024640657084188913,0.036585365853658534,0.0391566265060241,0.018691588785046728,0.019912881144990666,0.010884353741496598,0.037037037037037035,0.029850746268656716,0.024746906636670417,0.018691588785046728,0.027563395810363836,0.02112676056338028,0.0,0.0,0.021367521367521368,0.027597402597402596,0.0,0.023758099352051837,0.0,0.03271028037383177,0.04672897196261682,0.05181918412348401,0.013761467889908258,0.01928374655647383,0.027472527472527472,0.006051437216338881,0.02702702702702703,0.032520325203252036,0.08928571428571429,0.0297029702970297,0.028193832599118944,0.036163522012578615,0.03111111111111111,0.029850746268656716,0.01818181818181818
