cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.0,0.0016666666666666668,0.0,0.0038910505836575876,0.0,0.0010214504596527069,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.000778816199376947,0.0,0.0,0.023255813953488372,0.0014144271570014145,0.004464285714285714,0.004484304932735426,0.0029850746268656717,0.00425531914893617,0.0,0.0,0.0,0.0,0.0038109756097560975,0.0030581039755351682,0.008130081300813009,0.0,
-18,0.0,0.0,0.0,0.002242152466367713,0.004484304932735426,0.0011961722488038277,0.0,0.0,0.007462686567164179,0.0017241379310344827,0.0,0.0,0.004739336492890996,0.0,0.0,0.009433962264150943,0.0,0.0,0.0008665511265164644,0.0,0.0,0.029411764705882353,0.005773672055427252,0.004694835680751174,0.011560693641618497,0.0034662045060658577,0.006134969325153374,0.0,0.0048543689320388345,0.044444444444444446,0.008264462809917356,0.00306044376434583,0.0,0.0,0.0,
-17,0.0,0.0,0.0,0.002173913043478261,0.004098360655737705,0.0012345679012345679,0.001838235294117647,0.0,0.0,0.006122448979591836,0.0,0.0,0.002702702702702703,0.0,0.0,0.0,0.004524886877828055,0.0,0.006012024048096192,0.0,0.0,0.0,0.005567928730512249,0.0,0.0125,0.0,0.003676470588235294,0.0,0.004651162790697674,0.02608695652173913,0.0,0.007594936708860759,0.0,0.0,0.01098901098901099,
-16,0.002898550724637681,0.0,0.0,0.004016064257028112,0.00975609756097561,0.003432494279176201,0.0,0.0,0.01639344262295082,0.0019723865877712033,0.0,0.0,0.0024271844660194173,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0009009009009009009,0.0,0.0,0.0,0.0055248618784530384,0.0,0.005847953216374269,0.005870841487279843,0.012244897959183673,0.0,0.008849557522123894,0.0,0.0,0.004995836802664446,0.0,0.0,0.021739130434782608,
-15,0.002544529262086514,0.0,0.0,0.00808080808080808,0.004739336492890996,0.001177856301531213,0.0016,0.0,0.014084507042253521,0.005905511811023622,0.0,0.0,0.004914004914004914,0.0,0.0,0.0,0.0,0.0,0.0009372071227741331,0.0,0.0,0.014492753623188406,0.0031088082901554403,0.005494505494505495,0.02127659574468085,0.008247422680412371,0.002512562814070352,0.0,0.0,0.0,0.0,0.00427715996578272,0.0,0.008771929824561403,0.0,
-14,0.00411522633744856,0.002857142857142857,0.0,0.0,0.0,0.0032948929159802307,0.003780718336483932,0.0,0.0,0.0026702269692923898,0.0,0.0008375209380234506,0.0,0.0,0.0,0.006600660066006601,0.0017331022530329288,0.0,0.00125,0.0,0.0,0.0,0.004862236628849271,0.0,0.00641025641025641,0.00510204081632653,0.0,0.0,0.0,0.0,0.006309148264984227,0.0030737704918032786,0.0,0.0,0.0,
-13,0.00267379679144385,0.0,0.024096385542168676,0.0016666666666666668,0.012,0.0,0.0045351473922902496,0.0,0.0,0.005931198102016607,0.0,0.006329113924050633,0.0016638935108153079,0.0,0.0,0.0019342359767891683,0.0034482758620689655,0.0,0.0014398848092152627,0.0,0.0,0.0,0.0033783783783783786,0.003861003861003861,0.007135575942915392,0.003215434083601286,0.0024937655860349127,0.0,0.0,0.041237113402061855,0.004608294930875576,0.006745362563237774,0.0021929824561403508,0.006896551724137931,0.0,0.002002002002002002
-12,0.0,0.0,0.0,0.004140786749482402,0.0,0.0009372071227741331,0.004287245444801715,0.0,0.002652519893899204,0.0022598870056497176,0.0,0.0062266500622665,0.0019305019305019305,0.0,0.0,0.002386634844868735,0.005025125628140704,0.0,0.002527379949452401,0.0,0.0,0.010869565217391304,0.0033149171270718232,0.0049261083743842365,0.009562841530054645,0.0088339222614841,0.002680965147453083,0.02564102564102564,0.004291845493562232,0.008333333333333333,0.002403846153846154,0.0027624309392265192,0.00205761316872428,0.0,0.0125,0.002061855670103093
-11,0.0,0.0,0.0,0.0051813471502590676,0.004672897196261682,0.0010309278350515464,0.0024449877750611247,0.0,0.007380073800738007,0.004761904761904762,0.004405286343612335,0.0034802784222737818,0.004434589800443459,0.0,0.0,0.0041841004184100415,0.003472222222222222,0.0,0.0019212295869356388,0.0,0.0,0.0,0.011325028312570781,0.0055248618784530384,0.0061162079510703364,0.0,0.005797101449275362,0.0,0.0,0.0,0.0,0.008333333333333333,0.006818181818181818,0.0,0.0,0.0
-10,0.0027397260273972603,0.0,0.036585365853658534,0.0,0.004672897196261682,0.0006222775357809583,0.0,0.0,0.01990049751243781,0.0011248593925759281,0.0,0.002205071664829107,0.0,0.0,0.0,0.004273504273504274,0.003246753246753247,0.0,0.0010799136069114472,0.0,0.0,0.009345794392523364,0.005512679162072767,0.0045871559633027525,0.005509641873278237,0.01098901098901099,0.0045385779122541605,0.0,0.0040650406504065045,0.026785714285714284,0.0049504950495049506,0.001762114537444934,0.0031446540880503146,0.008888888888888889,0.014925373134328358,0.006060606060606061
-9,0.002890173410404624,0.002105263157894737,0.0,0.0,0.009852216748768473,0.0010626992561105207,0.003937007874015748,0.0,0.0,0.008717310087173101,0.004545454545454545,0.002554278416347382,0.0,0.0,0.0,0.010638297872340425,0.0017985611510791368,,0.0021413276231263384,,0.0,0.01,0.0011173184357541898,0.0,0.0057553956834532375,0.007905138339920948,0.004267425320056899,0.0,0.0,0.038461538461538464,0.007556675062972292,0.002798507462686567,0.005338078291814947,0.005714285714285714,0.0,0.0049382716049382715
-8,0.0029585798816568047,0.0,0.0,0.0015873015873015873,0.0,0.0,0.0,0.0,0.0043859649122807015,0.0039011703511053317,0.005208333333333333,0.002631578947368421,0.008064516129032258,0.0,0.0,0.009029345372460496,0.0,0.0,0.0,0.0,0.0,0.0,0.005427408412483039,0.0,0.0046801872074883,0.00408997955010225,0.0026954177897574125,0.0,0.0,0.017857142857142856,0.0,0.0027752081406105457,0.011342155009451797,0.004878048780487805,0.015384615384615385,0.010309278350515464
-7,0.0,0.0,0.009900990099009901,0.002109704641350211,0.0,0.0,0.0013192612137203166,0.0,0.012448132780082987,0.006915629322268326,0.0,0.0014104372355430183,0.0,0.0,0.0,0.0,0.0022371364653243847,0.0,0.0020876826722338203,0.0,0.0,0.02631578947368421,0.006127450980392157,0.0,0.0091324200913242,0.004524886877828055,0.003076923076923077,0.0,0.0,0.02830188679245283,0.0,0.00458295142071494,0.010080645161290322,0.0,0.0,0.007772020725388601
-6,0.007017543859649123,0.0,0.0,0.003738317757009346,0.004329004329004329,0.004197271773347324,0.0,0.0070921985815602835,0.0078125,0.0076726342710997444,0.004405286343612335,0.0048721071863581,0.0,0.0,0.0,0.0,0.0056925996204933585,0.0,0.0016722408026755853,0.0,0.0,0.0,0.006741573033707865,0.0,0.007692307692307693,0.0036231884057971015,0.0013908205841446453,0.0,0.00425531914893617,0.010101010101010102,0.007556675062972292,0.005025125628140704,0.001937984496124031,0.0,0.0,0.0
-5,0.0,0.0017825311942959,0.012987012987012988,0.0018248175182481751,0.004032258064516129,0.0020181634712411706,0.0037359900373599006,0.0,0.007434944237918215,0.008871989860583017,0.008968609865470852,0.0057670126874279125,0.0037593984962406013,0.0,0.0,0.008869179600886918,0.0,0.0,0.0008795074758135445,0.0,0.0,0.0064516129032258064,0.0013054830287206266,0.004807692307692308,0.005891016200294551,0.0017301038062283738,0.0027472527472527475,0.02631578947368421,0.004016064257028112,0.016260162601626018,0.007772020725388601,0.003386960203217612,0.0078125,0.005988023952095809,0.0,0.0024449877750611247
-4,0.0,0.0,0.023529411764705882,0.0017482517482517483,0.0044444444444444444,0.0009970089730807576,0.007751937984496124,0.0,0.0036101083032490976,0.002770083102493075,0.0,0.0048721071863581,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0023346303501945525,0.0,0.0,0.02702702702702703,0.007891770011273957,0.0,0.007936507936507936,0.0,0.0030581039755351682,0.0,0.0040650406504065045,0.0,0.0,0.0035587188612099642,0.0017391304347826088,0.0,0.0,0.002702702702702703
-3,0.009433962264150943,0.0,0.0,0.0,0.008097165991902834,0.001001001001001001,0.0026917900403768506,0.0,0.0076045627376425855,0.0037313432835820895,0.0,0.0023837902264600714,0.0,0.0,0.0,0.006423982869379015,0.0035714285714285713,0.0,0.004294917680744453,0.0,0.0,0.006172839506172839,0.003658536585365854,0.0,0.001314060446780552,0.008281573498964804,0.009549795361527967,0.0,0.004347826086956522,0.0,0.002242152466367713,0.0034812880765883376,0.0038684719535783366,0.005780346820809248,0.0,0.007936507936507936
-2,0.0,0.0023148148148148147,0.01282051282051282,0.001851851851851852,0.0,0.0029469548133595285,0.006418485237483954,0.0,0.0035842293906810036,0.0035885167464114833,0.0,0.007453416149068323,0.0,0.0,0.0,0.0,0.005649717514124294,,0.00141643059490085,0.0,0.0,0.006756756756756757,0.005470459518599562,0.0,0.0015479876160990713,0.0020242914979757085,0.007022471910112359,0.023255813953488372,0.0,0.007518796992481203,0.002398081534772182,0.006944444444444444,0.002066115702479339,0.0,0.0,0.0
-1,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0019569471624266144,0.0,0.0,0.0036101083032490976,0.004087193460490463,0.0,0.0027359781121751026,0.002127659574468085,0.0,0.0,0.002053388090349076,0.0,0.0,0.0022271714922048997,0.0,0.0,0.0,0.002369668246445498,0.0,0.004160887656033287,0.0,0.0026917900403768506,0.0,0.0,0.0,0.007462686567164179,0.00176522506619594,0.00423728813559322,0.0,0.014285714285714285,0.005649717514124294
