cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.10344827586206896,0.06833333333333333,0.20238095238095238,0.19066147859922178,0.13333333333333333,0.13585291113381,0.07278020378457059,0.15873015873015872,0.2642857142857143,0.19298245614035087,0.16161616161616163,0.06896551724137931,0.1444866920152091,0.25,0.25,0.19811320754716982,0.12237762237762238,0.0,0.16510903426791276,0.0,0.2357142857142857,0.13953488372093023,0.2708628005657709,0.21428571428571427,0.20179372197309417,0.16567164179104477,0.26099290780141843,0.10638297872340426,0.10300429184549356,0.3523809523809524,0.1741424802110818,0.12347560975609756,0.11009174311926606,0.24390243902439024,0.06329113924050633,
-18,0.12680115273775217,0.04743083003952569,0.17567567567567569,0.19506726457399104,0.13004484304932734,0.14832535885167464,0.06417112299465241,0.1773049645390071,0.23134328358208955,0.1879310344827586,0.1610738255033557,0.03125,0.17298578199052134,0.0,0.2608695652173913,0.22641509433962265,0.17333333333333334,0.0,0.1655112651646447,0.0,0.20134228187919462,0.11764705882352941,0.312933025404157,0.24413145539906103,0.23121387283236994,0.1611785095320624,0.2658486707566462,0.12903225806451613,0.11650485436893204,0.2111111111111111,0.17079889807162535,0.12471308339709258,0.16736401673640167,0.21678321678321677,0.1038961038961039,
-17,0.138801261829653,0.05228758169934641,0.2318840579710145,0.22391304347826088,0.13524590163934427,0.17037037037037037,0.06801470588235294,0.1640625,0.17692307692307693,0.20612244897959184,0.15862068965517243,0.058823529411764705,0.17027027027027028,0.16666666666666666,0.1875,0.23,0.19004524886877827,0.0,0.17234468937875752,0.0,0.232,0.136986301369863,0.31625835189309576,0.1878453038674033,0.1875,0.18661257606490872,0.23713235294117646,0.1282051282051282,0.12093023255813953,0.26956521739130435,0.14935064935064934,0.16540084388185655,0.15467625899280577,0.25471698113207547,0.10989010989010989,
-16,0.12753623188405797,0.08564814814814815,0.18072289156626506,0.23092369477911648,0.13170731707317074,0.18306636155606407,0.08348134991119005,0.104,0.2540983606557377,0.26232741617357,0.12318840579710146,0.1326530612244898,0.12135922330097088,0.2,0.17142857142857143,0.19,0.12318840579710146,0.0,0.15225225225225225,0.3333333333333333,0.25517241379310346,0.16923076923076924,0.2640883977900553,0.2154696132596685,0.1871345029239766,0.18003913894324852,0.2714285714285714,0.10714285714285714,0.11061946902654868,0.3333333333333333,0.12585034013605442,0.1357202331390508,0.0942622950819672,0.2912621359223301,0.13043478260869565,
-15,0.11195928753180662,0.06682577565632458,0.08536585365853659,0.21616161616161617,0.10426540284360189,0.16607773851590105,0.0816,0.14018691588785046,0.2112676056338028,0.23622047244094488,0.15602836879432624,0.10126582278481013,0.14004914004914004,0.0,0.08888888888888889,0.2159090909090909,0.10320284697508897,0.0,0.14339268978444236,0.0,0.2116788321167883,0.15942028985507245,0.29533678756476683,0.1978021978021978,0.20212765957446807,0.1979381443298969,0.27386934673366836,0.05555555555555555,0.10548523206751055,0.21818181818181817,0.15673981191222572,0.1360136869118905,0.13218390804597702,0.19298245614035087,0.15789473684210525,
-14,0.102880658436214,0.06285714285714286,0.16216216216216217,0.2351421188630491,0.12162162162162163,0.17462932454695224,0.08506616257088846,0.2033898305084746,0.28346456692913385,0.1802403204272363,0.1810344827586207,0.06700167504187604,0.1574074074074074,0.0,0.20833333333333334,0.25412541254125415,0.14558058925476602,0.0,0.1775,0.0,0.225,0.1509433962264151,0.26904376012965964,0.1588785046728972,0.20512820512820512,0.2066326530612245,0.264,0.09090909090909091,0.08641975308641975,0.2857142857142857,0.14826498422712933,0.13319672131147542,0.10289389067524116,0.34328358208955223,0.0,
-13,0.15775401069518716,0.10738255033557047,0.1566265060240964,0.18833333333333332,0.116,0.15410107705053852,0.07709750566893424,0.20930232558139536,0.20149253731343283,0.17793594306049823,0.12994350282485875,0.0938818565400844,0.1464226289517471,0.0,0.11428571428571428,0.17794970986460348,0.13275862068965516,0.0,0.1900647948164147,0.0,0.08385093167701864,0.22522522522522523,0.26126126126126126,0.23938223938223938,0.19877675840978593,0.19292604501607716,0.27680798004987534,0.17391304347826086,0.12173913043478261,0.26804123711340205,0.195852534562212,0.12141652613827993,0.1162280701754386,0.32413793103448274,0.12658227848101267,0.07907907907907907
-12,0.12280701754385964,0.07326732673267326,0.13636363636363635,0.2360248447204969,0.13108614232209737,0.18556701030927836,0.0782422293676313,0.06422018348623854,0.1724137931034483,0.19661016949152543,0.10616438356164383,0.12079701120797011,0.15444015444015444,0.25,0.07692307692307693,0.2529832935560859,0.12562814070351758,0.0,0.1954507160909857,0.0,0.1590909090909091,0.09782608695652174,0.2950276243093923,0.1724137931034483,0.1994535519125683,0.21024734982332155,0.3257372654155496,0.05128205128205128,0.12017167381974249,0.275,0.16826923076923078,0.12154696132596685,0.15637860082304528,0.23622047244094488,0.0625,0.12164948453608247
-11,0.11714285714285715,0.0846774193548387,0.19101123595505617,0.16839378238341968,0.1308411214953271,0.1824742268041237,0.07334963325183375,0.1506849315068493,0.2177121771217712,0.19285714285714287,0.12334801762114538,0.12296983758700696,0.15299334811529933,0.13333333333333333,0.1875,0.23640167364016737,0.1371527777777778,0.0,0.21037463976945245,0.0,0.11627906976744186,0.21176470588235294,0.2785956964892412,0.22099447513812154,0.19418960244648317,0.17375886524822695,0.3072463768115942,0.15555555555555556,0.15254237288135594,0.24731182795698925,0.15914489311163896,0.11944444444444445,0.13863636363636364,0.2638888888888889,0.1590909090909091,0.09797297297297297
-10,0.1178082191780822,0.06570841889117043,0.13414634146341464,0.16566265060240964,0.12149532710280374,0.104542626011201,0.07755102040816327,0.0962962962962963,0.21890547263681592,0.1923509561304837,0.1261682242990654,0.11466372657111357,0.176056338028169,0.14285714285714285,0.1111111111111111,0.26282051282051283,0.125,0.0,0.23326133909287258,0.0,0.1261682242990654,0.205607476635514,0.27122381477398017,0.24770642201834864,0.20385674931129477,0.13003663003663005,0.32829046898638425,0.08108108108108109,0.1016260162601626,0.19642857142857142,0.16831683168316833,0.12158590308370044,0.12421383647798742,0.22666666666666666,0.11940298507462686,0.08888888888888889
