cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.010610079575596816,0.025,0.08333333333333333,0.038910505836575876,0.042105263157894736,0.03983656792645557,0.020378457059679767,0.015873015873015872,0.05714285714285714,0.03508771929824561,0.05555555555555555,0.02586206896551724,0.026615969581749048,0.0,0.041666666666666664,0.04716981132075472,0.017482517482517484,0.0,0.029595015576323987,0.0,0.03571428571428571,0.10465116279069768,0.04738330975954738,0.044642857142857144,0.004484304932735426,0.03134328358208955,0.04822695035460993,0.02127659574468085,0.02145922746781116,0.02857142857142857,0.021108179419525065,0.038109756097560975,0.027522935779816515,0.016260162601626018,0.02531645569620253,
-18,0.020172910662824207,0.019762845849802372,0.02702702702702703,0.042600896860986545,0.04484304932735426,0.04066985645933014,0.0285204991087344,0.0,0.07462686567164178,0.04482758620689655,0.053691275167785234,0.0,0.04265402843601896,0.0,0.043478260869565216,0.02830188679245283,0.017777777777777778,0.0,0.0389948006932409,0.0,0.040268456375838924,0.058823529411764705,0.050808314087759814,0.06103286384976526,0.05202312138728324,0.03292894280762565,0.0736196319018405,0.0,0.024271844660194174,0.08888888888888889,0.02203856749311295,0.03289977046671767,0.02092050209205021,0.027972027972027972,0.012987012987012988,
-17,0.022082018927444796,0.017429193899782137,0.043478260869565216,0.0391304347826087,0.045081967213114756,0.03580246913580247,0.04411764705882353,0.015625,0.06153846153846154,0.07755102040816327,0.05517241379310345,0.014705882352941176,0.043243243243243246,0.0,0.0625,0.03,0.01809954751131222,0.0,0.028056112224448898,0.0,0.032,0.0684931506849315,0.0467706013363029,0.022099447513812154,0.0125,0.02636916835699797,0.0661764705882353,0.05128205128205128,0.027906976744186046,0.034782608695652174,0.032467532467532464,0.0270042194092827,0.014388489208633094,0.07547169811320754,0.04395604395604396,
-16,0.017391304347826087,0.016203703703703703,0.03614457831325301,0.050200803212851405,0.06341463414634146,0.030892448512585814,0.02664298401420959,0.016,0.01639344262295082,0.04930966469428008,0.043478260869565216,0.030612244897959183,0.0412621359223301,0.2,0.0,0.06,0.028985507246376812,0.0,0.03153153153153153,0.0,0.041379310344827586,0.06153846153846154,0.05303867403314917,0.049723756906077346,0.029239766081871343,0.023483365949119372,0.09183673469387756,0.0,0.02654867256637168,0.11494252873563218,0.047619047619047616,0.028309741881765195,0.036885245901639344,0.05825242718446602,0.0,
-15,0.017811704834605598,0.026252983293556086,0.07317073170731707,0.03838383838383838,0.03317535545023697,0.027090694935217905,0.0256,0.018691588785046728,0.07746478873239436,0.0531496062992126,0.04964539007092199,0.02531645569620253,0.036855036855036855,0.0,0.08888888888888889,0.03409090909090909,0.017793594306049824,0.0,0.02717900656044986,0.0,0.014598540145985401,0.057971014492753624,0.04145077720207254,0.04945054945054945,0.031914893617021274,0.02268041237113402,0.07788944723618091,0.05555555555555555,0.02109704641350211,0.11818181818181818,0.025078369905956112,0.030795551753635585,0.034482758620689655,0.07894736842105263,0.05263157894736842,
-14,0.00411522633744856,0.017142857142857144,0.02702702702702703,0.05167958656330749,0.04054054054054054,0.03789126853377265,0.011342155009451797,0.0,0.03937007874015748,0.03871829105473965,0.034482758620689655,0.008375209380234505,0.024691358024691357,0.0,0.0,0.009900990099009901,0.022530329289428077,0.0,0.03125,0.0,0.0375,0.05660377358490566,0.03403565640194489,0.06542056074766354,0.03205128205128205,0.03571428571428571,0.064,0.022727272727272728,0.024691358024691357,0.08333333333333333,0.022082018927444796,0.022540983606557378,0.02090032154340836,0.029850746268656716,0.058823529411764705,
-13,0.013368983957219251,0.035794183445190156,0.012048192771084338,0.04833333333333333,0.036,0.03148301574150787,0.013605442176870748,0.023255813953488372,0.04477611940298507,0.054567022538552785,0.05084745762711865,0.011603375527426161,0.03494176372712146,0.0,0.0,0.02127659574468085,0.02413793103448276,0.0,0.043916486681065514,0.0,0.021739130434782608,0.06306306306306306,0.04504504504504504,0.05405405405405406,0.0254841997961264,0.03215434083601286,0.0798004987531172,0.0,0.017391304347826087,0.08247422680412371,0.02534562211981567,0.023608768971332208,0.03070175438596491,0.04827586206896552,0.0379746835443038,0.008008008008008008
-12,0.020050125313283207,0.01782178217821782,0.045454545454545456,0.043478260869565216,0.0299625468164794,0.03748828491096532,0.021436227224008574,0.03669724770642202,0.07427055702917772,0.04067796610169491,0.04452054794520548,0.0186799501867995,0.02895752895752896,0.0625,0.0,0.03341288782816229,0.01340033500837521,0.0,0.03706823925863521,0.0,0.01893939393939394,0.08695652173913043,0.03867403314917127,0.029556650246305417,0.031420765027322405,0.028268551236749116,0.05227882037533512,0.07692307692307693,0.012875536480686695,0.03333333333333333,0.03125,0.016574585635359115,0.04526748971193416,0.047244094488188976,0.05,0.018556701030927835
-11,0.011428571428571429,0.028225806451612902,0.056179775280898875,0.02849740932642487,0.03271028037383177,0.042268041237113405,0.01589242053789731,0.00684931506849315,0.06642066420664207,0.04523809523809524,0.04405286343612335,0.015081206496519721,0.03325942350332594,0.0,0.0625,0.012552301255230125,0.013888888888888888,0.0,0.05091258405379443,0.0,0.05813953488372093,0.058823529411764705,0.03737259343148358,0.06629834254143646,0.02599388379204893,0.02127659574468085,0.050724637681159424,0.022222222222222223,0.01694915254237288,0.08602150537634409,0.030878859857482184,0.025925925925925925,0.020454545454545454,0.027777777777777776,0.03409090909090909,0.02027027027027027
-10,0.01643835616438356,0.014373716632443531,0.036585365853658534,0.0391566265060241,0.04205607476635514,0.02862476664592408,0.02040816326530612,0.02962962962962963,0.03980099502487562,0.047244094488188976,0.04205607476635514,0.015435501653803748,0.025821596244131457,0.0,0.0,0.023504273504273504,0.01948051948051948,0.0,0.04319654427645788,0.0,0.03271028037383177,0.06542056074766354,0.04630650496141125,0.01834862385321101,0.046831955922865015,0.0347985347985348,0.06202723146747353,0.0,0.02032520325203252,0.08035714285714286,0.034653465346534656,0.019383259911894272,0.01729559748427673,0.04888888888888889,0.014925373134328358,0.01818181818181818
