cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.3187250996015936,0.1995528228060369,0.4818181818181818,0.40038684719535783,0.4610027855153203,0.26293365794278756,0.2614742698191933,0.2849740932642487,0.2903225806451613,0.2967189728958631,0.32558139534883723,0.21382289416846653,0.20868113522537562,0.42857142857142855,0.2692307692307692,0.3393939393939394,0.2549019607843137,0.06896551724137931,0.36590131900341966,0.0,0.29245283018867924,0.4439461883408072,0.350197628458498,0.18421052631578946,0.3059210526315789,0.2399193548387097,0.447926267281106,0.21810699588477367,0.32867132867132864,0.4823529411764706,0.3086560364464693,0.2198868229587712,0.2638580931263858,0.32786885245901637,0.40816326530612246,
-18,0.3129836629406707,0.19954648526077098,0.3023255813953488,0.3549107142857143,0.420545746388443,0.242467718794835,0.25861126298523784,0.24083769633507854,0.26126126126126126,0.28252299605781866,0.367595818815331,0.26128266033254155,0.21241830065359477,0.30303030303030304,0.2631578947368421,0.3146853146853147,0.22128851540616246,0.19047619047619047,0.3651226158038147,0.5,0.21739130434782608,0.4816326530612245,0.42857142857142855,0.32867132867132864,0.3143939393939394,0.21031746031746032,0.4245385450597177,0.24468085106382978,0.3148614609571788,0.5906040268456376,0.3064295485636115,0.2586068855084067,0.26332288401253917,0.32051282051282054,0.39923954372623577,
-17,0.30599647266313934,0.18607442977190877,0.3300970873786408,0.4036144578313253,0.4020442930153322,0.2537202380952381,0.24013157894736842,0.2748091603053435,0.21176470588235294,0.3267857142857143,0.346483704974271,0.27882037533512066,0.23224568138195778,0.4473684210526316,0.10714285714285714,0.36551724137931035,0.24623115577889448,0.045454545454545456,0.3825944170771757,0.2857142857142857,0.28865979381443296,0.4577777777777778,0.407158836689038,0.2992125984251969,0.3107569721115538,0.27896995708154504,0.42446808510638295,0.23,0.23636363636363636,0.5870967741935483,0.3052464228934817,0.24826989619377163,0.26725403817914833,0.41954022988505746,0.4115755627009646,
-16,0.30706742485783917,0.20632279534109818,0.41284403669724773,0.3609022556390977,0.43728813559322033,0.2610216934919524,0.25360384410037373,0.2827586206896552,0.2536231884057971,0.325508607198748,0.36300174520069806,0.27807486631016043,0.24632352941176472,0.1935483870967742,0.2727272727272727,0.3588235294117647,0.22767857142857142,0.07407407407407407,0.34024455077086657,0.2857142857142857,0.23333333333333334,0.463768115942029,0.3707482993197279,0.2808219178082192,0.32280701754385965,0.23742454728370221,0.44191096634093374,0.27053140096618356,0.30788804071246817,0.5714285714285714,0.3347222222222222,0.24216765453005928,0.2650231124807396,0.4,0.4217252396166134,
-15,0.2997502081598668,0.1978085351787774,0.3302752293577982,0.38330170777988615,0.4385026737967914,0.2415966386554622,0.2624338624338624,0.3248407643312102,0.21875,0.32653061224489793,0.34775374376039936,0.23919308357348704,0.2390158172231986,0.30434782608695654,0.20588235294117646,0.3525641025641026,0.22380952380952382,0.125,0.3473053892215569,0.4,0.30337078651685395,0.460093896713615,0.40770101925254815,0.24375,0.3466666666666667,0.22157996146435452,0.47368421052631576,0.265625,0.28851540616246496,0.5714285714285714,0.2894736842105263,0.27335047129391604,0.2926315789473684,0.31794871794871793,0.3920863309352518,
-14,0.2770780856423174,0.17968094038623006,0.41935483870967744,0.3835978835978836,0.45426829268292684,0.25542406311637084,0.2530664945125888,0.3069306930693069,0.30701754385964913,0.23245283018867924,0.32599118942731276,0.2040104620749782,0.24054054054054055,0.25,0.22,0.27611940298507465,0.19927536231884058,0.0,0.3532513181019332,0.1111111111111111,0.32857142857142857,0.43349753694581283,0.3866231647634584,0.16842105263157894,0.2894736842105263,0.2442528735632184,0.5256637168141592,0.20430107526881722,0.2534722222222222,0.46078431372549017,0.28313253012048195,0.23588039867109634,0.23906976744186045,0.40875912408759124,0.46,
-13,0.2738799661876585,0.20715835140997832,0.35,0.3572679509632224,0.4368,0.22240896358543416,0.24860231084606785,0.2784090909090909,0.3025210084033613,0.31271015467383995,0.3561847988077496,0.2919401417694933,0.1374900079936051,0.36363636363636365,0.3132530120481928,0.29916317991631797,0.22098214285714285,0.058823529411764705,0.3517561983471074,0.18181818181818182,0.125,0.41724137931034483,0.41712403951701427,0.2573099415204678,0.30423042304230424,0.27239488117001825,0.46920492721164614,0.22404371584699453,0.24669603524229075,0.4972677595628415,0.27195767195767195,0.2665457842248413,0.31556319862424764,0.41954022988505746,0.3957597173144876,0.17747216764898494
-12,0.25842696629213485,0.20207792207792208,0.3448275862068966,0.384070796460177,0.4590690208667737,0.23192596876807403,0.2544271774485002,0.310126582278481,0.2465753424657534,0.29853723404255317,0.338785046728972,0.3138918345705196,0.19225634178905207,0.29411764705882354,0.25,0.32967032967032966,0.22803114571746386,0.29411764705882354,0.3672496025437202,0.2727272727272727,0.16666666666666666,0.42857142857142855,0.41470888661899896,0.20833333333333334,0.31453362255965295,0.21746880570409982,0.5008605851979346,0.26356589147286824,0.24242424242424243,0.5365853658536586,0.2834051724137931,0.25240174672489085,0.298744769874477,0.4527363184079602,0.4536082474226804,0.23121387283236994
-11,0.26107226107226106,0.1899000526038927,0.2916666666666667,0.369620253164557,0.4652777777777778,0.23953638119768192,0.23432601880877743,0.39790575916230364,0.30158730158730157,0.2895670688431512,0.3008595988538682,0.29431072210065645,0.17797695262483995,0.20588235294117646,0.2839506172839506,0.3393665158371041,0.2222222222222222,0.08333333333333333,0.3681660899653979,0.29411764705882354,0.1276595744680851,0.4358974358974359,0.38341968911917096,0.2702702702702703,0.3370660694288914,0.2441077441077441,0.46526508226691043,0.2922374429223744,0.2676659528907923,0.5987261146496815,0.3,0.22905525846702318,0.274822695035461,0.3693181818181818,0.4696969696969697,0.1912442396313364
-10,0.266613290632506,0.15941176470588236,0.34615384615384615,0.3828125,0.4540441176470588,0.1927710843373494,0.25255102040816324,0.33980582524271846,0.3591549295774648,0.2924137931034483,0.31345565749235477,0.3039838337182448,0.20662251655629138,0.34210526315789475,0.25,0.33406593406593404,0.24532710280373832,0.16666666666666666,0.38099389712292936,0.5,0.11612903225806452,0.432,0.4219977553310887,0.24113475177304963,0.29791894852135814,0.26095617529880477,0.47096774193548385,0.23923444976076555,0.25121951219512195,0.5760869565217391,0.2866004962779156,0.24267399267399267,0.276184122748499,0.4307692307692308,0.3745928338762215,0.2589928057553957
-9,0.2529738302934179,0.19677033492822968,0.4074074074074074,0.4045584045584046,0.49269311064718163,0.23209718670076726,0.23864101514531313,0.30319148936170215,0.25471698113207547,0.3137108792846498,0.2978723404255319,0.2971629131324949,0.2690513219284603,0.3111111111111111,0.27941176470588236,0.3277661795407098,0.20162224797219003,0.11764705882352941,0.37509491268033407,0.14285714285714285,0.1437125748502994,0.405982905982906,0.40411700975081255,0.23125,0.33868974042027195,0.25245098039215685,0.4599271402550091,0.26262626262626265,0.24429223744292236,0.4819277108433735,0.3141809290953545,0.2436399217221135,0.26851851851851855,0.41721854304635764,0.3798219584569733,0.2168284789644013
-8,0.22756119673617406,0.19642857142857142,0.3486238532110092,0.36261261261261263,0.4517374517374517,0.22339675828047922,0.25478011472275336,0.28735632183908044,0.2875816993464052,0.3083956774729842,0.27545909849749584,0.3074391046741277,0.23197492163009403,0.34285714285714286,0.3829787234042553,0.33156498673740054,0.22303921568627452,0.058823529411764705,0.39906976744186046,0.18181818181818182,0.17567567567567569,0.40487804878048783,0.4,0.20610687022900764,0.28886168910648713,0.26099706744868034,0.46059365404298874,0.275,0.21559633027522937,0.6257668711656442,0.297029702970297,0.27627302275189597,0.31495405179615704,0.46830985915492956,0.4513888888888889,0.22709163346613545
-7,0.22545846817691478,0.1738816738816739,0.3058823529411765,0.36574074074074076,0.4744525547445255,0.22833562585969738,0.24649589173513775,0.35664335664335667,0.3081761006289308,0.27085201793721975,0.24561403508771928,0.29664604363399544,0.24492979719188768,0.23809523809523808,0.2545454545454545,0.314070351758794,0.2055485498108449,0.09523809523809523,0.37940630797773656,0.14285714285714285,0.16981132075471697,0.4521276595744681,0.37209302325581395,0.27611940298507465,0.3123359580052493,0.23737373737373738,0.446064139941691,0.21608040201005024,0.26649746192893403,0.5844155844155844,0.26842105263157895,0.2550335570469799,0.30980751604032997,0.4898785425101215,0.44086021505376344,0.2332657200811359
